unix_ms,t_et,state
1679993100000,2023-03-28 04:45:00,none
1679996700000,2023-03-28 05:45:00,none
1680003900000,2023-03-28 07:45:00,none
1680036300000,2023-03-28 16:45:00,none
1680043500000,2023-03-28 18:45:00,none
1680191100000,2023-03-30 11:45:00,none
1680194700000,2023-03-30 12:45:00,none
1680198300000,2023-03-30 13:45:00,none
1680201900000,2023-03-30 14:45:00,long
1680205500000,2023-03-30 15:45:00,none
1680252300000,2023-03-31 04:45:00,none
1680255900000,2023-03-31 05:45:00,long
1680259500000,2023-03-31 06:45:00,none
1680263100000,2023-03-31 07:45:00,none
1680511500000,2023-04-03 04:45:00,none
1680515100000,2023-04-03 05:45:00,none
1680525900000,2023-04-03 08:45:00,none
1680536700000,2023-04-03 11:45:00,none
1680543900000,2023-04-03 13:45:00,none
1680651900000,2023-04-04 19:45:00,none
1680716700000,2023-04-05 13:45:00,short
1680720300000,2023-04-05 14:45:00,short
1680723900000,2023-04-05 15:45:00,short
1680770700000,2023-04-06 04:45:00,none
1680774300000,2023-04-06 05:45:00,none
1680777900000,2023-04-06 06:45:00,none
1680781500000,2023-04-06 07:45:00,none
1680785100000,2023-04-06 08:45:00,none
1680795900000,2023-04-06 11:45:00,none
1680799500000,2023-04-06 12:45:00,none
1680803100000,2023-04-06 13:45:00,none
1680806700000,2023-04-06 14:45:00,short
1680810300000,2023-04-06 15:45:00,short
1680813900000,2023-04-06 16:45:00,short
1680821100000,2023-04-06 18:45:00,short
1680824700000,2023-04-06 19:45:00,none
1681115400000,2023-04-10 04:30:00,none
1681119000000,2023-04-10 05:30:00,none
1681122600000,2023-04-10 06:30:00,none
1681126200000,2023-04-10 07:30:00,none
1681147800000,2023-04-10 13:30:00,none
1681151400000,2023-04-10 14:30:00,none
1681155000000,2023-04-10 15:30:00,none
1681201800000,2023-04-11 04:30:00,none
1681205400000,2023-04-11 05:30:00,none
1681209000000,2023-04-11 06:30:00,none
1681212600000,2023-04-11 07:30:00,none
1681216200000,2023-04-11 08:30:00,none
1681219800000,2023-04-11 09:30:00,none
1681255800000,2023-04-11 19:30:00,none
1681259400000,2023-04-11 20:30:00,none
1681288200000,2023-04-12 04:30:00,none
1681291800000,2023-04-12 05:30:00,none
1681313400000,2023-04-12 11:30:00,none
1681320600000,2023-04-12 13:30:00,none
1681374600000,2023-04-13 04:30:00,none
1681378200000,2023-04-13 05:30:00,none
1681381800000,2023-04-13 06:30:00,none
1681385400000,2023-04-13 07:30:00,none
1681389000000,2023-04-13 08:30:00,none
1681392600000,2023-04-13 09:30:00,none
1681432200000,2023-04-13 20:30:00,none
1681461000000,2023-04-14 04:30:00,none
1681464600000,2023-04-14 05:30:00,none
1681468200000,2023-04-14 06:30:00,none
1681471800000,2023-04-14 07:30:00,none
1681475400000,2023-04-14 08:30:00,none
1681479000000,2023-04-14 09:30:00,none
1681482600000,2023-04-14 10:30:00,none
1681497000000,2023-04-14 14:30:00,none
1681504200000,2023-04-14 16:30:00,none
1681720200000,2023-04-17 04:30:00,none
1681723800000,2023-04-17 05:30:00,none
1681727400000,2023-04-17 06:30:00,none
1681731000000,2023-04-17 07:30:00,none
1681734600000,2023-04-17 08:30:00,none
1681759800000,2023-04-17 15:30:00,none
1681857000000,2023-04-18 18:30:00,none
1681860600000,2023-04-18 19:30:00,none
1681864200000,2023-04-18 20:30:00,none
1681914600000,2023-04-19 10:30:00,none
1681918200000,2023-04-19 11:30:00,none
1681921800000,2023-04-19 12:30:00,none
1681925400000,2023-04-19 13:30:00,long
1681936200000,2023-04-19 16:30:00,none
1681943400000,2023-04-19 18:30:00,none
1681947000000,2023-04-19 19:30:00,none
1681950600000,2023-04-19 20:30:00,none
1682004600000,2023-04-20 11:30:00,none
1682008200000,2023-04-20 12:30:00,none
1682011800000,2023-04-20 13:30:00,none
1682015400000,2023-04-20 14:30:00,none
1682022600000,2023-04-20 16:30:00,none
1682033400000,2023-04-20 19:30:00,none
1682069400000,2023-04-21 05:30:00,none
1682080200000,2023-04-21 08:30:00,none
1682083800000,2023-04-21 09:30:00,none
1682087400000,2023-04-21 10:30:00,none
1682098200000,2023-04-21 13:30:00,none
1682101800000,2023-04-21 14:30:00,none
1682105400000,2023-04-21 15:30:00,none
1682109000000,2023-04-21 16:30:00,none
1682328600000,2023-04-24 05:30:00,none
1682332200000,2023-04-24 06:30:00,none
1682350200000,2023-04-24 11:30:00,none
1682353800000,2023-04-24 12:30:00,none
1682361000000,2023-04-24 14:30:00,none
1682364600000,2023-04-24 15:30:00,none
1682382600000,2023-04-24 20:30:00,none
1682465400000,2023-04-25 19:30:00,none
1682469000000,2023-04-25 20:30:00,none
1682497800000,2023-04-26 04:30:00,none
1682501400000,2023-04-26 05:30:00,none
1682505000000,2023-04-26 06:30:00,none
1682515800000,2023-04-26 09:30:00,none
1682523000000,2023-04-26 11:30:00,none
1682526600000,2023-04-26 12:30:00,none
1682584200000,2023-04-27 04:30:00,none
1682587800000,2023-04-27 05:30:00,none
1682591400000,2023-04-27 06:30:00,none
1682598600000,2023-04-27 08:30:00,none
1682602200000,2023-04-27 09:30:00,none
1682670600000,2023-04-28 04:30:00,long
1682674200000,2023-04-28 05:30:00,long
1682677800000,2023-04-28 06:30:00,long
1682681400000,2023-04-28 07:30:00,long
1682685000000,2023-04-28 08:30:00,long
1682688600000,2023-04-28 09:30:00,long
1682929800000,2023-05-01 04:30:00,none
1682944200000,2023-05-01 08:30:00,none
1682947800000,2023-05-01 09:30:00,none
1682951400000,2023-05-01 10:30:00,none
1682955000000,2023-05-01 11:30:00,none
1682969400000,2023-05-01 15:30:00,none
1682973000000,2023-05-01 16:30:00,long
1682980200000,2023-05-01 18:30:00,long
1682983800000,2023-05-01 19:30:00,long
1682987400000,2023-05-01 20:30:00,long
1683016200000,2023-05-02 04:30:00,none
1683019800000,2023-05-02 05:30:00,none
1683023400000,2023-05-02 06:30:00,none
1683027000000,2023-05-02 07:30:00,none
1683030600000,2023-05-02 08:30:00,none
1683034200000,2023-05-02 09:30:00,none
1683059400000,2023-05-02 16:30:00,none
1683066600000,2023-05-02 18:30:00,none
1683070200000,2023-05-02 19:30:00,long
1683073800000,2023-05-02 20:30:00,long
1683102600000,2023-05-03 04:30:00,short
1683106200000,2023-05-03 05:30:00,none
1683109800000,2023-05-03 06:30:00,short
1683113400000,2023-05-03 07:30:00,short
1683117000000,2023-05-03 08:30:00,short
1683120600000,2023-05-03 09:30:00,short
1683124200000,2023-05-03 10:30:00,short
1683127800000,2023-05-03 11:30:00,none
1683131400000,2023-05-03 12:30:00,short
1683135000000,2023-05-03 13:30:00,short
1683138600000,2023-05-03 14:30:00,short
1683189000000,2023-05-04 04:30:00,long
1683192600000,2023-05-04 05:30:00,none
1683196200000,2023-05-04 06:30:00,none
1683199800000,2023-05-04 07:30:00,short
1683239400000,2023-05-04 18:30:00,none
1683243000000,2023-05-04 19:30:00,none
1683246600000,2023-05-04 20:30:00,none
1683275400000,2023-05-05 04:30:00,none
1683279000000,2023-05-05 05:30:00,long
1683282600000,2023-05-05 06:30:00,none
1683286200000,2023-05-05 07:30:00,none
1683289800000,2023-05-05 08:30:00,none
1683293400000,2023-05-05 09:30:00,long
1683538200000,2023-05-08 05:30:00,none
1683552600000,2023-05-08 09:30:00,none
1683556200000,2023-05-08 10:30:00,long
1683559800000,2023-05-08 11:30:00,long
1683563400000,2023-05-08 12:30:00,long
1683567000000,2023-05-08 13:30:00,none
1683570600000,2023-05-08 14:30:00,none
1683574200000,2023-05-08 15:30:00,none
1683577800000,2023-05-08 16:30:00,none
1683585000000,2023-05-08 18:30:00,none
1683588600000,2023-05-08 19:30:00,none
1683592200000,2023-05-08 20:30:00,none
1683621000000,2023-05-09 04:30:00,long
1683624600000,2023-05-09 05:30:00,long
1683628200000,2023-05-09 06:30:00,long
1683631800000,2023-05-09 07:30:00,long
1683635400000,2023-05-09 08:30:00,long
1683639000000,2023-05-09 09:30:00,long
1683642600000,2023-05-09 10:30:00,long
1683646200000,2023-05-09 11:30:00,long
1683649800000,2023-05-09 12:30:00,long
1683653400000,2023-05-09 13:30:00,none
1683657000000,2023-05-09 14:30:00,none
1683660600000,2023-05-09 15:30:00,none
1683664200000,2023-05-09 16:30:00,none
1683671400000,2023-05-09 18:30:00,none
1683675000000,2023-05-09 19:30:00,none
1683678600000,2023-05-09 20:30:00,none
1683707400000,2023-05-10 04:30:00,none
1683711000000,2023-05-10 05:30:00,none
1683714600000,2023-05-10 06:30:00,none
1683721800000,2023-05-10 08:30:00,none
1683729000000,2023-05-10 10:30:00,none
1683732600000,2023-05-10 11:30:00,none
1683736200000,2023-05-10 12:30:00,long
1683739800000,2023-05-10 13:30:00,long
1683743400000,2023-05-10 14:30:00,none
1683801000000,2023-05-11 06:30:00,none
1683804600000,2023-05-11 07:30:00,none
1683808200000,2023-05-11 08:30:00,none
1683833400000,2023-05-11 15:30:00,none
