TradeID,Strategy,Symbol,Side,Quantity,SignalTime,EntryTime,FillDelayMs,EntryPrice,ExitTime,ExitPrice,ExitReason,GrossPnL,NetPnL,Commission,PointsPnL,PercentPnL,Duration,SignalType,HTFBias,Trigger,Confidence,RiskReward,OB_High,OB_Low,OB_Time,OB_Type,CHoCH_Level,CHoCH_Time,MSS_Level,MSS_Time,SwingHigh,SwingHigh_Time,SwingLow,SwingLow_Time,FVG_Top,FVG_Bottom,FVG_Time,FibLevel,FibPrice,GEXLevel,GEXLevelType,LTLevelsBelow,LTSentiment,LTOrdering,LTSpacing,LTLdmpType,LTAvgSpacing,FilterReason,StopLoss,TakeProfit,MFEPoints,MAEPoints,ProfitGiveBack,StrategyMetadata
T000001,LT_GEX_PATH_RACE,NQ,long,1,2023-04-28T08:45:00.000Z,2023-04-28T09:08:15.000Z,1395000,13178.02,2023-04-28T14:09:17.000Z,13248.92,take_profit,1418,1414,4,70.9,0.54,18062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13079.24,13248.92,68.48,9.02,-2.42,
T000003,LT_GEX_PATH_RACE,NQ,short,1,2023-05-03T18:45:00.000Z,2023-05-03T18:45:17.000Z,17000,13250.18,2023-05-03T18:50:28.000Z,13213.33,take_profit,737,733,4,36.85,0.28,311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13330.57,13213.33,32.93,20.32,-3.92,
T000006,LT_GEX_PATH_RACE,NQ,long,1,2023-06-27T11:45:00.000Z,2023-06-27T11:49:20.000Z,260000,14903.58,2023-06-27T12:34:59.000Z,14921.56,take_profit,359.6,355.6,4,17.98,0.12,2739000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14848.04,14921.56,17.92,12.83,-0.06,
T000007,LT_GEX_PATH_RACE,NQ,long,1,2023-06-27T23:45:00.000Z,2023-06-28T00:19:03.000Z,2043000,15051.75,2023-06-28T08:19:04.000Z,15050.5,max_hold_time,-25,-29,4,-1.25,-0.01,28801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14986.5,15132.26,25.75,15.25,27,
T000008,LT_GEX_PATH_RACE,NQ,long,1,2023-06-28T09:45:00.000Z,2023-06-28T09:50:18.000Z,318000,15031.15,2023-06-28T13:42:29.000Z,15099.82,take_profit,1373.4,1369.4,4,68.67,0.46,13931000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14980.79,15099.82,68.35,5.65,-0.32,
T000009,LT_GEX_PATH_RACE,NQ,long,1,2023-07-06T22:30:00.000Z,2023-07-07T06:47:47.000Z,29867000,15211.11,2023-07-07T12:30:38.000Z,15275.5,take_profit,1287.8,1283.8,4,64.39,0.42,20571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15158.07,15275.5,62.39,34.61,-2,
T000011,LT_GEX_PATH_RACE,NQ,short,1,2023-07-21T08:30:00.000Z,2023-07-21T10:49:47.000Z,8387000,15671.44,2023-07-21T14:27:34.000Z,15564.66,take_profit,2135.6,2131.6,4,106.78,0.68,13067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15785.63,15564.66,106.44,47.81,-0.34,
T000012,LT_GEX_PATH_RACE,NQ,short,1,2023-07-27T18:30:00.000Z,2023-07-27T18:30:51.000Z,51000,15626.01,2023-07-27T18:37:39.000Z,15574.93,take_profit,1021.6,1017.6,4,51.08,0.33,408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15729.61,15574.93,49.76,8.74,-1.32,
T000014,LT_GEX_PATH_RACE,NQ,long,1,2023-08-07T11:30:00.000Z,2023-08-07T11:43:31.000Z,811000,15409.68,2023-08-07T12:41:13.000Z,15427.83,take_profit,363,359,4,18.15,0.12,3462000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15355.08,15427.83,18.07,15.68,-0.08,
T000015,LT_GEX_PATH_RACE,NQ,short,1,2023-08-15T08:30:00.000Z,2023-08-15T08:37:42.000Z,462000,15212.9,2023-08-15T10:23:01.000Z,15166.95,take_profit,919,915,4,45.95,0.3,6319000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15268.2,15166.95,45.9,22.1,-0.05,
T000016,LT_GEX_PATH_RACE,NQ,short,1,2023-08-17T09:30:00.000Z,2023-08-17T09:48:06.000Z,1086000,14972.52,2023-08-17T13:44:24.000Z,14946.08,take_profit,528.8,524.8,4,26.44,0.18,14178000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15035.74,14946.08,25.02,45.73,-1.42,
T000018,LT_GEX_PATH_RACE,NQ,short,1,2023-08-24T09:30:00.000Z,2023-08-24T10:26:26.000Z,3386000,15375.3,2023-08-24T13:30:35.000Z,15310.58,take_profit,1294.4,1290.4,4,64.72,0.42,11049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15440.96,15310.58,63.3,19.95,-1.42,
T000019,LT_GEX_PATH_RACE,NQ,long,1,2023-08-29T10:30:00.000Z,2023-08-29T10:58:01.000Z,1681000,15085.98,2023-08-29T13:45:24.000Z,15143.97,take_profit,1159.8,1155.8,4,57.99,0.38,10043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14971.04,15143.97,57.02,36.23,-0.97,
T000020,LT_GEX_PATH_RACE,NQ,long,1,2023-08-30T08:30:00.000Z,2023-08-30T09:14:04.000Z,2644000,15366.27,2023-08-30T12:15:02.000Z,15409.2,take_profit,858.6,854.6,4,42.93,0.28,10858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15256.15,15409.2,42.48,4.77,-0.45,
T000022,LT_GEX_PATH_RACE,NQ,short,1,2023-09-01T11:30:00.000Z,2023-09-01T12:30:00.000Z,3600000,15581.94,2023-09-01T12:30:01.000Z,15559.49,take_profit,449,445,4,22.45,0.14,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15664.63,15559.49,0,4.91,-22.45,
T000023,LT_GEX_PATH_RACE,NQ,long,1,2023-09-25T11:30:00.000Z,2023-09-25T11:31:25.000Z,85000,14847.07,2023-09-25T12:22:01.000Z,14803.42,stop_loss,-873,-877,4,-43.65,-0.29,3036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14804.92,14889.33,0.93,40.82,44.58,
T000024,LT_GEX_PATH_RACE,NQ,long,1,2023-09-25T12:30:00.000Z,2023-09-25T12:30:50.000Z,50000,14821.5,2023-09-25T12:37:56.000Z,14842.08,take_profit,411.6,407.6,4,20.58,0.14,426000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14794.69,14842.08,17,5,-3.58,
T000025,LT_GEX_PATH_RACE,NQ,long,1,2023-09-28T09:30:00.000Z,2023-09-28T09:33:05.000Z,185000,14687.84,2023-09-28T09:58:47.000Z,14736.37,take_profit,970.6,966.6,4,48.53,0.33,1542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14632.39,14736.37,47.41,1.84,-1.12,
T000026,LT_GEX_PATH_RACE,NQ,long,1,2023-09-28T11:30:00.000Z,2023-09-28T11:31:44.000Z,104000,14700.6,2023-09-28T12:30:49.000Z,14760.57,take_profit,1199.4,1195.4,4,59.97,0.41,3545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14638.5,14760.57,54.15,18.6,-5.82,
T000027,LT_GEX_PATH_RACE,NQ,long,1,2023-09-28T13:30:00.000Z,2023-09-28T13:30:10.000Z,10000,14689.66,2023-09-28T13:57:28.000Z,14741,take_profit,1026.8,1022.8,4,51.34,0.35,1638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14641.58,14741,49.09,31.66,-2.25,
T000028,LT_GEX_PATH_RACE,NQ,long,1,2023-10-04T12:30:00.000Z,2023-10-04T12:31:51.000Z,111000,14757.84,2023-10-04T13:38:22.000Z,14813.42,take_profit,1111.6,1107.6,4,55.58,0.38,3991000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14650.65,14813.42,54.91,8.84,-0.67,
