TradeID,Strategy,Symbol,Side,Quantity,SignalTime,EntryTime,FillDelayMs,EntryPrice,ExitTime,ExitPrice,ExitReason,GrossPnL,NetPnL,Commission,PointsPnL,PercentPnL,Duration,SignalType,HTFBias,Trigger,Confidence,RiskReward,OB_High,OB_Low,OB_Time,OB_Type,CHoCH_Level,CHoCH_Time,MSS_Level,MSS_Time,SwingHigh,SwingHigh_Time,SwingLow,SwingLow_Time,FVG_Top,FVG_Bottom,FVG_Time,FibLevel,FibPrice,GEXLevel,GEXLevelType,LTLevelsBelow,LTSentiment,LTOrdering,LTSpacing,LTLdmpType,LTAvgSpacing,FilterReason,StopLoss,TakeProfit,MFEPoints,MAEPoints,ProfitGiveBack,StrategyMetadata
T000002,LT_GEX_PATH_RACE,NQ,long,1,2023-03-31T12:00:00.000Z,2023-03-31T12:18:01.000Z,1081000,13068.21,2023-03-31T12:30:42.000Z,13112.31,take_profit,882,878,4,44.1,0.34,761000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13013.8,13112.31,43.79,10.71,-0.31,
T000004,LT_GEX_PATH_RACE,NQ,long,1,2023-04-03T10:00:00.000Z,2023-04-03T11:08:02.000Z,4082000,13212.5,2023-04-03T13:36:33.000Z,13241.8,take_profit,586,582,4,29.3,0.22,8911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13153.67,13241.8,29,33,-0.3,
T000005,LT_GEX_PATH_RACE,NQ,short,1,2023-04-03T19:00:00.000Z,2023-04-03T19:02:31.000Z,151000,13230.64,2023-04-04T03:02:50.000Z,13232.25,max_hold_time,-32.2,-36.2,4,-1.61,-0.01,28819000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13281.44,13192.53,6.64,48.11,8.25,
T000006,LT_GEX_PATH_RACE,NQ,long,1,2023-04-04T17:00:00.000Z,2023-04-04T17:00:08.000Z,8000,13217.73,2023-04-04T17:17:25.000Z,13233.77,take_profit,320.8,316.8,4,16.04,0.12,1037000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13195.04,13233.77,15.77,10.73,-0.27,
T000007,LT_GEX_PATH_RACE,NQ,long,1,2023-04-04T18:00:00.000Z,2023-04-04T18:00:29.000Z,29000,13225.23,2023-04-04T18:32:03.000Z,13187.56,stop_loss,-753.4,-757.4,4,-37.67,-0.28,1894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13189.06,13275.74,12.02,35.48,49.69,
T000008,LT_GEX_PATH_RACE,NQ,short,1,2023-04-04T20:00:00.000Z,2023-04-04T20:04:12.000Z,252000,13229.58,2023-04-05T04:04:13.000Z,13222.75,max_hold_time,136.6,132.6,4,6.83,0.05,28801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13284.28,13204.99,8.08,17.67,1.25,
T000009,LT_GEX_PATH_RACE,NQ,short,1,2023-04-05T12:00:00.000Z,2023-04-05T12:01:21.000Z,81000,13215.5,2023-04-05T13:25:30.000Z,13177.42,take_profit,761.6,757.6,4,38.08,0.29,5049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13274.32,13177.42,37.75,20.5,-0.33,
T000010,LT_GEX_PATH_RACE,NQ,long,1,2023-04-06T17:00:00.000Z,2023-04-06T17:00:25.000Z,25000,13125.69,2023-04-07T01:00:27.000Z,13156.75,max_hold_time,621.2,617.2,4,31.06,0.24,28802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13091.42,13228.47,65.31,4.44,34.25,
T000011,LT_GEX_PATH_RACE,NQ,long,1,2023-04-14T08:45:00.000Z,2023-04-14T09:01:20.000Z,980000,13176.48,2023-04-14T13:44:17.000Z,13209.34,take_profit,657.2,653.2,4,32.86,0.25,16977000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13090.78,13209.34,32.77,75.48,-0.09,
T000012,LT_GEX_PATH_RACE,NQ,long,1,2023-04-14T19:45:00.000Z,2023-04-14T19:46:27.000Z,87000,13175.8,2023-04-14T20:42:08.000Z,13208.53,take_profit,654.6,650.6,4,32.73,0.25,3341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13106.48,13208.53,32.7,8.8,-0.03,
T000013,LT_GEX_PATH_RACE,NQ,long,1,2023-04-17T13:45:00.000Z,2023-04-17T13:45:21.000Z,21000,13167.46,2023-04-17T14:00:32.000Z,13184.12,take_profit,333.2,329.2,4,16.66,0.13,911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13126.55,13184.12,16.54,26.21,-0.12,
T000014,LT_GEX_PATH_RACE,NQ,long,1,2023-04-19T20:45:00.000Z,2023-04-19T22:00:00.000Z,4500000,13162,2023-04-20T05:40:51.000Z,13111.3,stop_loss,-1014,-1018,4,-50.7,-0.39,27651000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13112.8,13184.78,3.75,48.75,54.45,
T000015,LT_GEX_PATH_RACE,NQ,long,1,2023-04-20T11:45:00.000Z,2023-04-20T11:46:28.000Z,88000,13060.74,2023-04-20T12:01:02.000Z,13041.18,stop_loss,-391.2,-395.2,4,-19.56,-0.15,874000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13042.68,13075.44,1.01,17.99,20.57,
T000016,LT_GEX_PATH_RACE,NQ,short,1,2023-04-20T15:45:00.000Z,2023-04-20T15:45:31.000Z,31000,13141.9,2023-04-20T17:11:04.000Z,13191.96,stop_loss,-1001.2,-1005.2,4,-50.06,-0.38,5133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13190.46,13094.21,28.9,47.6,78.96,
