label,n,wr,pf,pnl,avg,sharpe,maxdd,hold_avg_m,hold_med_m,years_pos,years_n,per_year,pnl_2xslip,pf_2xslip,stop%,tgt%
B3|lim|b5|opp|H120|OVL,21,14.3,0.412,-2210,-105.2,-0.85,-2595,28.6,5.2,1,4,"{2021: (200, 5), 2022: (-540, 2), 2023: (-1270, 11), 2024: (-600, 3)}",-2405,0.39,85.7,0.0
B3|lim|b5|mid|H120|OVL,21,14.3,0.432,-2135,-101.7,-0.79,-2520,24.0,5.2,1,4,"{2021: (200, 5), 2022: (-540, 2), 2023: (-1195, 11), 2024: (-600, 3)}",-2325,0.41,85.7,4.8
B3|lim|b5|r1|H120|OVL,21,38.1,0.461,-1530,-72.9,-0.83,-1530,4.7,1.8,0,4,"{2021: (-260, 5), 2022: (-200, 2), 2023: (-830, 11), 2024: (-240, 3)}",-1660,0.441,61.9,38.1
B3|lim|b5|r2|H120|OVL,21,33.3,0.769,-700,-33.3,-0.29,-1255,7.2,4.7,1,4,"{2021: (80, 5), 2022: (-35, 2), 2023: (-680, 11), 2024: (-65, 3)}",-840,0.735,66.7,33.3
B3|lim|bv|opp|H120|OVL,21,23.8,0.519,-2780,-132.4,-0.69,-2876,39.4,7.8,0,4,"{2021: (-146, 5), 2022: (-955, 2), 2023: (-713, 11), 2024: (-965, 3)}",-2965,0.501,76.2,0.0
B3|lim|bv|mid|H120|OVL,21,23.8,0.532,-2705,-128.8,-0.66,-2801,34.7,7.8,0,4,"{2021: (-146, 5), 2022: (-955, 2), 2023: (-638, 11), 2024: (-965, 3)}",-2885,0.514,76.2,4.8
B3|lim|bv|r1|H120|OVL,21,33.3,0.401,-3082,-146.8,-0.97,-3082,10.1,6.8,0,4,"{2021: (-340, 5), 2022: (-955, 2), 2023: (-1400, 11), 2024: (-387, 3)}",-3222,0.39,66.7,33.3
B3|lim|bv|r2|H120|OVL,21,28.6,0.644,-1952,-92.9,-0.48,-2778,13.3,7.7,1,4,"{2021: (267, 5), 2022: (-955, 2), 2023: (-1161, 11), 2024: (-103, 3)}",-2102,0.627,71.4,28.6
B3|cls1m|b5|opp|H120|OVL,17,17.6,0.232,-4660,-274.1,-1.06,-4785,44.3,13.1,1,4,"{2021: (125, 4), 2022: (-1905, 2), 2023: (-2565, 10), 2024: (-315, 1)}",-4895,0.22,76.5,0.0
B3|cls1m|b5|mid|H120|OVL,17,17.6,0.245,-4585,-269.7,-1.03,-4710,38.5,13.1,1,4,"{2021: (125, 4), 2022: (-1905, 2), 2023: (-2490, 10), 2024: (-315, 1)}",-4815,0.233,76.5,5.9
B3|cls1m|b5|r1|H120|OVL,17,35.3,0.266,-3890,-228.8,-0.95,-4185,16.2,5.5,1,4,"{2021: (-110, 4), 2022: (-1905, 2), 2023: (-2170, 10), 2024: (295, 1)}",-4080,0.253,58.8,35.3
B3|cls1m|b5|r2|H120|OVL,17,23.5,0.305,-4075,-239.7,-0.92,-4440,22.6,8.2,1,4,"{2021: (365, 4), 2022: (-1905, 2), 2023: (-2220, 10), 2024: (-315, 1)}",-4285,0.292,70.6,23.5
B3|cls1m|bv|opp|H120|OVL,17,29.4,0.422,-4087,-240.4,-0.73,-4227,60.3,37.6,0,4,"{2021: (-66, 4), 2022: (-2320, 2), 2023: (-1686, 10), 2024: (-15, 1)}",-4307,0.405,58.8,0.0
B3|cls1m|bv|mid|H120|OVL,17,29.4,0.432,-4012,-236.0,-0.71,-4152,54.5,37.5,0,4,"{2021: (-66, 4), 2022: (-2320, 2), 2023: (-1611, 10), 2024: (-15, 1)}",-4227,0.416,58.8,5.9
B3|cls1m|bv|r1|H120|OVL,17,35.3,0.301,-4932,-290.1,-0.95,-5336,24.6,12.0,1,4,"{2021: (-34, 4), 2022: (-2320, 2), 2023: (-2982, 10), 2024: (404, 1)}",-5122,0.29,58.8,35.3
B3|cls1m|bv|r2|H120|OVL,17,29.4,0.489,-3611,-212.4,-0.62,-4319,31.7,22.0,1,4,"{2021: (708, 4), 2022: (-2320, 2), 2023: (-1984, 10), 2024: (-15, 1)}",-3806,0.474,58.8,29.4
B8|lim|b5|opp|H120|OVL,28,10.7,0.173,-6245,-223.0,-1.82,-6245,20.8,1.6,0,4,"{2021: (-1005, 5), 2022: (-970, 3), 2023: (-2830, 15), 2024: (-1440, 5)}",-6510,0.166,89.3,0.0
B8|lim|b5|mid|H120|OVL,28,14.3,0.32,-4950,-176.8,-1.27,-4950,16.7,1.6,0,4,"{2021: (-1005, 5), 2022: (-970, 3), 2023: (-1535, 15), 2024: (-1440, 5)}",-5200,0.308,85.7,7.1
B8|lim|b5|r1|H120|OVL,28,21.4,0.242,-5045,-180.2,-1.62,-5045,3.7,1.6,0,4,"{2021: (-915, 5), 2022: (-970, 3), 2023: (-2250, 15), 2024: (-910, 5)}",-5265,0.235,78.6,21.4
B8|lim|b5|r2|H120|OVL,28,17.9,0.374,-4385,-156.6,-1.18,-4875,9.2,1.6,0,4,"{2021: (-640, 5), 2022: (-970, 3), 2023: (-2125, 15), 2024: (-650, 5)}",-4615,0.362,82.1,17.9
