i,epoch,et_date,trade_date,year,et_min,side,E,atr,sym,arr3,arr5,arr10,arr15,eff10,accel,dep_bars,fresh_bars,rv60,brk0_t,brk5_t,ret_p35_t,maxret_prebrk5,maxret_t,hold_p20_b0,hold_p20_b5,hold_p35_b0,hold_p35_b5,hold_p50_b0,hold_p50_b5,hold_a15_b0,hold_a15_b5,hold_a25_b0,hold_a25_b5,burst30,burst60
713008,1672700400,2023-01-02,2023-01-03,2023,1080,1,11150.0,309.4107142857143,NQH3,0.3529289548104138,0.3619784151901656,0.3645639752986644,0.3571304899867259,0.9570469798658088,0.0712721956099358,1,41,0.4941651757373051,0,0,1,178.0,120,1,1,1,1,1,1,1,1,1,1,0.0024239626017198593,0.0024239626017198593
713078,1672704600,2023-01-02,2023-01-03,2023,1150,-1,11031.5,309.4107142857143,NQH3,0.0420153517631442,0.0429849368038298,0.0614070525769031,0.0468632769665839,0.9267015706805604,0.0098343625555499,70,240,0.3888036013158866,1,2,0,2.700000000000728,1,0,0,0,0,0,0,0,0,0,0,0.03716742655970451,0.046055289432677324
713121,1672707180,2023-01-02,2023-01-03,2023,1193,-1,11004.0,309.4107142857143,NQH3,0.0468632769665839,0.0575287124141489,0.0588214924684042,0.074334853119409,0.4918032786885441,0.0136973124795587,104,40,0.4686327696658512,1,6,0,4.200000000000728,5,0,0,0,0,0,0,0,0,0,0,0.044439314364864084,0.044439314364864084
713149,1672708860,2023-01-02,2023-01-03,2023,1221,-1,10960.8,309.4107142857143,NQH3,0.0523575921971513,0.0539735672649645,0.0442777168580851,0.0410457667224586,0.6042780748662477,0.0160212385294619,81,15,0.520990361862979,2,3,72,9.200000000000728,2,0,0,0,0,0,0,0,0,0,0,0.025047613551105213,0.03151151382235817
713255,1672715220,2023-01-02,2023-01-03,2023,1327,1,11018.0,309.4107142857143,NQH3,0.023270040976513,0.0316731113291371,0.0290875512206383,0.0252092110578841,0.4482758620687925,0.005632827379235,240,240,0.3768453858140427,5,24,0,6.200000000000728,2,0,0,0,0,0,0,0,0,0,0,0.015351763144225775,0.017775725745945634
713279,1672716660,2023-01-02,2023-01-03,2023,1351,1,11023.5,309.4107142857143,NQH3,0.0171293357188179,0.0161597506781323,0.0216540659086997,0.0307035262884515,0.2115384615385019,0.0025855601085005,240,9,0.3768453858140898,1,3,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.012927800542505917,0.016159750678132394
713296,1672717680,2023-01-02,2023-01-03,2023,1368,1,11033.8,309.4107142857143,NQH3,0.0155133606510047,0.0187453107866312,0.0284411611935106,0.0226236509493853,0.3061224489795918,0.0019237798426348,240,3,0.378461360881903,7,88,0,12.799999999999272,69,0,0,0,0,0,0,0,0,0,0,0.016967738212039014,0.016967738212039014
713384,1672722960,2023-01-03,2023-01-03,2023,16,1,11041.0,309.4107142857143,NQH3,0.0193917008137588,0.0436313268309574,0.0484792520343971,0.0523575921971513,0.5307262569831971,-0.0036167061041534,240,75,0.242073065158475,22,22,0,13.5,13,0,0,0,0,0,0,0,0,0,0,0.016159750678132394,0.017775725745945634
713406,1672724280,2023-01-03,2023-01-03,2023,38,1,11056.0,309.4107142857143,NQH3,0.0775668032550355,0.0749812431465366,0.0898482137704137,0.074334853119409,0.7862068965516005,0.0187145303091517,236,22,0.304126507762494,7,50,0,15.5,28,0,0,0,0,0,0,0,0,0,0,0.07433485311940902,0.07675881572112887
713455,1672727220,2023-01-03,2023-01-03,2023,87,1,11059.8,309.4107142857143,NQH3,0.0064639002712529,0.0155133606510047,0.0252092110578841,0.044600911871643,0.4788732394365439,-0.0016005848290718,240,42,0.3513129797426241,1,4,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.010503837940786057,0.015351763144225775
713530,1672731720,2023-01-03,2023-01-03,2023,162,1,11066.5,309.4107142857143,NQH3,0.0475096669937115,0.0517112021700236,0.0581751024412766,0.0636694176718439,0.5527156549520663,0.0135588003308904,240,71,0.4527962140012768,3,10,0,8.5,6,0,0,0,0,0,0,0,0,0,0,0.024239626017198593,0.03878340162751775
713546,1672732680,2023-01-03,2023-01-03,2023,178,1,11079.8,309.4107142857143,NQH3,0.0268251861256974,0.0300571362613239,0.0672245628210284,0.0549431523056501,0.7575757575758053,-0.0003847559685269,240,6,0.5045074161713005,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.027471576152825073,0.037975414093611125
713585,1672735020,2023-01-03,2023-01-03,2023,217,1,11106.5,309.4107142857143,NQH3,0.0614070525769031,0.0662549777803428,0.0711029029837825,0.1173197899232388,0.4964028776978505,0.0176833843134999,240,36,0.6486523922202367,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.046055289432677324,0.06059906504299648
713608,1672736400,2023-01-03,2023-01-03,2023,240,1,11136.0,309.4107142857143,NQH3,0.0307035262884515,0.0210076758815721,0.0323195013562647,0.0381370116003901,-0.0081300813008418,-0.0009849752794298,93,9,0.617302475904681,1,2,0,9.5,1,0,0,0,0,0,0,0,0,0,0,0.022623650949385354,0.03635943902579789
713624,1672737360,2023-01-03,2023-01-03,2023,256,1,11160.5,309.4107142857143,NQH3,0.0371674265597045,0.0549431523056501,0.0753044381600946,0.0830611184856028,0.4241758241757742,0.0026317308247247,59,13,0.7142609799734754,25,34,66,21.700000000000728,3,1,1,0,0,0,0,0,0,0,0,0.05090321463611704,0.041207364229237604
713649,1672738860,2023-01-03,2023-01-03,2023,281,1,11163.5,309.4107142857143,NQH3,0.0387834016275177,0.0258556010850118,0.0559127373463357,0.0378138165868321,0.6086956521739131,0.0069256074334864,78,25,0.7478732613839719,1,19,40,9.5,2,0,0,0,0,0,0,0,0,0,0,0.025855601085011833,0.02908755122063831
713667,1672739940,2023-01-03,2023-01-03,2023,299,1,11167.2,309.4107142857143,NQH3,0.0193917008137588,0.0271483811392671,0.0248860160443262,0.0355514514918912,0.1746031746031824,0.0056789980954576,94,9,0.794413343336998,1,0,22,112.20000000000071,106,0,1,0,1,0,1,0,1,0,1,0.019391700813758874,0.025855601085011833
713743,1672744500,2023-01-03,2023-01-03,2023,375,-1,11122.0,309.4107142857143,NQH3,0.010342240434007,0.0355514514918912,0.0814451434177896,0.0549431523056501,0.739436619718272,-0.0112348742809872,240,240,0.5623593235989955,27,27,0,11.200000000000728,17,0,0,0,0,0,0,0,0,0,0,0.021007675881572114,0.021815663415478734
713770,1672746120,2023-01-03,2023-01-03,2023,402,-1,11114.2,309.4107142857143,NQH3,0.0420153517631442,0.0365210365325768,0.0568823223870213,0.0387834016275177,0.4662921348314388,0.0108039475962377,240,27,0.5116177064696458,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.026663588618918453,0.04363132683095747
713789,1672747260,2023-01-03,2023-01-03,2023,421,-1,11053.5,309.4107142857143,NQH3,0.0753044381600946,0.0946961389738534,0.0623766376175886,0.0646390027125295,0.2907801418439594,0.0194070910524991,55,16,0.6945460841461115,1,0,22,73.70000000000073,118,0,1,0,1,0,1,0,1,0,0,0.042823339297050844,0.0654469902464362
713898,1672753800,2023-01-03,2023-01-03,2023,530,1,11121.8,309.4107142857143,NQH3,0.0258556010850118,0.0187453107866312,0.0429849368038298,0.0762740232007802,0.4681647940075417,0.0053096323656731,240,230,0.705857909620816,1,1,41,0.0,0,0,0,0,0,0,0,0,0,0,0,0.021815663415478734,0.024239626017198593
713921,1672755180,2023-01-03,2023-01-03,2023,553,1,11128.8,309.4107142857143,NQH3,0.0116350204882506,0.027794771166383,0.0607606625497754,0.0155133606510047,0.5384615384615384,-0.0045401204286192,240,14,0.5885381196975888,1,1,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0.024239626017198593,0.026663588618918453
713942,1672756440,2023-01-03,2023-01-03,2023,574,1,11141.8,309.4107142857143,NQH3,0.1648294569169504,0.0730420730651537,0.0268251861256974,0.0235932359900709,-0.1690987124463528,0.0444931802004582,240,16,0.8461245455070099,5,5,1,46.29999999999927,2,1,1,1,1,0,0,0,0,0,0,0.08968661626363479,0.12362209268771282
713956,1672757280,2023-01-03,2023-01-03,2023,588,-1,11058.5,309.4107142857143,NQH3,0.1761412823916431,0.3532521498239718,0.2078143937207802,0.2446586252669268,0.3384446878422701,0.0514957388276489,4,166,1.4614878513302962,1,4,0,26.0,2,0,1,0,0,0,0,0,0,0,0,0.11150227967911353,0.13331794309459225
