cfg,n,wr,pf,sharpe,dd,pnl
L S15 T0.10 H30,1957,0.3479816044966786,0.8433410227815754,-1.881364520046991,-65682.92753080258,-62253.61434398925
L S15 T0.10 H60,1957,0.343382728666326,0.8376613477366035,-1.9752731740561926,-68953.25170662673,-65523.93851981338
L S15 T0.20 H30,1943,0.2645393721049923,0.908203428394816,-0.9495796929881806,-45097.50008325049,-40620.25832500869
L S15 T0.20 H60,1937,0.23902942694889004,0.914081801761048,-0.8766334543140332,-49477.653013653144,-39712.422244422414
L S25 T0.10 H30,1944,0.46502057613168724,0.8578142553793392,-1.719991459376263,-75491.10014985043,-72972.71003996019
L S25 T0.10 H60,1941,0.46264811952601753,0.8589036246221506,-1.7232656810548341,-77035.00674325693,-74677.23201798205
L S25 T0.20 H30,1916,0.3763048016701461,0.9291594051925163,-0.7516724312931137,-45842.55219780243,-41013.516566766775
L S25 T0.20 H60,1894,0.3447729672650475,0.93421018896006,-0.7052144177333377,-45324.56052281028,-41015.86821511799
C S15 T0.10 H30,1743,0.5421686746987951,0.6207143881601302,-3.7577178634606665,-142111.76640026548,-140606.98297535678
C S15 T0.10 H60,1743,0.5450372920252439,0.6201051480289832,-3.7886548011248973,-144060.82409257317,-142556.0406676644
C S15 T0.20 H30,1723,0.4672083575159605,0.9240216844162127,-0.7554907417285835,-49705.04403929364,-38756.17499167394
C S15 T0.20 H60,1717,0.45195107746068724,0.9110809419067274,-0.9169962648911635,-61583.06143856105,-48763.76381951253
C S25 T0.10 H30,1740,0.5890804597701149,0.6557073759235345,-3.2484474505604846,-136534.54204129128,-134801.34194971586
C S25 T0.10 H60,1740,0.5982758620689655,0.654217200979178,-3.310623540169471,-141718.28654678565,-139985.0864552103
C S25 T0.20 H30,1703,0.5249559600704639,0.9474109958961422,-0.5036259868012116,-42989.105394604485,-28578.664002663063
C S25 T0.20 H60,1686,0.5172004744958482,0.9320409962451773,-0.6827351029904016,-56153.21528471479,-40851.05502830371
