date,year,side,pnl,cum_pnl,drawdown
2021-04-09,2021,LONG,520.0,520.0,0.0
2021-04-13,2021,LONG,420.0,940.0,0.0
2021-04-14,2021,SHORT,-545.0,395.0,-545.0
2021-04-15,2021,LONG,-295.0,100.0,-840.0
2021-04-19,2021,SHORT,435.0,535.0,-405.0
2021-04-20,2021,SHORT,-865.0,-330.0,-1270.0
2021-04-21,2021,LONG,330.0,0.0,-940.0
2021-04-22,2021,SHORT,505.0,505.0,-435.0
2021-04-23,2021,LONG,35.0,540.0,-400.0
2021-04-26,2021,LONG,-560.0,-20.0,-960.0
2021-04-27,2021,SHORT,-150.0,-170.0,-1110.0
2021-04-29,2021,SHORT,415.0,245.0,-695.0
2021-05-03,2021,SHORT,280.0,525.0,-415.0
2021-05-04,2021,SHORT,135.0,660.0,-280.0
2021-05-05,2021,SHORT,1250.0,1910.0,0.0
2021-05-10,2021,SHORT,-270.0,1640.0,-270.0
2021-05-11,2021,LONG,570.0,2210.0,0.0
2021-05-12,2021,SHORT,555.0,2765.0,0.0
2021-05-14,2021,LONG,-290.0,2475.0,-290.0
2021-05-19,2021,LONG,1235.0,3710.0,0.0
2021-05-20,2021,LONG,285.0,3995.0,0.0
2021-05-21,2021,SHORT,-145.0,3850.0,-145.0
2021-05-24,2021,LONG,-205.0,3645.0,-350.0
2021-06-04,2021,LONG,-165.0,3480.0,-515.0
2021-06-10,2021,LONG,-235.0,3245.0,-750.0
2021-06-14,2021,LONG,205.0,3450.0,-545.0
2021-06-15,2021,SHORT,110.0,3560.0,-435.0
2021-06-16,2021,SHORT,-1620.0,1940.0,-2055.0
2021-06-17,2021,LONG,375.0,2315.0,-1680.0
2021-06-21,2021,LONG,-370.0,1945.0,-2050.0
2021-06-22,2021,LONG,715.0,2660.0,-1335.0
2021-06-28,2021,LONG,90.0,2750.0,-1245.0
2021-07-02,2021,LONG,300.0,3050.0,-945.0
2021-07-07,2021,SHORT,265.0,3315.0,-680.0
2021-07-08,2021,LONG,-325.0,2990.0,-1005.0
2021-07-09,2021,LONG,-155.0,2835.0,-1160.0
2021-07-13,2021,LONG,-565.0,2270.0,-1725.0
2021-07-15,2021,SHORT,125.0,2395.0,-1600.0
2021-07-16,2021,SHORT,370.0,2765.0,-1230.0
2021-07-20,2021,LONG,415.0,3180.0,-815.0
2021-07-21,2021,LONG,105.0,3285.0,-710.0
2021-07-22,2021,LONG,55.0,3340.0,-655.0
2021-07-23,2021,LONG,-165.0,3175.0,-820.0
2021-07-27,2021,SHORT,175.0,3350.0,-645.0
2021-07-29,2021,LONG,-410.0,2940.0,-1055.0
2021-07-30,2021,LONG,-105.0,2835.0,-1160.0
2021-08-10,2021,SHORT,40.0,2875.0,-1120.0
2021-08-11,2021,SHORT,-145.0,2730.0,-1265.0
2021-08-12,2021,LONG,110.0,2840.0,-1155.0
2021-08-19,2021,LONG,700.0,3540.0,-455.0
2021-08-20,2021,LONG,345.0,3885.0,-110.0
2021-08-23,2021,LONG,-270.0,3615.0,-380.0
2021-08-27,2021,LONG,45.0,3660.0,-335.0
2021-08-30,2021,LONG,-140.0,3520.0,-475.0
2021-09-02,2021,SHORT,245.0,3765.0,-230.0
2021-09-03,2021,LONG,-15.0,3750.0,-245.0
2021-09-08,2021,SHORT,-50.0,3700.0,-295.0
2021-09-10,2021,SHORT,1175.0,4875.0,0.0
2021-09-13,2021,SHORT,-910.0,3965.0,-910.0
2021-09-14,2021,SHORT,620.0,4585.0,-290.0
2021-09-15,2021,LONG,420.0,5005.0,0.0
2021-09-16,2021,LONG,45.0,5050.0,0.0
2021-09-17,2021,SHORT,180.0,5230.0,0.0
2021-09-20,2021,SHORT,-760.0,4470.0,-760.0
2021-09-23,2021,LONG,-240.0,4230.0,-1000.0
2021-09-24,2021,LONG,65.0,4295.0,-935.0
2021-09-28,2021,SHORT,720.0,5015.0,-215.0
2021-10-04,2021,SHORT,830.0,5845.0,0.0
2021-10-05,2021,LONG,-550.0,5295.0,-550.0
2021-10-06,2021,LONG,240.0,5535.0,-310.0
2021-10-12,2021,SHORT,35.0,5570.0,-275.0
2021-10-14,2021,LONG,-180.0,5390.0,-455.0
2021-10-18,2021,LONG,255.0,5645.0,-200.0
2021-10-21,2021,LONG,560.0,6205.0,0.0
2021-10-22,2021,SHORT,175.0,6380.0,0.0
2021-10-25,2021,LONG,-75.0,6305.0,-75.0
2021-10-27,2021,LONG,-830.0,5475.0,-905.0
