date,eligible,reason,n_sec,n_min,primary_sym
2021-01-01,False,no_primary_data,0,0,
2021-01-02,False,no_primary_data,0,0,
2021-01-03,False,no_primary_data,0,0,
2021-01-04,False,gap_missing_min(91p0),0,0,NQH1
2021-01-05,False,gap_missing_min(91p0),0,0,NQH1
2021-01-06,False,gap_missing_min(91p0),0,0,NQH1
2021-01-07,False,gap_missing_min(91p0),0,0,NQH1
2021-01-08,False,gap_missing_min(91p0),0,0,NQH1
2021-01-09,False,no_primary_data,0,0,
2021-01-10,False,no_primary_data,0,0,
2021-01-11,False,gap_missing_min(91p0),0,0,NQH1
2021-01-12,False,gap_missing_min(91p0),0,0,NQH1
2021-01-13,False,gap_missing_min(91p0),0,0,NQH1
2021-01-14,False,gap_missing_min(91p0),0,0,NQH1
2021-01-15,False,gap_missing_min(91p0),0,0,NQH1
2021-01-16,False,no_primary_data,0,0,
2021-01-17,False,no_primary_data,0,0,
2021-01-18,True,ok,1745,91,NQH1
2021-01-19,True,ok,2578,91,NQH1
2021-01-20,True,ok,2654,91,NQH1
2021-01-21,True,ok,2632,91,NQH1
2021-01-22,True,ok,2932,91,NQH1
2021-01-23,False,no_primary_data,0,0,
2021-01-24,False,no_primary_data,0,0,
2021-01-25,True,ok,2946,91,NQH1
2021-01-26,True,ok,2916,91,NQH1
2021-01-27,True,ok,2879,91,NQH1
2021-01-28,True,ok,4381,91,NQH1
2021-01-29,True,ok,4195,91,NQH1
2021-01-30,False,no_primary_data,0,0,
2021-01-31,False,no_primary_data,0,0,
2021-02-01,True,ok,4195,91,NQH1
2021-02-02,True,ok,3667,91,NQH1
2021-02-03,True,ok,3093,91,NQH1
2021-02-04,True,ok,2968,91,NQH1
2021-02-05,True,ok,2441,91,NQH1
2021-02-06,False,no_primary_data,0,0,
2021-02-07,False,no_primary_data,0,0,
2021-02-08,True,ok,2653,91,NQH1
2021-02-09,True,ok,2083,91,NQH1
2021-02-10,True,ok,2766,91,NQH1
2021-02-11,True,ok,2461,91,NQH1
2021-02-12,True,ok,2601,91,NQH1
2021-02-13,False,no_primary_data,0,0,
2021-02-14,False,no_primary_data,0,0,
2021-02-15,True,ok,1700,91,NQH1
2021-02-16,True,ok,2332,91,NQH1
2021-02-17,True,ok,3228,91,NQH1
2021-02-18,True,ok,2982,91,NQH1
2021-02-19,True,ok,3207,91,NQH1
2021-02-20,False,no_primary_data,0,0,
2021-02-21,False,no_primary_data,0,0,
2021-02-22,True,ok,4368,91,NQH1
2021-02-23,True,ok,4488,91,NQH1
2021-02-24,True,ok,4221,91,NQH1
2021-02-25,True,ok,4212,91,NQH1
2021-02-26,True,ok,4674,91,NQH1
2021-02-27,False,no_primary_data,0,0,
2021-02-28,False,no_primary_data,0,0,
2021-03-01,True,ok,3656,91,NQH1
2021-03-02,True,ok,4086,91,NQH1
2021-03-03,True,ok,3251,91,NQH1
2021-03-04,True,ok,4505,91,NQH1
2021-03-05,True,ok,4462,91,NQH1
2021-03-06,False,no_primary_data,0,0,
2021-03-07,False,no_primary_data,0,0,
2021-03-08,True,ok,4148,91,NQH1
2021-03-09,True,ok,4140,91,NQH1
2021-03-10,True,ok,3746,91,NQH1
2021-03-11,True,ok,3825,91,NQH1
2021-03-12,True,ok,3901,91,NQH1
2021-03-13,False,no_primary_data,0,0,
2021-03-14,False,no_primary_data,0,0,
2021-03-15,True,ok,2727,91,NQH1
2021-03-16,True,ok,2440,91,NQM1
2021-03-17,True,ok,2137,91,NQM1
2021-03-18,True,ok,4167,91,NQM1
2021-03-19,True,ok,4000,91,NQM1
2021-03-20,False,no_primary_data,0,0,
2021-03-21,False,no_primary_data,0,0,
2021-03-22,True,ok,3237,91,NQM1
2021-03-23,True,ok,3252,91,NQM1
2021-03-24,True,ok,2879,91,NQM1
2021-03-25,True,ok,2838,91,NQM1
2021-03-26,True,ok,3150,91,NQM1
2021-03-27,False,no_primary_data,0,0,
2021-03-28,False,no_primary_data,0,0,
2021-03-29,True,ok,3707,91,NQM1
2021-03-30,True,ok,3604,91,NQM1
2021-03-31,True,ok,2798,91,NQM1
2021-04-01,True,ok,3395,91,NQM1
2021-04-02,True,ok,987,91,NQM1
2021-04-03,False,no_primary_data,0,0,
2021-04-04,False,no_primary_data,0,0,
2021-04-05,True,ok,1774,91,NQM1
2021-04-06,True,ok,3455,91,NQM1
2021-04-07,True,ok,2842,91,NQM1
2021-04-08,True,ok,2269,91,NQM1
2021-04-09,True,ok,3228,91,NQM1
2021-04-10,False,no_primary_data,0,0,
2021-04-11,False,no_primary_data,0,0,
2021-04-12,True,ok,2824,91,NQM1
2021-04-13,True,ok,2433,91,NQM1
2021-04-14,True,ok,2680,91,NQM1
2021-04-15,True,ok,2920,91,NQM1
2021-04-16,True,ok,2504,91,NQM1
2021-04-17,False,no_primary_data,0,0,
2021-04-18,False,no_primary_data,0,0,
2021-04-19,True,ok,2252,91,NQM1
2021-04-20,True,ok,3279,91,NQM1
2021-04-21,True,ok,3204,91,NQM1
2021-04-22,True,ok,2478,91,NQM1
2021-04-23,True,ok,2746,91,NQM1
2021-04-24,False,no_primary_data,0,0,
2021-04-25,False,no_primary_data,0,0,
2021-04-26,True,ok,2529,91,NQM1
2021-04-27,True,ok,2449,91,NQM1
2021-04-28,True,ok,2902,91,NQM1
2021-04-29,True,ok,2780,91,NQM1
2021-04-30,True,ok,2384,91,NQM1
2021-05-01,False,no_primary_data,0,0,
2021-05-02,False,no_primary_data,0,0,
2021-05-03,True,ok,2480,91,NQM1
2021-05-04,True,ok,2862,91,NQM1
2021-05-05,True,ok,2955,91,NQM1
2021-05-06,True,ok,3041,91,NQM1
2021-05-07,True,ok,2539,91,NQM1
2021-05-08,False,no_primary_data,0,0,
2021-05-09,False,no_primary_data,0,0,
2021-05-10,True,ok,2974,91,NQM1
2021-05-11,True,ok,4267,91,NQM1
2021-05-12,True,ok,3684,91,NQM1
2021-05-13,True,ok,4427,91,NQM1
2021-05-14,True,ok,3121,91,NQM1
2021-05-15,False,no_primary_data,0,0,
2021-05-16,False,no_primary_data,0,0,
2021-05-17,True,ok,3131,91,NQM1
2021-05-18,True,ok,3012,91,NQM1
2021-05-19,True,ok,4307,91,NQM1
2021-05-20,True,ok,3301,91,NQM1
2021-05-21,True,ok,2932,91,NQM1
2021-05-22,False,no_primary_data,0,0,
2021-05-23,False,no_primary_data,0,0,
2021-05-24,True,ok,2702,91,NQM1
2021-05-25,True,ok,2562,91,NQM1
2021-05-26,True,ok,2895,91,NQM1
2021-05-27,True,ok,2855,91,NQM1
2021-05-28,True,ok,2392,91,NQM1
2021-05-29,False,no_primary_data,0,0,
2021-05-30,False,no_primary_data,0,0,
2021-05-31,True,ok,1676,91,NQM1
2021-06-01,True,ok,3019,91,NQM1
2021-06-02,True,ok,2604,91,NQM1
2021-06-03,True,ok,2598,91,NQM1
2021-06-04,True,ok,2924,91,NQM1
2021-06-05,False,no_primary_data,0,0,
2021-06-06,False,no_primary_data,0,0,
2021-06-07,True,ok,3072,91,NQM1
2021-06-08,True,ok,3005,91,NQM1
2021-06-09,True,ok,3151,91,NQM1
2021-06-10,True,ok,3323,91,NQM1
2021-06-11,True,ok,2454,91,NQM1
2021-06-12,False,no_primary_data,0,0,
2021-06-13,False,no_primary_data,0,0,
2021-06-14,True,ok,2090,91,NQU1
2021-06-15,False,symbol_change,0,0,NQM1|NQU1
2021-06-16,True,ok,2112,91,NQU1
2021-06-17,True,ok,3005,91,NQU1
2021-06-18,True,ok,2665,91,NQU1
2021-06-19,False,no_primary_data,0,0,
2021-06-20,False,no_primary_data,0,0,
2021-06-21,True,ok,4300,91,NQU1
2021-06-22,True,ok,3305,91,NQU1
