td,year,tf,direction,freeze_end,price_end,slope_pm,w2s,atr14,slope_norm
2021-01-12,2021,5,up,1055,12904.662,0.185,25.613,221.07,0.0418
2021-01-12,2021,5,up,1225,12896.946,0.342857,17.446,221.07,0.0543
2021-01-12,2021,5,dn,1115,12788.75,-1.416667,42.75,221.07,-0.4806
2021-01-12,2021,5,dn,1245,12888.375,-0.15,18.875,221.07,-0.0237
2021-01-12,2021,5,dn,1270,12865.175,-0.71,21.825,221.07,-0.0803
2021-01-13,2021,5,up,1040,12948.938,0.525,41.188,218.41,0.1683
2021-01-13,2021,5,up,1175,12964.616,0.042593,24.023,218.41,0.0263
2021-01-13,2021,5,up,1280,12981.839,0.054762,12.732,218.41,0.0263
2021-01-13,2021,5,dn,1135,12961.217,-0.113333,24.667,218.41,-0.0389
2021-01-13,2021,5,dn,1310,12973.982,-0.335714,21.268,218.41,-0.1076
2021-01-14,2021,5,up,1155,12961.292,0.108333,25.083,215.4,0.0151
2021-01-14,2021,5,up,1240,12952.146,0.041667,12.979,215.4,0.0058
2021-01-14,2021,5,dn,1110,12986.0,-0.1,33.25,215.4,-0.0673
2021-01-14,2021,5,dn,1145,12953.554,-0.592857,28.946,215.4,-0.0963
2021-01-14,2021,5,dn,1220,12952.5,-0.05,11.75,215.4,-0.007
2021-01-14,2021,5,dn,1245,12949.7,-0.11,12.6,215.4,-0.0128
2021-01-14,2021,5,dn,1300,12906.932,-0.859091,28.318,215.4,-0.2194
2021-01-15,2021,5,up,1080,12828.677,0.620833,54.135,210.19,0.1772
2021-01-15,2021,5,up,1140,12846.6,0.23,16.35,210.19,0.0274
2021-01-15,2021,5,up,1180,12874.844,0.6875,22.469,210.19,0.1308
2021-01-15,2021,5,dn,1045,12791.125,-0.2,50.625,210.19,-0.0428
2021-01-15,2021,5,dn,1245,12848.625,-0.415,17.6,210.19,-0.0987
2021-01-15,2021,5,dn,1285,12822.938,-0.73125,25.906,210.19,-0.1392
2021-01-19,2021,5,up,1220,12970.943,0.525714,28.943,209.23,0.4397
2021-01-19,2021,5,up,1280,12994.438,0.241667,15.688,209.23,0.0693
2021-01-19,2021,5,dn,1055,12868.625,-0.3,23.875,209.23,-0.0717
2021-01-20,2021,5,up,1060,13234.143,0.178571,23.536,215.83,0.029
2021-01-20,2021,5,up,1100,13248.469,0.1125,12.719,215.83,0.0209
2021-01-20,2021,5,up,1195,13282.763,0.368421,17.263,215.83,0.1622
2021-01-20,2021,5,up,1265,13315.062,0.725,12.562,215.83,0.1344
2021-01-21,2021,5,up,1040,13381.639,0.338889,16.194,232.81,0.0655
2021-01-21,2021,5,up,1200,13354.667,0.066667,32.583,232.81,0.0301
2021-01-21,2021,5,up,1255,13391.148,0.286364,15.148,232.81,0.0677
2021-01-21,2021,5,up,1285,13403.042,0.241667,9.833,232.81,0.0311
2021-01-21,2021,5,dn,1080,13359.312,-0.541667,19.938,232.81,-0.0698
