date,pnl,side,day_move
2021-04-09,520.0,1,82.00
2021-04-13,420.0,1,92.25
2021-04-14,-545.0,-1,-176.75
2021-04-15,-295.0,1,72.25
2021-04-19,435.0,-1,-79.00
2021-04-20,-865.0,-1,-130.50
2021-04-21,330.0,1,108.50
2021-04-22,505.0,-1,-139.50
2021-04-23,35.0,1,184.25
2021-04-26,-560.0,1,87.50
2021-04-27,-150.0,-1,-66.25
2021-04-29,415.0,-1,-74.50
2021-05-03,280.0,-1,-102.00
2021-05-04,135.0,-1,-204.25
2021-05-05,1250.0,-1,-86.50
2021-05-10,-270.0,-1,-265.00
2021-05-11,570.0,1,217.25
2021-05-12,555.0,-1,-97.25
2021-05-14,-290.0,1,184.75
2021-05-19,1235.0,1,163.75
2021-05-20,285.0,1,213.50
2021-05-21,-145.0,-1,-109.50
2021-05-24,-205.0,1,170.00
2021-06-04,-165.0,1,165.00
2021-06-10,-235.0,1,125.75
2021-06-14,205.0,1,48.00
2021-06-15,110.0,-1,-87.25
2021-06-16,-1620.0,-1,-133.75
2021-06-17,375.0,1,229.75
2021-06-21,-370.0,1,75.00
2021-06-22,715.0,1,117.75
2021-06-28,90.0,1,109.75
2021-07-02,300.0,1,61.25
2021-07-07,265.0,-1,-56.25
2021-07-08,-325.0,1,114.75
2021-07-09,-155.0,1,127.25
2021-07-13,-565.0,1,50.75
2021-07-15,125.0,-1,-115.50
2021-07-16,370.0,-1,-123.25
2021-07-20,415.0,1,160.25
2021-07-21,105.0,1,85.75
2021-07-22,55.0,1,83.00
2021-07-23,-165.0,1,115.25
2021-07-27,175.0,-1,-185.50
2021-07-29,-410.0,1,70.50
2021-07-30,-105.0,1,85.00
2021-08-10,40.0,-1,-91.75
2021-08-11,-145.0,-1,-84.75
2021-08-12,110.0,1,76.00
2021-08-19,700.0,1,161.25
2021-08-20,345.0,1,92.25
2021-08-23,-270.0,1,206.25
2021-08-27,45.0,1,132.50
2021-08-30,-140.0,1,161.75
2021-09-02,245.0,-1,-69.75
2021-09-03,-15.0,1,98.25
2021-09-08,-50.0,-1,-62.50
2021-09-10,1175.0,-1,-95.75
2021-09-13,-910.0,-1,-164.25
2021-09-14,620.0,-1,-107.75
2021-09-15,420.0,1,71.75
2021-09-16,45.0,1,51.50
2021-09-17,180.0,-1,-176.75
2021-09-20,-760.0,-1,-237.75
2021-09-23,-240.0,1,119.25
2021-09-24,65.0,1,96.00
2021-09-28,720.0,-1,-155.75
2021-10-04,830.0,-1,-254.75
2021-10-05,-550.0,1,226.50
2021-10-06,240.0,1,182.25
2021-10-12,35.0,-1,-89.75
2021-10-14,-180.0,1,120.00
2021-10-18,255.0,1,189.50
2021-10-21,560.0,1,94.00
2021-10-22,175.0,-1,-75.75
2021-10-25,-75.0,1,112.25
2021-10-27,-830.0,1,111.25
2021-10-28,-65.0,1,72.50
2021-10-29,-35.0,1,155.75
2021-11-02,80.0,1,83.75
2021-11-03,260.0,1,102.25
2021-11-04,15.0,1,149.00
2021-11-09,385.0,-1,-158.25
2021-11-10,-1085.0,-1,-176.50
2021-11-11,190.0,-1,-63.00
2021-11-12,455.0,1,103.25
2021-11-15,-460.0,-1,-66.00
2021-11-16,-140.0,1,151.75
2021-11-22,410.0,-1,-67.75
2021-11-23,30.0,-1,-85.00
2021-11-24,540.0,1,126.50
2021-11-29,185.0,1,162.50
2021-11-30,515.0,-1,-204.00
2021-12-01,3135.0,-1,-207.50
2021-12-02,-225.0,1,173.75
