name,family,h,dir,n,mean,median,q25,q75,wr,hit100,hit150,hit200,cond_minus_uncond_raw,dir_edge_vs_base,note
C1_hyg_r5_botdecile,credit,3,-1,515,-22.96504854368932,-15.5,-121.5,66.375,0.44854368932038835,0.46601941747572817,0.36310679611650487,0.29514563106796116,11.857190356554817,-11.857190356554817,HYG 5d ret in bottom 10% -> credit stress -> short
C2_hyglqd_r5_botdecile,credit,3,-1,485,-38.07061855670103,-27.0,-127.25,42.75,0.3938144329896907,0.38969072164948454,0.27835051546391754,0.1979381443298969,26.962760369566524,-26.962760369566524,HY/IG ratio 5d in bottom 10% (spread widening) -> short
C3_hyg_vs_spy_neg,credit,3,-1,502,-18.33565737051793,-16.0,-73.75,48.75,0.4103585657370518,0.36254980079681276,0.2589641434262948,0.19721115537848605,7.227799183383425,-7.227799183383425,credit lagging equity (bottom 10%) -> short
C4_hyglqd_z_low,credit,3,-1,684,-43.215643274853804,-31.625,-115.5,46.5,0.40789473684210525,0.3757309941520468,0.2675438596491228,0.18859649122807018,32.1077850877193,-32.1077850877193,HY/IG ratio z<-1.5 -> short
C5_hyg_r10_botdecile,credit,3,-1,553,1.4452983725135624,-7.0,-99.25,81.25,0.47739602169981915,0.4376130198915009,0.352622061482821,0.2857142857142857,-12.553156559648066,12.553156559648066,HYG 10d ret bottom 10% -> short
C6_hyg_r5_topdecile_long,credit,3,1,457,31.13293216630197,21.25,-44.0,95.5,0.6017505470459519,0.38293216630196936,0.3085339168490153,0.2363238512035011,20.025073979167466,20.025073979167466,HYG 5d ret top 10% -> risk-on -> long
R1_corr_pos_bondsdown,rates,3,-1,1654,-5.305925030229746,-9.375,-51.25,36.1875,0.43893591293833134,0.2762998790810157,0.20737605804111245,0.17654171704957677,-5.801933156904758,5.801933156904758,stock-bond corr>0 & bonds falling -> risk-parity unwind -> short
R2_corr_pos,rates,3,-1,850,-20.495,-15.625,-68.9375,36.9375,0.40705882352941175,0.30823529411764705,0.22470588235294117,0.17882352941176471,9.387141812865497,-9.387141812865497,"corr(NQ,TLT,40d)>0.2 -> both-fall regime risk -> short"
R3_tlt_spike_up,rates,3,-1,604,-28.30587748344371,-19.0,-80.0625,31.625,0.3956953642384106,0.2947019867549669,0.21026490066225165,0.15728476821192053,17.198019296309205,-17.198019296309205,TLT 3d spike up (flight to safety) -> short
R4_tlt_dump,rates,3,-1,615,-13.471138211382113,-12.25,-51.875,33.375,0.4195121951219512,0.26991869918699185,0.2048780487804878,0.17073170731707318,2.3632800242476097,-2.3632800242476097,TLT 3d dump (yield spike) -> short
