name,family,dir,note,n,full_pct_mean,full_pct_med,pos_years,tot_years,year_consistency,base_dir_pct,e18_n,e18_pts_med,e18_hit100,e18_hit150,e21_n,e21_pts_mean,e21_pts_med,e21_hit100,e21_hit150,e21_hit200,e21_mae_med,placebo_pctile,real_pct_2010,placebo_mean
C4_hyglqd_z_low,credit,-1,HY/IG ratio z<-1.5 (credit spread widening),684,-0.6899999158309887,-0.8681371848673902,4,20,0.2,-0.23671293862885517,298,-158.5,0.6510067114093959,0.5436241610738255,167,-179.47005988023952,-182.75,0.7005988023952096,0.5988023952095808,0.5329341317365269,-390.75,0.0,-0.7807079807966602,-0.3583371546702772
C2_hyglqd_r5_bot10,credit,-1,HY/IG ratio 5d bottom decile,485,-0.7734082224184189,-1.0404624277456698,2,20,0.1,-0.23671293862885517,224,-140.0,0.6830357142857143,0.5848214285714286,125,-128.504,-166.5,0.76,0.672,0.56,-426.75,0.0,-0.8923011373092912,-0.35502535439704663
C6_hyg_r5_top10_LONG,credit,1,HYG 5d ret top decile (credit risk-on),457,0.5455247672021895,0.8168822328114445,15,20,0.75,0.23671293862885517,228,119.375,0.8026315789473685,0.7149122807017544,137,104.90328467153284,145.0,0.8394160583941606,0.7664233576642335,0.6934306569343066,-272.5,0.9595,0.5971580526579086,0.3590938294842479
V4_vix_top_decile,vol,-1,VIX in top decile of trailing 1y,758,-0.7238210838018568,-1.0367505251804188,3,24,0.125,-0.23671293862885517,269,-135.25,0.7955390334572491,0.7137546468401487,155,-167.98387096774192,-230.0,0.8774193548387097,0.8064516129032258,0.7612903225806451,-481.5,0.0,-0.9586947617123778,-0.3582948305944374
V2_vix_spike,vol,-1,VIX 5d change top decile,726,-0.26402857636258054,-0.6997761438317762,6,27,0.2222222222222222,-0.23671293862885517,241,-109.5,0.8008298755186722,0.7178423236514523,142,-146.0281690140845,-188.5,0.8732394366197183,0.8169014084507042,0.7323943661971831,-428.125,0.002,-0.6961077786844648,-0.35681561938979883
X1_riskoff_top10,composite,-1,macro stress composite top decile,701,-0.44297967964289914,-0.703539344084847,5,27,0.18518518518518517,-0.23671293862885517,235,-151.25,0.7574468085106383,0.6382978723404256,152,-150.64144736842104,-189.875,0.8157894736842105,0.6842105263157895,0.6118421052631579,-385.25,0.001,-0.7330413111232407,-0.3545926165823487
X3_riskoff_z2,composite,-1,macro stress composite z>2,245,-0.5786347210123827,-0.997899159663862,5,26,0.19230769230769232,-0.23671293862885517,80,-156.75,0.7875,0.7125,40,-130.5875,-237.625,0.825,0.8,0.75,-430.25,0.0015,-0.9428043758098233,-0.35056117103422263
X4_riskoff_bot10_LONG,composite,1,risk-on composite bottom decile,654,0.24583334692430744,0.5793857820648451,17,27,0.6296296296296297,0.23671293862885517,217,84.25,0.8341013824884793,0.6912442396313364,137,90.14233576642336,106.0,0.8613138686131386,0.7737226277372263,0.708029197080292,-289.25,0.922,0.5329787960876031,0.3580668684431082
M2_gld_vs_spy,xasset,-1,gold outperforming SPY top decile (fear bid),596,-0.39285587816133394,-0.8257202727523394,6,22,0.2727272727272727,-0.23671293862885517,247,-166.25,0.7692307692307693,0.7125506072874493,156,-165.61378205128204,-231.375,0.8076923076923077,0.75,0.6987179487179487,-428.625,0.0005,-0.7765964216283112,-0.35680571529602856
M3_btc_weak,xasset,-1,BTC 5d bottom decile (risk appetite off),358,-0.5936479608715142,-0.7857601419963278,5,15,0.3333333333333333,-0.23671293862885517,224,-88.125,0.7455357142857143,0.6696428571428571,155,-128.45806451612904,-168.25,0.7935483870967742,0.7161290322580646,0.6451612903225806,-370.75,0.037,-0.5936479608715142,-0.3559001727721734
B1_iwm_vs_spy_neg,breadth,-1,small caps lagging SPY bottom decile,676,-0.7135263972796517,-0.7155517971928704,3,27,0.1111111111111111,-0.23671293862885517,230,-80.625,0.7565217391304347,0.6391304347826087,141,-120.03191489361703,-80.0,0.8297872340425532,0.7021276595744681,0.624113475177305,-368.0,0.001,-0.7466917123712128,-0.3550757253764335
R3_tlt_spike_up,rates,-1,TLT 3d spike top decile (flight to safety),604,-0.6146725829139379,-0.8846037877977442,6,24,0.25,-0.23671293862885517,222,-146.5,0.6801801801801802,0.5900900900900901,137,-152.08211678832117,-217.25,0.6934306569343066,0.6058394160583942,0.5255474452554745,-416.25,0.0,-0.74303951063832,-0.35502535439704663
M5_nq_dip_LONG,xasset,1,NQ 2sd below 20d mean (mean-revert),299,0.9807673177967208,0.9047652298821873,21,27,0.7777777777777778,0.23671293862885517,92,86.75,0.9565217391304348,0.8804347826086957,67,173.66417910447763,38.75,0.9850746268656716,0.8805970149253731,0.7910447761194029,-401.5,1.0,1.2329293683990814,0.3510614628099812
