date,nq_open,nq_high,nq_low,nq_close,spy_close,vix_close,tlt_close,ief_close,hyg_close,lqd_close,uup_close,dxy_close,gld_close,iwm_close,btc_close
1999-06-29,2293.5,2348.5,2268.5,2325.5,134.5625,22.51,,,,,,102.91,,,
1999-06-30,2326.0,2357.0,2295.0,2347.5,137.0,21.09,,,,,,103.69,,,
1999-07-05,2383.5,2410.0,2376.5,2396.0,139.40625,18.66,,,,,,103.79,,,
1999-07-06,2365.0,2367.5,2341.0,2352.0,139.375,20.73,,,,,,104.01,,,
1999-07-07,2368.0,2405.0,2350.5,2388.0,139.5625,20.35,,,,,,104.08,,,
1999-07-08,2395.0,2405.5,2384.0,2398.0,139.67187,19.47,,,,,,104.33,,,
1999-07-11,2423.0,2437.0,2389.0,2422.0,140.5,17.96,,,,,,104.64,,,
1999-07-12,2394.0,2399.0,2372.5,2382.0,139.875,19.73,,,,,,104.3,,,
1999-07-13,2397.5,2426.5,2382.0,2424.0,139.375,19.95,,,,,,103.97,,,
1999-07-14,2434.0,2453.5,2428.5,2448.0,140.15625,19.71,,,,,,103.96,,,
1999-07-15,2448.0,2489.0,2446.5,2484.0,141.04687,18.68,,,,,,104.05,,,
1999-07-18,2475.5,2489.0,2442.0,2449.5,141.8125,17.42,,,,,,103.07,,,
1999-07-19,2402.0,2406.0,2358.5,2369.5,140.875,19.07,,,,,,102.38,,,
1999-07-20,2356.5,2387.5,2342.0,2353.0,137.98437,21.79,,,,,,101.65,,,
1999-07-21,2316.0,2324.5,2299.0,2312.0,137.82812,21.46,,,,,,101.32,,,
1999-07-22,2325.0,2333.0,2283.5,2303.0,136.01562,23.05,,,,,,101.4,,,
1999-07-25,2281.0,2302.0,2265.5,2268.0,135.75,23.32,,,,,,100.68,,,
1999-07-26,2276.0,2328.5,2274.0,2325.5,134.75,24.98,,,,,,100.81,,,
1999-07-27,2319.5,2353.0,2292.0,2334.5,135.875,23.23,,,,,,100.46,,,
1999-07-28,2326.0,2329.0,2269.0,2284.5,136.3125,22.85,,,,,,99.73,,,
1999-07-29,2304.0,2327.0,2282.0,2294.0,134.40625,24.52,,,,,,99.68,,,
1999-08-01,2266.5,2325.0,2260.5,2310.5,132.75,24.64,,,,,,99.77,,,
1999-08-02,2282.0,2302.5,2224.0,2261.5,133.0625,25.59,,,,,,99.82,,,
1999-08-03,2262.0,2273.5,2233.0,2247.0,132.4375,26.27,,,,,,99.23,,,
1999-08-04,2207.0,2241.5,2164.5,2226.0,130.625,27.4,,,,,,99.29,,,
1999-08-05,2251.0,2273.5,2215.0,2224.5,131.8125,27.01,,,,,,99.65,,,
1999-08-08,2236.0,2244.0,2206.0,2227.0,130.375,26.6,,,,,,100.02,,,
1999-08-09,2142.0,2167.0,2132.0,2159.0,130.09375,27.66,,,,,,99.55,,,
1999-08-10,2197.0,2230.0,2184.5,2226.5,128.65625,28.45,,,,,,100.18,,,
1999-08-11,2248.5,2272.5,2234.0,2238.0,130.21875,25.39,,,,,,100.25,,,
1999-08-12,2217.5,2302.5,2214.0,2297.5,130.14062,25.03,,,,,,100.69,,,
1999-08-15,2318.0,2348.0,2307.0,2313.0,133.15625,22.31,,,,,,100.63,,,
1999-08-16,2330.0,2359.0,2289.0,2334.5,133.75,23.07,,,,,,100.82,,,
1999-08-17,2350.0,2363.5,2320.0,2323.5,134.625,21.67,,,,,,100.59,,,
1999-08-18,2322.0,2326.5,2278.0,2302.0,133.65625,23.3,,,,,,99.76,,,
1999-08-19,2295.5,2313.5,2282.5,2308.0,132.5625,24.39,,,,,,99.68,,,
1999-08-22,2337.0,2372.0,2335.5,2363.0,133.90625,22.95,,,,,,100.76,,,
1999-08-23,2388.0,2444.5,2379.5,2405.0,136.46875,22.55,,,,,,100.64,,,
1999-08-24,2415.0,2476.5,2406.5,2470.5,136.96875,22.4,,,,,,101.31,,,
1999-08-25,2470.0,2477.5,2425.0,2428.0,138.375,20.96,,,,,,101.16,,,
1999-08-26,2425.0,2449.0,2399.5,2405.0,136.71875,21.21,,,,,,101.08,,,
1999-08-29,2405.0,2421.0,2363.0,2374.0,135.0625,21.83,,,,,,100.91,,,
1999-08-30,2379.0,2409.0,2332.5,2395.5,132.5625,24.63,,,,,,100.03,,,
1999-08-31,2395.0,2432.0,2389.0,2414.5,132.0625,24.45,,,,,,99.8,,,
1999-09-01,2413.5,2416.5,2362.0,2401.5,133.6875,22.93,,,,,,99.26,,,
1999-09-02,2403.5,2513.0,2396.0,2513.0,132.10937,24.53,,,,,,99.79,,,
1999-09-06,2531.0,2531.0,2497.0,2502.5,135.96875,20.98,,,,,,99.99,,,
1999-09-07,2500.0,2508.5,2456.0,2469.0,135.46875,23.44,,,,,,99.89,,,
1999-09-08,2465.0,2507.0,2454.0,2506.0,134.8125,23.82,,,,,,99.59,,,
1999-09-09,2505.0,2564.0,2502.0,2537.0,134.75,23.01,,,,,,100.95,,,
1999-09-12,2540.0,2550.0,2487.5,2495.5,135.875,22.03,,,,,,100.34,,,
1999-09-13,2529.0,2561.0,2509.5,2545.0,134.95312,22.89,,,,,,100.74,,,
1999-09-14,2544.0,2579.5,2491.0,2494.0,134.0625,23.77,,,,,,100.23,,,
1999-09-15,2493.0,2513.0,2442.5,2494.0,131.9375,24.56,,,,,,100.26,,,
1999-09-16,2497.0,2574.0,2492.5,2568.5,132.45312,25.25,,,,,,100.4,,,
1999-09-19,2585.0,2588.0,2551.0,2570.0,133.75,23.3,,,,,,100.62,,,
1999-09-20,2578.0,2578.0,2503.0,2510.0,133.5625,24.03,,,,,,99.56,,,
1999-09-21,2510.0,2548.5,2483.0,2538.0,130.75,25.65,,,,,,99.76,,,
1999-09-22,2537.0,2567.0,2415.5,2434.0,130.60156,25.19,,,,,,99.57,,,
1999-09-23,2433.0,2439.5,2375.0,2426.0,127.875,27.84,,,,,,99.54,,,
1999-09-26,2427.0,2486.5,2427.0,2451.5,127.75,27.79,,,,,,99.71,,,
1999-09-27,2451.0,2470.0,2386.0,2463.0,128.59375,26.4,,,,,,99.17,,,
1999-09-28,2464.0,2476.5,2415.0,2417.0,128.34375,26.06,,,,,,98.78,,,
1999-09-29,2417.0,2462.5,2405.0,2439.5,126.8125,26.49,,,,,,98.5,,,
1999-09-30,2436.5,2440.0,2379.5,2431.5,128.75,25.41,,,,,,98.0,,,
1999-10-03,2431.5,2499.5,2424.5,2498.5,128.46875,24.93,,,,,,98.08,,,
1999-10-04,2496.0,2535.5,2458.0,2508.0,130.75,24.46,,,,,,98.0,,,
1999-10-05,2504.5,2559.0,2501.0,2555.5,130.625,24.79,,,,,,98.46,,,
1999-10-06,2555.5,2599.0,2533.0,2552.0,132.625,22.06,,,,,,98.4,,,
1999-10-07,2550.0,2580.0,2505.0,2578.0,131.875,23.58,,,,,,98.96,,,
1999-10-10,2578.0,2611.5,2568.0,2608.0,133.875,20.49,,,,,,98.72,,,
1999-10-11,2609.0,2617.0,2545.5,2556.0,133.65625,20.63,,,,,,97.91,,,
1999-10-12,2532.0,2554.5,2465.5,2474.0,131.59375,22.84,,,,,,97.89,,,
1999-10-13,2486.0,2508.0,2445.0,2492.0,128.1875,25.96,,,,,,97.94,,,
1999-10-14,2495.0,2498.5,2405.0,2416.0,128.15625,26.05,,,,,,97.09,,,
1999-10-17,2406.5,2437.0,2318.5,2381.0,124.875,28.75,,,,,,97.4,,,
1999-10-18,2380.5,2424.0,2359.5,2385.0,125.78125,28.19,,,,,,97.43,,,
1999-10-19,2396.0,2492.0,2396.0,2472.5,127.0,26.56,,,,,,98.11,,,
1999-10-20,2470.5,2514.0,2413.0,2513.0,128.25,23.9,,,,,,97.52,,,
1999-10-21,2511.0,2547.0,2493.0,2496.5,129.0,24.02,,,,,,98.43,,,
1999-10-24,2497.5,2528.0,2470.0,2501.0,130.09375,21.64,,,,,,98.32,,,
1999-10-25,2499.5,2545.0,2476.0,2476.0,129.4375,23.6,,,,,,98.79,,,
1999-10-26,2475.0,2489.0,2438.0,2478.0,127.8125,24.26,,,,,,99.25,,,
1999-10-27,2478.0,2564.5,2457.0,2562.0,130.125,24.2,,,,,,99.37,,,
1999-10-28,2560.0,2672.0,2551.0,2655.5,134.5625,21.34,,,,,,99.07,,,
1999-10-31,2650.0,2682.5,2633.0,2639.0,137.0,22.2,,,,,,99.3,,,
1999-11-01,2633.0,2684.5,2626.5,2643.0,135.5625,22.09,,,,,,99.3,,,
1999-11-02,2641.0,2705.5,2640.0,2695.0,134.59375,23.1,,,,,,99.22,,,
1999-11-03,2693.5,2732.0,2692.0,2723.0,135.5,23.16,,,,,,99.52,,,
1999-11-04,2723.0,2784.0,2710.0,2784.0,136.53125,23.0,,,,,,100.33,,,
1999-11-07,2750.5,2810.0,2740.5,2808.0,137.875,21.66,,,,,,100.35,,,
1999-11-08,2805.0,2847.5,2753.0,2785.0,138.0,21.87,,,,,,100.35,,,
1999-11-09,2786.0,2839.0,2770.0,2818.5,136.70312,22.7,,,,,,100.22,,,
1999-11-10,2810.5,2869.0,2810.5,2866.5,137.71875,22.26,,,,,,99.9,,,
1999-11-11,2864.0,2910.0,2802.0,2905.0,138.5,22.07,,,,,,100.06,,,
1999-11-14,2908.5,2918.0,2883.5,2898.5,139.75,21.65,,,,,,100.68,,,
1999-11-15,2892.0,2984.0,2889.0,2976.0,140.07812,22.74,,,,,,100.68,,,
1999-11-16,2920.0,2985.0,2920.0,2931.0,141.25,20.73,,,,,,100.77,,,
1999-11-17,2929.5,3021.0,2923.5,3018.0,141.5625,20.96,,,,,,100.14,,,
1999-11-18,3015.0,3049.0,2992.5,3043.5,142.625,19.76,,,,,,101.03,,,
1999-11-21,3052.0,3069.5,3019.0,3065.5,142.49609,19.11,,,,,,100.68,,,
1999-11-22,3066.0,3078.0,2982.5,3013.0,142.46875,19.98,,,,,,100.68,,,
1999-11-23,3011.0,3123.0,2990.0,3119.0,141.21875,21.0,,,,,,100.83,,,
1999-11-25,3119.5,3165.0,3112.5,3121.0,142.0625,20.26,,,,,,101.61,,,
1999-11-28,3124.0,3142.5,3067.0,3068.0,141.375,22.33,,,,,,101.95,,,
1999-11-29,3071.0,3079.0,2968.0,2972.0,140.9375,23.57,,,,,,101.95,,,
1999-11-30,2971.0,3030.0,2961.5,3013.5,139.39062,24.18,,,,,,101.96,,,
1999-12-01,3015.5,3115.0,3010.5,3111.0,140.40625,22.23,,,,,,102.13,,,
1999-12-02,3110.0,3218.5,3094.0,3174.0,141.25,21.77,,,,,,102.63,,,
1999-12-05,3174.5,3229.0,3157.0,3203.0,143.84375,19.32,,,,,,101.13,,,
1999-12-06,3200.0,3227.0,3160.5,3209.5,142.78125,20.58,,,,,,101.13,,,
1999-12-07,3205.0,3228.0,3160.0,3165.5,141.625,21.09,,,,,,100.76,,,
1999-12-08,3162.0,3223.5,3105.0,3169.0,140.71875,21.25,,,,,,100.73,,,
1999-12-09,3160.0,3220.0,3131.0,3207.0,141.40625,21.19,,,,,,101.05,,,
1999-12-12,3213.0,3277.0,3176.0,3247.0,141.875,21.48,,,,,,101.64,,,
1999-12-13,3285.0,3324.0,3210.5,3224.5,142.125,21.72,,,,,,101.64,,,
1999-12-14,3226.0,3287.0,3169.0,3280.5,140.75,23.06,,,,,,102.4,,,
1999-12-15,3282.0,3383.0,3276.0,3382.0,141.48437,22.03,,,,,,102.39,,,
1999-12-16,3383.0,3458.5,3379.0,3413.5,142.125,21.91,,,,,,101.58,,,
1999-12-19,3439.0,3439.0,3439.0,3439.0,142.6875,21.35,,,,,,101.8,,,
1999-12-20,3439.0,3597.5,3431.5,3592.0,141.65625,23.78,,,,,,101.8,,,
1999-12-21,3594.0,3626.0,3549.5,3618.5,143.8125,22.66,,,,,,101.94,,,
1999-12-22,3613.5,3682.0,3599.5,3636.0,144.1875,22.43,,,,,,101.91,,,
1999-12-26,3635.5,3678.5,3566.0,3641.0,146.48437,21.12,,,,,,101.52,,,
1999-12-27,3635.0,3674.0,3596.0,3622.0,146.28125,23.07,,,,,,101.52,,,
1999-12-28,3621.5,3748.0,3611.5,3744.5,146.1875,22.97,,,,,,101.95,,,
1999-12-29,3744.5,3804.5,3720.0,3735.0,146.8125,23.09,,,,,,101.99,,,
1999-12-30,3728.5,3772.0,3722.5,3754.0,146.64062,23.91,,,,,,101.88,,,
2000-01-02,3750.0,3895.0,3681.0,3837.5,146.875,23.4,,,,,,100.36,,,
2000-01-03,3838.5,3842.5,3525.0,3559.5,145.4375,24.21,,,,,,100.36,,,
2000-01-04,3557.5,3618.0,3395.0,3508.0,139.75,27.01,,,,,,100.41,,,
2000-01-05,3493.0,3553.0,3282.5,3315.5,140.0,26.41,,,,,,100.43,,,
2000-01-06,3284.5,3574.5,3257.0,3562.0,137.75,25.73,,,,,,100.51,,,
2000-01-09,3561.0,3804.5,3554.5,3766.0,145.75,21.72,,,,,,100.97,,,
2000-01-10,3765.0,3766.0,3542.0,3582.0,146.25,21.71,,,,,,100.97,,,
2000-01-11,3576.0,3615.0,3476.0,3508.0,144.3125,22.5,,,,,,100.56,,,
2000-01-12,3508.0,3651.0,3502.0,3644.0,143.0625,22.84,,,,,,100.64,,,
2000-01-13,3660.0,3785.0,3645.0,3752.5,145.0,21.71,,,,,,100.99,,,
2000-01-17,3743.0,3819.5,3669.5,3800.0,146.96875,19.66,,,,,,101.73,,,
2000-01-18,3800.5,3850.5,3741.0,3844.5,145.8125,21.5,,,,,,101.79,,,
2000-01-19,3847.0,3913.0,3811.0,3880.0,146.25,21.72,,,,,,101.74,,,
2000-01-20,3870.0,3914.0,3824.0,3893.0,144.75,21.75,,,,,,101.36,,,
2000-01-23,3891.5,3938.0,3675.5,3681.0,144.4375,20.82,,,,,,102.16,,,
2000-01-24,3675.0,3797.0,3606.5,3788.5,140.34375,24.07,,,,,,102.16,,,
2000-01-25,3775.0,3787.5,3637.5,3654.5,141.9375,23.02,,,,,,102.41,,,
2000-01-26,3628.5,3734.0,3526.0,3636.0,140.8125,23.03,,,,,,102.47,,,
2000-01-27,3640.5,3685.0,3409.0,3475.0,140.25,23.54,,,,,,103.19,,,
2000-01-30,3462.0,3620.0,3371.0,3612.5,135.875,26.14,,,,,,105.07,,,
2000-01-31,3606.5,3735.0,3564.0,3723.5,139.625,24.95,,,,,,105.07,,,
2000-02-01,3719.5,3816.0,3692.0,3734.0,140.9375,23.45,,,,,,104.94,,,
2000-02-02,3734.0,3892.5,3713.0,3892.5,141.0625,23.12,,,,,,104.76,,,
2000-02-03,3888.0,3960.0,3861.0,3906.5,143.1875,22.01,,,,,,103.74,,,
2000-02-06,3906.5,3958.5,3875.5,3957.0,142.59375,21.54,,,,,,104.59,,,
2000-02-07,3944.5,4098.5,3942.0,4095.0,142.375,22.79,,,,,,104.59,,,
2000-02-08,4100.0,4144.0,3976.5,3976.5,144.3125,21.25,,,,,,104.18,,,
2000-02-09,3971.0,4116.0,3968.0,4112.0,141.28125,22.9,,,,,,103.64,,,
2000-02-10,4109.0,4140.0,3950.0,3992.5,141.5625,23.07,,,,,,104.15,,,
2000-02-13,3983.5,4028.0,3934.0,4003.5,138.6875,24.42,,,,,,104.8,,,
2000-02-14,3999.5,4050.0,3861.0,4036.5,139.5,24.38,,,,,,104.8,,,
2000-02-15,4034.5,4087.0,3995.0,4020.5,141.09375,22.92,,,,,,104.71,,,
2000-02-16,4026.0,4146.0,4011.0,4106.5,139.1875,23.51,,,,,,104.23,,,
2000-02-17,4110.0,4141.0,3962.5,3968.0,138.28125,23.17,,,,,,104.26,,,
2000-02-21,3954.5,4018.0,3865.5,3967.5,135.3125,26.0,,,,,,104.61,,,
2000-02-22,3977.0,4218.0,3962.0,4187.5,134.96875,25.86,,,,,,103.33,,,
2000-02-23,4189.5,4292.5,4106.5,4292.5,136.5625,23.89,,,,,,103.48,,,
2000-02-24,4283.5,4316.0,4130.0,4194.0,133.8125,24.38,,,,,,104.09,,,
2000-02-27,4182.5,4243.0,4029.0,4158.0,133.32812,25.2,,,,,,105.34,,,
2000-02-28,4164.5,4301.0,4158.5,4301.0,136.125,24.68,,,,,,105.34,,,
2000-02-29,4298.0,4353.0,4273.0,4325.5,137.4375,23.37,,,,,,105.96,,,
2000-03-01,4325.0,4338.0,4204.0,4225.0,138.4375,21.64,,,,,,104.9,,,
2000-03-02,4230.0,4458.0,4210.0,4454.5,138.53125,21.06,,,,,,105.75,,,
2000-03-05,4447.0,4541.0,4431.0,4497.5,141.125,19.21,,,,,,106.2,,,
2000-03-06,4483.5,4570.5,4361.0,4392.5,139.8125,21.5,,,,,,106.2,,,
2000-03-07,4387.5,4465.0,4272.0,4457.5,137.04687,24.31,,,,,,106.08,,,
2000-03-08,4457.0,4615.0,4376.5,4608.0,136.875,23.82,,,,,,105.93,,,
2000-03-09,4600.0,4668.0,4555.0,4605.0,140.875,22.21,,,,,,105.4,,,
2000-03-12,4590.0,4597.0,4420.5,4464.0,140.1875,21.24,,,,,,105.44,,,
2000-03-13,4510.5,4604.0,4282.0,4300.0,138.59375,22.85,,,,,,105.44,,,
2000-03-14,4298.5,4357.0,4145.5,4164.0,136.625,24.41,,,,,,105.23,,,
2000-03-15,4172.0,4432.5,4108.0,4414.5,139.8125,22.34,,,,,,105.43,,,
2000-03-16,4415.5,4527.0,4373.0,4516.5,146.34375,20.77,,,,,,105.21,,,
2000-03-19,4507.5,4529.0,4315.5,4352.5,146.9375,22.37,,,,,,105.14,,,
2000-03-20,4348.0,4529.5,4215.0,4518.0,146.78125,22.96,,,,,,105.14,,,
2000-03-21,4510.0,4709.0,4492.0,4620.0,149.1875,21.7,,,,,,105.78,,,
2000-03-22,4625.0,4775.0,4576.0,4732.5,150.09375,21.49,,,,,,106.04,,,
2000-03-23,4730.0,4884.0,4666.0,4804.0,152.5,22.26,,,,,,105.24,,,
2000-03-26,4787.0,4850.0,4751.0,4762.0,153.5625,23.31,,,,,,105.39,,,
2000-03-27,4761.0,4837.5,4650.0,4662.5,151.9375,24.53,,,,,,105.39,,,
2000-03-28,4660.0,4678.0,4456.0,4469.0,151.0625,24.86,,,,,,105.54,,,
2000-03-29,4471.0,4558.0,4211.5,4327.5,151.21875,24.1,,,,,,106.2,,,
2000-03-30,4328.0,4486.0,4245.5,4457.5,148.6875,24.42,,,,,,105.47,,,
2000-04-02,4417.0,4417.0,4088.5,4135.0,150.375,23.67,,,,,,105.47,,,
2000-04-03,4128.0,4212.0,3738.34,4066.0,151.25,24.03,,,,,,105.27,,,
2000-04-04,4080.0,4213.5,3929.0,4060.0,145.75,27.12,,,,,,105.31,,,
2000-04-05,4055.0,4220.0,4019.5,4145.0,149.1875,28.41,,,,,,105.5,,,
2000-04-06,4144.5,4343.5,4135.0,4337.0,150.48437,27.15,,,,,,105.98,,,
2000-04-09,4031.66,4031.66,3704.0,3704.0,151.4375,24.39,,,,,,105.61,,,
2000-04-10,4026.0,4100.5,3886.0,3952.0,150.84375,25.99,,,,,,105.85,,,
2000-04-11,3954.5,4022.66,3653.0,3695.0,150.40625,27.25,,,,,,105.94,,,
2000-04-12,3764.0,3884.0,3562.0,3581.5,146.28125,27.85,,,,,,106.18,,,
2000-04-13,3545.16,3545.16,3148.0,3217.5,144.25,29.4,,,,,,105.68,,,
2000-04-16,3249.84,3590.0,3249.84,3577.5,138.375,33.49,,,,,,106.14,,,
2000-04-17,3584.0,3752.0,3489.0,3750.0,140.75,28.95,,,,,,106.62,,,
2000-04-18,3734.5,3781.0,3604.5,3622.5,144.46875,26.12,,,,,,107.06,,,
2000-04-19,3630.0,3670.0,3485.0,3535.0,143.125,27.02,,,,,,107.45,,,
2000-04-23,3488.5,3488.5,3223.0,3417.0,143.8125,25.85,,,,,,107.24,,,
2000-04-24,3416.5,3655.0,3399.0,3645.0,142.25,27.37,,,,,,108.62,,,
2000-04-25,3650.0,3734.0,3520.0,3527.5,148.15625,25.24,,,,,,108.57,,,
2000-04-26,3527.5,3733.5,3417.5,3685.0,146.48437,26.97,,,,,,109.58,,,
2000-04-27,3694.5,3826.5,3680.0,3810.0,146.0,26.19,,,,,,110.13,,,
2000-04-30,3807.5,3910.0,3806.0,3867.0,145.09375,26.2,,,,,,109.57,,,
2000-05-01,3866.0,3887.0,3636.0,3643.5,147.0625,25.88,,,,,,110.29,,,
2000-05-02,3638.5,3658.0,3452.0,3585.0,144.125,28.5,,,,,,111.17,,,
2000-05-03,3583.5,3652.0,3535.0,3589.5,141.625,31.63,,,,,,111.82,,,
2000-05-04,3585.0,3740.0,3527.5,3695.0,141.8125,30.77,,,,,,111.34,,,
2000-05-07,3682.0,3693.0,3512.5,3551.5,143.53125,27.53,,,,,,111.43,,,
2000-05-08,3547.0,3599.0,3420.5,3452.5,142.45312,28.2,,,,,,110.74,,,
2000-05-09,3448.0,3485.5,3245.5,3252.5,141.3125,28.93,,,,,,110.78,,,
2000-05-10,3250.0,3408.0,3194.0,3385.5,138.125,29.87,,,,,,111.21,,,
2000-05-11,3402.5,3540.0,3391.0,3417.5,141.28125,27.76,,,,,,109.82,,,
2000-05-14,3410.0,3565.0,3327.5,3559.5,142.8125,26.05,,,,,,110.61,,,
2000-05-15,3555.0,3683.5,3547.0,3670.0,145.28125,24.86,,,,,,111.48,,,
2000-05-16,3669.5,3673.5,3538.5,3587.5,146.5625,24.34,,,,,,112.08,,,
2000-05-17,3589.0,3605.0,3440.0,3460.0,145.15625,23.98,,,,,,112.1,,,
2000-05-18,3457.5,3475.0,3266.0,3280.0,143.8125,23.96,,,,,,111.5,,,
2000-05-21,3276.0,3330.0,3058.0,3297.5,141.125,25.44,,,,,,111.16,,,
2000-05-22,3284.5,3340.16,3008.5,3012.5,140.0625,26.0,,,,,,111.12,,,
2000-05-23,3015.0,3213.0,2902.5,3167.5,138.0,25.87,,,,,,111.27,,,
2000-05-24,3166.0,3308.0,3081.0,3125.5,140.25,24.32,,,,,,110.77,,,
2000-05-25,3125.5,3184.5,3042.0,3130.0,137.84375,24.58,,,,,,109.06,,,
