date,pnl_pcc,pnl_monday,pnl_gapfade,pnl_combined
2021-01-20,,,-2005.0,-2005.0
2021-01-25,,-1255.0,2950.0,1695.0
2021-02-01,,4080.0,-400.0,3680.0
2021-02-08,,-305.0,,-305.0
2021-02-22,,-2970.0,,-2970.0
2021-03-01,,3120.0,-1605.0,1515.0
2021-03-08,,-5055.0,,-5055.0
2021-03-09,,,-1815.0,-1815.0
2021-03-15,,1490.0,,1490.0
2021-03-22,,3090.0,,3090.0
2021-03-29,,-130.0,,-130.0
2021-04-01,,,-1160.0,-1160.0
2021-04-05,,2975.0,,2975.0
2021-04-09,520.0,,,520.0
2021-04-12,,535.0,,535.0
2021-04-13,420.0,,,420.0
2021-04-14,-545.0,,,-545.0
2021-04-15,-295.0,,-1030.0,-1325.0
2021-04-19,435.0,-1600.0,,-1165.0
2021-04-20,-865.0,,,-865.0
2021-04-21,330.0,,,330.0
2021-04-22,505.0,,,505.0
2021-04-23,35.0,,,35.0
2021-04-26,-560.0,1405.0,,845.0
2021-04-27,-150.0,,,-150.0
2021-04-29,415.0,,2395.0,2810.0
2021-05-03,280.0,-2400.0,,-2120.0
2021-05-04,135.0,,,135.0
2021-05-05,1250.0,,,1250.0
2021-05-07,,,-1050.0,-1050.0
2021-05-10,-270.0,-5135.0,,-5405.0
2021-05-11,570.0,,,570.0
2021-05-12,555.0,,,555.0
2021-05-13,,,-1510.0,-1510.0
2021-05-14,-290.0,,-1840.0,-2130.0
2021-05-17,,-705.0,,-705.0
2021-05-19,1235.0,,,1235.0
2021-05-20,285.0,,,285.0
2021-05-21,-145.0,,,-145.0
2021-05-24,-205.0,2945.0,,2740.0
2021-06-04,-165.0,,,-165.0
2021-06-07,,820.0,,820.0
2021-06-10,-235.0,,,-235.0
2021-06-14,205.0,1405.0,,1610.0
2021-06-15,110.0,,,110.0
2021-06-16,-1620.0,,,-1620.0
2021-06-17,375.0,,,375.0
2021-06-21,-370.0,1155.0,,785.0
2021-06-22,715.0,,,715.0
2021-06-28,90.0,2290.0,,2380.0
2021-07-02,300.0,,,300.0
2021-07-07,265.0,,1980.0,2245.0
2021-07-08,-325.0,,,-325.0
2021-07-09,-155.0,,,-155.0
2021-07-12,,-415.0,,-415.0
2021-07-13,-565.0,,,-565.0
2021-07-14,,,-305.0,-305.0
2021-07-15,125.0,,,125.0
2021-07-16,370.0,,,370.0
2021-07-19,,-960.0,,-960.0
2021-07-20,415.0,,,415.0
2021-07-21,105.0,,,105.0
2021-07-22,55.0,,,55.0
2021-07-23,-165.0,,,-165.0
2021-07-26,,545.0,,545.0
2021-07-27,175.0,,,175.0
2021-07-29,-410.0,,,-410.0
2021-07-30,-105.0,,,-105.0
2021-08-02,,-1810.0,,-1810.0
2021-08-09,,185.0,,185.0
2021-08-10,40.0,,,40.0
2021-08-11,-145.0,,,-145.0
2021-08-12,110.0,,,110.0
2021-08-16,,370.0,,370.0
2021-08-19,700.0,,,700.0
2021-08-20,345.0,,,345.0
2021-08-23,-270.0,3715.0,,3445.0
2021-08-27,45.0,,,45.0
2021-08-30,-140.0,2915.0,,2775.0
2021-09-02,245.0,,,245.0
2021-09-03,-15.0,,,-15.0
2021-09-08,-50.0,,,-50.0
2021-09-10,1175.0,,,1175.0
2021-09-13,-910.0,-2860.0,,-3770.0
2021-09-14,620.0,,,620.0
2021-09-15,420.0,,,420.0
2021-09-16,45.0,,,45.0
2021-09-17,180.0,,,180.0
2021-09-20,-760.0,-2895.0,,-3655.0
2021-09-23,-240.0,,,-240.0
2021-09-24,65.0,,,65.0
2021-09-27,,720.0,,720.0
2021-09-28,720.0,,,720.0
2021-10-04,830.0,-5070.0,,-4240.0
2021-10-05,-550.0,,,-550.0
2021-10-06,240.0,,,240.0
2021-10-11,,-110.0,,-110.0
2021-10-12,35.0,,,35.0
2021-10-14,-180.0,,-1320.0,-1500.0
2021-10-18,255.0,3790.0,,4045.0
2021-10-21,560.0,,,560.0
2021-10-22,175.0,,,175.0
2021-10-25,-75.0,1965.0,,1890.0
2021-10-27,-830.0,,,-830.0
2021-10-28,-65.0,,,-65.0
2021-10-29,-35.0,,,-35.0
2021-11-01,,15.0,,15.0
2021-11-02,80.0,,,80.0
2021-11-03,260.0,,,260.0
2021-11-04,15.0,,,15.0
2021-11-08,,-585.0,,-585.0
2021-11-09,385.0,,,385.0
2021-11-10,-1085.0,,,-1085.0
2021-11-11,190.0,,595.0,785.0
2021-11-12,455.0,,,455.0
2021-11-15,-460.0,-1340.0,,-1800.0
2021-11-16,-140.0,,,-140.0
2021-11-22,410.0,-2890.0,,-2480.0
2021-11-23,30.0,,,30.0
2021-11-24,540.0,,,540.0
2021-11-29,185.0,3340.0,-705.0,2820.0
2021-11-30,515.0,,,515.0
2021-12-01,3135.0,,-505.0,2630.0
2021-12-02,-225.0,,,-225.0
2021-12-03,-770.0,,,-770.0
2021-12-06,330.0,2675.0,,3005.0
2021-12-07,-610.0,,-2915.0,-3525.0
2021-12-09,665.0,,,665.0
2021-12-13,810.0,-3555.0,,-2745.0
2021-12-16,-1070.0,,,-1070.0
2021-12-17,-575.0,,,-575.0
2021-12-20,,300.0,,300.0
2021-12-21,-650.0,,,-650.0
2021-12-22,50.0,,,50.0
2021-12-23,-460.0,,,-460.0
2021-12-27,-85.0,3930.0,,3845.0
2021-12-28,-110.0,,,-110.0
2022-01-03,,1620.0,,1620.0
2022-01-04,-1270.0,,,-1270.0
2022-01-05,1265.0,,,1265.0
2022-01-06,-330.0,,,-330.0
2022-01-07,475.0,,,475.0
2022-01-10,,2895.0,,2895.0
2022-01-11,100.0,,,100.0
2022-01-13,735.0,,,735.0
2022-01-14,1180.0,,,1180.0
2022-01-21,890.0,,,890.0
2022-01-24,,3060.0,,3060.0
2022-01-25,-3500.0,,,-3500.0
2022-01-26,1700.0,,1860.0,3560.0
2022-01-27,235.0,,,235.0
2022-01-31,-855.0,6765.0,,5910.0
2022-02-04,335.0,,,335.0
2022-02-07,,-2665.0,,-2665.0
2022-02-11,20.0,,,20.0
2022-02-14,,1125.0,,1125.0
2022-02-17,795.0,,,795.0
2022-02-23,145.0,,,145.0
2022-02-24,625.0,,,625.0
2022-02-28,,1215.0,,1215.0
2022-03-01,350.0,,,350.0
2022-03-02,490.0,,,490.0
2022-03-03,105.0,,,105.0
2022-03-04,-850.0,,,-850.0
2022-03-07,180.0,-8790.0,,-8610.0
2022-03-09,,,-1235.0,-1235.0
2022-03-14,80.0,-3745.0,,-3665.0
2022-03-15,1180.0,,,1180.0
2022-03-17,-155.0,,,-155.0
2022-03-18,1105.0,,,1105.0
2022-03-21,,-1650.0,,-1650.0
2022-03-22,-40.0,,,-40.0
2022-03-24,1090.0,,,1090.0
2022-03-28,90.0,4145.0,,4235.0
2022-04-04,230.0,4710.0,,4940.0
2022-04-05,965.0,,,965.0
2022-04-11,,-2915.0,,-2915.0
2022-04-12,915.0,,1550.0,2465.0
2022-04-13,740.0,,,740.0
2022-04-14,150.0,,,150.0
2022-04-18,,40.0,,40.0
2022-04-19,1185.0,,,1185.0
2022-04-20,-945.0,,,-945.0
2022-04-21,-160.0,,,-160.0
2022-04-22,-685.0,,,-685.0
2022-04-25,770.0,4365.0,,5135.0
2022-04-26,2440.0,,,2440.0
2022-04-28,205.0,,2130.0,2335.0
2022-04-29,965.0,,,965.0
2022-05-02,,2490.0,,2490.0
2022-05-04,2410.0,,,2410.0
2022-05-05,1905.0,,,1905.0
2022-05-09,1215.0,-5180.0,,-3965.0
2022-05-10,,,4600.0,4600.0
2022-05-11,500.0,,,500.0
2022-05-13,1405.0,,,1405.0
2022-05-16,,-1715.0,,-1715.0
2022-05-18,215.0,,,215.0
2022-05-20,-1735.0,,,-1735.0
2022-05-23,,1895.0,,1895.0
2022-05-25,360.0,,,360.0
2022-05-26,-1030.0,,,-1030.0
2022-05-27,745.0,,,745.0
2022-06-02,30.0,,,30.0
2022-06-06,440.0,-3115.0,,-2675.0
2022-06-07,485.0,,,485.0
2022-06-13,,-3640.0,,-3640.0
2022-06-16,-1390.0,,,-1390.0
2022-06-17,360.0,,,360.0
2022-06-21,-75.0,,,-75.0
2022-06-22,-1405.0,,,-1405.0
2022-06-24,-35.0,,,-35.0
