date,cls,direction,price,first_touch_utc,K,spread_put,spread_call,rspread_put,rspread_call,imb_put,imb_call,depth_put,depth_call,depth_ratio,intens,intens_ratio,dspread_otm,iv_put,iv_call,iv_gap,iv_kink
2025-01-02,broken,lower,21010.0,2025-01-02T17:48,506,0.02,0.03,0.0163,0.0141,-0.8636,-0.0714,88,28,0.353,62,1.0,0.01,0.4304,0.4157,0.0147,0.001
2025-01-02,broken,lower,21022.2,2025-01-02T17:47,507,0.03,0.01,0.0192,0.0061,0.375,-0.878,96,82,0.409,62,1.0,0.02,0.4127,0.4153,-0.0026,-0.0015
2025-01-02,broken,lower,21048.0,2025-01-02T17:38,507,0.01,0.03,0.0082,0.0151,0.2857,0.9104,84,134,0.363,62,1.0,0.0,0.3961,0.3986,-0.0025,0.001
2025-01-02,broken,lower,21064.8,2025-01-02T17:37,508,0.03,0.03,0.0232,0.0174,-0.3538,-0.1215,260,107,0.582,62,1.0,0.02,0.3673,0.3875,-0.0202,-0.0005
2025-01-02,broken,lower,21090.2,2025-01-02T17:36,508,0.02,0.03,0.0171,0.0161,0.0101,0.2661,99,109,0.569,62,1.0,0.01,0.3772,0.3682,0.009,-0.0004
2025-01-02,broken,lower,21097.0,2025-01-02T17:33,508,0.02,0.04,0.0192,0.0196,-0.2771,-0.1282,83,117,0.442,62,1.0,0.01,0.3693,0.3693,0.0,0.0001
2025-01-02,broken,lower,21117.5,2025-01-02T17:30,509,0.01,0.04,0.009,0.0217,0.4624,0.1887,93,212,0.619,62,1.0,0.0,0.3547,0.3559,-0.0012,-0.0032
2025-01-02,broken,lower,21143.5,2025-01-02T17:29,510,0.03,0.03,0.0247,0.0193,0.6129,-0.3684,155,95,0.678,62,1.0,0.02,0.3369,0.3393,-0.0024,-0.0009
2025-01-02,broken,lower,21175.0,2025-01-02T17:27,510,0.02,0.04,0.0263,0.0189,0.3401,0.5789,197,57,0.601,62,1.0,0.01,0.3245,0.3245,0.0,-0.0009
2025-01-02,broken,lower,21214.65,2025-01-02T14:36,511,0.02,0.03,0.0091,0.0116,0.7143,-0.1781,35,73,0.823,12,1.0,,0.4326,0.4335,-0.0009,0.0
2025-01-02,broken,lower,21223.5,2025-01-02T14:35,511,0.01,0.02,0.006,0.0065,-0.15,-0.8462,40,13,0.47,10,1.0,,0.4199,0.4153,0.0046,0.0007
2025-01-02,broken,lower,21231.2,2025-01-02T17:25,512,0.02,0.03,0.0156,0.0243,0.0,0.2716,60,162,0.516,62,1.0,-0.0,0.3025,0.3062,-0.0037,0.0007
2025-01-02,broken,lower,21239.2,2025-01-02T17:24,512,0.02,0.03,0.0167,0.0223,-0.3333,-0.3636,90,88,0.366,62,1.0,0.01,0.2958,0.3187,-0.0229,0.0004
2025-01-02,broken,lower,21248.8,2025-01-02T17:23,512,0.01,0.01,0.01,0.0065,0.2,0.0,50,60,0.248,62,1.0,0.0,0.3058,0.2984,0.0074,-0.0001
2025-01-02,broken,lower,21254.2,2025-01-02T17:21,512,0.02,0.02,0.0183,0.0132,-0.4624,0.0,186,60,0.461,62,1.0,0.0,0.3112,0.3088,0.0024,0.0003
2025-01-02,broken,lower,21265.35,2025-01-02T14:34,512,0.03,0.04,0.016,0.0148,-0.3333,0.4458,90,83,0.775,8,1.0,,0.4106,0.4061,0.0045,-0.0008
2025-01-02,broken,lower,21281.0,2025-01-02T14:33,513,0.03,0.04,0.0183,0.0143,-0.7792,0.3388,154,121,1.049,6,1.0,,0.388,0.3908,-0.0028,0.0008
2025-01-02,broken,lower,21288.2,2025-01-02T15:21,513,0.02,0.02,0.0143,0.0092,-0.9672,0.8769,61,65,0.647,62,1.0,-0.01,0.3338,0.3436,-0.0098,0.0002
2025-01-02,rejected,lower,20985.8,2025-01-02T17:50,506,0.03,0.02,0.0189,0.0116,0.0291,0.4035,103,57,0.641,62,1.0,0.02,0.4296,0.4335,-0.0039,0.0001
2025-01-02,rejected,lower,20994.2,2025-01-02T18:32,506,0.03,0.03,0.0215,0.0199,0.3084,-0.0076,107,131,0.409,62,1.0,0.0,0.422,0.4339,-0.0119,-0.0007
2025-01-02,rejected,lower,21022.2,2025-01-02T17:42,507,0.02,0.02,0.0147,0.0112,0.0,0.9355,60,31,0.188,62,1.0,0.01,0.3963,0.4014,-0.0051,-0.0006
2025-01-02,rejected,lower,21036.8,2025-01-02T17:40,507,0.02,0.03,0.0148,0.0165,-0.7203,0.6026,143,151,0.639,62,1.0,0.01,0.3941,0.403,-0.0089,-0.0
2025-01-02,rejected,lower,21058.0,2025-01-02T19:59,508,0.01,0.01,0.0126,0.0109,-0.5,-0.7895,40,38,0.062,62,1.0,-0.01,0.4018,0.3788,0.023,-0.0006
2025-01-02,rejected,lower,21105.2,2025-01-02T17:31,509,0.01,0.03,0.007,0.0195,-0.3793,-0.1304,58,69,0.249,62,1.0,0.0,0.3653,0.3653,0.0,0.0021
2025-01-02,rejected,lower,21166.5,2025-01-02T14:40,510,0.01,0.05,0.0045,0.0202,-0.5,0.5302,40,149,1.533,20,1.0,,0.4318,0.43,0.0018,-0.0008
2025-01-02,rejected,lower,21173.0,2025-01-02T14:39,510,0.02,0.04,0.0103,0.0139,0.5319,0.0625,94,128,0.987,18,1.0,,0.4342,0.4323,0.0019,-0.0006
2025-01-02,rejected,lower,21186.2,2025-01-02T16:04,510,0.02,0.03,0.0183,0.0125,-0.2,-0.0698,75,43,0.496,62,1.0,0.0,0.3392,0.3511,-0.0119,0.0004
2025-01-02,rejected,lower,21198.5,2025-01-02T14:37,511,0.02,0.02,0.0088,0.008,0.9012,0.7091,81,55,0.79,14,1.0,,0.4259,0.4368,-0.0109,-0.0012
2025-01-02,rejected,lower,21209.8,2025-01-02T15:42,511,0.02,0.03,0.0133,0.0147,-0.0164,-0.3814,61,97,0.577,62,1.0,0.01,0.3484,0.3534,-0.005,-0.0001
2025-01-02,rejected,lower,21225.0,2025-01-02T15:31,511,0.01,0.04,0.0084,0.0161,-0.7927,0.1538,328,52,0.702,62,1.0,0.0,0.3442,0.3472,-0.003,-0.0002
2025-01-02,rejected,lower,21256.1,2025-01-02T15:23,512,0.01,0.02,0.0072,0.009,-0.0654,0.6786,107,56,0.532,62,1.0,-0.02,0.3446,0.3397,0.0049,0.0005
2025-01-02,rejected,lower,21280.0,2025-01-02T17:08,513,0.02,0.03,0.0168,0.0218,-0.1597,-0.1228,119,114,0.371,62,1.0,0.0,0.2961,0.2996,-0.0035,-0.0009
2025-01-02,rejected,lower,21320.5,2025-01-02T14:30,514,,,,,,,,,,0,,,,,,
2025-01-02,broken,upper,21067.5,2025-01-02T19:03,508,0.03,0.02,0.0179,0.025,-0.0959,0.4323,73,229,0.303,62,1.0,0.0,0.3938,0.3921,0.0017,-0.001
2025-01-02,broken,upper,21083.25,2025-01-02T19:04,508,0.03,0.02,0.0202,0.0213,-0.1304,0.2,138,100,0.284,62,1.0,-0.0,0.4012,0.3927,0.0085,-0.0005
2025-01-02,broken,upper,21314.0,2025-01-02T16:35,514,0.03,0.02,0.0163,0.0208,0.0476,0.6985,63,199,0.447,62,1.0,0.0,0.3001,0.29,0.0101,-0.0019
2025-01-02,broken,upper,21324.0,2025-01-02T16:39,514,0.04,0.02,0.0216,0.022,0.7228,-0.6561,202,157,0.723,62,1.0,0.01,0.2908,0.2908,0.0,-0.0007
2025-01-02,broken,upper,21382.0,2025-01-02T14:54,515,0.02,0.02,0.0088,0.012,0.6923,0.0625,26,64,0.376,48,1.0,,0.3607,0.3626,-0.0019,0.0002
2025-01-02,rejected,upper,21103.5,2025-01-02T19:06,509,0.04,0.02,0.0223,0.0294,0.2308,-0.5455,52,176,0.238,62,1.0,-0.0,0.3899,0.3827,0.0072,-0.0009
2025-01-02,rejected,upper,21121.37,2025-01-02T19:25,509,0.01,0.02,0.0082,0.0225,0.7143,0.1961,35,102,0.145,62,1.0,0.01,0.3877,0.3785,0.0092,-0.0046
2025-01-02,rejected,upper,21143.75,2025-01-02T19:49,510,0.03,0.03,0.0218,0.055,0.6842,-0.3592,38,103,0.14,62,1.0,0.01,0.4035,0.3678,0.0357,0.003
2025-01-02,rejected,upper,21304.2,2025-01-02T16:30,513,0.02,0.02,0.0143,0.0138,0.3296,-0.5842,179,101,0.459,62,1.0,0.0,0.3072,0.3072,0.0,-0.0005
2025-01-02,rejected,upper,21330.5,2025-01-02T15:52,514,0.02,0.02,0.0111,0.015,0.4921,-0.7252,63,131,0.717,62,1.0,-0.01,0.3187,0.3085,0.0102,0.0005
2025-01-02,rejected,upper,21350.8,2025-01-02T16:49,514,0.02,0.03,0.0168,0.0218,0.4,0.3333,100,90,0.346,62,1.0,-0.04,0.2841,0.2874,-0.0033,-0.002
2025-01-02,rejected,upper,21357.5,2025-01-02T16:51,515,0.04,0.02,0.0242,0.0217,-0.5875,-0.6443,160,298,0.868,62,1.0,0.0,0.2814,0.2791,0.0023,-0.0004
2025-01-02,rejected,upper,21409.0,2025-01-02T14:55,516,0.04,0.02,0.0168,0.0134,0.4595,-0.9683,111,63,0.459,50,1.0,,0.3531,0.3493,0.0038,0.0009
2025-01-02,rejected,upper,21417.5,2025-01-02T15:00,516,0.03,0.03,0.0141,0.0202,0.3953,0.2273,43,132,0.87,60,1.0,,0.3339,0.3302,0.0037,-0.0005
2025-01-02,rejected,upper,21441.9,2025-01-02T15:05,517,0.05,0.03,0.0214,0.0247,-0.1781,0.2245,73,98,0.661,62,1.0,0.02,0.323,0.3192,0.0038,-0.0017
2025-01-02,placebo,lower,20924.54,2025-01-02T17:50,504,0.02,0.06,0.0244,0.0202,0.985,0.28,133,50,0.615,62,1.0,0.01,0.4369,0.4429,-0.006,-0.0032
2025-01-02,placebo,lower,21078.82,2025-01-02T17:50,508,0.03,0.01,0.011,0.0113,-0.1111,-0.913,9,23,0.132,62,1.0,-0.25,0.4244,0.4302,-0.0058,0.0004
2025-01-02,placebo,lower,20910.01,2025-01-02T18:32,504,0.02,0.13,0.0303,0.0465,-0.1327,-0.5143,196,280,0.785,62,1.0,0.0,0.4344,0.4568,-0.0224,0.0006
