date,cls,direction,price,first_touch_utc,K,spread_put,spread_call,rspread_put,rspread_call,imb_put,imb_call,depth_put,depth_call,depth_ratio,intens,intens_ratio,dspread_otm,iv_put,iv_call,iv_gap,iv_kink
2026-01-26,broken,lower,25871.5,2026-01-26T20:00,626,0.01,0.01,0.0317,0.0157,0.2441,-0.0741,254,108,0.105,62,1.0,0.0,0.1713,0.1713,0.0,-0.0053
2026-01-26,broken,lower,25879.0,2026-01-26T19:54,626,0.01,0.01,0.0408,0.0129,-0.3041,0.9429,365,35,0.173,62,1.0,0.0,0.1665,0.1625,0.004,-0.0051
2026-01-26,broken,lower,25889.0,2026-01-26T19:21,627,0.01,0.01,0.0171,0.0247,0.2449,-0.6226,98,106,0.081,62,1.0,-0.0,0.1443,0.1414,0.0029,-0.01
2026-01-26,broken,lower,25899.08,2026-01-26T17:31,627,0.01,0.01,0.0131,0.0142,0.0289,-0.1889,173,180,0.253,62,1.0,0.0,0.1488,0.1458,0.003,-0.0045
2026-01-26,rejected,lower,25704.2,2026-01-26T14:30,622,,,,,,,,,,0,,,,,,
2026-01-26,rejected,lower,25851.15,2026-01-26T16:20,626,0.01,0.01,0.0101,0.0107,0.5385,-0.9753,208,81,0.27,62,1.0,-0.01,0.1674,0.1674,0.0,-0.0019
2026-01-26,rejected,lower,25858.5,2026-01-26T16:19,626,0.01,0.01,0.0107,0.0102,-0.2143,0.3333,84,132,0.232,62,1.0,-0.0,0.1671,0.1653,0.0018,-0.0031
2026-01-26,rejected,lower,25874.85,2026-01-26T18:00,626,0.01,0.02,0.0198,0.0187,0.6198,-0.1095,505,137,0.454,62,1.0,0.0,0.1635,0.1624,0.0011,-0.0031
2026-01-26,broken,upper,25762.8,2026-01-26T14:31,624,0.06,0.01,0.0238,0.0107,0.5385,-0.931,65,29,0.47,2,1.0,,0.2377,0.2369,0.0008,-0.0006
2026-01-26,broken,upper,25769.0,2026-01-26T14:33,624,0.03,0.01,0.0156,0.0077,0.92,-0.418,25,189,0.423,6,1.0,,0.2347,0.2362,-0.0015,0.0002
2026-01-26,broken,upper,25775.8,2026-01-26T14:34,624,0.03,0.02,0.0167,0.0154,-0.5556,-0.2545,54,110,0.631,8,1.0,,0.228,0.2273,0.0007,-0.0006
2026-01-26,broken,upper,25786.5,2026-01-26T14:35,624,0.01,0.01,0.0059,0.0073,-0.8,-0.5714,70,42,0.306,10,1.0,,0.2256,0.2271,-0.0015,-0.0007
2026-01-26,broken,upper,25797.8,2026-01-26T14:36,624,0.02,0.01,0.0132,0.0063,0.2727,0.8571,99,70,0.604,12,1.0,,0.231,0.2273,0.0037,-0.0011
2026-01-26,broken,upper,25834.0,2026-01-26T14:45,625,0.01,0.01,0.0067,0.0078,-0.1183,0.9231,93,78,0.388,30,1.0,,0.2084,0.2069,0.0015,-0.0026
2026-01-26,broken,upper,25860.9,2026-01-26T15:17,626,0.01,0.01,0.0068,0.0127,0.7059,-0.7895,68,190,0.286,62,1.0,-0.01,0.1709,0.1725,-0.0016,-0.0009
2026-01-26,broken,upper,25906.72,2026-01-26T16:25,627,0.01,0.01,0.009,0.0142,-0.1376,-0.2316,109,177,0.267,62,1.0,-0.01,0.1565,0.1565,0.0,-0.0026
2026-01-26,rejected,upper,25760.5,2026-01-26T14:30,623,,,,,,,,,,0,,,,,,
2026-01-26,rejected,upper,25767.5,2026-01-26T14:32,624,0.03,0.02,0.0156,0.0155,-0.3559,-0.1667,59,132,1.099,4,1.0,,0.2365,0.2335,0.003,-0.0001
2026-01-26,rejected,upper,25827.0,2026-01-26T14:41,625,0.02,0.01,0.0114,0.0092,0.1951,0.8444,82,90,0.432,22,1.0,,0.2091,0.2084,0.0007,-0.0017
2026-01-26,rejected,upper,25851.65,2026-01-26T14:57,626,0.02,0.01,0.012,0.0114,0.0707,-0.6304,99,579,1.067,54,1.0,,0.1877,0.1869,0.0008,-0.0025
2026-01-26,rejected,upper,25884.65,2026-01-26T15:20,626,0.01,0.01,0.0095,0.0088,-0.4365,0.6491,181,57,0.359,62,1.0,-0.02,0.1723,0.1723,0.0,-0.001
2026-01-26,rejected,upper,25895.93,2026-01-26T15:52,627,0.01,0.01,0.0075,0.015,0.0,-0.9877,86,163,0.239,62,1.0,0.0,0.1585,0.1585,0.0,-0.0019
2026-01-26,rejected,upper,25913.17,2026-01-26T19:10,627,0.01,0.01,0.019,0.0202,-0.949,0.0417,157,192,0.117,62,1.0,0.0,0.1423,0.1395,0.0028,-0.0096
2026-01-26,rejected,upper,25929.34,2026-01-26T16:31,627,0.01,0.01,0.0113,0.0109,-0.7574,-0.034,544,147,0.914,62,1.0,0.0,0.159,0.159,0.0,-0.0025
2026-01-26,placebo,lower,25787.96,2026-01-26T14:30,624,,,,,,,,,,0,,,,,,
2026-01-26,placebo,lower,25605.01,2026-01-26T14:30,620,,,,,,,,,,0,,,,,,
2026-01-26,placebo,lower,25749.33,2026-01-26T16:20,623,0.01,0.06,0.0308,0.0183,0.9108,-0.0968,762,62,0.864,62,1.0,0.0,0.2258,0.2271,-0.0013,0.0002
2026-01-26,placebo,lower,25968.97,2026-01-26T16:20,628,0.06,0.01,0.0265,0.0488,0.3391,-0.8133,115,664,0.383,62,1.0,-0.0,0.1502,0.1516,-0.0014,-0.0027
2026-01-26,placebo,lower,25751.83,2026-01-26T16:19,623,0.01,0.06,0.0317,0.0179,-0.4533,0.225,911,80,1.048,62,1.0,0.0,0.2285,0.2244,0.0041,0.0001
2026-01-26,placebo,lower,25922.97,2026-01-26T16:19,627,0.02,0.01,0.0139,0.0206,0.1954,0.9887,87,177,0.218,62,1.0,0.0,0.1544,0.1516,0.0028,-0.0052
2026-01-26,placebo,lower,25968.07,2026-01-26T18:00,628,0.03,0.01,0.0188,0.0606,0.4615,-0.3674,78,705,0.348,62,1.0,0.0,0.1386,0.1386,0.0,-0.0087
2026-01-26,placebo,lower,25816.64,2026-01-26T18:00,625,0.01,0.04,0.0339,0.0214,0.1292,-0.0541,356,74,0.304,62,1.0,0.0,0.1866,0.188,-0.0014,-0.0009
2026-01-26,placebo,upper,25679.15,2026-01-26T14:30,622,,,,,,,,,,0,,,,,,
2026-01-26,placebo,upper,25680.84,2026-01-26T14:30,622,,,,,,,,,,0,,,,,,
2026-01-26,placebo,upper,25716.71,2026-01-26T14:32,622,0.01,0.02,0.0087,0.008,-0.9459,-0.8462,37,13,0.286,4,1.0,,0.2594,0.2548,0.0046,0.0009
2026-01-26,placebo,upper,25849.75,2026-01-26T14:32,626,0.09,0.02,0.0286,0.0392,0.1795,-0.2069,39,232,0.679,4,1.0,,0.2194,0.2156,0.0038,-0.0006
2026-01-26,placebo,upper,25749.03,2026-01-26T14:41,623,0.01,0.02,0.01,0.0086,-0.1261,-0.0213,222,47,0.912,22,1.0,,0.2368,0.2344,0.0024,0.0
