date,cls,direction,price,first_touch_utc,K,spread_put,spread_call,rspread_put,rspread_call,imb_put,imb_call,depth_put,depth_call,depth_ratio,intens,intens_ratio,dspread_otm,iv_put,iv_call,iv_gap,iv_kink
2026-02-02,broken,lower,25826.2,2026-02-02T15:56,626,0.01,0.01,0.0077,0.0076,0.0702,-0.3793,114,116,0.357,62,1.0,0.0,0.2164,0.2181,-0.0017,-0.0016
2026-02-02,broken,lower,25844.0,2026-02-02T15:49,626,0.01,0.01,0.0081,0.0067,-0.7123,0.0862,146,116,0.503,62,1.0,0.0,0.2232,0.2232,0.0,-0.0006
2026-02-02,broken,lower,25881.25,2026-02-02T19:50,627,0.01,0.01,0.0177,0.0157,0.2529,-0.1024,348,205,0.304,62,1.0,-0.0,0.2093,0.2058,0.0035,-0.0048
2026-02-02,broken,lower,25899.24,2026-02-02T19:30,627,0.01,0.03,0.0351,0.0262,0.9937,-0.5366,315,164,0.24,62,1.0,-0.0,0.1891,0.1927,-0.0036,-0.0093
2026-02-02,broken,lower,25919.0,2026-02-02T19:28,628,0.01,0.01,0.0163,0.0183,0.3927,-0.0442,247,226,0.202,62,1.0,0.0,0.1748,0.1748,0.0,-0.0055
2026-02-02,broken,lower,25925.4,2026-02-02T19:26,628,0.01,0.01,0.0174,0.0168,0.269,0.0423,197,213,0.156,62,1.0,0.0,0.1761,0.1731,0.003,-0.0056
2026-02-02,rejected,lower,25804.5,2026-02-02T16:05,625,0.02,0.02,0.0172,0.0127,-0.0061,0.2281,326,114,0.948,62,1.0,0.01,0.2293,0.2293,0.0,-0.0008
2026-02-02,rejected,lower,25821.8,2026-02-02T20:00,625,0.01,0.12,0.0241,0.0816,0.7667,-0.2432,60,74,0.505,62,1.0,0.0,0.3127,0.3191,-0.0064,-0.0041
2026-02-02,rejected,lower,25838.57,2026-02-02T15:50,626,0.01,0.01,0.0074,0.0075,-0.3506,-0.1731,77,104,0.404,62,1.0,-0.01,0.2209,0.2209,0.0,-0.001
2026-02-02,rejected,lower,25901.43,2026-02-02T18:20,627,0.01,0.02,0.0187,0.0172,-0.4086,0.1562,301,128,0.247,62,1.0,0.0,0.1858,0.1846,0.0012,-0.0033
2026-02-02,broken,upper,25635.2,2026-02-02T14:31,621,0.03,0.02,0.0113,0.0087,-0.4444,-0.9355,18,31,0.323,2,1.0,,0.3682,0.3675,0.0007,0.0015
2026-02-02,broken,upper,25673.0,2026-02-02T14:35,622,0.03,0.02,0.0108,0.0112,0.2857,-0.6393,28,122,1.0,10,1.0,,0.3363,0.334,0.0023,0.0003
2026-02-02,broken,upper,25713.2,2026-02-02T14:36,623,0.04,0.02,0.0139,0.012,-0.44,0.7632,75,152,1.59,12,1.0,,0.3347,0.3287,0.006,-0.0004
2026-02-02,broken,upper,25731.8,2026-02-02T14:42,623,0.02,0.02,0.0085,0.0108,-0.4203,-0.4068,69,118,0.988,24,1.0,,0.3147,0.3117,0.003,-0.0001
2026-02-02,broken,upper,25739.27,2026-02-02T14:46,623,0.02,0.03,0.0096,0.0156,-0.3333,0.0,66,228,1.422,32,1.0,,0.3039,0.3001,0.0038,-0.0004
2026-02-02,broken,upper,25751.8,2026-02-02T14:49,624,0.02,0.01,0.0091,0.0062,-0.1463,0.9649,82,57,0.526,38,1.0,,0.2851,0.2889,-0.0038,-0.0011
2026-02-02,broken,upper,25819.0,2026-02-02T15:05,625,0.02,0.02,0.0111,0.0123,-0.2143,0.3187,84,91,0.562,62,1.0,-0.0,0.2661,0.263,0.0031,-0.0013
2026-02-02,broken,upper,25826.0,2026-02-02T15:06,626,0.02,0.01,0.0099,0.0079,0.5714,0.4194,42,93,0.441,62,1.0,0.0,0.2513,0.2489,0.0024,-0.0013
2026-02-02,broken,upper,25834.7,2026-02-02T15:07,626,0.01,0.01,0.0053,0.0074,-0.4694,0.7101,49,69,0.272,62,1.0,-0.01,0.2491,0.246,0.0031,-0.0005
2026-02-02,broken,upper,25848.0,2026-02-02T15:11,626,0.02,0.01,0.0116,0.0074,-0.2571,0.115,105,113,0.419,62,1.0,0.0,0.2407,0.2368,0.0039,-0.0006
2026-02-02,broken,upper,25859.0,2026-02-02T15:12,626,0.02,0.01,0.0132,0.0065,-0.1523,0.7757,151,107,0.631,62,1.0,-0.05,0.2381,0.2389,-0.0008,-0.0017
2026-02-02,broken,upper,25866.2,2026-02-02T15:13,627,0.02,0.01,0.0109,0.0092,-0.1636,0.3869,55,336,0.64,62,1.0,0.0,0.2244,0.2204,0.004,0.0002
2026-02-02,broken,upper,25878.0,2026-02-02T15:14,627,0.02,0.01,0.0118,0.0084,0.2917,0.9726,96,146,0.372,62,1.0,0.0,0.223,0.2222,0.0008,-0.002
2026-02-02,broken,upper,25883.8,2026-02-02T15:17,627,0.01,0.01,0.0061,0.0082,0.0,-0.1741,40,201,0.405,62,1.0,0.0,0.2211,0.2219,-0.0008,-0.0011
2026-02-02,broken,upper,25906.6,2026-02-02T16:59,627,0.01,0.01,0.0105,0.0092,-0.187,-0.1074,246,242,0.631,62,1.0,0.0,0.1902,0.1902,0.0,-0.0013
2026-02-02,broken,upper,25920.5,2026-02-02T17:01,628,0.01,0.01,0.0076,0.0142,-0.0196,0.685,51,254,0.256,62,1.0,0.0,0.1847,0.1827,0.002,-0.0039
2026-02-02,rejected,upper,25633.5,2026-02-02T14:30,621,,,,,,,,,,0,,,,,,
2026-02-02,rejected,upper,25668.8,2026-02-02T14:32,622,0.05,0.03,0.0168,0.0163,0.0,0.3878,34,49,0.617,4,1.0,,0.3575,0.3454,0.0121,-0.0003
2026-02-02,rejected,upper,25720.8,2026-02-02T14:37,623,0.02,0.01,0.0079,0.0048,-0.0476,-0.9753,42,81,0.659,14,1.0,,0.3419,0.3397,0.0022,0.0009
2026-02-02,rejected,upper,25797.75,2026-02-02T14:50,625,0.03,0.01,0.0115,0.0084,0.3067,0.901,75,101,0.315,40,1.0,,0.2754,0.2738,0.0016,-0.0014
2026-02-02,rejected,upper,25900.35,2026-02-02T15:19,627,0.01,0.01,0.0065,0.0074,-0.9167,0.398,48,196,0.461,62,1.0,0.0,0.2273,0.2257,0.0016,-0.0006
2026-02-02,rejected,upper,25912.2,2026-02-02T15:20,628,0.01,0.01,0.0059,0.0091,-0.875,-0.9758,16,828,1.528,62,1.0,0.0,0.2155,0.2171,-0.0016,-0.0017
2026-02-02,rejected,upper,25938.22,2026-02-02T17:35,628,0.01,0.01,0.0108,0.0123,0.3669,-0.2029,139,138,0.183,62,1.0,-0.0,0.1756,0.1756,0.0,-0.0043
2026-02-02,rejected,upper,25949.5,2026-02-02T18:58,629,0.01,0.01,0.0096,0.029,0.5152,0.625,66,208,0.126,62,1.0,-0.0,0.168,0.1651,0.0029,-0.0071
2026-02-02,placebo,lower,25912.25,2026-02-02T16:05,628,0.06,0.01,0.0207,0.0308,0.6769,-0.1831,130,568,0.419,62,1.0,0.0,0.1991,0.2028,-0.0037,-0.003
2026-02-02,placebo,lower,25860.48,2026-02-02T16:05,626,0.01,0.01,0.0063,0.01,0.8198,0.3846,111,182,0.442,62,1.0,0.0,0.2162,0.2162,0.0,-0.0024
2026-02-02,placebo,lower,25710.89,2026-02-02T20:00,623,0.01,0.17,0.0571,0.0532,0.5417,0.0,144,40,0.575,62,1.0,-0.0,0.404,0.3894,0.0146,0.001
2026-02-02,placebo,lower,25718.71,2026-02-02T20:00,623,0.01,0.17,0.0571,0.0532,0.5417,0.0,144,40,0.575,62,1.0,-0.0,0.404,0.3894,0.0146,0.001
2026-02-02,placebo,lower,25763.41,2026-02-02T15:50,624,0.01,0.03,0.0136,0.011,0.0064,-0.3226,312,62,0.935,62,1.0,0.0,0.2524,0.2524,0.0,-0.0001
2026-02-02,placebo,lower,25767.86,2026-02-02T15:50,624,0.01,0.03,0.0136,0.011,0.0064,-0.3226,312,62,0.935,62,1.0,0.0,0.2524,0.2524,0.0,-0.0001
2026-02-02,placebo,lower,26008.75,2026-02-02T18:20,630,0.06,0.01,0.0243,0.1053,-0.0286,-0.0864,70,2419,0.904,62,1.0,0.0,0.1748,0.1724,0.0024,-0.0045
2026-02-02,placebo,lower,25791.89,2026-02-02T18:20,625,0.01,0.05,0.0513,0.0177,0.3981,-0.0545,1060,55,0.849,62,1.0,0.0,0.2314,0.2314,0.0,-0.0024
2026-02-02,placebo,upper,25587.77,2026-02-02T14:30,620,,,,,,,,,,0,,,,,,
2026-02-02,placebo,upper,25547.79,2026-02-02T14:30,619,,,,,,,,,,0,,,,,,
2026-02-02,placebo,upper,25742.81,2026-02-02T14:32,624,0.1,0.01,0.024,0.0098,0.0,0.2821,40,78,0.723,4,1.0,,0.3432,0.3303,0.0129,-0.0006
2026-02-02,placebo,upper,25786.17,2026-02-02T14:32,625,0.13,0.01,0.0267,0.0136,0.0455,-0.9667,44,60,0.501,4,1.0,,0.3382,0.3247,0.0135,-0.0008
2026-02-02,placebo,upper,25674.05,2026-02-02T14:37,622,0.03,0.04,0.0143,0.0152,-0.3898,0.3556,59,180,1.588,14,1.0,,0.3528,0.3491,0.0037,0.0004
2026-02-02,placebo,upper,25603.94,2026-02-02T14:37,620,0.02,0.05,0.0141,0.0126,-0.3542,-0.3793,96,29,0.661,14,1.0,,0.3727,0.3687,0.004,0.0001
