date,cls,direction,price,first_touch_utc,K,tvol_put,tvol_call,tvol_dir,tvol_ratio_nb,tprem_put,tprem_call
2025-03-03,broken,lower,20568.8,2025-03-03T20:00,500,265618,20769,265618,1.231,151696.2,81686.6
2025-03-03,broken,lower,20598.8,2025-03-03T19:59,500,257209,19494,257209,1.201,140541.8,80174.0
2025-03-03,broken,lower,20651.0,2025-03-03T19:51,502,240564,47384,240564,0.655,209289.0,118514.1
2025-03-03,broken,lower,20682.5,2025-03-03T18:28,502,157429,11329,157429,0.566,123576.9,45123.3
2025-03-03,broken,lower,20725.5,2025-03-03T18:10,503,160947,14853,160947,0.607,130246.5,61560.8
2025-03-03,broken,lower,20736.8,2025-03-03T18:09,504,221694,32069,221694,0.919,226415.3,112125.4
2025-03-03,broken,lower,20749.1,2025-03-03T18:07,504,216335,28429,216335,0.902,217289.5,106827.0
2025-03-03,broken,lower,20771.2,2025-03-03T18:06,505,260274,54995,260274,0.909,315412.7,173953.5
2025-03-03,broken,lower,20787.0,2025-03-03T18:05,505,257243,52635,257243,0.9,309938.7,170784.7
2025-03-03,broken,lower,20816.8,2025-03-03T18:02,506,298876,91498,298876,1.155,413812.1,244794.5
2025-03-03,broken,lower,20823.5,2025-03-03T17:57,506,288290,84489,288290,1.131,398060.5,235425.0
2025-03-03,broken,lower,20834.2,2025-03-03T17:56,506,284009,83621,284009,1.123,391392.0,234148.9
2025-03-03,broken,lower,20847.2,2025-03-03T14:56,506,51103,6888,51103,0.968,68782.4,32550.8
2025-03-03,broken,lower,20864.22,2025-03-03T14:55,507,52043,10563,52043,0.905,86403.7,41821.5
2025-03-03,broken,lower,20899.75,2025-03-03T14:53,508,56100,12780,56100,1.028,102094.5,45643.1
2025-03-03,broken,lower,20965.0,2025-03-03T14:39,509,25945,4999,25945,0.869,43594.6,17247.5
2025-03-03,broken,lower,20983.8,2025-03-03T14:38,510,23203,7941,23203,0.888,42814.2,24092.5
2025-03-03,rejected,lower,20607.2,2025-03-03T19:54,501,296303,33026,296303,1.156,193521.9,112109.2
2025-03-03,rejected,lower,20614.2,2025-03-03T19:53,501,284604,29853,284604,1.117,176924.5,106863.9
2025-03-03,rejected,lower,20653.9,2025-03-03T18:32,502,164717,15944,164717,0.585,134740.8,53779.9
2025-03-03,rejected,lower,20675.5,2025-03-03T18:29,502,160190,12132,160190,0.57,127775.9,46590.7
2025-03-03,rejected,lower,20707.15,2025-03-03T18:13,503,168269,18759,168269,0.623,141298.8,67994.8
2025-03-03,rejected,lower,20760.0,2025-03-03T15:00,504,51205,5316,51205,1.122,59334.6,26582.1
2025-03-03,rejected,lower,20828.7,2025-03-03T14:57,506,55432,7587,55432,1.008,79355.1,34225.0
2025-03-03,rejected,lower,20848.2,2025-03-03T15:59,506,153687,54192,153687,1.154,242152.3,161556.5
2025-03-03,rejected,lower,20881.5,2025-03-03T17:47,507,257732,165305,257732,1.226,428737.3,365912.7
2025-03-03,rejected,lower,20906.8,2025-03-03T17:37,508,214416,216871,214416,1.297,401092.0,404367.6
2025-03-03,rejected,lower,20919.0,2025-03-03T14:51,508,51669,11409,51669,1.003,91586.7,42287.4
