date,n_instr,total_oi,call_oi,put_oi,dte0_oi,dte0_call_oi,dte0_put_oi,dte0_share,w7_oi,w7_share,dte0_pin1,dte0_pin1_oi,dte0_pin2,dte0_pin2_oi,dte0_pin3,dte0_pin3_oi,fm_exp,fm_oi,fm_pin1,fm_pin1_oi,fm_pin2,fm_pin2_oi,fm_pin3,fm_pin3_oi
2023-03-28,6884,13007069,4695111,8311958,193507,99641,93866,0.014877064156421404,2074375,0.15948058705616153,295.0,19656,311.0,13725,314.0,13180,2023-04-21,1911301,285.0,116543,300.0,110026,305.0,105043
2023-03-29,6898,13127017,4711125,8415892,213605,102292,111313,0.01627216602218158,2134915,0.16263519731862922,309.0,15109,312.0,14819,300.0,14139,2023-04-21,1876482,300.0,114460,305.0,104734,320.0,92439
2023-03-30,6862,13434201,4748518,8685683,196718,96922,99796,0.014643074046606865,2473611,0.18412788374984118,311.0,13969,314.0,12757,312.0,12336,2023-04-21,1912190,300.0,127911,305.0,106248,320.0,91681
2023-03-31,6800,13856454,4873592,8982862,1935968,539663,1396305,0.13971597639626993,2614727,0.18870101975584808,250.0,132501,230.0,124921,310.0,90735,2023-04-21,1935549,300.0,134227,305.0,106337,320.0,90575
2023-04-03,6872,13828795,4575324,9253471,250628,80758,169870,0.018123632608625696,965306,0.06980405740341078,318.0,21993,320.0,15523,316.0,11497,2023-04-21,1970639,300.0,131656,305.0,107549,320.0,106377
2023-04-04,7054,12569927,4529096,8040831,150766,63751,87015,0.01199418262333584,921156,0.07328252582532897,314.0,9082,320.0,8397,316.0,7913,2023-04-21,1978646,300.0,115963,305.0,108609,320.0,106648
2023-04-05,6930,12691849,4622861,8068988,261966,79895,182071,0.020640491389394878,968907,0.07634088618608684,300.0,30177,310.0,25449,295.0,20665,2023-04-21,2032386,305.0,122539,300.0,122470,320.0,107315
2023-04-06,7136,12773789,4689522,8084267,604710,230985,373725,0.04733990830755072,902874,0.07068176873752964,315.0,35264,310.0,33102,300.0,32190,2023-04-20,0,260.0,0,320.0,0,309.0,0
2023-04-10,6976,12760551,4604122,8156429,205779,85979,119800,0.016126184519775048,737719,0.05781247220437424,313.0,16769,320.0,10440,317.0,10380,2023-04-20,2764,315.0,413,310.0,366,317.0,363
2023-04-11,7166,12595299,4564444,8030855,163589,61175,102414,0.012988099766428729,751512,0.05966607065064514,312.0,14020,313.0,11562,316.0,10552,2023-04-20,7101,322.0,858,318.0,782,317.0,610
2023-04-12,7314,12743243,4668601,8074642,235974,91085,144889,0.018517578296199797,778984,0.06112918038210525,305.0,23049,320.0,17498,310.0,12827,2023-04-20,9421,318.0,885,317.0,869,322.0,858
2023-04-13,7280,12950981,4822905,8128076,149405,75976,73429,0.011536191737135588,698405,0.05392680291940819,315.0,14736,316.0,9201,312.0,8680,2023-04-20,16663,317.0,2867,322.0,1021,315.0,1019
2023-04-14,7460,13149088,4769082,8380006,543599,219276,324323,0.04134119415734384,2886488,0.21952001538053437,317.0,33730,315.0,27172,290.0,26969,2023-04-20,23250,317.0,3430,315.0,1625,318.0,1462
2023-04-17,7332,13226321,4745360,8480961,176906,68720,108186,0.01337529914781291,2483479,0.1877679363747485,311.0,15159,315.0,15024,317.0,12353,2023-04-20,33564,317.0,3115,318.0,2539,315.0,1958
2023-04-18,7460,13172310,4728693,8443617,130555,58247,72308,0.009911321552559877,2511879,0.19069388740471488,313.0,10141,318.0,9593,317.0,9526,2023-04-20,43287,317.0,3986,318.0,3024,319.0,2739
2023-04-19,7346,13413502,4867590,8545912,161793,72106,89687,0.012061950712051185,2535502,0.18902610220656768,316.0,11773,320.0,11663,319.0,10302,2023-04-20,68977,321.0,5977,324.0,4560,318.0,4267
2023-04-20,7280,13568519,4893077,8675442,159985,69696,90289,0.01179089626509717,2545916,0.1876340372888154,320.0,17304,319.0,12408,315.0,11804,2023-04-20,159985,320.0,17304,319.0,12408,315.0,11804
2023-04-21,7496,13907968,4990408,8917560,2279491,799231,1480260,0.16389820569043587,2949775,0.21209244945055955,300.0,127190,305.0,114615,310.0,107927,2023-04-21,2279491,300.0,127190,305.0,114615,310.0,107927
2023-04-24,7374,13743067,4664855,9078212,145368,63291,82077,0.01057755157564174,857768,0.06241459784777299,315.0,10056,316.0,9880,310.0,9851,2023-05-19,1844382,315.0,181042,300.0,110366,320.0,108116
2023-04-25,7206,12217560,4351288,7866272,157578,70005,87573,0.012897665327610422,914625,0.07486151080903225,318.0,10920,310.0,9993,315.0,9906,2023-05-19,1855908,315.0,184046,300.0,115542,320.0,110279
2023-04-26,7356,12462812,4505712,7957100,200072,93172,106900,0.01605351986373541,1012719,0.08125926957736344,314.0,15285,310.0,12472,313.0,12216,2023-05-19,1872406,315.0,187700,300.0,116261,320.0,112550
2023-04-27,7420,12602671,4524267,8078404,184150,94408,89742,0.01461198185686193,989360,0.07850399332014618,320.0,14354,313.0,11582,314.0,10911,2023-05-19,1907186,315.0,197082,300.0,118934,320.0,110936
2023-04-28,7328,12936521,4552216,8384305,740743,254210,486533,0.057259830521668074,1587611,0.12272318036665344,310.0,50117,315.0,40128,318.0,37741,2023-05-19,1919434,315.0,198997,320.0,113352,300.0,111073
2023-05-01,7480,13170614,4514425,8656189,218865,78893,139972,0.016617676290566256,1106710,0.08402873244937556,315.0,21659,312.0,19042,320.0,12722,2023-05-19,1946111,315.0,204831,320.0,124830,300.0,109843
2023-05-02,7310,12929438,4523877,8405561,186248,69867,116381,0.014404957121879544,1142259,0.08834560326597335,323.0,17595,320.0,14077,322.0,13692,2023-05-19,1947436,315.0,206077,320.0,127834,300.0,109830
2023-05-03,7418,13000336,4596248,8404088,179433,79034,100399,0.013802181728226101,1140130,0.08770004098355612,320.0,17441,315.0,11052,318.0,10413,2023-05-19,1974194,315.0,204482,320.0,124651,300.0,110867
2023-05-04,7406,13065162,4622118,8443044,185366,80552,104814,0.01418780723882337,1110086,0.08496534524409265,315.0,20570,320.0,15260,328.0,11236,2023-05-18,0,313.0,0,322.0,0,314.0,0
2023-05-05,7356,13153516,4637913,8515603,817271,254309,562962,0.06213327295910842,1263242,0.09603835202694093,310.0,60639,315.0,43524,265.0,32789,2023-05-18,4645,290.0,1514,300.0,923,317.0,675
