date,pin,pin_oi,spot10,pin_d10,pin_d12,pin_d14,pin_d15,pin_d1545,pin_d16,p_m5_d10,p_m5_d12,p_m5_d14,p_m5_d15,p_m5_d1545,p_m5_d16,p_p5_d10,p_p5_d12,p_p5_d14,p_p5_d15,p_p5_d1545,p_p5_d16,p_m2_d10,p_m2_d12,p_m2_d14,p_m2_d15,p_m2_d1545,p_m2_d16,p_p2_d10,p_p2_d12,p_p2_d14,p_p2_d15,p_p2_d1545,p_p2_d16,p_round_d10,p_round_d12,p_round_d14,p_round_d15,p_round_d1545,p_round_d16,exp_class,year,dte0_oi,oiterc
2023-03-28,311.0,13725,306.19,1.5709200169829198,1.4174205558639978,1.992227048564624,1.6558346124955072,1.5023351513766037,1.2704529867075953,0.062052973643815186,0.2155524347627372,0.3592540579378891,0.022861621868772063,0.13063783925013137,0.36252000391913963,3.2038930076096546,3.050393546490733,3.625200039191359,3.288807603122242,3.1353081420033386,2.9034259773343307,0.9177308207322259,0.7642313596133038,1.3390378523139301,1.002645416244813,0.8491459551259097,0.6172637904569014,2.2241092132336138,2.0706097521146916,2.6454162448153182,2.3090238087462014,2.155524347627298,1.9236421829582895,0.3886475717691622,0.5421470328880842,0.032659459812542126,0.3037329762565749,0.4572324373754784,0.6891146020444866,daily,2023,193507,loOI
2023-03-29,309.0,15109,311.52,0.8089368258859727,0.8249871597329202,0.749550590652279,1.0689522342064666,1.2776065742167495,1.223035439137135,2.4139702105803744,2.430020544427322,2.354583975346681,2.6739856189008684,2.882639958911151,2.8280688238315363,0.7960965588084292,0.7800462249614815,0.8554827940421226,0.5360811504879353,0.3274268104776521,0.3819979455572669,1.4509501797637334,1.467000513610681,1.3915639445300398,1.7109655880842272,1.9196199280945105,1.8650487930148956,0.16692347200821195,0.1829738058551596,0.10753723677451835,0.42693888032870575,0.6355932203389889,0.5810220852593742,0.4879301489470923,0.50398048279404,0.42854391371339867,0.7479455572675862,0.9565998972778693,0.9020287621982546,daily,2023,213605,midOI
2023-03-30,311.0,13969,315.55,1.4419267944858218,1.4324195848518402,1.080652828394874,1.346854698146094,1.483124702899701,1.483124702899701,3.0264617334812267,3.016954523847245,2.665187767390279,2.931389637141499,3.067659641895106,3.067659641895106,0.14260814450958284,0.1521153541435646,0.5038821106005308,0.23768024084931072,0.10141023609570375,0.10141023609570375,2.075740770083984,2.066233560450002,1.714466803993036,1.9806686737442558,2.116938678497863,2.116938678497863,0.80811281888766,0.7986056092536782,0.4468388527967121,0.7130407225479322,0.8493107273015391,0.8493107273015391,0.17429884328949813,0.16479163365551636,0.18697512280144984,0.07922674694977024,0.2154967517033772,0.2154967517033772,daily,2023,196718,loOI
2023-03-31,310.0,90735,317.08,2.232874984231104,2.769017282704672,2.8857070770783326,3.03078087548884,3.1600857827677498,3.4344644884571673,3.809764097388667,4.345906395862235,4.462596190235896,4.6076699886464025,4.7369748959253135,5.01135360161473,0.6559858710735411,1.1921281695471089,1.30881796392077,1.4538917623312773,1.5831966696101873,1.8575753752996047,2.863630629494129,3.3997729279676965,3.5164627223413576,3.661536520751865,3.790841428030775,4.065220133720192,1.6021193389680788,2.1382616374416465,2.2549514318153077,2.4000252302258147,2.5293301375047252,2.8037088431941424,0.6559858710735411,1.1921281695471089,1.30881796392077,1.4538917623312773,1.5831966696101873,1.8575753752996047,weekly_fri,2023,1935968,hiOI
2023-04-03,318.0,21993,319.15,0.36033213222621885,0.07049976500079046,0.02193326022246379,0.3571988093372979,0.5921980260065758,0.6799310668964488,1.9269935766880706,1.6371612094626422,1.544728184239388,1.9238602537991498,2.1588594704684274,2.2465925113583007,1.2063293122356331,1.4961616794610615,1.5885947046843156,1.209462635124554,0.9744634184552762,0.8867303775654032,0.9869967100109597,0.6971643427855312,0.604731317562277,0.9838633871220387,1.2188626037913164,1.3065956446811895,0.266332445558522,0.5561648127839502,0.6485978380072046,0.2694657684474428,0.03446655177816502,0.05326648911170795,0.266332445558522,0.5561648127839502,0.6485978380072046,0.2694657684474428,0.03446655177816502,0.05326648911170795,daily,2023,250628,hiOI
2023-04-04,314.0,9082,320.49,2.0250241817217414,1.6599581890230561,1.6537177447034264,1.3416955287216485,1.2886517520047414,1.5975537458267044,3.5851352616306307,3.2200692689319457,3.2138288246123157,2.9018066086305376,2.8487628319136307,3.1576648257355933,0.46491310181285184,0.09984710911416679,0.09360666479453691,0.21841555118724096,0.2714593279041482,0.03744266591781476,2.6490686136852974,2.284002620986612,2.2777621766669824,1.9657399606852044,1.912696183968297,2.22159817779026,1.4009797497581855,1.0359137570595005,1.0296733127398707,0.7176510967580927,0.6646073200411855,0.9735093138631485,0.152890885831074,0.2121751068676111,0.21841555118724096,0.5304377671690188,0.5834815438859261,0.2745795500639631,daily,2023,150766,loOI
2023-04-05,310.0,25449,317.25,2.2852639873916467,1.613869188337275,1.676910953506696,1.818754925137898,1.8597320724980229,1.8439716312056809,3.8613081166272654,3.1899133175728935,3.252955082742315,3.3947990543735167,3.4357762017336415,3.4200157604412995,0.7092198581560284,0.03782505910165628,0.10086682427107743,0.2427107959022795,0.28368794326240415,0.2679275019700623,2.9156816390858946,2.2442868400315223,2.307328605200943,2.4491725768321455,2.4901497241922703,2.4743892828999283,1.6548463356973995,0.9834515366430273,1.0464933018124485,1.1883372734436506,1.2293144208037752,1.2135539795114334,0.7092198581560284,0.03782505910165628,0.10086682427107743,0.2427107959022795,0.28368794326240415,0.2679275019700623,daily,2023,261966,hiOI
2023-04-06,315.0,35264,313.64,0.43361816094886296,0.6217319219487274,0.9756408621349325,0.9596990179823973,1.02346639459252,0.9883943374569644,1.1605662543042936,2.2159163372018837,2.569825277388089,2.553883433235554,2.6176508098456766,2.5825787527101207,2.0278025762020193,0.9724524933044291,0.618543553118224,0.6344853972707591,0.5707180206606366,0.6057900777961922,0.2040556051523997,1.25940568804999,1.613314628236195,1.5973727840836598,1.6611401606937828,1.626068103558227,1.0712919270501255,0.01594184415253519,0.3379670960336699,0.32202525188113473,0.3857926284912574,0.3507205713557017,0.43361816094886296,0.6217319219487274,0.9756408621349325,0.9596990179823973,1.02346639459252,0.9883943374569644,weekly_fri,2023,604710,hiOI
2023-04-10,313.0,16769,313.71,0.2263236747314334,0.7204105702719044,1.259124669280542,1.5141372605272385,1.3850371362086091,1.5683274361671657,1.8201523700232636,2.3142392655637343,2.8529533645723726,3.107965955819069,2.9788658315004395,3.1621561314589957,1.3675050205603967,0.8734181250199258,0.33470402601128796,0.0796914347645915,0.20879155908322106,0.025501259124664208,0.8638551528481654,1.3579420483886364,1.8966561473972743,2.151668738643971,2.0225686143253414,2.205858914283898,0.4112078033852987,0.08287909215517227,0.6215931911638101,0.8766057824105066,0.7475056580918771,0.9307959580504338,0.4112078033852987,0.08287909215517227,0.6215931911638101,0.8766057824105066,0.7475056580918771,0.9307959580504338,daily,2023,205779,midOI
2023-04-11,312.0,14020,316.64,1.465386558868111,1.2222081859525027,1.5601313794845875,1.5948711470439654,1.2916877210712403,1.2095755432036333,3.044466902475994,2.8012885295603853,3.1392117230924708,3.1739514906518482,2.870768064679123,2.788655886811516,0.11369378473977187,0.35687215765538005,0.01894896412329531,0.01579080343608242,0.28739262253664255,0.3695048004042496,2.097018696311264,1.8538403233956557,2.1917635169277405,2.2265032844871184,1.9233198585143934,1.8412076806467863,0.8337544214249579,0.5905760485093496,0.9284992420414344,0.9632390096008121,0.6600555836280871,0.5779434057604801,0.5179383527033813,0.27475997978777306,0.6126831733198579,0.6474229408792356,0.34423951490651056,0.2621273370389035,daily,2023,163589,loOI
