kind,date,d,s,dur,vol,mult,dir,imp,rel5,r5sign,fwd1m,fwd5m,fwd15m,fwd60m,front,onesided,disp
monster,2021-02-09,16,16811,1,220,28.14,1,5.676,1.562,1,1,0.5,6.75,18.25,,,
monster,2021-02-09,16,18440,1,207,29.29,1,1.739,1.333,1,-4.5,0.75,-0.25,-2.25,,,
monster,2021-02-10,17,15641,1,201,25.63,-1,12.95,3.027,-1,-1.5,-5.25,-14.75,-67,,,
monster,2021-02-10,17,16809,1,275,34.7,-1,14.47,1.257,-1,-1.75,-3.25,-4.75,-57.25,,,
monster,2021-02-10,17,17915,1,406,54.44,1,18.72,5.297,1,-0.25,15.5,30.5,9.75,,,
monster,2021-02-10,17,18074,1,201,30.53,1,5.18,3.509,1,3.5,21,26.25,-1.75,,,
monster,2021-02-10,17,18215,1,326,40.54,1,10.21,3.875,1,2.25,5.75,10.5,1,,,
monster,2021-02-10,17,18338,1,153,26.57,1,6.462,6.786,1,4.75,-0.75,6,-15.25,,,
monster,2021-02-10,17,21546,1,257,29.65,-1,6.63,1.907,-1,3.5,-4.75,22.25,,,,
monster,2021-02-11,18,4968,1,544,27.9,1,6.531,1.354,1,-3.75,-13.5,-26,-3.75,,,
monster,2021-02-11,18,5462,1,714,46.87,-1,16.03,2.111,-1,11.75,-1,-0.25,-2,,,
monster,2021-02-11,18,10311,1,257,30.9,-1,9.63,8.13,-1,-9.75,1.25,17.25,-10.75,,,
monster,2021-02-11,18,11871,1,463,39.69,-1,4.773,4.778,-1,17.5,-20,-36.25,-59,,,
monster,2021-02-11,18,11994,1,194,25.53,-1,4.941,1.917,-1,-1.75,-8,-27.5,-48,,,
monster,2021-02-11,18,14136,1,435,53.37,1,11.84,1.417,1,2.75,-0.25,9,-43.25,,,
monster,2021-02-11,18,14745,1,230,28.22,1,8.571,1.4,1,-4.75,-1.75,-3.75,-35,,,
monster,2021-02-11,18,17020,1,303,44.56,-1,8.696,1.087,-1,2.75,-6.75,1.5,-37,,,
monster,2021-02-11,18,17639,1,330,46.37,-1,6.154,1.688,-1,14.5,3.25,0.5,-37,,,
monster,2021-02-11,18,21305,1,485,47.32,1,10,1.692,1,-4.75,-4.5,-15.75,,,,
monster,2021-02-11,18,22889,1,507,39.92,1,9.925,3.382,1,-8.25,-3.25,,,,,
monster,2021-02-12,19,13876,1,617,75.63,-1,29.14,2.971,-1,4.25,-3,-15.25,0.5,,,
monster,2021-02-12,19,14611,1,265,40.1,1,7.66,1.273,1,2,5.75,0,-6.5,,,
monster,2021-02-12,19,16566,1,213,31.17,-1,6.358,2.867,-1,-4,-9.5,-11.5,-28.5,,,
monster,2021-02-12,19,19497,1,253,34.19,-1,5.753,0.4783,1,-1.5,-4.25,-1.75,-55.25,,,
monster,2021-02-12,19,21669,1,342,37.89,1,2.195,1.704,1,-1.5,3.5,27.5,,,,
monster,2021-02-12,19,21847,1,370,28.52,1,2.233,1.32,1,1.5,6.25,21.5,,,,
monster,2021-02-12,19,22000,1,306,26.63,1,6.136,0.7541,1,4,14,25,,,,
monster,2021-02-16,21,4856,1,565,34.17,-1,11.39,1.625,-1,5.25,20.25,17.5,79,,,
monster,2021-02-16,21,6046,1,415,27.07,-1,7.087,4.125,-1,5.25,-12.25,4.5,86.75,,,
monster,2021-02-16,21,7362,1,534,27.18,-1,6.393,2.394,-1,-3.25,-27.25,-17.75,-8,,,
monster,2021-02-16,21,13402,1,325,33.51,1,5.753,1.688,1,-6.75,-8,-13.75,-32,,,
monster,2021-02-16,21,15823,1,207,26.48,-1,7.397,1.053,-1,2.25,6.75,-7,-7,,,
monster,2021-02-16,21,18111,1,170,25.37,-1,3.429,0.625,1,1.5,-4.25,6.25,21.5,,,
monster,2021-02-16,21,20766,1,279,34.59,1,7.5,1.333,-1,-3,-8.25,-10.75,,,,
monster,2021-02-16,21,20987,1,387,42.3,-1,10,1.105,-1,4,5.75,7.5,,,,
monster,2021-02-17,22,7533,1,408,26.93,-1,11.08,3.68,-1,-7,-6.5,-27.5,-67,,,
monster,2021-02-17,22,7976,1,309,26.7,1,13.15,1.778,1,-9,-23,18.25,54.5,,,
monster,2021-02-17,22,12809,1,250,25.75,1,3.593,2.333,1,-11,2.75,12.5,20.25,,,
monster,2021-02-17,22,16713,1,238,31.73,-1,8.511,2.474,1,-1.75,-0.75,16.25,5.75,,,
monster,2021-02-17,22,17356,1,224,26.69,-1,4.444,1.885,-1,-3,9.75,23,-0,,,
monster,2021-02-17,22,17860,1,193,26.26,1,5.926,5.667,-1,-0.25,-12,-1.75,27.25,,,
monster,2021-02-17,22,21130,1,370,39.19,1,12.89,1.364,1,5.5,14.75,17,,,,
monster,2021-02-18,23,6650,1,349,26.37,-1,15.26,4.737,1,-5.25,-2.25,9,25.5,,,
monster,2021-02-18,23,10003,1,328,27.56,-1,9.524,2.033,1,1,-15.25,-34,-27.75,,,
monster,2021-02-18,23,10332,1,331,26.77,1,8,4.491,1,2.75,13.5,7,30.25,,,
monster,2021-02-18,23,13787,1,257,30.26,1,6.968,5.897,1,-4.5,9.25,30.75,41,,,
monster,2021-02-18,23,14115,1,436,52.53,-1,10.7,1.2,1,-9,-14.25,-22.5,-36.75,,,
monster,2021-02-18,23,14358,1,282,35.62,1,6.621,3.451,1,-3,1.25,-6.75,13.75,,,
monster,2021-02-18,23,14999,1,209,25.57,1,8.633,1.243,1,-6.5,-14,-7.5,9.5,,,
monster,2021-02-18,23,16475,1,293,28.31,1,5.03,4.286,1,-6,1,-5.25,27,,,
monster,2021-02-18,23,18368,1,273,38.86,1,4.58,4.267,1,-3.5,-7.5,-11.25,29.25,,,
monster,2021-02-18,23,19437,1,312,37.37,1,1.491,1.61,-1,-0.25,12.25,41.5,28.75,,,
monster,2021-02-18,23,19807,1,479,58.77,1,9.825,3.625,1,11.75,17,27.5,4,,,
monster,2021-02-18,23,20362,1,172,25.33,1,10.61,1.778,1,1.5,6.5,-0.5,,,,
monster,2021-02-18,23,20982,1,355,39.52,-1,7.857,0.6087,-1,-2.75,-0.25,-4.5,,,,
monster,2021-02-19,24,4498,1,509,26,-1,13.69,1.024,1,-0.5,4,-10,-28.25,,,
monster,2021-02-19,24,9895,1,356,30.67,-1,9.783,2.619,-1,-6.5,2,23.75,91.25,,,
monster,2021-02-19,24,10855,1,290,32.68,-1,9.825,1.226,-1,-4,-3,19.5,36.5,,,
monster,2021-02-19,24,11168,1,292,37.88,-1,9.626,1.963,-1,13.5,19,17.75,48.5,,,
monster,2021-02-19,24,12240,1,310,28.18,-1,13.12,3.415,-1,5.5,-5.75,0.75,-10.5,,,
monster,2021-02-19,24,13244,1,248,28.42,-1,11.32,2.385,-1,2.5,-6.5,-16.25,-40,,,
monster,2021-02-19,24,15738,1,307,36.3,-1,7.912,2.765,-1,-1.5,-10,-12.5,9.25,,,
monster,2021-02-19,24,16685,1,231,28.76,1,3.357,1.822,1,-3.5,-6.25,-19.75,-16.25,,,
monster,2021-02-19,24,17635,1,303,39.1,-1,15.29,5.07,-1,-0.25,6,7.25,-20,,,
monster,2021-02-19,24,17932,1,284,38.08,-1,20.98,3.273,-1,-7.75,-4.5,3.25,-36.5,,,
monster,2021-02-19,24,18173,1,431,45.77,1,6.557,0.3125,1,0.5,-1.5,4.5,30.25,,,
monster,2021-02-19,24,19140,1,291,36.99,-1,4,5.419,1,3.75,11.75,-12.75,-9.25,,,
monster,2021-02-22,25,3545,1,664,27.66,-1,4.629,1.292,-1,-4.25,-8.25,14.25,1.75,,,
monster,2021-02-22,25,16030,1,227,29.67,1,11.05,1.672,1,-0.75,-12,-19.25,-53.5,,,
monster,2021-02-22,25,19564,1,229,26.84,-1,5.926,1.278,-1,6,-0.25,34,92.75,,,
monster,2021-02-22,25,20781,1,330,36.03,-1,16.85,3.762,-1,-8.25,-9,18.5,,,,
monster,2021-02-22,25,21366,1,441,44.43,-1,15.3,2.667,-1,5.25,12.25,31.25,,,,
monster,2021-02-22,25,22489,1,355,27.61,1,8.451,0.6857,-1,6,9.25,-8.5,,,,
