trade_date,c_0,c_400,c_600,c_830,c_900,c_915,c_930,c_945,c_1000,c_1030,c_1100,c_1200,c_1300,c_1330,c_1400,c_1430,c_1500,c_1515,c_1530,c_1545,c_1600,c_1800,c_2000,s_0,s_400,s_600,s_830,s_900,s_915,s_930,s_945,s_1000,s_1030,s_1100,s_1200,s_1300,s_1330,s_1400,s_1430,s_1500,s_1515,s_1530,s_1545,s_1600,s_1800,s_2000
2021-01-26,3825.75,3840.75,3841.25,3851.0,3856.5,3856.5,3861.25,3852.0,3853.0,3850.75,3849.75,3841.25,3844.75,3848.0,3849.75,3849.0,3849.0,3851.25,3851.75,3847.5,3843.5,,3842.5,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,,ESH1
2021-01-27,3836.5,3837.5,3827.75,3804.75,3804.25,3798.0,3795.5,3768.25,3779.75,3801.0,3798.5,3766.5,3790.25,3788.75,3781.75,3763.5,3742.25,3751.75,3735.5,3732.5,3754.75,3848.25,3846.25,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-01-28,3729.25,3711.5,3729.75,3737.0,3767.25,3770.0,3769.0,3787.75,3778.5,3796.25,3804.25,3814.0,3820.5,3817.25,3820.75,3811.75,3807.0,3808.25,3801.25,3789.0,3776.0,3734.5,3727.25,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-01-29,3733.5,3746.0,3746.0,3751.0,3764.5,3764.75,3758.25,3742.5,3754.0,3770.0,3759.25,3731.25,3692.5,3707.75,3707.25,3708.75,3718.75,3727.5,3727.75,3711.5,3710.25,3764.5,3765.25,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-01,3722.25,3735.25,3734.5,3737.25,3738.5,3737.25,3745.5,3734.0,3725.0,3736.5,3729.0,3757.25,3767.25,3769.0,3766.5,3772.5,3774.0,3773.0,3768.5,3769.75,3761.5,3688.0,3689.25,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-02,3784.25,3792.75,3800.5,3796.0,3799.25,3796.0,3800.5,3808.25,3813.5,3820.5,3824.25,3833.5,3833.75,3828.75,3830.5,3829.75,3833.5,3829.25,3831.0,3827.25,3814.25,3765.25,3768.5,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-03,3832.0,3834.0,3834.25,3830.25,3833.25,3829.75,3826.0,3824.75,3830.75,3813.75,3822.0,3828.75,3832.25,3831.75,3836.5,3838.5,3834.5,3834.75,3829.75,3830.25,3825.25,3829.25,3835.5,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-04,3814.75,3830.0,3829.75,3832.0,3833.25,3832.75,3832.5,3833.25,3842.5,3841.0,3846.5,3850.0,3851.0,3854.75,3855.25,3855.5,3855.25,3854.25,3854.0,3855.25,3864.5,3834.25,3826.75,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-05,3870.25,3872.25,3881.75,3880.25,3880.5,3882.75,3885.0,3880.75,3875.75,3876.25,3881.0,3876.5,3887.25,3884.25,3878.25,3882.25,3878.0,3879.5,3876.25,3878.75,3881.25,3865.0,3861.0,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-08,3897.75,3889.75,3889.75,3895.0,3895.75,3897.0,3897.0,3899.75,3899.25,3899.0,3899.5,3893.25,3893.0,3894.25,3892.0,3892.0,3896.75,3897.25,3899.5,3900.25,3908.5,3888.25,3894.0,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-09,3907.5,3907.0,3902.25,3901.5,3902.0,3899.75,3899.25,3901.75,3906.0,3905.75,3903.0,3904.0,3909.75,3906.25,3908.0,3910.25,3911.0,3911.25,3908.75,3910.5,3908.5,3910.5,3908.0,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-10,3919.25,3920.25,3919.25,3919.0,3924.75,3924.0,3925.5,3920.25,3922.25,3895.75,3901.75,3895.5,3899.0,3902.75,3900.75,3907.0,3913.5,3912.25,3908.75,3898.75,3906.0,3910.75,3909.75,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-11,3907.5,3913.5,3915.0,3916.75,3915.5,3915.25,3915.75,3917.0,3910.75,3911.5,3910.25,3909.0,3896.0,3898.5,3897.0,3896.25,3900.25,3905.5,3904.5,3904.75,3910.5,3906.75,3896.75,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-12,3904.0,3897.75,3903.0,3904.5,3899.5,3900.75,3903.75,3907.5,3907.25,3908.0,3916.5,3918.0,3915.5,3913.0,3910.5,3912.5,3914.25,3916.75,3917.5,3922.75,3933.0,3903.5,3908.5,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1
2021-02-15,3946.5,3948.0,3948.25,3946.75,3947.25,3946.75,3947.25,3949.5,3949.25,3949.5,3950.25,3950.25,,,,,,,,,,3937.25,3943.75,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,ESH1,,,,,,,,,,ESH1,ESH1
