trade_date,c_0,c_400,c_600,c_830,c_900,c_915,c_930,c_945,c_1000,c_1030,c_1100,c_1200,c_1300,c_1330,c_1400,c_1430,c_1500,c_1515,c_1530,c_1545,c_1600,c_1800,c_2000,s_0,s_400,s_600,s_830,s_900,s_915,s_930,s_945,s_1000,s_1030,s_1100,s_1200,s_1300,s_1330,s_1400,s_1430,s_1500,s_1515,s_1530,s_1545,s_1600,s_1800,s_2000,vol0830_5m,vol1400_5m,vol0930_5m,rth_avg1m_vol
2020-12-28,12772.2,12779.5,12785.0,12809.2,12819.8,12826.8,12809.2,12798.8,12799.2,12774.8,12809.5,12818.5,12837.8,12841.8,12840.2,12847.2,12849.5,12852.0,12845.0,12841.8,12828.0,12684.5,12741.8,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,628.0,1283.0,15105.0,669.3256410256411
2020-12-29,12868.0,12889.8,12885.5,12888.2,12890.8,12883.8,12895.8,12910.5,12861.0,12854.5,12882.2,12858.2,12843.8,12854.8,12858.5,12834.8,12845.2,12845.8,12854.8,12855.5,12841.5,12844.5,12858.8,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,414.0,2652.0,14915.0,841.1128205128205
2020-12-30,12882.2,12883.5,12889.0,12898.0,12898.5,12898.5,12894.0,12856.8,12863.5,12863.0,12847.2,12869.0,12858.8,12862.8,12866.2,12857.2,12845.0,12833.8,12837.0,12845.0,12837.5,12859.8,12828.8,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,886.0,2063.0,14041.0,676.4564102564102
2020-12-31,12842.0,12845.8,12854.0,12850.2,12847.8,12851.5,12844.8,12846.8,12840.2,12847.5,12848.5,12803.5,12823.8,12821.5,12810.2,12834.0,12847.8,12858.5,12840.8,12846.0,12891.5,12844.8,12852.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,694.0,3240.0,10066.0,592.1102564102564
2021-01-04,12872.8,12931.8,12938.8,12943.0,12941.8,12934.0,12916.2,12900.8,12881.2,12882.2,12779.2,12626.0,12594.2,12644.5,12674.5,12642.0,12664.0,12665.8,12639.8,12686.8,12692.5,12895.2,12837.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,466.0,4514.0,15990.0,1383.553846153846
2021-01-05,12680.2,12689.2,12707.5,12638.2,12619.2,12643.8,12671.0,12741.2,12754.0,12736.8,12720.2,12727.2,12732.5,12728.8,12768.0,12794.2,12778.2,12783.5,12756.8,12779.0,12797.0,12682.0,12694.2,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,1897.0,5303.0,18337.0,916.0948717948718
2021-01-06,12618.2,12528.5,12545.8,12630.5,12575.8,12576.5,12619.8,12612.5,12625.2,12711.2,12731.0,12755.0,12770.8,12750.2,12779.5,12706.2,12664.5,12678.2,12659.2,12637.2,12604.0,12795.0,12775.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,1670.0,3093.0,22349.0,1239.851282051282
2021-01-07,12702.5,12689.8,12669.0,12721.0,12713.8,12730.5,12734.0,12792.2,12841.2,12876.2,12898.5,12893.0,12895.8,12899.2,12914.5,12906.2,12920.2,12924.0,12945.0,12943.8,12924.8,12659.5,12702.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,844.0,2685.0,17069.0,794.8051282051282
2021-01-08,12958.2,12971.5,12970.8,12987.0,12996.8,13003.0,13017.5,13032.2,13029.2,12978.0,13028.8,13031.2,13026.8,12989.5,13006.0,13025.0,13044.8,13059.0,13052.0,13081.8,13110.8,12926.5,12948.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,2803.0,6034.0,17911.0,1035.8820512820512
2021-01-11,13028.0,13046.0,13048.2,12994.0,12976.0,12963.2,12954.5,12921.8,12958.5,12991.2,12974.0,12990.2,13000.8,12973.2,12949.0,12916.8,12933.2,12913.0,12883.2,12895.2,12914.0,13084.0,13067.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,1955.0,3783.0,19708.0,879.2051282051282
2021-01-12,12899.2,12929.2,12944.5,12914.0,12889.8,12887.5,12908.5,12916.5,12873.8,12909.2,12878.5,12870.0,12839.2,12870.2,12893.2,12886.5,12880.0,12874.8,12873.8,12892.5,12879.8,12904.5,12943.5,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,938.0,5679.0,12869.0,930.6589743589743
2021-01-13,12924.5,12915.2,12896.0,12856.8,12866.0,12885.5,12906.8,12878.2,12926.2,12931.5,12980.0,12965.8,12972.5,12980.0,12978.8,12997.5,12991.8,12979.5,12965.5,12993.8,12966.2,12885.0,12892.5,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,2021.0,7854.0,13293.0,816.0717948717949
2021-01-14,12951.5,12973.0,12941.0,12970.5,12982.2,12981.5,12983.2,12979.8,12994.8,13003.2,13012.8,12976.8,12981.0,12946.0,12945.0,12953.0,12954.2,12927.0,12913.2,12934.5,12897.0,12972.0,12996.0,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,499.0,2720.0,15653.0,834.4128205128205
2021-01-15,12878.2,12892.8,12874.2,12907.5,12886.2,12885.5,12897.0,12912.5,12892.2,12786.5,12792.2,12835.8,12843.5,12875.5,12871.0,12853.8,12826.2,12845.8,12820.0,12804.0,12785.5,12919.0,12904.2,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,2239.0,2852.0,16775.0,1069.8538461538462
2021-01-18,12766.8,12783.2,12785.5,12803.5,12803.5,12795.5,12807.0,12796.8,12813.0,12801.0,12811.5,12810.2,,,,,,,,,,12776.8,12774.8,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,,,,,,,,,,NQH1,NQH1,197.0,,1927.0,94.36666666666666
2021-01-19,12932.0,12911.0,12926.2,12900.8,12893.5,12905.5,12911.0,12903.8,12883.0,12886.0,12883.5,12898.8,12958.5,12970.0,12984.2,12981.5,12989.0,12996.0,12991.5,12996.2,12969.2,12819.5,12870.5,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,NQH1,533.0,3261.0,16845.0,823.9179487179487
