trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2021-01-26,2021,1,0,,,,3861.25,3843.5,3862.25,3840.0,0931,1149,883995,-17.75,,ESH1,3861.25,3853.0,3850.75,3849.75,3847.5,3841.25,3846.25,3844.75,3848.0,3849.75,3849.0,3849.0,3851.25,3851.75,3847.5,3843.5
2021-01-27,2021,2,0,,3843.5,-48.0,3795.5,3754.75,3806.75,3723.25,0930,1537,1989478,-40.75,ESH1,ESH1,3795.5,3779.75,3801.0,3798.5,3784.25,3766.5,3780.5,3790.25,3788.75,3781.75,3763.5,3742.25,3751.75,3735.5,3732.5,3754.75
2021-01-28,2021,3,0,,3754.75,14.25,3769.0,3776.0,3823.5,3762.5,1342,0930,1433224,7.0,ESH1,ESH1,3769.0,3778.5,3796.25,3804.25,3804.5,3814.0,3818.25,3820.5,3817.25,3820.75,3811.75,3807.0,3808.25,3801.25,3789.0,3776.0
2021-01-29,2021,4,0,,3776.0,-17.75,3758.25,3710.25,3770.25,3685.5,1030,1317,2008175,-48.0,ESH1,ESH1,3758.25,3754.0,3770.0,3759.25,3727.5,3731.25,3715.0,3692.5,3707.75,3707.25,3708.75,3718.75,3727.5,3727.75,3711.5,3710.25
2021-02-01,2021,0,0,,3710.25,35.25,3745.5,3761.5,3777.0,3717.25,1451,0954,1185218,16.0,ESH1,ESH1,3745.5,3725.0,3736.5,3729.0,3751.0,3757.25,3765.5,3767.25,3769.0,3766.5,3772.5,3774.0,3773.0,3768.5,3769.75,3761.5
2021-02-02,2021,1,0,,3761.5,39.0,3800.5,3814.25,3835.75,3799.0,1215,0930,1067725,13.75,ESH1,ESH1,3800.5,3813.5,3820.5,3824.25,3828.75,3833.5,3830.75,3833.75,3828.75,3830.5,3829.75,3833.5,3829.25,3831.0,3827.25,3814.25
2021-02-03,2021,2,0,,3814.25,11.75,3826.0,3825.25,3840.0,3807.75,1437,1038,965918,-0.75,ESH1,ESH1,3826.0,3830.75,3813.75,3822.0,3821.0,3828.75,3827.5,3832.25,3831.75,3836.5,3838.5,3834.5,3834.75,3829.75,3830.25,3825.25
2021-02-04,2021,3,0,,3825.25,7.25,3832.5,3864.5,3865.75,3830.5,1559,0937,872667,32.0,ESH1,ESH1,3832.5,3842.5,3841.0,3846.5,3847.5,3850.0,3851.5,3851.0,3854.75,3855.25,3855.5,3855.25,3854.25,3854.0,3855.25,3864.5
2021-02-05,2021,4,0,,3864.5,20.5,3885.0,3881.25,3888.25,3868.5,1259,1019,832710,-3.75,ESH1,ESH1,3885.0,3875.75,3876.25,3881.0,3878.75,3876.5,3881.75,3887.25,3884.25,3878.25,3882.25,3878.0,3879.5,3876.25,3878.75,3881.25
2021-02-08,2021,0,0,,3881.25,15.75,3897.0,3908.5,3909.5,3887.0,1600,1141,726576,11.5,ESH1,ESH1,3897.0,3899.25,3899.0,3899.5,3894.75,3893.25,3895.75,3893.0,3894.25,3892.0,3892.0,3896.75,3897.25,3899.5,3900.25,3908.5
2021-02-09,2021,1,0,,3908.5,-9.25,3899.25,3908.5,3912.25,3895.0,1435,0941,669144,9.25,ESH1,ESH1,3899.25,3906.0,3905.75,3903.0,3900.5,3904.0,3908.5,3909.75,3906.25,3908.0,3910.25,3911.0,3911.25,3908.75,3910.5,3908.5
2021-02-10,2021,2,0,,3908.5,17.0,3925.5,3906.0,3926.0,3878.25,0930,1044,1311564,-19.5,ESH1,ESH1,3925.5,3922.25,3895.75,3901.75,3896.0,3895.5,3895.25,3899.0,3902.75,3900.75,3907.0,3913.5,3912.25,3908.75,3898.75,3906.0
2021-02-11,2021,3,0,,3906.0,9.75,3915.75,3910.5,3920.5,3884.5,0947,1246,1089623,-5.25,ESH1,ESH1,3915.75,3910.75,3911.5,3910.25,3910.0,3909.0,3894.25,3896.0,3898.5,3897.0,3896.25,3900.25,3905.5,3904.5,3904.75,3910.5
2021-02-12,2021,4,0,,3910.5,-6.75,3903.75,3933.0,3933.75,3901.0,1600,0930,792795,29.25,ESH1,ESH1,3903.75,3907.25,3908.0,3916.5,3917.5,3918.0,3914.0,3915.5,3913.0,3910.5,3912.5,3914.25,3916.75,3917.5,3922.75,3933.0
2021-02-15,2021,0,0,50.089285714285715,3933.0,14.25,3947.25,3950.0,3952.0,3947.0,1120,0930,31022,2.75,ESH1,ESH1,3947.25,3949.25,3949.5,3950.25,3950.5,3950.25,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0
2021-02-16,2021,1,0,49.857142857142854,3950.0,-8.25,3941.75,3927.25,3945.0,3918.75,0948,1210,1055077,-14.5,ESH1,ESH1,3941.75,3941.75,3944.0,3934.5,3925.5,3922.75,3932.25,3932.0,3933.0,3929.5,3935.5,3931.25,3930.75,3928.75,3930.0,3927.25
2021-02-17,2021,2,0,43.5,3927.25,-19.25,3908.0,3927.75,3930.0,3896.5,1550,0938,1020160,19.75,ESH1,ESH1,3908.0,3917.25,3905.75,3914.75,3905.5,3910.75,3913.0,3915.0,3918.0,3918.0,3917.0,3921.5,3924.0,3924.5,3926.75,3927.75
2021-02-18,2021,3,0,40.982142857142854,3927.75,-29.5,3898.25,3913.0,3918.5,3880.5,1536,1032,1148140,14.75,ESH1,ESH1,3898.25,3899.5,3884.0,3891.5,3894.0,3891.0,3893.75,3894.0,3907.0,3906.75,3911.0,3913.25,3917.0,3916.0,3917.25,3913.0
2021-02-19,2021,4,0,37.892857142857146,3913.0,10.25,3923.25,3901.5,3927.25,3898.75,1132,1556,1039218,-21.75,ESH1,ESH1,3923.25,3922.5,3918.5,3924.0,3926.0,3919.25,3913.0,3910.0,3907.0,3912.0,3904.0,3907.75,3908.25,3910.5,3907.75,3901.5
2021-02-22,2021,0,0,35.160714285714285,3901.5,-24.75,3876.75,3876.0,3899.25,3870.0,1355,0934,1044313,-0.75,ESH1,ESH1,3876.75,3885.25,3876.75,3877.5,3881.75,3881.75,3883.0,3891.25,3897.25,3897.0,3895.75,3891.5,3887.25,3882.25,3880.5,3876.0
2021-02-23,2021,1,0,32.107142857142854,3876.0,-29.25,3846.75,3881.25,3892.25,3804.75,1527,0950,1768692,34.5,ESH1,ESH1,3846.75,3821.0,3840.5,3855.25,3848.0,3838.75,3845.25,3829.5,3853.0,3854.0,3861.25,3870.25,3883.75,3890.25,3887.0,3881.25
