trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2020-12-28,2020,0,0,,,,12809.25,12828.0,12855.5,12740.75,1519,1020,262595,18.75,,NQH1,12809.25,12799.25,12774.75,12809.5,12821.75,12818.5,12835.5,12837.75,12841.75,12840.25,12847.25,12849.5,12852.0,12845.0,12841.75,12828.0
2020-12-29,2020,1,0,,12828.0,67.75,12895.75,12841.5,12918.25,12808.25,0942,1247,329182,-54.25,NQH1,NQH1,12895.75,12861.0,12854.5,12882.25,12879.0,12858.25,12825.25,12843.75,12854.75,12858.5,12834.75,12845.25,12845.75,12854.75,12855.5,12841.5
2020-12-30,2020,2,0,,12841.5,52.5,12894.0,12837.5,12909.75,12820.5,0932,1039,265453,-56.5,NQH1,NQH1,12894.0,12863.5,12863.0,12847.25,12855.5,12869.0,12862.75,12858.75,12862.75,12866.25,12857.25,12845.0,12833.75,12837.0,12845.0,12837.5
2020-12-31,2020,3,0,,12837.5,7.25,12844.75,12891.5,12896.0,12796.5,1559,1158,233726,46.75,NQH1,NQH1,12844.75,12840.25,12847.5,12848.5,12836.25,12803.5,12824.0,12823.75,12821.5,12810.25,12834.0,12847.75,12858.5,12840.75,12846.0,12891.5
2021-01-04,2021,0,0,,12891.5,24.75,12916.25,12692.5,12941.25,12522.5,0930,1215,541911,-223.75,NQH1,NQH1,12916.25,12881.25,12882.25,12779.25,12721.25,12626.0,12584.5,12594.25,12644.5,12674.5,12642.0,12664.0,12665.75,12639.75,12686.75,12692.5
2021-01-05,2021,1,0,,12692.5,-21.5,12671.0,12797.0,12802.0,12650.25,1444,0930,359570,126.0,NQH1,NQH1,12671.0,12754.0,12736.75,12720.25,12732.75,12727.25,12713.25,12732.5,12728.75,12768.0,12794.25,12778.25,12783.5,12756.75,12779.0,12797.0
2021-01-06,2021,2,0,,12797.0,-177.25,12619.75,12604.0,12796.0,12551.25,1206,0933,487325,-15.75,NQH1,NQH1,12619.75,12625.25,12711.25,12731.0,12774.75,12755.0,12780.0,12770.75,12750.25,12779.5,12706.25,12664.5,12678.25,12659.25,12637.25,12604.0
2021-01-07,2021,3,0,,12604.0,130.0,12734.0,12924.75,12959.0,12726.0,1554,0930,312812,190.75,NQH1,NQH1,12734.0,12841.25,12876.25,12898.5,12902.5,12893.0,12882.5,12895.75,12899.25,12914.5,12906.25,12920.25,12924.0,12945.0,12943.75,12924.75
2021-01-08,2021,4,0,,12924.75,92.75,13017.5,13110.75,13118.75,12927.25,1600,1344,407099,93.25,NQH1,NQH1,13017.5,13029.25,12978.0,13028.75,13025.25,13031.25,13045.5,13026.75,12989.5,13006.0,13025.0,13044.75,13059.0,13052.0,13081.75,13110.75
2021-01-11,2021,0,0,,13110.75,-156.25,12954.5,12914.0,13014.0,12871.75,1234,1530,345141,-40.5,NQH1,NQH1,12954.5,12958.5,12991.25,12974.0,12981.5,12990.25,13005.25,13000.75,12973.25,12949.0,12916.75,12933.25,12913.0,12883.25,12895.25,12914.0
2021-01-12,2021,1,0,,12914.0,-5.5,12908.5,12879.75,12948.0,12767.25,0938,1215,364753,-28.75,NQH1,NQH1,12908.5,12873.75,12909.25,12878.5,12889.5,12870.0,12807.25,12839.25,12870.25,12893.25,12886.5,12880.0,12874.75,12873.75,12892.5,12879.75
2021-01-13,2021,2,0,,12879.75,27.0,12906.75,12966.25,13003.0,12864.5,1432,0944,320255,59.5,NQH1,NQH1,12906.75,12926.25,12931.5,12980.0,12971.0,12965.75,12963.5,12972.5,12980.0,12978.75,12997.5,12991.75,12979.5,12965.5,12993.75,12966.25
2021-01-14,2021,3,0,,12966.25,17.0,12983.25,12897.0,13028.75,12881.0,1053,1556,327750,-86.25,NQH1,NQH1,12983.25,12994.75,13003.25,13012.75,13000.25,12976.75,12975.5,12981.0,12946.0,12945.0,12953.0,12954.25,12927.0,12913.25,12934.5,12897.0
2021-01-15,2021,4,0,,12897.0,0.0,12897.0,12785.5,12931.25,12743.5,0938,1106,420109,-111.5,NQH1,NQH1,12897.0,12892.25,12786.5,12792.25,12856.25,12835.75,12829.0,12843.5,12875.5,12871.0,12853.75,12826.25,12845.75,12820.0,12804.0,12785.5
2021-01-18,2021,0,0,190.89285714285714,12785.5,21.5,12807.0,12806.0,12815.25,12784.25,1055,0933,19817,-1.0,NQH1,NQH1,12807.0,12813.0,12801.0,12811.5,12807.0,12810.25,12806.0,12806.0,12806.0,12806.0,12806.0,12806.0,12806.0,12806.0,12806.0,12806.0
2021-01-19,2021,1,0,184.91071428571428,12806.0,105.0,12911.0,12969.25,13006.5,12849.25,1504,1118,324983,58.25,NQH1,NQH1,12911.0,12883.0,12886.0,12883.5,12869.25,12898.75,12926.0,12958.5,12970.0,12984.25,12981.5,12989.0,12996.0,12991.5,12996.25,12969.25
2021-01-20,2021,2,0,191.375,12969.25,154.0,13123.25,13287.75,13327.0,13121.0,1544,0930,339400,164.5,NQH1,NQH1,13123.25,13168.75,13228.0,13229.5,13239.25,13257.75,13255.0,13270.75,13280.75,13276.75,13295.25,13311.0,13307.0,13315.25,13320.5,13287.75
2021-01-21,2021,3,0,210.55357142857142,13287.75,37.0,13324.75,13393.0,13423.5,13283.25,1549,0942,325969,68.25,NQH1,NQH1,13324.75,13320.0,13363.75,13383.5,13379.0,13368.0,13330.0,13362.5,13372.75,13369.75,13393.0,13402.5,13397.5,13400.75,13412.5,13393.0
2021-01-22,2021,4,0,213.46428571428572,13393.0,-38.75,13354.25,13348.0,13397.0,13323.0,1539,1049,312456,-6.25,NQH1,NQH1,13354.25,13385.0,13357.0,13348.25,13342.75,13372.75,13370.0,13353.75,13359.25,13355.0,13369.0,13388.0,13375.5,13383.0,13392.25,13348.0
2021-01-25,2021,0,0,188.83928571428572,13348.0,161.75,13509.75,13477.25,13554.5,13189.0,0938,1108,555881,-32.5,NQH1,NQH1,13509.75,13536.25,13518.25,13374.25,13320.0,13408.5,13333.5,13419.75,13432.5,13426.25,13432.0,13432.75,13378.75,13392.25,13442.0,13477.25
2021-01-26,2021,1,0,204.10714285714286,13477.25,26.0,13503.25,13489.75,13533.0,13426.75,1106,0945,388410,-13.5,NQH1,NQH1,13503.25,13480.75,13484.0,13512.5,13487.75,13460.75,13493.5,13480.75,13496.75,13500.5,13499.0,13488.5,13503.0,13500.25,13495.5,13489.75
