date,year,prev_close,prev_range,day_open,clow15,chigh15,entry15,clow20,chigh20,entry20,clow30,chigh30,entry30,exit1545
2021-01-27,2021,3194.0,22.25,3157.75,3119.25,3158.5,3119.25,3115.5,3158.5,3114.5,3112.75,3158.5,3131.0,3084.25
2021-01-28,2021,3096.75,83.5,3119.0,3117.0,3142.0,3139.5,3117.0,3142.0,3132.5,3117.0,3142.0,3128.5,3140.75
2021-01-29,2021,3131.5,58.25,3111.75,3088.0,3113.5,3092.75,3088.0,3113.5,3098.0,3088.0,3113.5,3107.0,3063.25
2021-02-01,2021,3060.0,83.0,3097.25,3089.0,3099.0,3087.0,3078.75,3099.0,3081.25,3071.0,3099.0,3073.0,3121.5
2021-02-02,2021,3116.5,57.75,3151.25,3151.0,3162.0,3161.0,3151.0,3166.5,3165.75,3151.0,3167.0,3164.0,3179.0
2021-02-03,2021,3170.25,36.5,3177.25,3172.75,3183.75,3176.0,3172.75,3183.75,3178.5,3172.75,3183.75,3183.5,3182.0
2021-02-04,2021,3173.75,30.75,3184.75,3182.25,3188.75,3185.0,3182.25,3190.5,3187.25,3182.25,3191.5,3194.0,3207.0
2021-02-05,2021,3214.25,32.25,3237.25,3229.0,3237.75,3231.25,3229.0,3237.75,3233.0,3225.75,3237.75,3226.75,3230.5
2021-02-08,2021,3233.0,19.75,3249.25,3246.25,3251.0,3250.0,3246.25,3252.0,3252.5,3246.25,3253.75,3251.25,3252.0
2021-02-09,2021,3258.0,19.0,3252.25,3247.5,3255.25,3251.0,3247.5,3255.25,3254.0,3247.5,3258.0,3256.5,3262.25
2021-02-10,2021,3257.75,16.5,3276.25,3270.5,3277.5,3272.0,3270.5,3277.5,3272.75,3269.0,3277.5,3271.75,3250.5
2021-02-11,2021,3254.25,46.0,3267.75,3265.5,3271.75,3267.0,3265.5,3272.25,3268.5,3258.75,3272.25,3259.5,3256.5
2021-02-12,2021,3262.5,33.75,3253.5,3252.75,3260.25,3259.75,3252.75,3261.0,3260.75,3252.75,3261.75,3259.0,3274.5
2021-02-15,2021,3281.0,30.25,3299.5,3298.75,3302.0,3301.5,3298.75,3302.0,3301.25,3298.75,3302.0,3301.0,3302.25
2021-02-16,2021,3302.25,5.0,3294.75,3288.25,3296.5,3295.75,3288.25,3296.75,3295.25,3288.25,3296.75,3292.25,3281.75
2021-02-17,2021,3279.0,26.0,3260.5,3250.5,3263.5,3260.5,3250.5,3265.75,3268.5,3250.5,3272.5,3267.25,3278.5
2021-02-18,2021,3279.75,32.0,3250.5,3245.5,3256.75,3250.0,3245.5,3256.75,3252.0,3245.5,3256.75,3253.0,3269.0
2021-02-19,2021,3260.75,37.75,3275.0,3268.25,3275.25,3271.0,3265.5,3275.25,3267.75,3265.5,3275.5,3274.25,3259.5
2021-02-22,2021,3255.0,26.75,3226.25,3221.75,3234.0,3234.0,3221.75,3235.25,3232.0,3221.75,3236.75,3235.0,3232.25
2021-02-23,2021,3226.25,29.25,3198.0,3177.75,3201.5,3176.25,3167.75,3201.5,3162.5,3162.0,3201.5,3177.0,3238.75
2021-02-24,2021,3229.75,82.0,3217.25,3208.75,3226.0,3216.0,3208.75,3226.25,3223.25,3208.75,3226.25,3221.75,3273.5
2021-02-25,2021,3272.25,70.25,3260.0,3259.0,3273.5,3269.0,3259.0,3273.5,3266.0,3259.0,3273.5,3261.75,3185.5
2021-02-26,2021,3181.75,111.5,3194.75,3188.25,3198.5,3193.5,3188.25,3203.5,3191.0,3174.25,3203.5,3175.0,3194.5
2021-03-01,2021,3166.25,70.75,3210.5,3209.75,3219.75,3219.75,3209.75,3222.25,3217.75,3209.75,3224.5,3223.25,3251.25
2021-03-02,2021,3247.5,54.0,3252.75,3242.0,3254.75,3245.5,3239.25,3254.75,3237.5,3236.5,3254.75,3247.5,3232.0
2021-03-03,2021,3222.5,34.75,3213.5,3203.25,3221.75,3203.5,3202.25,3221.75,3213.75,3199.75,3221.75,3203.0,3185.5
2021-03-04,2021,3170.0,52.5,3166.75,3166.0,3186.0,3181.5,3162.75,3186.0,3161.25,3155.75,3186.0,3161.0,3122.5
2021-03-05,2021,3114.75,118.75,3156.0,3134.25,3156.5,3137.25,3133.0,3156.5,3130.75,3114.0,3156.5,3124.0,3190.75
2021-03-08,2021,3192.25,120.75,3198.5,3184.75,3212.5,3212.5,3184.75,3213.5,3204.25,3184.75,3213.5,3197.5,3192.75
2021-03-09,2021,3174.75,56.25,3215.0,3207.75,3216.0,3216.0,3207.75,3222.5,3222.0,3207.75,3228.5,3226.75,3234.5
2021-03-10,2021,3228.0,45.25,3250.25,3245.75,3253.75,3257.0,3245.75,3257.25,3257.0,3245.75,3260.5,3257.75,3252.75
2021-03-11,2021,3249.5,31.0,3275.0,3271.25,3279.25,3272.5,3271.25,3279.25,3277.0,3271.25,3282.5,3284.25,3290.75
2021-03-12,2021,3289.5,38.75,3255.0,3249.5,3258.5,3260.25,3249.5,3260.5,3258.75,3249.5,3263.25,3261.5,3273.75
2021-03-15,2021,3276.25,28.5,3277.5,3274.0,3281.0,3276.5,3274.0,3281.0,3274.75,3272.25,3281.0,3274.0,3285.25
2021-03-16,2021,3301.0,45.0,3304.0,3302.25,3307.5,3307.75,3302.25,3310.0,3309.5,3302.25,3310.75,3309.0,3298.75
2021-03-17,2021,3296.5,27.75,3279.0,3273.25,3279.25,3279.5,3273.25,3283.25,3280.0,3273.25,3283.25,3280.25,3302.25
2021-03-18,2021,3305.5,46.75,3279.25,3279.0,3285.75,3283.25,3277.25,3285.75,3276.0,3276.0,3286.0,3284.25,3251.0
2021-03-19,2021,3250.25,56.5,3244.5,3223.5,3247.75,3229.25,3219.5,3247.75,3221.25,3219.5,3247.75,3231.0,3256.75
2021-03-22,2021,3240.25,44.0,3246.25,3245.75,3254.0,3252.25,3245.75,3257.0,3257.25,3245.75,3260.75,3262.0,3273.5
2021-03-23,2021,3271.75,40.25,3265.0,3261.5,3268.5,3267.0,3261.5,3268.5,3266.5,3261.5,3270.5,3270.5,3240.0
2021-03-24,2021,3239.75,47.0,3256.5,3255.75,3262.0,3261.75,3255.75,3265.75,3258.25,3252.5,3265.75,3254.75,3232.75
2021-03-25,2021,3222.0,52.5,3206.25,3200.5,3212.0,3205.0,3200.5,3212.0,3203.75,3196.75,3212.0,3209.25,3246.25
