date,year,prev_close,prev_range,day_open,clow15,chigh15,entry15,clow20,chigh20,entry20,clow30,chigh30,entry30,exit1545
2020-12-29,2020,15800.5,114.75,15858.5,15844.75,15885.0,15868.0,15844.75,15885.0,15868.25,15815.0,15885.0,15826.5,15822.25
2020-12-30,2020,15813.5,110.0,15863.75,15827.0,15876.5,15834.25,15818.25,15876.5,15837.0,15816.5,15876.5,15831.75,15811.75
2020-12-31,2020,15809.5,89.25,15808.25,15790.75,15824.25,15809.25,15790.75,15824.25,15796.5,15789.25,15824.25,15801.0,15812.75
2021-01-04,2021,15836.5,99.5,15900.5,15825.0,15908.0,15857.25,15825.0,15908.0,15872.75,15825.0,15908.0,15846.75,15653.5
2021-01-05,2021,15654.75,418.75,15617.75,15617.0,15719.75,15714.5,15617.0,15720.75,15707.5,15617.0,15735.5,15717.5,15745.75
2021-01-06,2021,15758.25,151.75,15565.0,15518.0,15592.75,15578.75,15518.0,15621.5,15612.0,15518.0,15634.75,15601.5,15604.0
2021-01-07,2021,15585.25,244.75,15694.75,15692.75,15777.75,15771.5,15692.75,15777.75,15750.75,15692.75,15806.5,15805.0,15910.5
2021-01-08,2021,15892.25,233.0,15985.75,15952.5,16018.75,16005.0,15952.5,16018.75,15977.25,15952.5,16018.75,15985.5,16048.5
2021-01-11,2021,16058.75,177.25,15931.0,15859.0,15941.5,15891.5,15859.0,15941.5,15880.0,15859.0,15941.5,15926.25,15862.0
2021-01-12,2021,15863.0,142.25,15869.25,15861.75,15914.75,15888.75,15848.75,15914.75,15853.25,15809.75,15914.75,15857.25,15859.25
2021-01-13,2021,15849.25,180.75,15856.0,15831.25,15883.25,15835.0,15831.25,15883.25,15877.25,15831.25,15912.25,15880.25,15960.5
2021-01-14,2021,15934.5,138.5,15952.5,15938.75,15981.75,15954.5,15935.5,15981.75,15952.5,15935.5,15981.75,15960.0,15901.25
2021-01-15,2021,15864.25,147.75,15856.75,15846.25,15898.0,15869.75,15846.25,15898.0,15883.0,15846.25,15898.0,15867.75,15770.75
2021-01-18,2021,15765.5,187.75,15767.0,15751.0,15773.75,15760.0,15751.0,15773.75,15763.75,15751.0,15780.75,15777.5,15780.75
2021-01-19,2021,15780.75,31.0,15863.25,15855.5,15897.0,15862.75,15840.25,15897.0,15846.5,15827.25,15897.0,15851.25,15963.0
2021-01-20,2021,15951.75,157.25,16103.75,16087.75,16158.5,16150.0,16087.75,16158.5,16153.25,16087.75,16161.75,16131.0,16287.25
2021-01-21,2021,16252.25,206.0,16306.75,16250.0,16310.5,16269.75,16250.0,16310.5,16293.25,16250.0,16310.5,16283.75,16379.25
2021-01-22,2021,16364.0,140.25,16314.5,16294.5,16329.25,16323.5,16294.5,16353.5,16346.5,16294.5,16356.75,16349.75,16359.0
2021-01-25,2021,16322.0,74.0,16464.5,16462.75,16521.25,16514.0,16462.75,16521.25,16489.0,16462.75,16521.25,16505.5,16408.75
2021-01-26,2021,16441.25,365.5,16460.0,16401.0,16476.0,16407.75,16393.5,16476.0,16423.25,16393.5,16476.0,16444.75,16462.25
2021-01-27,2021,16451.5,106.25,16356.25,16185.25,16356.25,16197.75,16164.0,16356.25,16176.0,16138.0,16356.25,16247.75,16035.25
2021-01-28,2021,16086.5,368.5,16122.0,16095.0,16215.5,16204.25,16095.0,16215.5,16157.25,16095.0,16215.5,16155.75,16199.0
2021-01-29,2021,16152.5,265.75,16077.25,15964.75,16102.0,15982.5,15964.75,16102.0,16019.25,15964.75,16102.0,16050.75,15904.5
2021-02-01,2021,15880.5,328.25,16018.25,16014.0,16070.75,16031.0,15966.25,16070.75,15967.25,15937.0,16070.75,15986.0,16220.5
2021-02-02,2021,16197.25,301.25,16319.0,16311.75,16370.75,16365.0,16311.75,16390.0,16381.75,16311.75,16390.0,16348.25,16434.25
2021-02-03,2021,16415.25,148.5,16498.25,16428.25,16514.5,16452.75,16428.25,16514.5,16457.0,16428.25,16514.5,16494.0,16401.5
2021-02-04,2021,16355.5,161.0,16415.75,16379.0,16447.0,16398.0,16379.0,16447.0,16425.0,16379.0,16447.0,16403.5,16476.5
2021-02-05,2021,16517.25,160.75,16556.75,16511.25,16560.0,16533.0,16511.25,16560.0,16534.25,16502.0,16560.0,16505.75,16552.25
2021-02-08,2021,16563.25,119.0,16633.0,16599.5,16640.5,16622.5,16599.5,16640.5,16624.0,16599.5,16640.5,16630.0,16622.5
2021-02-09,2021,16651.5,97.0,16612.5,16612.0,16650.75,16643.25,16612.0,16657.75,16644.5,16612.0,16675.0,16670.5,16673.5
2021-02-10,2021,16647.25,90.0,16709.5,16681.0,16728.75,16690.25,16681.0,16728.75,16702.0,16681.0,16728.75,16702.25,16592.5
2021-02-11,2021,16616.75,245.25,16684.0,16669.25,16705.5,16676.0,16669.25,16705.5,16688.5,16648.75,16705.5,16654.0,16662.75
2021-02-12,2021,16692.5,119.25,16660.25,16612.75,16663.0,16662.75,16612.75,16671.75,16660.5,16612.75,16672.25,16660.0,16742.0
2021-02-15,2021,16770.75,164.25,16817.5,16815.0,16825.75,16821.75,16815.0,16829.25,16825.25,16815.0,16829.25,16823.5,16838.75
2021-02-16,2021,16838.75,30.0,16802.5,16778.25,16826.0,16822.75,16778.25,16835.25,16823.0,16778.25,16835.25,16819.75,16730.75
2021-02-17,2021,16731.25,159.5,16605.25,16577.5,16637.25,16621.75,16577.5,16642.5,16635.5,16577.5,16659.25,16638.0,16665.0
2021-02-18,2021,16666.25,167.5,16511.0,16489.25,16536.5,16529.5,16489.25,16548.25,16529.0,16489.25,16550.25,16534.25,16628.5
2021-02-19,2021,16604.5,201.5,16662.25,16615.0,16667.25,16636.25,16609.0,16667.25,16615.25,16607.75,16667.25,16638.75,16552.5
2021-02-22,2021,16545.0,165.75,16358.0,16325.25,16391.5,16371.5,16325.25,16396.75,16393.75,16325.25,16405.75,16394.5,16213.75
2021-02-23,2021,16193.75,227.5,15967.75,15791.25,15983.0,15793.75,15737.5,15983.0,15739.5,15724.0,15983.0,15851.75,16189.0
2021-02-24,2021,16154.75,500.0,16040.5,15968.75,16088.0,15996.25,15968.75,16088.0,16049.0,15968.75,16088.0,15998.75,16239.25
