date,pnl
2023-03-29,61.0
2023-03-31,646.0
2023-04-04,-84.0
2023-04-05,-539.0
2023-04-06,-49.0
2023-04-10,-79.0
2023-04-12,-374.0
2023-04-13,-54.0
2023-04-18,196.0
2023-04-19,216.0
2023-04-25,276.0
2023-04-27,106.0
2023-05-02,241.0
2023-05-03,186.0
2023-05-05,66.0
2023-05-12,456.0
2023-05-17,-154.0
2023-05-18,-539.0
2023-05-23,-199.0
2023-05-26,-74.0
2023-05-30,-249.0
2023-06-01,656.0
2023-06-07,566.0
2023-06-08,-359.0
2023-06-12,-164.0
2023-06-15,341.0
2023-06-16,206.0
2023-06-21,-624.0
2023-06-22,-639.0
2023-06-26,381.0
2023-06-27,281.0
2023-06-30,26.0
2023-07-13,-449.0
2023-07-17,276.0
2023-07-18,246.0
2023-07-20,-939.0
2023-07-21,221.0
2023-07-25,171.0
2023-07-27,-689.0
2023-07-28,31.0
2023-08-02,-629.0
2023-08-04,606.0
2023-08-09,461.0
2023-08-10,491.0
2023-08-14,541.0
2023-08-15,161.0
2023-08-16,-124.0
2023-08-17,531.0
2023-08-18,346.0
2023-08-21,296.0
2023-08-22,686.0
2023-08-23,76.0
2023-08-24,621.0
2023-08-25,-94.0
2023-08-29,-34.0
2023-09-01,-124.0
2023-09-06,-404.0
2023-09-07,126.0
2023-09-12,-204.0
2023-09-15,331.0
2023-09-20,1381.0
2023-09-21,-129.0
2023-09-26,-439.0
2023-09-28,-984.0
2023-09-29,361.0
2023-10-03,-369.0
2023-10-04,321.0
2023-10-06,201.0
2023-10-09,311.0
2023-10-10,-49.0
2023-10-13,341.0
2023-10-16,321.0
2023-10-18,261.0
2023-10-19,741.0
2023-10-20,416.0
2023-10-23,-274.0
2023-10-25,221.0
2023-10-26,1446.0
2023-10-30,-169.0
2023-11-01,186.0
2023-11-03,146.0
2023-11-07,-149.0
2023-11-09,256.0
2023-11-10,-139.0
2023-11-14,61.0
2023-11-20,31.0
2023-11-29,126.0
2023-11-30,-894.0
2023-12-01,256.0
2023-12-06,-244.0
2023-12-07,116.0
2023-12-08,26.0
2023-12-11,-249.0
2023-12-12,46.0
2023-12-18,326.0
2023-12-20,-559.0
2024-01-02,-149.0
2024-01-08,-244.0
2024-01-09,391.0
2024-01-19,76.0
2024-01-29,216.0
2024-01-31,931.0
2024-02-01,-9.0
2024-02-02,291.0
2024-02-06,-514.0
2024-02-09,61.0
2024-02-16,671.0
2024-02-22,-84.0
2024-02-23,466.0
2024-03-01,86.0
2024-03-05,-669.0
2024-03-06,226.0
2024-03-07,-579.0
2024-03-08,76.0
2024-03-12,11.0
2024-03-14,-484.0
2024-03-19,351.0
2024-03-20,691.0
2024-03-27,-1144.0
2024-04-04,106.0
2024-04-05,-54.0
2024-04-11,-239.0
2024-04-12,-809.0
2024-04-15,-294.0
2024-04-17,-629.0
2024-04-18,-304.0
2024-04-19,816.0
2024-04-22,-614.0
2024-04-23,-74.0
2024-04-25,-1084.0
2024-04-26,566.0
2024-04-30,136.0
2024-05-01,2991.0
2024-05-14,-174.0
2024-05-15,96.0
2024-05-20,321.0
2024-05-23,791.0
2024-05-24,6.0
2024-05-30,591.0
2024-05-31,-1429.0
2024-06-03,-234.0
2024-06-05,-149.0
2024-06-10,246.0
2024-06-11,-244.0
2024-06-17,466.0
2024-06-20,371.0
2024-06-25,431.0
2024-07-02,-19.0
2024-07-05,-239.0
2024-07-11,-264.0
2024-07-12,2011.0
2024-07-17,566.0
2024-07-18,-1509.0
2024-07-24,-1149.0
2024-07-30,-204.0
2024-08-01,166.0
2024-08-05,-1044.0
2024-08-06,-714.0
2024-08-07,341.0
2024-08-08,1261.0
2024-08-09,-34.0
2024-08-13,-324.0
2024-08-14,-384.0
2024-08-15,-249.0
2024-08-16,281.0
2024-08-19,81.0
2024-08-22,356.0
2024-08-26,421.0
2024-08-27,-34.0
2024-08-28,41.0
2024-09-03,1166.0
2024-09-06,626.0
2024-09-11,251.0
2024-09-12,-169.0
2024-09-13,-104.0
2024-09-17,-304.0
2024-09-26,-29.0
2024-09-27,-349.0
2024-10-01,961.0
2024-10-02,51.0
2024-10-07,526.0
2024-10-08,-304.0
2024-10-09,-239.0
2024-10-11,226.0
2024-10-15,-134.0
2024-10-17,31.0
2024-10-22,-64.0
2024-10-23,-674.0
2024-10-29,136.0
2024-10-31,-114.0
2024-11-05,361.0
2024-11-06,-199.0
2024-11-07,36.0
2024-11-14,696.0
2024-11-15,506.0
2024-11-18,231.0
2024-11-19,-69.0
2024-11-25,61.0
2024-12-02,226.0
2024-12-03,121.0
2024-12-06,-94.0
2024-12-09,96.0
2024-12-10,416.0
2024-12-11,191.0
2024-12-16,261.0
2024-12-18,5226.0
2024-12-19,576.0
2024-12-20,826.0
2024-12-27,691.0
2024-12-31,841.0
2025-01-02,336.0
2025-01-03,356.0
2025-01-07,116.0
2025-01-10,-79.0
2025-01-13,191.0
2025-01-14,71.0
2025-01-15,281.0
2025-01-16,111.0
2025-01-24,146.0
2025-01-28,181.0
2025-01-31,161.0
2025-02-03,-494.0
2025-02-04,-519.0
