date,class,X,ts,etmin,sym,level,dir,touch_num,level_age_min,appr15,dist_same,dist_cross,vol30,fwd5,fwd15,fwd30,fwd60,beyond30,beyond60,reject30,reject60,race30,race60,raceV30
2024-06-02,grid50,10,1717365780,1083,NQM4,18550.0,-1,1,3,,50.0,,6.65,11.8,-15.0,-6.0,-19.0,10.8,10.8,36.0,36.0,bounce,bounce,bounce
2024-06-02,grid50,5,1717365840,1084,NQM4,18550.0,-1,1,4,,50.0,,6.65,6.8,-23.2,-16.4,-24.2,10.8,10.8,36.0,36.0,break,break,break
2024-06-02,grid50,2,1717365900,1085,NQM4,18550.0,-1,1,5,,50.0,,6.65,-6.3,-31.3,-25.8,-42.0,10.5,10.5,36.0,37.8,break,break,break
2024-06-02,grid50,10,1717367460,1111,NQM4,18550.0,-1,2,31,11.5,50.0,,6.65,-7.5,-7.8,-11.0,-33.5,0.0,0.0,23.8,49.0,bounce,bounce,bounce
2024-06-02,grid50,10,1717370640,1164,NQM4,18600.0,1,1,84,9.4,50.0,,6.65,6.0,2.3,-3.0,51.6,0.0,43.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,grid100,10,1717370640,1164,NQM4,18600.0,1,1,84,9.4,100.0,,6.65,6.0,2.3,-3.0,51.6,0.0,43.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,grid50,5,1717370760,1166,NQM4,18600.0,1,1,86,21.7,50.0,,6.65,-2.0,-6.3,-1.0,42.0,0.0,43.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,grid100,5,1717370760,1166,NQM4,18600.0,1,1,86,21.7,100.0,,6.65,-2.0,-6.3,-1.0,42.0,0.0,43.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,grid50,2,1717370940,1169,NQM4,18600.0,1,1,89,18.2,50.0,,6.65,-3.4,-9.2,-3.2,47.8,0.0,45.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,grid100,2,1717370940,1169,NQM4,18600.0,1,1,89,18.2,100.0,,6.65,-3.4,-9.2,-3.2,47.8,0.0,45.0,19.8,19.8,bounce,bounce,bounce
2024-06-02,lt_real,10,1717373040,1204,NQM4,18611.5,1,1,110,25.0,66.25,,6.65,10.7,28.3,33.7,27.7,33.5,33.5,5.7,5.7,break,break,break
2024-06-02,lt_real,5,1717373040,1204,NQM4,18611.5,1,1,110,25.0,66.25,,6.65,10.7,28.3,33.7,27.7,33.5,33.5,5.7,5.7,break,break,break
2024-06-02,lt_real,2,1717373100,1205,NQM4,18611.5,1,1,111,25.0,66.25,,6.65,3.2,34.4,33.2,29.2,33.5,33.5,4.3,4.3,break,break,break
2024-06-02,grid50,10,1717374000,1220,NQM4,18650.0,1,1,140,34.4,50.0,,6.65,-4.7,-1.2,-8.0,-17.7,0.0,0.0,19.5,27.5,bounce,bounce,bounce
2024-06-02,grid50,5,1717374540,1229,NQM4,18650.0,1,1,149,12.8,50.0,,6.65,-0.8,-11.0,-10.2,-20.8,0.0,0.0,19.5,32.8,bounce,bounce,bounce
2024-06-02,grid50,10,1717380420,1327,NQM4,18650.0,1,2,247,10.0,50.0,,6.65,3.7,4.5,8.5,11.7,0.0,0.0,14.0,14.0,bounce,bounce,bounce
2024-06-02,grid50,5,1717381380,1343,NQM4,18650.0,1,2,263,7.2,50.0,,6.65,-0.2,1.0,1.8,-1.0,0.0,3.5,12.8,12.8,bounce,bounce,bounce
2024-06-02,grid50,2,1717382580,1363,NQM4,18650.0,1,1,283,3.5,50.0,,6.65,-1.7,-4.0,3.3,-5.3,3.2,3.5,8.2,14.0,none,bounce,bounce
2024-06-02,lt_rand0,10,1717385280,1408,NQM4,18631.25,-1,1,74,10.8,49.0,,6.65,1.5,-2.2,-1.2,,0.0,,14.75,,bounce,bounce,bounce
2024-06-02,lt_rand0,5,1717385340,1409,NQM4,18635.25,-1,1,75,11.7,53.25,,6.65,-0.0,-1.4,-2.4,,0.0,,10.75,,bounce,bounce,bounce
2024-06-02,lt_rand0,2,1717385460,1411,NQM4,18635.25,-1,1,77,12.7,53.25,,6.65,-5.5,-6.0,,,,,,,bounce,bounce,bounce
