
### LT damping, ALL touches (X=5, vol-normalized 30m excursions)
  2020:
  2021:  |  rejn real=+1.280(n=2551) rand=+1.276(n=6348) Δr=+0.004 grid50=+1.358 Δg=-0.078  |  beyn real=+0.806(n=2551) rand=+0.763(n=6348) Δr=+0.043 grid50=+0.884 Δg=-0.078
  2022:  |  rejn real=+0.992(n=4548) rand=+1.026(n=10877) Δr=-0.034 grid50=+1.040 Δg=-0.049  |  beyn real=+0.672(n=4548) rand=+0.731(n=10877) Δr=-0.059 grid50=+0.800 Δg=-0.128
  2023:  |  rejn real=+1.041(n=3460) rand=+1.147(n=6980) Δr=-0.106 grid50=+1.185 Δg=-0.144  |  beyn real=+0.572(n=3460) rand=+0.677(n=6980) Δr=-0.105 grid50=+0.746 Δg=-0.174
  2024:  |  rejn real=+1.048(n=3842) rand=+1.154(n=8326) Δr=-0.106 grid50=+1.227 Δg=-0.178  |  beyn real=+0.584(n=3842) rand=+0.701(n=8326) Δr=-0.117 grid50=+0.847 Δg=-0.262
  2025:  |  rejn real=+1.122(n=4772) rand=+1.185(n=11507) Δr=-0.063 grid50=+1.297 Δg=-0.175  |  beyn real=+0.674(n=4772) rand=+0.800(n=11507) Δr=-0.126 grid50=+0.956 Δg=-0.282
  2026:  |  rejn real=+1.134(n=2523) rand=+1.178(n=6746) Δr=-0.044 grid50=+1.265 Δg=-0.131  |  beyn real=+0.769(n=2523) rand=+0.819(n=6746) Δr=-0.050 grid50=+0.948 Δg=-0.180
  ALL:  |  rejn real=+1.086(n=21696) rand=+1.149(n=50784) Δr=-0.064 grid50=+1.217 Δg=-0.132  |  beyn real=+0.664(n=21696) rand=+0.750(n=50784) Δr=-0.086 grid50=+0.871 Δg=-0.206

### LT damping, PRICE-DRIVEN touches only (appr15>=20pts)
  2020:
  2021:  |  rejn_pd real=+1.429(n=1361) rand=+1.412(n=3312) Δr=+0.017 grid50=+1.446 Δg=-0.016  |  beyn_pd real=+1.032(n=1361) rand=+1.055(n=3312) Δr=-0.023 grid50=+1.191 Δg=-0.160
