date,n_bars,day_range,absmove_5m,absmove_15m,absmove_30m,absmove_60m,absmove_30m_rth
2020-12-27,360,130.79999999999927,2.0,4.2,3.3,11.3,
2020-12-28,1365,127.20000000000073,1.5,3.4,4.8,6.15,5.75
2020-12-29,1365,110.0,2.0,4.7,5.0,9.35,14.8
2020-12-30,1365,89.29999999999927,2.3,4.1,4.8,4.65,8.15
2020-12-31,1005,99.5,1.8,3.15,4.0,7.15,9.3
2021-01-03,360,79.79999999999927,2.3,4.0,9.0,17.5,
2021-01-04,1365,437.2999999999993,3.4,7.1,10.3,17.25,33.75
2021-01-05,1365,267.2000000000007,5.25,11.3,17.3,18.55,16.9
2021-01-06,1365,304.7999999999993,6.75,13.2,22.4,27.9,22.8
2021-01-07,1365,318.0,4.1,7.95,10.5,14.75,13.65
2021-01-08,1005,197.79999999999927,4.1,7.1,9.6,6.05,17.6
2021-01-10,360,83.40000000000146,4.2,6.3,6.3,10.7,
2021-01-11,1365,203.0,3.5,7.6,8.7,15.65,16.8
2021-01-12,1365,191.79999999999927,3.3,5.0,6.5,8.75,26.85
2021-01-13,1365,194.20000000000073,3.7,6.9,8.0,13.7,8.25
2021-01-14,1365,159.79999999999927,3.75,6.4,9.2,13.65,9.0
2021-01-15,1005,187.70000000000073,4.7,9.25,13.5,20.9,15.85
2021-01-17,360,69.0,2.8,5.2,11.0,4.8,
2021-01-18,1140,192.0,2.2,3.2,4.2,9.4,
2021-01-19,1365,205.29999999999927,2.55,5.8,6.2,13.75,12.85
2021-01-20,1365,367.0,3.0,5.45,8.6,16.9,12.9
2021-01-21,1365,140.29999999999927,3.2,6.85,7.4,7.55,10.65
2021-01-22,1005,96.79999999999927,3.5,7.0,8.8,10.3,11.4
2021-01-24,360,95.40000000000146,1.5,3.0,2.8,15.2,
2021-01-25,1365,365.5,3.4,6.6,8.4,6.95,33.5
2021-01-26,1365,216.59999999999854,3.2,6.5,9.4,14.2,14.35
2021-01-27,1364,688.2000000000007,8.35,10.5,22.5,42.1,59.4
