date,sym,open,high,low,close,roll_rth,n_hours,atr_hl,atr_tr,atr_trr,atr_tr_wilder,n_atr_obs_prior
2020-12-28,NQH1,12816.25,12855.5,12740.75,12833.75,0,7,,,,,0
2020-12-29,NQH1,12891.75,12918.25,12808.25,12846.75,0,7,,,,,0
2020-12-30,NQH1,12897.0,12909.75,12820.5,12842.75,0,7,,,,,0
2020-12-31,NQH1,12841.5,12896.0,12796.5,12869.75,0,7,,,,,0
2021-01-04,NQH1,12933.75,12941.25,12522.5,12688.0,0,7,,,,,0
2021-01-05,NQH1,12651.0,12802.0,12650.25,12791.5,0,7,,,,,0
2021-01-06,NQH1,12598.25,12796.0,12551.25,12618.5,0,7,,,,,0
2021-01-07,NQH1,12728.0,12959.0,12726.0,12925.5,0,7,,,,,0
2021-01-08,NQH1,13019.0,13104.5,12927.25,13092.0,0,7,,,,,0
2021-01-11,NQH1,12964.25,13014.0,12871.75,12896.25,0,7,,,,,0
2021-01-12,NQH1,12902.5,12948.0,12767.25,12882.5,0,7,,,,,0
2021-01-13,NQH1,12889.25,13003.0,12864.5,12967.75,0,7,,,,,0
2021-01-14,NQH1,12985.75,13028.75,12881.0,12897.5,0,7,,,,,0
2021-01-15,NQH1,12890.0,12931.25,12743.5,12798.75,0,7,,,,,0
2021-01-18,NQH1,12800.25,12815.25,12784.25,12814.0,0,4,174.0,187.375,187.375,187.375,1
2021-01-19,NQH1,12896.5,13006.5,12849.25,12985.0,0,7,168.01785714285714,181.39285714285714,181.39285714285714,176.20535714285714,2
2021-01-20,NQH1,13137.0,13327.0,13121.0,13285.5,0,7,171.39285714285714,187.28571428571428,187.28571428571428,177.36926020408163,3
2021-01-21,NQH1,13340.0,13423.5,13283.25,13397.25,0,7,179.73214285714286,205.33928571428572,205.33928571428572,189.12859876093293,4
2021-01-22,NQH1,13347.75,13397.0,13323.0,13355.25,0,7,182.64285714285714,208.25,208.25,185.63727027800914,5
2021-01-25,NQH1,13497.75,13554.5,13189.0,13474.5,0,7,158.01785714285714,183.64285714285714,183.64285714285714,177.68103668672276,6
2021-01-26,NQH1,13493.25,13533.0,13426.75,13484.75,0,7,173.28571428571428,198.91071428571428,198.91071428571428,191.09667692338544,7
2021-01-27,NQH1,13389.5,13389.5,13021.0,13119.75,0,7,163.39285714285714,189.01785714285714,189.01785714285714,185.0362000002865,8
2021-01-28,NQH1,13155.25,13394.0,13128.25,13185.75,0,7,173.07142857142858,197.82142857142858,197.82142857142858,204.9443285716946,9
2021-01-29,NQH1,13110.5,13157.25,12829.0,12913.75,0,7,179.39285714285714,204.625,204.625,209.89473367371642,10
2021-02-01,NQH1,13051.5,13271.5,12970.25,13230.5,0,7,192.67857142857142,214.375,214.375,220.38439555416522,11
2021-02-02,NQH1,13352.25,13493.5,13345.0,13448.5,0,7,201.28571428571428,227.01785714285714,227.01785714285714,230.19622444315343,12
2021-02-03,NQH1,13531.5,13547.75,13386.75,13388.75,0,7,202.0,235.91071428571428,235.91071428571428,232.5393512686425,13
2021-02-04,NQH1,13449.0,13552.5,13391.75,13550.5,0,7,202.94642857142858,236.85714285714286,236.85714285714286,227.4293976065966,14
2021-02-05,NQH1,13590.0,13638.5,13519.5,13596.5,0,7,201.01785714285714,235.14285714285714,235.14285714285714,222.88086920612542,15
2021-02-08,NQH1,13666.25,13693.0,13596.0,13684.75,0,7,207.30357142857142,241.42857142857142,241.42857142857142,215.46080711997362,16
2021-02-09,NQH1,13645.75,13735.25,13645.25,13680.5,0,7,203.0,234.60714285714286,234.60714285714286,206.99932089711837,17
2021-02-10,NQH1,13742.75,13762.0,13516.75,13650.0,0,7,194.71428571428572,216.60714285714286,216.60714285714286,198.6422265473242,18
2021-02-11,NQH1,13717.25,13743.75,13624.5,13725.75,0,7,202.21428571428572,224.10714285714286,224.10714285714286,201.97135322251535,19
2021-02-12,NQH1,13693.5,13810.25,13646.0,13804.0,0,7,205.44642857142858,227.32142857142858,227.32142857142858,196.06268513519282,20
2021-02-15,NQH1,13850.75,13878.25,13848.25,13872.0,0,4,191.07142857142858,212.94642857142858,212.94642857142858,193.79035048267906,21
2021-02-16,NQH1,13835.75,13875.5,13716.0,13764.5,0,7,185.625,210.66071428571428,210.66071428571428,185.25175401963057,22
2021-02-17,NQH1,13638.5,13710.5,13543.0,13699.5,0,7,170.69642857142858,188.92857142857142,188.92857142857142,183.41234301822837,23
2021-02-18,NQH1,13544.25,13669.5,13468.0,13637.75,0,7,163.67857142857142,185.16071428571428,185.16071428571428,186.13288994549777,24
2021-02-19,NQH1,13695.5,13700.5,13534.75,13578.25,0,7,154.625,176.21428571428572,176.21428571428572,189.37339780653363,25
2021-02-22,NQH1,13391.25,13446.0,13218.5,13227.0,0,7,144.94642857142858,162.5,162.5,187.68601224892407,26
2021-02-23,NQH1,13001.0,13257.25,12757.25,13188.0,0,7,150.58928571428572,169.41071428571428,169.41071428571428,199.97629708828663,27
2021-02-24,NQH1,13073.75,13309.0,12958.0,13295.25,0,7,174.80357142857142,193.625,193.625,221.40656158198044,28
2021-02-25,NQH1,13180.75,13290.0,12764.0,12826.25,0,7,188.39285714285714,207.0,207.0,230.66323575469613,29
2021-02-26,NQH1,12952.75,13089.5,12752.0,12893.25,0,7,217.46428571428572,236.44642857142858,236.44642857142858,252.13371891507498,30
2021-03-01,NQH1,13099.25,13287.0,13040.5,13274.25,0,7,234.64285714285714,253.625,253.625,258.2313104211411,31
2021-03-02,NQH1,13297.5,13303.0,13048.25,13058.25,0,7,245.82142857142858,275.32142857142856,275.32142857142856,267.911216819631,32
2021-03-03,NQH1,13012.75,13052.0,12675.25,12680.75,0,7,246.5,276.0,276.0,266.9711299039431,33
2021-03-04,NQH1,12664.25,12797.0,12306.5,12471.25,0,7,264.89285714285717,294.8392857142857,294.8392857142857,275.25890633937576,34
2021-03-05,NQH1,12582.75,12697.75,12207.25,12661.5,0,7,288.19642857142856,318.14285714285717,318.14285714285717,290.6332701722775,35
2021-03-08,NQH1,12635.25,12715.75,12281.75,12300.5,0,7,321.0892857142857,347.875,347.875,304.90946515997194,36
2021-03-09,NQH1,12609.25,12867.5,12587.0,12787.0,0,7,340.69642857142856,367.48214285714283,367.48214285714283,314.1302176485454,37
2021-03-10,NQH1,12967.75,12979.5,12720.0,12752.25,0,7,348.76785714285717,392.1607142857143,392.1607142857143,332.1923449593636,38
2021-03-11,NQH1,12951.5,13119.25,12912.5,13046.5,0,7,352.9107142857143,394.1607142857143,394.1607142857143,327.00003460512335,39
2021-03-12,NQH1,12871.0,12943.75,12768.25,12937.25,0,7,355.8392857142857,408.5357142857143,408.5357142857143,329.8571749904717,40
2021-03-15,NQM1,12941.5,13074.5,12871.25,13068.25,0,7,352.125,402.7142857142857,402.7142857142857,326.17094820543804,41
2021-03-16,NQM1,13159.75,13287.25,13077.25,13138.75,0,7,330.92857142857144,381.51785714285717,381.51785714285717,317.3908804764782,42
2021-03-17,NQM1,13007.0,13271.0,12934.25,13193.0,0,7,320.85714285714283,372.0892857142857,372.0892857142857,310.36296044244403,43
2021-03-18,NQM1,12979.5,13022.25,12762.0,12782.0,0,7,307.3392857142857,358.19642857142856,358.19642857142856,312.24774898226946,44
2021-03-19,NQM1,12775.75,12891.25,12681.75,12837.5,0,7,301.82142857142856,364.875,364.875,320.73005262639305,45
2021-03-22,NQM1,12928.25,13157.0,12927.75,13070.75,0,7,299.17857142857144,351.7142857142857,351.7142857142857,312.78504886736494,46
2021-03-23,NQM1,13113.5,13172.0,12979.0,13005.0,0,7,297.35714285714283,356.3392857142857,356.3392857142857,313.26468823398176,47
2021-03-24,NQM1,13070.75,13072.25,12788.25,12790.0,0,7,284.23214285714283,342.76785714285717,342.76785714285717,304.67435336012596,48
2021-03-25,NQM1,12717.5,12837.0,12609.75,12772.5,0,7,269.48214285714283,328.01785714285717,328.01785714285717,303.19761383440266,49
2021-03-26,NQM1,12763.25,12975.0,12701.0,12962.0,0,7,250.67857142857142,309.2142857142857,309.2142857142857,297.7727842748024,50
2021-03-29,NQM1,12941.25,13003.0,12815.5,12956.25,0,7,239.25,297.7857142857143,297.7857142857143,296.0747282551737,51
2021-03-30,NQM1,12873.5,12916.25,12776.5,12895.25,0,7,232.60714285714286,270.67857142857144,270.67857142857144,288.3193905226613,52
2021-03-31,NQM1,12968.0,13158.0,12953.0,13084.5,0,7,224.05357142857142,264.98214285714283,264.98214285714283,280.56443405675697,53
2021-04-01,NQM1,13253.0,13321.5,13241.75,13314.25,0,7,223.92857142857142,257.5357142857143,257.5357142857143,279.29197448127434,54
2021-04-05,NQM1,13419.0,13615.0,13409.25,13581.75,0,7,217.08928571428572,254.58928571428572,254.58928571428572,276.2711191611833,55
2021-04-06,NQM1,13567.75,13655.0,13538.75,13571.5,0,7,217.26785714285714,261.55357142857144,261.55357142857144,278.0196106496702,56
2021-04-07,NQM1,13552.5,13641.0,13512.5,13604.75,0,7,210.57142857142858,254.21428571428572,254.21428571428572,266.464638460408,57
2021-04-08,NQM1,13726.5,13755.0,13691.5,13749.75,0,7,195.69642857142858,239.33928571428572,239.33928571428572,256.61002142752176,58
2021-04-09,NQM1,13689.5,13839.75,13658.25,13829.25,0,7,181.64285714285714,219.28571428571428,219.28571428571428,249.01287703984164,59
2021-04-12,NQM1,13784.5,13828.75,13732.0,13812.0,0,7,179.64285714285714,217.28571428571428,217.28571428571428,244.19052867985297,60
2021-04-13,NQM1,13877.25,13994.0,13866.75,13975.5,0,7,170.17857142857142,201.41071428571428,201.41071428571428,233.69477663129206,61
2021-04-14,NQM1,13983.0,13988.5,13772.75,13808.5,0,7,165.48214285714286,200.625,200.625,230.00229258619976,62
2021-04-15,NQM1,13929.0,14034.25,13923.0,14016.0,0,7,160.60714285714286,195.75,195.75,228.9842716871855,63
2021-04-16,NQM1,14038.75,14041.0,13953.75,14031.25,0,7,152.32142857142858,195.64285714285714,195.64285714285714,228.75325228095795,64
2021-04-19,NQM1,13964.75,14013.25,13821.0,13904.0,0,7,138.98214285714286,182.30357142857142,182.30357142857142,218.6458771180324,65
2021-04-20,NQM1,13874.0,13929.75,13719.25,13799.5,0,7,139.32142857142858,183.92857142857142,183.92857142857142,218.04617160960152,66
