TradeID,Strategy,Symbol,Side,Quantity,SignalTime,EntryTime,FillDelayMs,EntryPrice,ExitTime,ExitPrice,ExitReason,GrossPnL,NetPnL,Commission,PointsPnL,PercentPnL,Duration,SignalType,HTFBias,Trigger,Confidence,RiskReward,OB_High,OB_Low,OB_Time,OB_Type,CHoCH_Level,CHoCH_Time,MSS_Level,MSS_Time,SwingHigh,SwingHigh_Time,SwingLow,SwingLow_Time,FVG_Top,FVG_Bottom,FVG_Time,FibLevel,FibPrice,GEXLevel,GEXLevelType,LTLevelsBelow,LTSentiment,LTOrdering,LTSpacing,LTLdmpType,LTAvgSpacing,FilterReason,StopLoss,TakeProfit,MFEPoints,MAEPoints,ProfitGiveBack,StrategyMetadata
T000001,OVERNIGHT_SCORING,NQ,buy,1,2023-05-17T02:39:00.000Z,2023-05-17T02:39:00.000Z,0,13516,2023-05-17T06:00:00.000Z,13509.75,time_exit,-125,-130,5,-6.25,-0.05,12060000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,13314,13714,7,15,13.25,"{""score"":7,""direction"":""bullish"",""ibs"":0.398,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Tuesday"",""rth_close"":13482.25,""consecutive_down"":0,""consecutive_up"":1,""last_hour_return"":-53.75,""exit_time"":""2023-05-17T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000002,OVERNIGHT_SCORING,NQ,buy,1,2023-05-17T22:01:00.000Z,2023-05-17T22:01:00.000Z,0,13640.75,2023-05-18T06:00:00.000Z,13636.75,time_exit,-80,-85,5,-4,-0.03,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,13440.75,13840.75,13.75,12.5,17.75,"{""score"":7,""direction"":""bullish"",""ibs"":0.875,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":13644.75,""consecutive_down"":0,""consecutive_up"":2,""last_hour_return"":15.75,""exit_time"":""2023-05-18T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000003,OVERNIGHT_SCORING,NQ,buy,1,2023-05-22T22:01:00.000Z,2023-05-22T22:01:00.000Z,0,13914,2023-05-23T06:00:00.000Z,13932.5,time_exit,370,365,5,18.5,0.13,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,13712.25,14112.25,65.25,2.25,46.75,"{""score"":8,""direction"":""bullish"",""ibs"":0.581,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":13905,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":-17.25,""exit_time"":""2023-05-23T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000004,OVERNIGHT_SCORING,NQ,buy,1,2023-05-24T22:01:00.000Z,2023-05-24T22:01:00.000Z,0,13881,2023-05-25T06:00:00.000Z,13831.75,time_exit,-985,-990,5,-49.25,-0.35,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,13673.75,14073.75,0,78,49.25,"{""score"":8,""direction"":""bullish"",""ibs"":0.619,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":13652.75,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":39.25,""exit_time"":""2023-05-25T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000005,OVERNIGHT_SCORING,NQ,buy,1,2023-05-29T22:54:00.000Z,2023-05-29T22:54:00.000Z,0,14400,2023-05-30T06:00:00.000Z,14398.25,time_exit,-35,-40,5,-1.75,-0.01,25560000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,14201,14601,5,21.5,6.75,"{""score"":7,""direction"":""bullish"",""ibs"":0.831,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":14404.75,""consecutive_down"":0,""consecutive_up"":3,""last_hour_return"":0,""exit_time"":""2023-05-30T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000006,OVERNIGHT_SCORING,NQ,buy,1,2023-05-31T22:39:00.000Z,2023-05-31T22:39:00.000Z,0,14293.25,2023-06-01T06:00:00.000Z,14287.75,time_exit,-110,-115,5,-5.5,-0.04,26460000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,14093,14493,40.5,45,46,"{""score"":7,""direction"":""bullish"",""ibs"":0.314,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":14301.75,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":-26.5,""exit_time"":""2023-06-01T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000007,OVERNIGHT_SCORING,NQ,buy,1,2023-06-13T22:01:00.000Z,2023-06-13T22:01:00.000Z,0,15114,2023-06-14T06:00:00.000Z,15098.75,time_exit,-305,-310,5,-15.25,-0.1,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,14915,15315,4.25,33,19.5,"{""score"":7,""direction"":""bullish"",""ibs"":0.799,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Tuesday"",""rth_close"":15096.5,""consecutive_down"":0,""consecutive_up"":1,""last_hour_return"":32,""exit_time"":""2023-06-14T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000008,OVERNIGHT_SCORING,NQ,buy,1,2023-07-12T22:01:00.000Z,2023-07-12T22:01:00.000Z,0,15465.25,2023-07-13T06:00:00.000Z,15496.5,time_exit,625,620,5,31.25,0.2,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,15259,15659,79.75,2.25,48.5,"{""score"":7,""direction"":""bullish"",""ibs"":0.658,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":15451.75,""consecutive_down"":0,""consecutive_up"":2,""last_hour_return"":-0.25,""exit_time"":""2023-07-13T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000009,OVERNIGHT_SCORING,NQ,buy,1,2023-07-17T22:01:00.000Z,2023-07-17T22:01:00.000Z,0,15829.25,2023-07-18T06:00:00.000Z,15819.5,time_exit,-195,-200,5,-9.75,-0.06,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,15630.75,16030.75,4.5,30,14.25,"{""score"":7,""direction"":""bullish"",""ibs"":0.779,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":15844.25,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":18.5,""exit_time"":""2023-07-18T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000010,OVERNIGHT_SCORING,NQ,sell,1,2023-08-02T22:01:00.000Z,2023-08-02T22:01:00.000Z,0,15460,2023-08-03T06:00:00.000Z,15460.25,time_exit,-5,-10,5,-0.25,0,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BEARISH,,,,,,15662.25,15262.25,21.5,47.5,21.75,"{""score"":7,""direction"":""bearish"",""ibs"":0.213,""lt_sentiment"":""BEARISH"",""gex_regime"":""negative"",""day_of_week"":""Wednesday"",""rth_close"":15468.25,""consecutive_down"":0,""consecutive_up"":3,""last_hour_return"":-23.5,""exit_time"":""2023-08-03T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
