TradeID,Strategy,Symbol,Side,Quantity,SignalTime,EntryTime,FillDelayMs,EntryPrice,ExitTime,ExitPrice,ExitReason,GrossPnL,NetPnL,Commission,PointsPnL,PercentPnL,Duration,SignalType,HTFBias,Trigger,Confidence,RiskReward,OB_High,OB_Low,OB_Time,OB_Type,CHoCH_Level,CHoCH_Time,MSS_Level,MSS_Time,SwingHigh,SwingHigh_Time,SwingLow,SwingLow_Time,FVG_Top,FVG_Bottom,FVG_Time,FibLevel,FibPrice,GEXLevel,GEXLevelType,LTLevelsBelow,LTSentiment,LTOrdering,LTSpacing,LTLdmpType,LTAvgSpacing,FilterReason,StopLoss,TakeProfit,MFEPoints,MAEPoints,ProfitGiveBack,StrategyMetadata
T000001,OVERNIGHT_SCORING,NQ,buy,1,2023-05-17T02:39:00.000Z,2023-05-17T02:39:00.000Z,0,16066.5,2023-05-17T06:00:00.000Z,16060.25,time_exit,-125,-130,5,-6.25,-0.04,12060000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,15864.5,16264.5,7,15,13.25,"{""score"":7,""direction"":""bullish"",""ibs"":0.398,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Tuesday"",""rth_close"":16032.75,""consecutive_down"":0,""consecutive_up"":1,""last_hour_return"":-53.75,""exit_time"":""2023-05-17T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000002,OVERNIGHT_SCORING,NQ,buy,1,2023-05-17T22:01:00.000Z,2023-05-17T22:01:00.000Z,0,16191.25,2023-05-18T06:00:00.000Z,16187.25,time_exit,-80,-85,5,-4,-0.02,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,15991.25,16391.25,13.75,12.5,17.75,"{""score"":7,""direction"":""bullish"",""ibs"":0.875,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":16195.25,""consecutive_down"":0,""consecutive_up"":2,""last_hour_return"":15.75,""exit_time"":""2023-05-18T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000003,OVERNIGHT_SCORING,NQ,buy,1,2023-05-22T22:01:00.000Z,2023-05-22T22:01:00.000Z,0,16464.5,2023-05-23T06:00:00.000Z,16483,time_exit,370,365,5,18.5,0.11,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,16262.75,16662.75,65.25,2.25,46.75,"{""score"":8,""direction"":""bullish"",""ibs"":0.581,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":16455.5,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":-17.25,""exit_time"":""2023-05-23T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000004,OVERNIGHT_SCORING,NQ,buy,1,2023-05-24T22:01:00.000Z,2023-05-24T22:01:00.000Z,0,16431.5,2023-05-25T06:00:00.000Z,16382.25,time_exit,-985,-990,5,-49.25,-0.3,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,16224.25,16624.25,0,78,49.25,"{""score"":8,""direction"":""bullish"",""ibs"":0.619,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":16203.25,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":39.25,""exit_time"":""2023-05-25T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000005,OVERNIGHT_SCORING,NQ,buy,1,2023-05-29T22:54:00.000Z,2023-05-29T22:54:00.000Z,0,16950.5,2023-05-30T06:00:00.000Z,16948.75,time_exit,-35,-40,5,-1.75,-0.01,25560000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,16751.5,17151.5,5,21.5,6.75,"{""score"":7,""direction"":""bullish"",""ibs"":0.831,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":16955.25,""consecutive_down"":0,""consecutive_up"":3,""last_hour_return"":0,""exit_time"":""2023-05-30T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000006,OVERNIGHT_SCORING,NQ,buy,1,2023-05-31T22:39:00.000Z,2023-05-31T22:39:00.000Z,0,16843.75,2023-06-01T06:00:00.000Z,16838.25,time_exit,-110,-115,5,-5.5,-0.03,26460000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,16643.5,17043.5,40.5,45,46,"{""score"":7,""direction"":""bullish"",""ibs"":0.314,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":16852.25,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":-26.5,""exit_time"":""2023-06-01T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000007,OVERNIGHT_SCORING,NQ,buy,1,2023-06-13T22:01:00.000Z,2023-06-13T22:01:00.000Z,0,17487.25,2023-06-14T06:00:00.000Z,17472,time_exit,-305,-310,5,-15.25,-0.09,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,17288.25,17688.25,4.25,33,19.5,"{""score"":7,""direction"":""bullish"",""ibs"":0.799,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Tuesday"",""rth_close"":17469.75,""consecutive_down"":0,""consecutive_up"":1,""last_hour_return"":32,""exit_time"":""2023-06-14T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000008,OVERNIGHT_SCORING,NQ,buy,1,2023-07-12T22:01:00.000Z,2023-07-12T22:01:00.000Z,0,17838.5,2023-07-13T06:00:00.000Z,17869.75,time_exit,625,620,5,31.25,0.18,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,17632.25,18032.25,79.75,2.25,48.5,"{""score"":7,""direction"":""bullish"",""ibs"":0.658,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Wednesday"",""rth_close"":17825,""consecutive_down"":0,""consecutive_up"":2,""last_hour_return"":-0.25,""exit_time"":""2023-07-13T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000009,OVERNIGHT_SCORING,NQ,buy,1,2023-07-17T22:01:00.000Z,2023-07-17T22:01:00.000Z,0,18202.5,2023-07-18T06:00:00.000Z,18192.75,time_exit,-195,-200,5,-9.75,-0.05,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BULLISH,,,,,,18004,18404,4.5,30,14.25,"{""score"":7,""direction"":""bullish"",""ibs"":0.779,""lt_sentiment"":""BULLISH"",""gex_regime"":""positive"",""day_of_week"":""Monday"",""rth_close"":18217.5,""consecutive_down"":1,""consecutive_up"":0,""last_hour_return"":18.5,""exit_time"":""2023-07-18T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
T000010,OVERNIGHT_SCORING,NQ,sell,1,2023-08-02T22:01:00.000Z,2023-08-02T22:01:00.000Z,0,17833.25,2023-08-03T06:00:00.000Z,17833.5,time_exit,-5,-10,5,-0.25,0,28740000,,,,,,,,,,,,,,,,,,,,,,,,,,BEARISH,,,,,,18035.5,17635.5,21.5,47.5,21.75,"{""score"":7,""direction"":""bearish"",""ibs"":0.213,""lt_sentiment"":""BEARISH"",""gex_regime"":""negative"",""day_of_week"":""Wednesday"",""rth_close"":17841.5,""consecutive_down"":0,""consecutive_up"":3,""last_hour_return"":-23.5,""exit_time"":""2023-08-03T06:00:00.000Z"",""target_points"":200,""stop_points"":200}"
