date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hitT_s1p75,hitT_s2p0,hitT_s2p5,hitT_s3p25
2023-03-31,2023Q1,call_wall,3m,fade,below,4114.27,4113.25,-1.02,-1,1680276240000,1.25,0.312,0.562,0.312,1.333,2.489,3.889,2.5,2.25,-2.5,trail_stop,1597,0,0,0,0
2023-03-31,2023Q1,call_wall,3m,breakout,below,4114.27,4113.25,-1.02,1,1680276240000,1.25,0.312,0.562,0.312,1.333,2.489,3.889,2.25,2.5,-2.5,trail_stop,1597,0,0,0,0
2023-03-31,2023Q1,call_wall,5m,fade,below,4114.27,4114.0,-0.27,-1,1680276300000,0.5,0.095,0.857,0.095,1.5,3.267,3.889,3.25,1.5,0.75,trail_stop,1590,0,0,0,0
2023-03-31,2023Q1,call_wall,5m,breakout,below,4114.27,4114.0,-0.27,1,1680276300000,0.5,0.095,0.857,0.095,1.5,3.267,3.889,1.5,3.25,-2.5,trail_stop,1590,0,0,0,0
2023-03-31,2023Q1,R1,3m,fade,below,4114.27,4113.25,-1.02,-1,1680276240000,1.25,0.312,0.562,0.312,1.333,2.489,3.889,2.5,2.25,-2.5,trail_stop,1597,0,0,0,0
2023-03-31,2023Q1,R1,3m,breakout,below,4114.27,4113.25,-1.02,1,1680276240000,1.25,0.312,0.562,0.312,1.333,2.489,3.889,2.25,2.5,-2.5,trail_stop,1597,0,0,0,0
2023-03-31,2023Q1,R1,5m,fade,below,4114.27,4114.0,-0.27,-1,1680276300000,0.5,0.095,0.857,0.095,1.5,3.267,3.889,3.25,1.5,0.75,trail_stop,1590,0,0,0,0
2023-03-31,2023Q1,R1,5m,breakout,below,4114.27,4114.0,-0.27,1,1680276300000,0.5,0.095,0.857,0.095,1.5,3.267,3.889,1.5,3.25,-2.5,trail_stop,1590,0,0,0,0
2023-03-31,2023Q1,gamma_flip,3m,fade,below,4124.4,4126.25,1.85,-1,1680289380000,0.25,0.036,0.929,0.036,2.333,4.723,3.373,3.0,10.25,-2.5,trail_stop,1752,0,0,0,0
2023-03-31,2023Q1,gamma_flip,3m,breakout,below,4124.4,4126.25,1.85,1,1680289380000,0.25,0.036,0.929,0.036,2.333,4.723,3.373,10.25,3.0,-2.5,trail_stop,1752,0,0,0,1
2023-03-31,2023Q1,gamma_flip,5m,fade,below,4124.4,4126.75,2.35,-1,1680289500000,0.25,0.033,0.933,0.033,2.5,5.06,3.373,3.5,9.75,1.0,trail_stop,1751,0,0,0,0
2023-03-31,2023Q1,gamma_flip,5m,breakout,below,4124.4,4126.75,2.35,1,1680289500000,0.25,0.033,0.933,0.033,2.5,5.06,3.373,9.75,3.5,-2.5,trail_stop,1751,0,0,0,0
