date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hitT_s1p75,hitT_s2p0,hitT_s2p5,hitT_s3p25
2023-03-30,2023Q1,L1,3m,fade,above,4083.27,4083.5,-0.23,1,1680183180000,2.5,0.556,0.333,0.556,3.0,3.316,0.921,4.25,4.5,-2.5,trail_stop,1763,0,0,0,0
2023-03-30,2023Q1,L1,3m,breakout,above,4083.27,4083.5,-0.23,-1,1680183180000,2.5,0.556,0.333,0.556,3.0,3.316,0.921,4.5,4.25,1.75,trail_stop,1763,1,1,1,1
2023-03-30,2023Q1,L1,5m,fade,above,4083.27,4082.5,0.77,1,1680183300000,1.5,0.333,0.556,0.333,1.385,3.316,0.921,5.25,3.5,-2.5,trail_stop,1759,0,0,0,0
2023-03-30,2023Q1,L1,5m,breakout,above,4083.27,4082.5,0.77,-1,1680183300000,1.5,0.333,0.556,0.333,1.385,3.316,0.921,3.5,5.25,0.75,trail_stop,1759,0,0,0,0
2023-03-30,2023Q1,L2,3m,fade,above,4080.26,4083.5,-3.24,1,1680183180000,2.5,0.556,0.333,0.556,3.0,3.0,1.167,4.25,4.5,-2.5,trail_stop,1763,0,0,0,0
2023-03-30,2023Q1,L2,3m,breakout,above,4080.26,4083.5,-3.24,-1,1680183180000,2.5,0.556,0.333,0.556,3.0,3.0,1.167,4.5,4.25,1.75,trail_stop,1763,1,1,1,1
2023-03-30,2023Q1,L2,5m,fade,above,4080.26,4082.5,-2.24,1,1680183300000,1.5,0.333,0.556,0.333,1.385,3.0,1.167,5.25,3.5,-2.5,trail_stop,1759,0,0,0,0
2023-03-30,2023Q1,L2,5m,breakout,above,4080.26,4082.5,-2.24,-1,1680183300000,1.5,0.333,0.556,0.333,1.385,3.0,1.167,3.5,5.25,0.75,trail_stop,1759,0,0,0,0
2023-03-30,2023Q1,L3,3m,fade,above,4078.85,4080.5,-1.65,1,1680183540000,1.25,0.294,0.294,0.294,1.889,1.919,1.468,7.25,3.75,1.0,trail_stop,1755,1,1,1,1
2023-03-30,2023Q1,L3,3m,breakout,above,4078.85,4080.5,-1.65,-1,1680183540000,1.25,0.294,0.294,0.294,1.889,1.919,1.468,3.75,7.25,-2.5,trail_stop,1755,0,0,0,0
2023-03-30,2023Q1,L3,5m,fade,above,4078.85,4080.75,-1.9,1,1680183600000,1.75,0.389,0.389,0.389,1.0,2.032,1.468,7.0,4.0,0.75,trail_stop,1758,1,1,1,1
2023-03-30,2023Q1,L3,5m,breakout,above,4078.85,4080.75,-1.9,-1,1680183600000,1.75,0.389,0.389,0.389,1.0,2.032,1.468,4.0,7.0,-2.5,trail_stop,1758,0,0,0,0
2023-03-30,2023Q1,L2,3m,fade,above,4083.91,4082.25,1.66,1,1680184980000,0.0,0.0,0.5,0.0,3.143,3.02,-1.373,3.75,10.25,-2.5,trail_stop,1777,0,0,0,0
2023-03-30,2023Q1,L2,3m,breakout,above,4083.91,4082.25,1.66,-1,1680184980000,0.0,0.0,0.5,0.0,3.143,3.02,-1.373,10.25,3.75,2.25,trail_stop,1777,1,1,1,1
2023-03-30,2023Q1,L2,5m,fade,above,4083.91,4081.0,2.91,1,1680185100000,0.5,0.069,0.552,0.069,1.933,3.98,-1.373,5.0,9.0,-2.5,trail_stop,1779,0,0,0,0
2023-03-30,2023Q1,L2,5m,breakout,above,4083.91,4081.0,2.91,-1,1680185100000,0.5,0.069,0.552,0.069,1.933,3.98,-1.373,9.0,5.0,1.0,trail_stop,1779,1,1,1,1
2023-03-30,2023Q1,L3,3m,fade,above,4081.35,4078.5,2.85,1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.933,-0.8,7.5,6.5,-2.5,trail_stop,1779,0,0,0,0
2023-03-30,2023Q1,L3,3m,breakout,above,4081.35,4078.5,2.85,-1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.933,-0.8,6.5,7.5,3.75,trail_stop,1779,1,1,1,1
2023-03-30,2023Q1,L3,5m,fade,above,4081.35,4081.0,0.35,1,1680185100000,0.5,0.069,0.552,0.069,1.933,3.867,-0.8,5.0,9.0,-2.5,trail_stop,1779,0,0,0,0
2023-03-30,2023Q1,L3,5m,breakout,above,4081.35,4081.0,0.35,-1,1680185100000,0.5,0.069,0.552,0.069,1.933,3.867,-0.8,9.0,5.0,1.0,trail_stop,1779,1,1,1,1
2023-03-30,2023Q1,L3,3m,fade,below,4079.5,4080.75,1.25,-1,1680186420000,0.25,0.059,0.882,0.059,1.417,1.859,1.969,2.5,5.25,-2.5,trail_stop,1713,0,0,0,0
2023-03-30,2023Q1,L3,3m,breakout,below,4079.5,4080.75,1.25,1,1680186420000,0.25,0.059,0.882,0.059,1.417,1.859,1.969,5.25,2.5,1.5,trail_stop,1713,1,1,1,1
2023-03-30,2023Q1,L3,5m,fade,below,4079.5,4078.25,-1.25,-1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.859,1.969,1.0,7.75,-2.5,trail_stop,1730,0,0,0,0
2023-03-30,2023Q1,L3,5m,breakout,below,4079.5,4078.25,-1.25,1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.859,1.969,7.75,1.0,4.0,trail_stop,1730,1,1,1,1
2023-03-30,2023Q1,L2,3m,fade,below,4081.75,4080.75,-1.0,-1,1680186420000,0.25,0.059,0.882,0.059,1.417,2.125,3.875,2.5,5.25,-2.5,trail_stop,1713,0,0,0,0
2023-03-30,2023Q1,L2,3m,breakout,below,4081.75,4080.75,-1.0,1,1680186420000,0.25,0.059,0.882,0.059,1.417,2.125,3.875,5.25,2.5,1.5,trail_stop,1713,1,1,1,1
2023-03-30,2023Q1,L2,5m,fade,below,4081.75,4082.25,0.5,-1,1680186600000,2.5,0.333,0.5,0.333,1.765,3.75,3.875,4.25,3.75,-2.5,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L2,5m,breakout,below,4081.75,4082.25,0.5,1,1680186600000,2.5,0.333,0.5,0.333,1.765,3.75,3.875,3.75,4.25,1.25,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L1,3m,fade,below,4082.83,4082.25,-0.58,-1,1680186600000,2.5,0.625,0.312,0.625,0.941,1.867,4.9,4.25,3.75,-2.5,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L1,3m,breakout,below,4082.83,4082.25,-0.58,1,1680186600000,2.5,0.625,0.312,0.625,0.941,1.867,4.9,3.75,4.25,1.25,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L1,5m,fade,below,4082.83,4082.25,-0.58,-1,1680186600000,2.5,0.333,0.5,0.333,1.765,3.5,4.9,4.25,3.75,-2.5,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L1,5m,breakout,below,4082.83,4082.25,-0.58,1,1680186600000,2.5,0.333,0.5,0.333,1.765,3.5,4.9,3.75,4.25,1.25,trail_stop,1695,0,0,0,0
2023-03-30,2023Q1,L1,3m,fade,below,4083.97,4083.75,-0.22,-1,1680187320000,0.25,0.077,0.846,0.077,1.182,1.411,0.434,6.0,1.25,2.25,trail_stop,1653,1,1,1,1
2023-03-30,2023Q1,L1,3m,breakout,below,4083.97,4083.75,-0.22,1,1680187320000,0.25,0.077,0.846,0.077,1.182,1.411,0.434,1.25,6.0,-2.5,trail_stop,1653,0,0,0,0
2023-03-30,2023Q1,L1,5m,fade,below,4083.97,4083.25,-0.72,-1,1680187200000,0.0,0.0,0.55,0.0,0.769,2.171,0.434,5.5,1.75,1.75,trail_stop,1653,0,1,1,1
2023-03-30,2023Q1,L1,5m,breakout,below,4083.97,4083.25,-0.72,1,1680187200000,0.0,0.0,0.55,0.0,0.769,2.171,0.434,1.75,5.5,-2.5,trail_stop,1653,0,0,0,0
2023-03-30,2023Q1,L3,3m,fade,below,4081.99,4080.5,-1.49,-1,1680189660000,1.0,0.211,0.579,0.211,2.111,2.44,-0.514,9.25,1.25,3.5,trail_stop,1634,1,1,1,1
2023-03-30,2023Q1,L3,3m,breakout,below,4081.99,4080.5,-1.49,1,1680189660000,1.0,0.211,0.579,0.211,2.111,2.44,-0.514,1.25,9.25,-2.5,trail_stop,1634,0,0,0,0
2023-03-30,2023Q1,L3,5m,fade,below,4081.99,4080.0,-1.99,-1,1680189900000,1.75,0.875,0.0,0.875,0.444,1.028,-0.514,8.75,0.0,3.0,trail_stop,1627,1,1,1,1
2023-03-30,2023Q1,L3,5m,breakout,below,4081.99,4080.0,-1.99,1,1680189900000,1.75,0.875,0.0,0.875,0.444,1.028,-0.514,0.0,8.75,-2.5,trail_stop,1627,0,0,0,0
2023-03-30,2023Q1,L4,3m,fade,above,4064.53,4068.25,-3.72,1,1680194340000,3.0,0.923,0.077,0.923,1.083,1.82,3.5,3.25,3.75,-2.5,trail_stop,1674,0,0,0,0
2023-03-30,2023Q1,L4,3m,breakout,above,4064.53,4068.25,-3.72,-1,1680194340000,3.0,0.923,0.077,0.923,1.083,1.82,3.5,3.75,3.25,-2.5,trail_stop,1674,0,0,0,0
2023-03-30,2023Q1,L4,5m,fade,above,4064.53,4066.5,-1.97,1,1680194400000,1.25,0.294,0.647,0.294,1.417,2.38,3.5,5.0,2.0,1.25,trail_stop,1670,0,0,1,1
