date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hitT_s1p75,hitT_s2p0,hitT_s2p5,hitT_s3p25
2023-03-30,2023Q1,RN2,3m,fade,above,4078.32,4081.75,-3.43,1,1680183720000,2.75,0.55,0.25,0.55,1.176,2.258,1.919,6.0,5.5,2.25,trail_stop,1758,0,1,1,1
2023-03-30,2023Q1,RN2,3m,breakout,above,4078.32,4081.75,-3.43,-1,1680183720000,2.75,0.55,0.25,0.55,1.176,2.258,1.919,5.5,6.0,-2.5,trail_stop,1758,0,0,0,0
2023-03-30,2023Q1,RN2,5m,fade,above,4078.32,4080.75,-2.43,1,1680183600000,1.75,0.389,0.389,0.389,1.0,2.032,1.919,7.0,4.0,0.75,trail_stop,1758,1,1,1,1
2023-03-30,2023Q1,RN2,5m,breakout,above,4078.32,4080.75,-2.43,-1,1680183600000,1.75,0.389,0.389,0.389,1.0,2.032,1.919,4.0,7.0,-2.5,trail_stop,1758,0,0,0,0
2023-03-30,2023Q1,RN0,3m,fade,above,4077.72,4078.5,-0.78,1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.8,2.8,7.5,6.5,-2.5,trail_stop,1779,0,0,0,0
2023-03-30,2023Q1,RN0,3m,breakout,above,4077.72,4078.5,-0.78,-1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.8,2.8,6.5,7.5,3.75,trail_stop,1779,1,1,1,1
2023-03-30,2023Q1,RN0,5m,fade,above,4077.72,4077.75,-0.03,1,1680185400000,1.0,0.235,0.765,0.235,0.586,2.164,2.8,8.25,5.75,-2.5,trail_stop,1780,0,0,0,0
2023-03-30,2023Q1,RN0,5m,breakout,above,4077.72,4077.75,-0.03,-1,1680185400000,1.0,0.235,0.765,0.235,0.586,2.164,2.8,5.75,8.25,3.0,trail_stop,1780,1,1,1,1
2023-03-30,2023Q1,RN2,3m,fade,above,4078.32,4078.5,-0.18,1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.8,2.8,7.5,6.5,-2.5,trail_stop,1779,0,0,0,0
2023-03-30,2023Q1,RN2,3m,breakout,above,4078.32,4078.5,-0.18,-1,1680185160000,0.5,0.091,0.727,0.091,1.0,2.8,2.8,6.5,7.5,3.75,trail_stop,1779,1,1,1,1
2023-03-30,2023Q1,RN2,5m,fade,above,4078.32,4077.75,0.57,1,1680185400000,1.0,0.235,0.765,0.235,0.586,2.164,2.8,8.25,5.75,-2.5,trail_stop,1780,0,0,0,0
2023-03-30,2023Q1,RN2,5m,breakout,above,4078.32,4077.75,0.57,-1,1680185400000,1.0,0.235,0.765,0.235,0.586,2.164,2.8,5.75,8.25,3.0,trail_stop,1780,1,1,1,1
2023-03-30,2023Q1,RN3,3m,fade,above,4075.63,4078.25,-2.62,1,1680185520000,2.0,0.571,0.429,0.571,1.077,1.661,3.085,7.75,6.25,-2.5,trail_stop,1778,0,0,0,0
2023-03-30,2023Q1,RN3,3m,breakout,above,4075.63,4078.25,-2.62,-1,1680185520000,2.0,0.571,0.429,0.571,1.077,1.661,3.085,6.25,7.75,3.5,trail_stop,1778,1,1,1,1
2023-03-30,2023Q1,RN3,5m,fade,above,4075.63,4073.75,1.88,1,1680185700000,1.5,0.222,0.593,0.222,1.588,3.203,3.085,12.25,1.75,8.5,trail_stop,1769,0,1,1,1
2023-03-30,2023Q1,RN3,5m,breakout,above,4075.63,4073.75,1.88,-1,1680185700000,1.5,0.222,0.593,0.222,1.588,3.203,3.085,1.75,12.25,-2.5,trail_stop,1769,0,0,0,0
2023-03-30,2023Q1,RN0,3m,fade,below,4077.72,4077.25,-0.47,-1,1680186240000,1.0,0.333,0.5,0.333,0.857,1.273,-0.742,0.5,8.75,-2.5,trail_stop,1735,0,0,0,0
2023-03-30,2023Q1,RN0,3m,breakout,below,4077.72,4077.25,-0.47,1,1680186240000,1.0,0.333,0.5,0.333,0.857,1.273,-0.742,8.75,0.5,5.0,trail_stop,1735,1,1,1,1
2023-03-30,2023Q1,RN0,5m,fade,below,4077.72,4078.25,0.53,-1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.803,-0.742,1.0,7.75,-2.5,trail_stop,1730,0,0,0,0
2023-03-30,2023Q1,RN0,5m,breakout,below,4077.72,4078.25,0.53,1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.803,-0.742,7.75,1.0,4.0,trail_stop,1730,1,1,1,1
2023-03-30,2023Q1,RN2,3m,fade,below,4078.32,4077.25,-1.07,-1,1680186240000,1.0,0.333,0.5,0.333,0.857,1.254,1.672,0.5,8.75,-2.5,trail_stop,1735,0,0,0,0
2023-03-30,2023Q1,RN2,3m,breakout,below,4078.32,4077.25,-1.07,1,1680186240000,1.0,0.333,0.5,0.333,0.857,1.254,1.672,8.75,0.5,5.0,trail_stop,1735,1,1,1,1
2023-03-30,2023Q1,RN2,5m,fade,below,4078.32,4078.25,-0.07,-1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.776,1.672,1.0,7.75,-2.5,trail_stop,1730,0,0,0,0
2023-03-30,2023Q1,RN2,5m,breakout,below,4078.32,4078.25,-0.07,1,1680186300000,0.5,0.118,0.647,0.118,1.133,1.776,1.672,7.75,1.0,4.0,trail_stop,1730,1,1,1,1
2023-03-30,2023Q1,RN2,3m,fade,above,4078.32,4079.25,-0.93,1,1680186960000,0.75,0.125,0.875,0.125,1.5,2.667,-0.667,5.75,1.5,3.25,trail_stop,1680,1,1,1,1
2023-03-30,2023Q1,RN2,3m,breakout,above,4078.32,4079.25,-0.93,-1,1680186960000,0.75,0.125,0.875,0.125,1.5,2.667,-0.667,1.5,5.75,-2.5,trail_stop,1680,0,0,0,0
2023-03-30,2023Q1,RN2,5m,fade,above,4078.32,4083.25,-4.93,1,1680187200000,5.0,1.0,0.55,1.0,0.769,2.222,-0.667,1.75,5.5,-2.5,trail_stop,1653,0,0,0,0
2023-03-30,2023Q1,RN2,5m,breakout,above,4078.32,4083.25,-4.93,-1,1680187200000,5.0,1.0,0.55,1.0,0.769,2.222,-0.667,5.5,1.75,1.75,trail_stop,1653,0,1,1,1
