date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hitT_s1p75,hitT_s2p0,hitT_s2p5,hitT_s3p25
2023-03-30,2023Q1,RND0,3m,fade,above,4075.0,4073.75,1.25,1,1680185700000,1.5,0.222,0.704,0.222,1.929,2.625,3.306,12.25,1.75,8.5,trail_stop,1769,0,1,1,1
2023-03-30,2023Q1,RND0,3m,breakout,above,4075.0,4073.75,1.25,-1,1680185700000,1.5,0.222,0.704,0.222,1.929,2.625,3.306,1.75,12.25,-2.5,trail_stop,1769,0,0,0,0
2023-03-30,2023Q1,RND0,5m,fade,above,4075.0,4073.75,1.25,1,1680185700000,1.5,0.222,0.593,0.222,1.588,2.625,3.306,12.25,1.75,8.5,trail_stop,1769,0,1,1,1
2023-03-30,2023Q1,RND0,5m,breakout,above,4075.0,4073.75,1.25,-1,1680185700000,1.5,0.222,0.593,0.222,1.588,2.625,3.306,1.75,12.25,-2.5,trail_stop,1769,0,0,0,0
2023-03-30,2023Q1,RND0,3m,fade,above,4075.0,4076.25,-1.25,1,1680190380000,1.75,0.389,0.556,0.389,3.6,3.15,3.5,3.0,5.25,-2.5,trail_stop,1613,0,0,0,0
2023-03-30,2023Q1,RND0,3m,breakout,above,4075.0,4076.25,-1.25,-1,1680190380000,1.75,0.389,0.556,0.389,3.6,3.15,3.5,5.25,3.0,-2.5,trail_stop,1613,0,0,0,1
2023-03-30,2023Q1,RND0,5m,fade,above,4075.0,4075.5,-0.5,1,1680190500000,1.0,0.222,0.722,0.222,2.25,3.15,3.5,3.75,4.5,1.25,trail_stop,1605,0,0,0,0
2023-03-30,2023Q1,RND0,5m,breakout,above,4075.0,4075.5,-0.5,-1,1680190500000,1.0,0.222,0.722,0.222,2.25,3.15,3.5,4.5,3.75,-2.5,trail_stop,1605,0,0,0,0
2023-03-30,2023Q1,RND0,3m,fade,below,4075.0,4073.25,-1.75,-1,1680200640000,1.0,0.4,0.5,0.4,1.0,1.687,2.361,1.0,5.5,-2.5,trail_stop,1580,0,0,0,0
2023-03-30,2023Q1,RND0,3m,breakout,below,4075.0,4073.25,-1.75,1,1680200640000,1.0,0.4,0.5,0.4,1.0,1.687,2.361,5.5,1.0,2.5,trail_stop,1580,1,1,1,1
