date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hitT_s1p75,hitT_s2p0,hitT_s2p5,hitT_s3p25
2023-03-31,2023Q1,PDH,3m,fade,above,4087.75,4095.5,-7.75,1,1680269580000,7.0,0.966,0.724,0.966,1.933,5.273,1.455,8.25,0.5,1.25,trail_stop,1768,1,1,1,1
2023-03-31,2023Q1,PDH,3m,breakout,above,4087.75,4095.5,-7.75,-1,1680269580000,7.0,0.966,0.724,0.966,1.933,5.273,1.455,0.5,8.25,-2.5,trail_stop,1768,0,0,0,0
2023-03-31,2023Q1,PDH,5m,fade,above,4087.75,4097.5,-9.75,1,1680269700000,9.0,0.973,0.784,0.973,1.85,6.727,1.455,6.25,1.75,1.5,trail_stop,1766,0,1,1,1
2023-03-31,2023Q1,PDH,5m,breakout,above,4087.75,4097.5,-9.75,-1,1680269700000,9.0,0.973,0.784,0.973,1.85,6.727,1.455,1.75,6.25,-2.5,trail_stop,1766,0,0,0,0
2023-04-03,2023Q2,PDC,3m,fade,below,4138.0,4139.25,1.25,-1,1680528960000,0.25,0.053,0.842,0.053,1.056,3.5,3.132,0.75,13.0,-2.5,trail_stop,1781,0,0,0,0
2023-04-03,2023Q2,PDC,3m,breakout,below,4138.0,4139.25,1.25,1,1680528960000,0.25,0.053,0.842,0.053,1.056,3.5,3.132,13.0,0.75,1.25,trail_stop,1781,1,1,1,1
2023-04-03,2023Q2,PDC,5m,fade,below,4138.0,4138.25,0.25,-1,1680528900000,0.5,0.071,0.821,0.071,3.111,5.158,3.132,0.75,14.0,-2.5,trail_stop,1781,0,0,0,0
2023-04-03,2023Q2,PDC,5m,breakout,below,4138.0,4138.25,0.25,1,1680528900000,0.5,0.071,0.821,0.071,3.111,5.158,3.132,14.0,0.75,2.25,trail_stop,1781,1,1,1,1
2023-04-03,2023Q2,PDH,3m,fade,below,4141.25,4142.0,0.75,-1,1680529140000,0.5,0.125,0.75,0.125,0.842,2.333,5.25,2.5,10.25,-2.5,trail_stop,1779,0,0,0,0
2023-04-03,2023Q2,PDH,3m,breakout,below,4141.25,4142.0,0.75,1,1680529140000,0.5,0.125,0.75,0.125,0.842,2.333,5.25,10.25,2.5,-2.5,trail_stop,1779,0,0,0,1
2023-04-03,2023Q2,PDH,5m,fade,below,4141.25,4142.5,1.25,-1,1680529200000,0.0,0.0,0.8,0.0,0.714,2.917,5.25,3.0,9.75,-2.5,trail_stop,1779,0,0,0,0
2023-04-03,2023Q2,PDH,5m,breakout,below,4141.25,4142.5,1.25,1,1680529200000,0.0,0.0,0.8,0.0,0.714,2.917,5.25,9.75,3.0,-2.5,trail_stop,1779,0,0,0,1
2023-04-03,2023Q2,PDH,3m,fade,above,4141.25,4139.75,1.5,1,1680533460000,0.25,0.062,0.938,0.062,0.762,1.882,2.941,0.25,12.0,-2.5,trail_stop,1771,0,0,0,0
2023-04-03,2023Q2,PDH,3m,breakout,above,4141.25,4139.75,1.5,-1,1680533460000,0.25,0.062,0.938,0.062,0.762,1.882,2.941,12.0,0.25,1.75,trail_stop,1771,1,1,1,1
2023-04-03,2023Q2,PDH,5m,fade,above,4141.25,4140.75,0.5,1,1680533400000,1.25,0.152,0.667,0.152,3.0,3.882,2.941,0.75,13.0,-2.5,trail_stop,1774,0,0,0,0
2023-04-03,2023Q2,PDH,5m,breakout,above,4141.25,4140.75,0.5,-1,1680533400000,1.25,0.152,0.667,0.152,3.0,3.882,2.941,13.0,0.75,2.75,trail_stop,1774,1,1,1,1
