date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2023-04-03,2023Q2,call_wall,-1,4149.25,-23.56,-25.06,4174.31,4151.75,4145.5,target,3.75,1.5,2.5,3.75,1.0
2023-04-13,2023Q2,call_wall,-1,4163.75,-24.84,-25.09,4188.84,4165.0,4161.88,stop,-1.75,-1.4,1.25,1.0,1.5
2023-04-20,2023Q2,put_wall,1,4148.25,-11.41,-14.16,4134.09,4144.5,4153.88,stop,-4.25,-1.133,3.75,4.5,3.75
2023-04-25,2023Q2,put_wall,1,4126.5,-94.8,-95.3,4031.2,4125.0,4128.75,stop,-2.0,-1.333,1.5,0.25,1.5
2023-04-25,2023Q2,put_wall,1,4129.75,-95.66,-98.41,4031.34,4126.0,4135.38,stop,-4.25,-1.133,3.75,2.0,3.75
2023-04-28,2023Q2,call_wall,-1,4179.25,5.25,-0.75,4180.0,4186.25,4168.75,timeout,-3.25,-0.464,7.0,8.0,3.25
2023-05-17,2023Q2,gamma_flip,-1,4168.25,4.36,-1.89,4170.14,4175.5,4157.38,eod,-0.5,-0.069,7.25,3.5,2.25
2023-05-17,2023Q2,gamma_flip,-1,4170.0,5.51,-0.24,4170.24,4176.75,4159.88,timeout,3.25,0.481,6.75,5.25,4.5
2023-05-17,2023Q2,gamma_flip,-1,4176.75,-1.26,-3.51,4180.26,4180.0,4171.88,target,4.88,1.5,3.25,5.0,0.75
2023-05-23,2023Q2,put_wall,1,4159.75,3.34,-3.41,4156.34,4152.0,4171.38,timeout,4.0,0.516,7.75,5.75,4.5
2023-06-02,2023Q2,gamma_flip,1,4253.75,-2.01,-3.76,4249.99,4251.0,4257.88,stop,-3.25,-1.182,2.75,0.25,2.75
2023-06-09,2023Q2,call_wall,-1,4314.25,-40.21,-41.46,4355.71,4316.5,4310.88,stop,-2.75,-1.222,2.25,3.0,2.25
2023-06-15,2023Q2,call_wall,-1,4450.75,-12.33,-15.33,4466.08,4454.75,4444.75,stop,-4.5,-1.125,4.0,1.75,5.0
2023-06-15,2023Q2,call_wall,-1,4474.75,-21.43,-21.93,4496.68,4476.25,4472.5,target,2.25,1.5,1.5,2.25,0.25
2023-06-21,2023Q2,put_wall,1,4406.5,-4.7,-6.45,4400.05,4403.75,4410.62,target,4.12,1.5,2.75,4.25,2.25
2023-06-21,2023Q2,put_wall,1,4410.25,6.07,-0.18,4410.07,4403.0,4421.12,timeout,-3.0,-0.414,7.25,8.25,6.75
2023-06-22,2023Q2,gamma_flip,1,4402.25,-114.48,-115.73,4286.52,4400.0,4405.62,stop,-2.75,-1.222,2.25,0.25,2.25
2023-06-28,2023Q2,put_wall,1,4403.75,-4.75,-8.75,4395.0,4398.75,4411.25,target,7.5,1.5,5.0,7.5,0.25
2023-06-28,2023Q2,put_wall,1,4405.25,4.29,-0.21,4405.04,4399.75,4413.5,target,8.25,1.5,5.5,8.25,3.25
2023-06-28,2023Q2,put_wall,1,4405.5,6.22,-0.03,4405.47,4398.25,4416.38,target,10.88,1.5,7.25,11.0,5.75
2023-07-05,2023Q3,put_wall,1,4480.25,-23.52,-28.77,4451.48,4474.0,4489.62,target,9.38,1.5,6.25,9.5,1.0
2023-07-06,2023Q3,put_wall,1,4427.5,-4.53,-8.28,4419.22,4422.75,4434.62,stop,-5.25,-1.105,4.75,0.0,4.75
2023-07-06,2023Q3,put_wall,1,4429.75,5.3,-0.7,4429.05,4422.75,4440.25,stop,-7.5,-1.071,7.0,1.25,7.0
2023-07-10,2023Q3,gamma_flip,1,4440.5,-275.03,-275.53,4164.97,4439.0,4442.75,stop,-2.0,-1.333,1.5,0.0,1.75
2023-07-19,2023Q3,call_wall,-1,4598.75,-45.51,-46.51,4645.26,4600.75,4595.75,target,3.0,1.5,2.0,3.0,0.0
2023-07-21,2023Q3,gamma_flip,1,4572.25,7.25,-0.25,4572.0,4563.75,4585.0,timeout,5.25,0.618,8.5,10.5,1.0
2023-07-21,2023Q3,gamma_flip,1,4572.5,-6.14,-10.39,4562.11,4567.25,4580.38,target,7.88,1.5,5.25,8.0,0.75
2023-07-24,2023Q3,gamma_flip,-1,4580.25,5.83,-1.42,4581.67,4588.5,4567.88,stop,-8.75,-1.061,8.25,1.0,8.25
2023-07-26,2023Q3,gamma_flip,1,4584.0,-30.11,-33.61,4550.39,4579.5,4590.75,target,6.75,1.5,4.5,6.75,2.0
2023-07-26,2023Q3,gamma_flip,1,4587.25,-36.42,-37.42,4549.83,4585.25,4590.25,stop,-2.5,-1.25,2.0,0.25,2.0
2023-07-26,2023Q3,gamma_flip,1,4587.75,-34.43,-37.18,4550.57,4584.0,4593.38,stop,-4.25,-1.133,3.75,1.5,3.75
2023-08-02,2023Q3,put_wall,1,4528.25,-3.03,-3.53,4524.72,4526.75,4530.5,target,2.25,1.5,1.5,2.5,0.25
2023-08-07,2023Q3,gamma_flip,-1,4529.25,-197.03,-203.03,4732.28,4536.25,4518.75,eod,-1.5,-0.214,7.0,2.25,3.75
2023-08-10,2023Q3,call_wall,-1,4542.0,-34.63,-35.63,4577.63,4544.0,4539.0,stop,-2.5,-1.25,2.0,1.0,2.75
2023-08-15,2023Q3,put_wall,1,4465.5,-38.22,-41.72,4423.78,4461.0,4472.25,stop,-5.0,-1.111,4.5,4.5,4.75
2023-08-15,2023Q3,put_wall,1,4467.5,-1.98,-3.23,4464.27,4465.25,4470.88,target,3.38,1.5,2.25,3.75,1.0
2023-08-17,2023Q3,put_wall,1,4419.5,-94.32,-98.57,4320.93,4414.25,4427.38,stop,-5.75,-1.095,5.25,7.75,5.25
2023-08-23,2023Q3,call_wall,-1,4432.0,-14.92,-16.42,4448.42,4434.5,4428.25,stop,-3.0,-1.2,2.5,0.25,2.5
2023-08-29,2023Q3,gamma_flip,-1,4492.0,-0.7,-2.95,4494.95,4495.25,4487.12,stop,-3.75,-1.154,3.25,3.25,3.25
2023-08-29,2023Q3,gamma_flip,-1,4494.25,4.56,-0.44,4494.69,4500.25,4485.25,stop,-6.5,-1.083,6.0,4.0,8.25
2023-08-30,2023Q3,gamma_flip,-1,4519.5,-13.39,-14.39,4533.89,4521.5,4516.5,target,3.0,1.5,2.0,3.0,0.5
