date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2023-03-31,2023Q1,gamma_flip,-1,4128.25,4.26,3.76,4124.49,4129.75,4126.0,stop,-2.0,-1.333,1.5,1.25,1.75
2023-04-03,2023Q2,call_wall,1,4147.25,29.81,27.06,4174.31,4143.5,4152.88,target,5.62,1.5,3.75,5.75,2.5
2023-04-03,2023Q2,call_wall,-1,4148.25,4.91,4.66,4143.59,4149.5,4146.38,target,1.88,1.5,1.25,2.0,0.75
2023-04-13,2023Q2,call_wall,-1,4162.25,4.54,4.04,4158.21,4163.75,4160.0,stop,-2.0,-1.333,1.5,0.25,1.5
2023-04-13,2023Q2,call_wall,1,4164.0,26.09,24.84,4188.84,4161.75,4167.38,target,3.38,1.5,2.25,3.5,1.25
2023-04-20,2023Q2,put_wall,-1,4149.5,15.66,15.41,4134.09,4150.75,4147.62,target,1.88,1.5,1.25,2.25,0.75
2023-04-20,2023Q2,put_wall,1,4151.25,4.26,3.26,4154.51,4149.25,4154.25,stop,-2.5,-1.25,2.0,0.0,2.25
2023-04-25,2023Q2,put_wall,-1,4125.25,96.8,94.05,4031.2,4129.0,4119.62,timeout,5.0,1.333,3.75,4.75,1.75
2023-04-25,2023Q2,put_wall,1,4127.75,5.04,4.79,4132.54,4126.5,4129.62,stop,-1.75,-1.4,1.25,0.25,1.25
2023-04-25,2023Q2,put_wall,-1,4130.25,98.91,98.91,4031.34,4131.25,4128.75,stop,-1.5,-1.5,1.0,1.25,1.0
2023-04-28,2023Q2,call_wall,1,4175.75,4.67,4.67,4180.42,4174.75,4177.25,target,1.5,1.5,1.0,1.5,0.0
2023-04-28,2023Q2,call_wall,-1,4181.0,6.19,0.94,4180.06,4187.25,4171.62,eod,-1.5,-0.24,6.25,4.5,2.0
2023-04-28,2023Q2,call_wall,-1,4184.5,5.25,4.5,4180.0,4186.25,4181.88,target,2.62,1.5,1.75,3.0,0.75
2023-05-17,2023Q2,gamma_flip,1,4165.75,4.96,4.46,4170.21,4164.25,4168.0,target,2.25,1.5,1.5,2.25,1.0
2023-05-17,2023Q2,gamma_flip,1,4167.75,4.39,2.39,4170.14,4164.75,4172.25,stop,-3.5,-1.167,3.0,1.75,3.0
2023-05-17,2023Q2,gamma_flip,-1,4173.0,4.52,2.52,4170.48,4176.0,4168.5,target,4.5,1.5,3.0,4.5,2.75
2023-05-17,2023Q2,gamma_flip,-1,4174.0,4.46,3.96,4170.04,4175.5,4171.75,stop,-2.0,-1.333,1.5,0.5,1.5
2023-05-17,2023Q2,gamma_flip,1,4176.25,4.26,4.01,4180.26,4175.0,4178.12,stop,-1.75,-1.4,1.25,0.75,1.5
2023-05-18,2023Q2,call_wall,-1,4204.0,5.04,5.04,4198.96,4205.0,4202.5,stop,-1.5,-1.5,1.0,0.75,1.0
2023-05-23,2023Q2,put_wall,-1,4163.0,6.91,6.66,4156.34,4164.25,4161.12,stop,-1.75,-1.4,1.25,0.0,1.25
2023-05-23,2023Q2,put_wall,1,4163.5,4.43,2.93,4166.43,4161.0,4167.25,stop,-3.0,-1.2,2.5,0.0,4.25
2023-05-26,2023Q2,gamma_flip,-1,4217.25,4.46,3.46,4213.79,4219.25,4214.25,target,3.0,1.5,2.0,3.0,1.0
2023-06-01,2023Q2,gamma_flip,1,4226.25,5.75,4.0,4230.25,4223.5,4230.38,stop,-3.25,-1.182,2.75,0.25,3.0
2023-06-01,2023Q2,gamma_flip,-1,4234.25,4.3,3.8,4230.45,4235.75,4232.0,stop,-2.0,-1.333,1.5,1.5,1.5
2023-06-02,2023Q2,gamma_flip,-1,4252.75,4.51,2.76,4249.99,4255.5,4248.62,stop,-3.25,-1.182,2.75,1.25,2.75
2023-06-02,2023Q2,gamma_flip,1,4255.25,6.03,4.78,4260.03,4253.0,4258.62,stop,-2.75,-1.222,2.25,0.75,2.25
2023-06-02,2023Q2,call_wall,1,4264.5,45.89,45.64,4310.14,4263.25,4266.38,stop,-1.75,-1.4,1.25,0.0,2.0
2023-06-02,2023Q2,call_wall,-1,4266.0,5.98,5.98,4260.02,4267.0,4264.5,stop,-1.5,-1.5,1.0,0.5,1.0
2023-06-07,2023Q2,put_wall,-1,4276.75,19.59,18.84,4257.91,4278.5,4274.12,target,2.62,1.5,1.75,3.5,0.75
2023-06-07,2023Q2,gamma_flip,1,4294.0,7.16,4.41,4298.41,4290.25,4299.62,stop,-4.25,-1.133,3.75,2.75,3.75
2023-06-07,2023Q2,gamma_flip,-1,4294.75,36.96,36.71,4258.04,4296.0,4292.88,target,1.88,1.5,1.25,2.0,0.0
2023-06-07,2023Q2,gamma_flip,-1,4301.0,4.99,2.74,4298.26,4304.25,4296.12,stop,-3.75,-1.154,3.25,0.5,3.25
2023-06-08,2023Q2,gamma_flip,1,4282.0,6.11,4.36,4286.36,4279.25,4286.12,stop,-3.25,-1.182,2.75,0.75,2.75
2023-06-09,2023Q2,call_wall,-1,4311.0,6.1,5.35,4305.65,4312.75,4308.38,stop,-2.25,-1.286,1.75,0.75,1.75
2023-06-09,2023Q2,call_wall,1,4313.0,43.71,42.71,4355.71,4311.0,4316.0,target,3.0,1.5,2.0,3.0,1.75
2023-06-14,2023Q2,gamma_flip,1,4392.5,5.85,5.35,4397.85,4391.0,4394.75,stop,-2.0,-1.333,1.5,0.25,1.5
2023-06-14,2023Q2,gamma_flip,-1,4396.5,256.64,251.39,4145.11,4402.75,4387.12,target,9.38,1.5,6.25,9.75,0.0
2023-06-15,2023Q2,call_wall,-1,4450.0,4.43,3.93,4446.07,4451.5,4447.75,stop,-2.0,-1.333,1.5,0.75,1.5
2023-06-15,2023Q2,call_wall,1,4450.0,16.33,16.08,4466.08,4448.75,4451.88,target,1.88,1.5,1.25,2.0,1.0
2023-06-15,2023Q2,call_wall,-1,4471.0,4.98,4.48,4466.52,4472.5,4468.75,stop,-2.0,-1.333,1.5,1.25,1.5
2023-06-15,2023Q2,call_wall,1,4474.25,24.68,22.43,4496.68,4471.0,4479.12,target,4.88,1.5,3.25,5.25,1.5
2023-06-16,2023Q2,gamma_flip,1,4457.75,57.28,54.53,4512.28,4454.0,4463.38,target,5.62,1.5,3.75,5.75,2.0
2023-06-21,2023Q2,put_wall,1,4405.75,5.61,4.61,4410.36,4403.75,4408.75,target,3.0,1.5,2.0,3.25,0.75
2023-06-21,2023Q2,put_wall,-1,4406.75,7.95,6.7,4400.05,4409.0,4403.38,stop,-2.75,-1.222,2.25,2.5,2.75
2023-06-21,2023Q2,put_wall,1,4407.0,4.57,3.07,4410.07,4404.5,4410.75,target,3.75,1.5,2.5,3.75,2.25
2023-06-21,2023Q2,put_wall,-1,4418.25,8.34,8.09,4410.16,4419.5,4416.38,target,1.88,1.5,1.25,2.0,0.25
2023-06-22,2023Q2,gamma_flip,-1,4400.0,116.23,113.48,4286.52,4403.75,4394.38,stop,-4.25,-1.133,3.75,0.75,4.0
2023-06-22,2023Q2,gamma_flip,1,4416.5,246.81,245.31,4661.81,4414.0,4420.25,stop,-3.0,-1.2,2.5,0.5,2.5
2023-06-27,2023Q2,gamma_flip,-1,4420.25,4.28,3.53,4416.72,4422.0,4417.62,stop,-2.25,-1.286,1.75,0.25,1.75
2023-06-28,2023Q2,put_wall,1,4399.75,5.72,5.72,4405.47,4398.75,4401.25,target,1.5,1.5,1.0,1.75,0.0
2023-06-28,2023Q2,put_wall,1,4403.5,4.44,2.44,4405.94,4400.5,4408.0,target,4.5,1.5,3.0,4.5,0.25
2023-06-28,2023Q2,put_wall,-1,4404.25,11.0,9.25,4395.0,4407.0,4400.12,stop,-3.25,-1.182,2.75,0.25,3.25
2023-06-28,2023Q2,put_wall,1,4405.5,6.22,-0.03,4405.47,4398.25,4416.38,target,10.88,1.5,7.25,11.0,5.75
2023-06-28,2023Q2,put_wall,-1,4408.5,4.32,3.57,4404.93,4410.25,4405.88,target,2.62,1.5,1.75,2.75,0.0
2023-06-28,2023Q2,put_wall,-1,4410.5,4.81,4.56,4405.94,4411.75,4408.62,stop,-1.75,-1.4,1.25,1.25,2.0
2023-07-05,2023Q3,put_wall,1,4479.5,4.88,2.63,4482.13,4476.25,4484.38,stop,-3.75,-1.154,3.25,1.75,3.25
2023-07-05,2023Q3,put_wall,-1,4481.0,29.52,29.52,4451.48,4482.0,4479.5,target,1.5,1.5,1.0,1.75,0.0
2023-07-06,2023Q3,put_wall,1,4425.5,5.05,3.55,4429.05,4423.0,4429.25,target,3.75,1.5,2.5,4.5,1.75
2023-07-06,2023Q3,put_wall,-1,4427.5,11.78,8.28,4419.22,4432.0,4420.75,target,6.75,1.5,4.5,6.75,0.0
