date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2023-04-03,2023Q2,RND0,-1,4149.5,6.0,-0.5,4150.0,4157.0,4138.25,eod,-4.25,-0.567,7.5,0.0,4.5
2023-04-04,2023Q2,RND0,1,4125.25,5.5,-0.25,4125.0,4118.5,4135.38,stop,-7.25,-1.074,6.75,3.0,6.75
2023-04-04,2023Q2,RND0,1,4126.0,5.0,-1.0,4125.0,4119.0,4136.5,stop,-7.5,-1.071,7.0,2.25,7.5
2023-04-10,2023Q2,RND1,-1,4124.5,4.25,-0.5,4125.0,4130.25,4115.88,stop,-6.25,-1.087,5.75,0.5,5.75
2023-04-10,2023Q2,RND1,-1,4124.75,6.0,-0.25,4125.0,4132.0,4113.88,stop,-7.75,-1.069,7.25,0.5,7.25
2023-04-12,2023Q2,RND1,-1,4148.75,4.5,-1.25,4150.0,4155.5,4138.62,target,10.12,1.5,6.75,12.0,5.75
2023-04-12,2023Q2,RND1,-1,4149.75,4.5,-0.25,4150.0,4155.5,4141.12,timeout,-1.5,-0.261,5.75,7.0,4.75
2023-04-18,2023Q2,RND0,-1,4173.25,4.5,-1.75,4175.0,4180.5,4162.38,stop,-7.75,-1.069,7.25,0.75,7.5
2023-04-18,2023Q2,RND0,-1,4174.75,4.25,-0.25,4175.0,4180.25,4166.5,stop,-6.0,-1.091,5.5,2.25,5.5
2023-04-20,2023Q2,RND0,1,4151.0,4.5,-1.0,4150.0,4144.5,4160.75,stop,-7.0,-1.077,6.5,1.75,6.5
2023-04-21,2023Q2,RND0,1,4151.75,4.75,-1.75,4150.0,4144.25,4163.0,stop,-8.0,-1.067,7.5,0.75,7.5
2023-04-26,2023Q2,RND1,1,4100.25,5.0,-0.25,4100.0,4094.0,4109.62,stop,-6.75,-1.08,6.25,2.0,6.75
2023-04-27,2023Q2,RND0,-1,4098.75,5.5,-1.25,4100.0,4106.5,4087.12,stop,-8.25,-1.065,7.75,0.75,7.75
2023-05-01,2023Q2,RND0,-1,4199.5,6.25,-0.5,4200.0,4207.25,4187.88,timeout,4.5,0.581,7.75,4.75,2.5
2023-05-02,2023Q2,RND0,1,4125.75,4.25,-0.75,4125.0,4119.75,4134.75,stop,-6.5,-1.083,6.0,0.75,6.25
2023-05-03,2023Q2,RND0,1,4126.75,4.25,-1.75,4125.0,4119.75,4137.25,stop,-7.5,-1.071,7.0,8.0,7.0
2023-05-03,2023Q2,RND1,-1,4149.25,6.25,-0.75,4150.0,4157.25,4137.25,target,12.0,1.5,8.0,12.0,4.25
2023-05-03,2023Q2,RND1,-1,4149.75,4.5,-0.25,4150.0,4155.5,4141.12,target,8.62,1.5,5.75,8.75,3.0
2023-05-04,2023Q2,RND0,1,4077.0,4.25,-2.0,4075.0,4069.75,4087.88,target,10.88,1.5,7.25,11.0,1.75
2023-05-08,2023Q2,RND0,-1,4147.75,4.75,-2.25,4150.0,4155.75,4135.75,stop,-8.5,-1.062,8.0,10.25,8.0
2023-05-15,2023Q2,RND1,-1,4149.5,5.25,-0.5,4150.0,4156.25,4139.38,target,10.12,1.5,6.75,10.25,1.25
2023-05-19,2023Q2,RND0,1,4200.25,6.75,-0.25,4200.0,4192.25,4212.25,timeout,5.25,0.656,8.0,8.75,0.5
2023-05-24,2023Q2,RND0,1,4125.25,6.25,-0.25,4125.0,4117.75,4136.5,stop,-8.0,-1.067,7.5,2.25,7.75
2023-05-31,2023Q2,RND1,-1,4198.0,4.5,-2.0,4200.0,4205.5,4186.75,target,11.25,1.5,7.5,11.5,1.5
2023-06-05,2023Q2,RND1,-1,4297.0,4.25,-3.0,4300.0,4305.25,4284.62,timeout,1.5,0.182,8.25,11.25,1.75
