date,total_oi,zdte_oi,zdte_share
2023-03-29,344066191,8021093,0.023312645095082882
2023-03-30,354085689,7922680,0.022375035891382778
2023-03-31,362199990,48027295,0.13259883027605826
2023-04-03,375255745,11510394,0.030673465105777394
2023-04-04,354779050,8020039,0.02260572883319914
2023-04-05,362015740,11211109,0.030968567830779954
2023-04-06,364281181,32513741,0.08925451737788233
2023-04-10,361264129,10642646,0.02945945956344866
2023-04-11,346507491,6691625,0.0193116315629667
2023-04-12,350771934,7877851,0.022458612666542473
2023-04-13,357460660,6769791,0.018938562358162714
2023-04-14,367092105,22765040,0.062014518127541864
2023-04-17,365787030,7444674,0.020352482153344804
2023-04-18,359504110,5677566,0.01579277076971387
2023-04-19,368541044,6689694,0.018151828972406123
2023-04-20,373812428,6835530,0.018285989143196704
2023-04-21,380640868,80554041,0.21162740990807113
2023-04-24,373807611,7730605,0.020680705187674737
2023-04-25,323356648,6359309,0.0196665478793558
2023-04-26,331887503,8614665,0.025956581438379738
2023-04-27,334978233,6402455,0.01911304786182928
2023-04-28,347273877,28232376,0.08129714864789556
2023-05-01,355310037,9239738,0.02600471992858451
2023-05-02,344897813,8976051,0.026025247657920057
2023-05-03,349338642,9783432,0.028005582044943085
2023-05-04,352884047,8651402,0.02451627403831038
2023-05-05,355405495,26876728,0.07562271371184061
2023-05-08,362294408,7423220,0.02048946888520565
2023-05-09,353650074,8144343,0.023029382993993097
2023-05-10,355043587,7303591,0.020570970065148648
2023-05-11,364670021,6991080,0.01917097539531499
2023-05-12,367033746,21969984,0.05985821260151921
2023-05-15,369000286,8747792,0.023706735013208094
2023-05-16,365600763,5162883,0.0141216417537947
2023-05-17,367769776,6596272,0.017935873012033483
2023-05-18,379057504,8291954,0.021875187570485347
2023-05-19,387079581,67276429,0.173805161269925
2023-05-22,384876120,8490531,0.022060425572779107
2023-05-23,344971979,6703593,0.019432282643454934
2023-05-24,351771384,9366439,0.026626495007905475
2023-05-25,359207620,8466357,0.023569536191910406
2023-05-26,356166642,24840451,0.0697439009462318
2023-05-30,366976758,10297410,0.028060114913326474
2023-05-31,358596165,9719206,0.027103485615915607
2023-06-01,359651957,8745276,0.024315941647997205
2023-06-02,365654962,32701897,0.08943375695254478
2023-06-05,376611241,8091748,0.02148567838419884
2023-06-06,363482389,7259547,0.019972211088334187
2023-06-07,370039450,8177525,0.022099062681019552
2023-06-08,376020437,7340367,0.01952119161012517
2023-06-09,382168070,28706213,0.0751141062098673
2023-06-12,386856721,9402321,0.024304401318647376
2023-06-13,382242128,11197644,0.029294635990515416
2023-06-14,390818436,10998156,0.02814134387457607
2023-06-15,397376888,12061001,0.03035154123004758
2023-06-16,376847583,78599592,0.2085713045425052
2023-06-20,381873847,9130896,0.02391076548376459
2023-06-21,323361095,6567568,0.020310322118373577
2023-06-22,326132343,6023824,0.018470489447898763
2023-06-23,330225543,20292177,0.06144944699205173
2023-06-26,332923046,6132384,0.01841982426173044
2023-06-27,327694374,5474048,0.016704735980606126
2023-06-28,343873862,6168128,0.017937181861179086
2023-06-29,344850070,5856480,0.01698268467801094
2023-06-30,347155494,45277037,0.13042293088410695
2023-07-03,357387305,5709776,0.01597643766333558
2023-07-05,321512681,5996432,0.01865068581851675
2023-07-06,329113097,6540112,0.019871928706623306
2023-07-07,337733449,20184085,0.05976335793734188
2023-07-10,340755124,5883024,0.01726466775008789
2023-07-11,336064580,5579040,0.016601094944311
2023-07-12,340832468,8519456,0.024996022385989355
2023-07-13,347572148,6359936,0.01829817503098666
2023-07-14,356003588,19843213,0.055738800587594076
2023-07-17,364459175,7841344,0.021515013307045982
2023-07-18,359458615,5765504,0.0160394097106283
2023-07-19,371309543,9151984,0.024647855603323398
2023-07-20,381499655,6308016,0.01653478821625671
2023-07-21,383064727,79938458,0.20868133337685252
2023-07-24,372586413,6649664,0.017847306740087703
2023-07-25,325018477,5377744,0.01654596393915168
2023-07-26,329860781,5584896,0.016931070080744154
2023-07-27,334588541,5933392,0.01773339870596465
2023-07-28,349086749,29749664,0.08522140724396274
2023-07-31,352479197,8198400,0.023259244998790667
2023-08-01,342103837,5542640,0.016201630617782285
2023-08-02,345594013,5857904,0.016950247341235045
2023-08-03,356476509,7670128,0.02151650334973405
2023-08-04,358633517,22415936,0.06250373971599536
2023-08-07,362678669,7364640,0.020306239736420782
2023-08-08,357506077,5566304,0.015569816453777372
2023-08-09,360883789,7826464,0.021686937010074455
2023-08-10,367735613,7568368,0.02058100366798034
2023-08-11,376598845,23787504,0.06316403864701178
2023-08-14,374658381,5743696,0.015330488496399071
2023-08-15,366940493,6296256,0.017158793101637874
2023-08-16,368795965,6848032,0.0185686196431135
2023-08-17,374567997,7283584,0.019445291798380736
2023-08-18,381699517,70578323,0.18490545535586833
2023-08-21,374334554,8695984,0.023230513739856355
2023-08-22,332515434,6458976,0.01942459007782478
2023-08-23,332607370,7649664,0.022999081469541702
2023-08-24,336561306,7150096,0.021244557447729896
2023-08-25,339962458,21423904,0.06301844070088468
2023-08-28,344259114,7002160,0.020339795564570006
2023-08-29,343720794,5899968,0.01716500166120296
2023-08-30,358109338,9567744,0.026717382052740553
2023-08-31,361755754,9814960,0.02713145510879697
2023-09-01,362268490,28436272,0.07849501898440021
2023-09-05,363812090,9918464,0.02726260141602221
2023-09-06,349545594,6460912,0.018483746071764246
2023-09-07,350557786,5398864,0.015400781884216943
2023-09-08,352364954,24950016,0.07080731416893407
2023-09-11,355411002,5233872,0.014726252059017576
2023-09-12,346205162,6066976,0.01752422166368507
2023-09-13,352502154,6375344,0.0180859717526719
2023-09-14,358254026,7311920,0.020409875310096307
2023-09-15,352164746,72263219,0.20519719767747566
2023-09-18,355037319,6071808,0.017101886689269416
2023-09-19,297302375,5231952,0.0175980834327341
2023-09-20,302630663,6057584,0.020016425103625404
2023-09-21,306761239,6353344,0.020711039050145444
2023-09-22,315487399,23877264,0.07568373277564724
2023-09-25,318111591,6969824,0.021909996985931896
2023-09-26,311699927,7558224,0.024248398364238307
2023-09-27,318192855,7129600,0.02240653706696211
2023-09-28,324620567,7782080,0.023972849508330753
2023-09-29,327054471,36410089,0.11132729324467788
2023-10-02,327978382,7265040,0.022150972133279198
2023-10-03,307622478,6371680,0.0207126606658438
2023-10-04,316250670,7419552,0.023460984288191388
2023-10-05,319321198,7692352,0.024089700427592658
2023-10-06,320936142,22110640,0.06889420388184264
2023-10-09,326878030,7713232,0.02359666692802817
2023-10-10,320007166,7225856,0.022580294342533568
2023-10-11,331695470,7549216,0.022759478747177344
2023-10-12,335984062,6912112,0.02057273776278114
2023-10-13,343030590,23102704,0.06734881574264266
2023-10-16,346363678,9123920,0.026342023080145258
2023-10-17,348239038,7446064,0.021382048499686012
2023-10-18,350710222,7397456,0.021092786967583738
2023-10-19,355838798,7450560,0.020938020367301264
2023-10-20,358732846,63340778,0.1765681027156348
2023-10-23,351615972,7502208,0.02133636864482368
2023-10-24,314411716,6715440,0.02135874605894139
2023-10-25,315559556,7715840,0.024451295653363132
2023-10-26,320124308,6734688,0.02103772763172986
2023-10-27,322606308,27629472,0.08564454976497236
2023-10-30,329631172,8761376,0.026579330913521736
2023-10-31,328485092,9244352,0.028142379137254727
2023-11-01,327432452,7197104,0.02198042361421158
2023-11-02,332215796,6680240,0.02010813477394073
2023-11-03,340609268,24761408,0.07269739941427548
2023-11-06,352004580,9234432,0.026233840480143752
2023-11-07,344881988,7404272,0.021469001738646902
2023-11-08,352981716,8286944,0.023476978054013428
2023-11-09,357058484,6292320,0.017622659261612727
2023-11-10,359736340,23210736,0.06452152151211635
2023-11-13,366234116,9943648,0.02715106967260254
2023-11-14,354892164,7138448,0.020114414247816417
2023-11-15,368677764,8538624,0.02316012744397571
2023-11-16,378045796,9980976,0.026401499780201232
2023-11-17,381237268,72497803,0.19016452242544138
2023-11-20,373496265,7479152,0.020024703593756153
2023-11-21,332531625,5999312,0.01804132764815978
2023-11-22,333927305,9978624,0.02988262370458145
2023-11-24,340217881,24958784,0.0733611764515105
2023-11-27,334506697,5716896,0.0170905277869519
2023-11-28,326760633,4854896,0.01485765269649236
2023-11-29,333094297,6068064,0.018217255758059405
2023-11-30,340652201,6577872,0.019309641859616224
2023-12-01,345161001,24023552,0.06960100338798125
2023-12-04,356329593,8035120,0.022549684780180466
2023-12-05,349055641,5859248,0.016786000029147215
2023-12-06,357276297,6040480,0.01690702700045058
2023-12-07,365215865,6985536,0.019127142792660444
2023-12-08,369853801,27159760,0.07343377282203462
2023-12-11,372073769,7195792,0.019339691748063003
2023-12-12,366650537,6607792,0.01802204369879322
2023-12-13,372038777,8006352,0.021520208362581516
2023-12-14,385865385,14062560,0.03644421227366637
2023-12-15,368795257,96608164,0.26195609126285485
2023-12-18,374466181,7232544,0.01931427820981249
2023-12-19,317131031,5832411,0.018391170935271862
2023-12-20,324580601,7363448,0.022686038467221892
2023-12-21,338550572,8049993,0.023777815386470533
2023-12-22,342811146,32394639,0.09449704123680973
2023-12-26,343904076,7850532,0.02282767942535232
2023-12-27,325453432,7336384,0.022542039132652316
2023-12-28,330202637,8173311,0.024752409836145555
2023-12-29,338582872,45466604,0.13428500895934276
2024-01-02,341451195,8336902,0.02441608675582465
2024-01-03,316572715,6159355,0.01945636723619722
2024-01-04,322596699,5644833,0.017498111473236124
2024-01-05,327369296,21141948,0.06458134057874505
2024-01-08,340405253,6371668,0.018717889761824563
2024-01-09,350969410,6674081,0.019016133058433783
2024-01-10,350960604,6102966,0.017389319286674126
2024-01-11,359684256,7396071,0.020562676504806483
2024-01-12,368247870,21402303,0.05811928525207763
2024-01-16,374228708,9798749,0.026183851720964175
2024-01-17,369064584,8316978,0.022535291546695795
2024-01-18,375071704,9305511,0.024809952072524243
2024-01-19,382322255,96425490,0.25220998448023907
2024-01-22,376652081,9329209,0.024768770625748913
2024-01-23,320098385,9367527,0.029264524405519885
2024-01-24,327376119,8266250,0.02525000914926235
2024-01-25,346171523,8375713,0.02419526865587959
2024-01-26,352022617,23781113,0.06755563947188087
2024-01-29,358460024,8384961,0.02339162093009289
2024-01-30,351344674,8855861,0.025205621873180865
2024-01-31,356136651,19914786,0.055918945562275196
2024-02-01,362134098,9525763,0.026304518278198703
2024-02-02,360107222,26821852,0.07448296052224135
2024-02-05,377520662,12475671,0.03304632634915225
2024-02-06,370018477,8153608,0.022035677964265553
2024-02-07,367189677,7905221,0.02152898486849346
2024-02-08,384706953,7458869,0.019388443442039896
2024-02-09,387939469,25435485,0.06556560245227329
2024-02-12,395059766,9766330,0.024721145610155603
2024-02-13,398581588,7917937,0.0198652853979798
2024-02-14,408802294,10361568,0.025346159138725382
2024-02-15,413976601,8231315,0.019883527185151222
2024-02-16,424456523,75872105,0.17875118154327435
2024-02-20,415857039,9739470,0.023420236010481477
2024-02-21,371548477,8893176,0.023935439250905608
2024-02-22,373684476,9001228,0.024087776126937636
2024-02-23,390179559,26512843,0.06795036384773812
2024-02-26,393129535,8452910,0.021501589800420363
2024-02-27,383607954,7251707,0.018903953696434564
2024-02-28,386996785,6680490,0.01726239146922112
2024-02-29,391693052,24163052,0.0616887429496707
2024-03-01,394335158,29961769,0.07598046583510568
2024-03-04,401139272,8944720,0.022298290455091616
2024-03-05,386261977,7090513,0.01835674599677203
2024-03-06,392607703,7369449,0.01877051556474428
2024-03-07,397633413,6692815,0.016831621240039
2024-03-08,403575848,28905253,0.07162285142494454
2024-03-11,421256222,8487301,0.020147597962363154
2024-03-12,411000343,7934376,0.019305034983875913
2024-03-13,418216401,9858725,0.0235732624938351
2024-03-14,419130865,7840162,0.018705761504822605
2024-03-15,404329084,88024244,0.21770445778765696
2024-03-18,407246594,7679971,0.01885828172205659
2024-03-19,336767110,7319469,0.021734512613182447
2024-03-20,342990419,9319094,0.02717012920410468
2024-03-21,348932735,6671752,0.019120453115412057
2024-03-22,354496359,28556974,0.08055646630774
2024-03-25,373865122,9875589,0.026414844335225257
2024-03-26,357722755,5388541,0.015063456055514277
2024-03-27,359248165,6142814,0.017099082468521445
2024-03-28,364110301,46514754,0.12774907458605517
2024-04-01,391793781,8512002,0.02172572004148274
2024-04-02,364742072,5805126,0.01591570165780053
2024-04-03,370472976,6811849,0.018386898481901687
2024-04-04,373150952,5941840,0.015923421789903407
2024-04-05,382717753,26207982,0.06847861588485027
2024-04-08,387246570,7581099,0.01957693001644921
2024-04-09,371183219,6391541,0.017219369499567812
2024-04-10,377825442,8926445,0.023625844127246467
2024-04-11,382546767,7592336,0.019846817840183186
2024-04-12,386508787,24805975,0.06417958875537802
2024-04-15,394410761,9446407,0.023950682724906688
2024-04-16,388204843,8698509,0.022407007941423338
2024-04-17,383152511,8203265,0.021409921022284516
2024-04-18,383635124,6740313,0.017569593028192068
2024-04-19,386097523,73714703,0.19092249654240853
2024-04-22,380515981,8121104,0.021342346722620305
2024-04-23,329975729,6887006,0.02087125020034428
2024-04-24,332489434,6755630,0.020318329875108152
2024-04-25,334041398,7097177,0.021246399525606106
2024-04-26,338813417,27230243,0.0803694353107628
2024-04-29,340176477,7290994,0.021432975214215062
2024-04-30,325407438,19181015,0.05894461146275335
2024-05-01,324541135,6954326,0.02142818043697296
2024-05-02,319151404,6799337,0.021304424529493843
2024-05-03,321429676,23652644,0.07358575068221143
2024-05-06,327104157,7452426,0.022783036658259283
2024-05-07,336595682,7271920,0.02160431755033625
