date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hit20_s8,hit20_s10,hit20_s12,hit20_s15
2025-01-13,2025Q1,put_wall,3m,fade,above,20715.28,20718.5,-3.22,1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,137.0,16.5,10.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,put_wall,3m,breakout,above,20715.28,20718.5,-3.22,-1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,16.5,137.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,put_wall,5m,fade,above,20715.28,20725.75,-10.47,1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,129.75,23.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,put_wall,5m,breakout,above,20715.28,20725.75,-10.47,-1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,23.75,129.75,5.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,S1,3m,fade,above,20715.28,20718.5,-3.22,1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,137.0,16.5,10.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,S1,3m,breakout,above,20715.28,20718.5,-3.22,-1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,16.5,137.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,S1,5m,fade,above,20715.28,20725.75,-10.47,1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,129.75,23.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,S1,5m,breakout,above,20715.28,20725.75,-10.47,-1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,23.75,129.75,5.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,put_wall,3m,fade,above,20713.84,20717.25,-3.41,1,1736782200000,3.0,0.129,0.269,0.129,0.479,1.172,3.465,163.0,0.25,47.75,trail_stop,1799,1,1,1,1
2025-01-13,2025Q1,put_wall,3m,breakout,above,20713.84,20717.25,-3.41,-1,1736782200000,3.0,0.129,0.269,0.129,0.479,1.172,3.465,0.25,163.0,-11.5,trail_stop,1799,0,0,0,0
2025-01-13,2025Q1,put_wall,5m,fade,above,20713.84,20717.25,-3.41,1,1736782200000,3.0,0.077,0.833,0.077,0.555,1.966,3.465,163.0,0.25,47.75,trail_stop,1799,1,1,1,1
2025-01-13,2025Q1,put_wall,5m,breakout,above,20713.84,20717.25,-3.41,-1,1736782200000,3.0,0.077,0.833,0.077,0.555,1.966,3.465,0.25,163.0,-11.5,trail_stop,1799,0,0,0,0
2025-01-13,2025Q1,S1,3m,fade,above,20713.84,20717.25,-3.41,1,1736782200000,3.0,0.129,0.269,0.129,0.479,1.172,3.465,163.0,0.25,47.75,trail_stop,1799,1,1,1,1
2025-01-13,2025Q1,S1,3m,breakout,above,20713.84,20717.25,-3.41,-1,1736782200000,3.0,0.129,0.269,0.129,0.479,1.172,3.465,0.25,163.0,-11.5,trail_stop,1799,0,0,0,0
2025-01-13,2025Q1,S1,5m,fade,above,20713.84,20717.25,-3.41,1,1736782200000,3.0,0.077,0.833,0.077,0.555,1.966,3.465,163.0,0.25,47.75,trail_stop,1799,1,1,1,1
2025-01-13,2025Q1,S1,5m,breakout,above,20713.84,20717.25,-3.41,-1,1736782200000,3.0,0.077,0.833,0.077,0.555,1.966,3.465,0.25,163.0,-11.5,trail_stop,1799,0,0,0,0
2025-01-13,2025Q1,put_wall,3m,fade,above,20715.54,20745.25,-29.71,1,1736787780000,27.0,0.885,0.254,0.885,1.271,1.972,4.413,117.0,8.0,5.75,trail_stop,1785,0,1,1,1
2025-01-13,2025Q1,put_wall,3m,breakout,above,20715.54,20745.25,-29.71,-1,1736787780000,27.0,0.885,0.254,0.885,1.271,1.972,4.413,8.0,117.0,-11.5,trail_stop,1785,0,0,0,0
2025-01-13,2025Q1,put_wall,5m,fade,above,20715.54,20745.25,-29.71,1,1736787900000,27.0,0.581,0.167,0.581,0.995,3.007,4.413,117.75,8.0,22.0,trail_stop,1779,0,1,1,1
2025-01-13,2025Q1,put_wall,5m,breakout,above,20715.54,20745.25,-29.71,-1,1736787900000,27.0,0.581,0.167,0.581,0.995,3.007,4.413,8.0,117.75,-11.5,trail_stop,1779,0,0,0,0
2025-01-13,2025Q1,S1,3m,fade,above,20715.54,20745.25,-29.71,1,1736787780000,27.0,0.885,0.254,0.885,1.271,1.972,4.413,117.0,8.0,5.75,trail_stop,1785,0,1,1,1
2025-01-13,2025Q1,S1,3m,breakout,above,20715.54,20745.25,-29.71,-1,1736787780000,27.0,0.885,0.254,0.885,1.271,1.972,4.413,8.0,117.0,-11.5,trail_stop,1785,0,0,0,0
2025-01-13,2025Q1,S1,5m,fade,above,20715.54,20745.25,-29.71,1,1736787900000,27.0,0.581,0.167,0.581,0.995,3.007,4.413,117.75,8.0,22.0,trail_stop,1779,0,1,1,1
2025-01-13,2025Q1,S1,5m,breakout,above,20715.54,20745.25,-29.71,-1,1736787900000,27.0,0.581,0.167,0.581,0.995,3.007,4.413,8.0,117.75,-11.5,trail_stop,1779,0,0,0,0
2025-01-16,2025Q1,call_wall,3m,fade,below,21452.08,21432.25,-19.83,-1,1737043560000,24.25,0.898,0.481,0.898,0.885,1.883,4.149,61.75,42.5,-11.5,trail_stop,1789,0,0,0,0
2025-01-16,2025Q1,call_wall,3m,breakout,below,21452.08,21432.25,-19.83,1,1737043560000,24.25,0.898,0.481,0.898,0.885,1.883,4.149,42.5,61.75,31.0,trail_stop,1789,1,1,1,1
2025-01-16,2025Q1,call_wall,5m,fade,below,21452.08,21447.25,-4.83,-1,1737043500000,9.25,0.228,0.556,0.228,0.753,2.824,4.149,60.75,27.5,6.25,trail_stop,1789,0,0,0,0
2025-01-16,2025Q1,call_wall,5m,breakout,below,21452.08,21447.25,-4.83,1,1737043500000,9.25,0.228,0.556,0.228,0.753,2.824,4.149,27.5,60.75,-11.5,trail_stop,1789,0,0,0,0
2025-01-16,2025Q1,R1,3m,fade,below,21452.08,21432.25,-19.83,-1,1737043560000,24.25,0.898,0.481,0.898,0.885,1.883,4.149,61.75,42.5,-11.5,trail_stop,1789,0,0,0,0
2025-01-16,2025Q1,R1,3m,breakout,below,21452.08,21432.25,-19.83,1,1737043560000,24.25,0.898,0.481,0.898,0.885,1.883,4.149,42.5,61.75,31.0,trail_stop,1789,1,1,1,1
2025-01-16,2025Q1,R1,5m,fade,below,21452.08,21447.25,-4.83,-1,1737043500000,9.25,0.228,0.556,0.228,0.753,2.824,4.149,60.75,27.5,6.25,trail_stop,1789,0,0,0,0
