date,quarter,kind,tf,arm,approach,level,entry,pen,dir,mfe,mae,realized,exit,n_bars,hit20_s8,hit20_s10,hit20_s12,hit20_s15
2025-01-13,2025Q1,L3,3m,fade,above,20747.43,20745.0,2.43,1,96.5,43.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L3,3m,breakout,above,20747.43,20745.0,2.43,-1,43.0,96.5,-11.5,trail_stop,1800,0,0,1,1
2025-01-13,2025Q1,L3,5m,fade,above,20747.43,20763.5,-16.07,1,78.0,61.5,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L3,5m,breakout,above,20747.43,20763.5,-16.07,-1,61.5,78.0,7.75,trail_stop,1800,0,1,1,1
2025-01-13,2025Q1,L2,3m,fade,above,20726.31,20718.5,7.81,1,137.0,16.5,10.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,L2,3m,breakout,above,20726.31,20718.5,7.81,-1,16.5,137.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L2,5m,fade,above,20726.31,20725.75,0.56,1,129.75,23.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L2,5m,breakout,above,20726.31,20725.75,0.56,-1,23.75,129.75,5.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,L1,3m,fade,above,20703.26,20718.5,-15.24,1,137.0,16.5,10.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,L1,3m,breakout,above,20703.26,20718.5,-15.24,-1,16.5,137.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L1,5m,fade,above,20703.26,20725.75,-22.49,1,129.75,23.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,L1,5m,breakout,above,20703.26,20725.75,-22.49,-1,23.75,129.75,5.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,L1,3m,fade,above,20703.26,20781.5,-78.24,1,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,L1,3m,breakout,above,20703.26,20781.5,-78.24,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,L1,5m,fade,above,20703.26,20781.5,-78.24,1,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,L1,5m,breakout,above,20703.26,20781.5,-78.24,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,L2,3m,fade,below,20726.31,20781.5,55.19,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,L2,3m,breakout,below,20726.31,20781.5,55.19,1,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,L2,5m,fade,below,20726.31,20781.5,55.19,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,L2,5m,breakout,below,20726.31,20781.5,55.19,1,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,L3,3m,fade,below,20747.43,20781.5,34.07,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,L3,3m,breakout,below,20747.43,20781.5,34.07,1,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,L3,5m,fade,below,20747.43,20781.5,34.07,-1,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
