date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hit20_s8,hit20_s10,hit20_s12,hit20_s15
2025-01-13,2025Q1,RN1,3m,fade,below,20782.03,20762.0,-20.03,-1,1736778780000,23.5,0.74,0.118,0.74,1.924,2.361,-1.896,60.0,79.5,8.5,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,RN1,3m,breakout,below,20782.03,20762.0,-20.03,1,1736778780000,23.5,0.74,0.118,0.74,1.924,2.361,-1.896,79.5,60.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN1,5m,fade,below,20782.03,20763.5,-18.53,-1,1736778900000,22.0,0.506,0.052,0.506,2.486,3.235,-1.896,61.5,78.0,7.75,trail_stop,1800,0,1,1,1
2025-01-13,2025Q1,RN1,5m,breakout,below,20782.03,20763.5,-18.53,1,1736778900000,22.0,0.506,0.052,0.506,2.486,3.235,-1.896,78.0,61.5,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN1,3m,fade,below,20782.03,20762.0,-20.03,-1,1736778780000,23.5,0.74,0.118,0.74,1.924,2.174,-1.027,60.0,79.5,8.5,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,RN1,3m,breakout,below,20782.03,20762.0,-20.03,1,1736778780000,23.5,0.74,0.118,0.74,1.924,2.174,-1.027,79.5,60.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN1,5m,fade,below,20782.03,20763.5,-18.53,-1,1736778900000,22.0,0.506,0.052,0.506,2.486,2.978,-1.027,61.5,78.0,7.75,trail_stop,1800,0,1,1,1
2025-01-13,2025Q1,RN1,5m,breakout,below,20782.03,20763.5,-18.53,1,1736778900000,22.0,0.506,0.052,0.506,2.486,2.978,-1.027,78.0,61.5,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN4,3m,fade,above,20714.33,20718.5,-4.17,1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,137.0,16.5,10.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,RN4,3m,breakout,above,20714.33,20718.5,-4.17,-1,1736779140000,12.5,0.253,0.545,0.253,1.511,2.468,2.593,16.5,137.0,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN4,5m,fade,above,20714.33,20725.75,-11.42,1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,129.75,23.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-13,2025Q1,RN4,5m,breakout,above,20714.33,20725.75,-11.42,-1,1736779200000,19.75,0.299,0.591,0.299,1.517,3.291,2.593,23.75,129.75,5.0,trail_stop,1800,1,1,1,1
2025-01-13,2025Q1,RN1,3m,fade,below,20782.03,20781.5,-0.53,-1,1736779500000,3.0,0.036,0.833,0.036,2.598,3.074,0.671,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,RN1,3m,breakout,below,20782.03,20781.5,-0.53,1,1736779500000,3.0,0.036,0.833,0.036,2.598,3.074,0.671,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,RN1,5m,fade,below,20782.03,20781.5,-0.53,-1,1736779500000,3.0,0.036,0.682,0.036,1.25,3.074,0.671,45.5,74.0,7.0,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,RN1,5m,breakout,below,20782.03,20781.5,-0.53,1,1736779500000,3.0,0.036,0.682,0.036,1.25,3.074,0.671,74.0,45.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,RN1,3m,fade,below,20782.03,20792.0,9.97,-1,1736780040000,2.75,0.056,0.806,0.056,1.441,1.886,2.377,37.0,63.5,-11.5,trail_stop,1797,0,0,0,0
2025-01-13,2025Q1,RN1,3m,breakout,below,20782.03,20792.0,9.97,1,1736780040000,2.75,0.056,0.806,0.056,1.441,1.886,2.377,63.5,37.0,22.75,trail_stop,1797,1,1,1,1
2025-01-13,2025Q1,RN1,5m,fade,below,20782.03,20808.75,26.72,-1,1736780100000,17.5,0.217,0.702,0.217,1.789,3.098,2.377,64.5,46.75,-11.5,trail_stop,1797,0,0,0,0
