date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hit20_s8,hit20_s10,hit20_s12,hit20_s15
2025-01-13,2025Q1,RND0,3m,fade,below,20800.0,20830.0,30.0,-1,1736780220000,11.5,0.224,0.756,0.224,1.046,1.84,0.978,109.0,25.5,12.75,trail_stop,1797,1,1,1,1
2025-01-13,2025Q1,RND0,3m,breakout,below,20800.0,20830.0,30.0,1,1736780220000,11.5,0.224,0.756,0.224,1.046,1.84,0.978,25.5,109.0,-11.5,trail_stop,1797,0,0,0,0
2025-01-13,2025Q1,RND0,5m,fade,below,20800.0,20808.75,8.75,-1,1736780100000,17.5,0.217,0.702,0.217,1.789,2.89,0.978,64.5,46.75,-11.5,trail_stop,1797,0,0,0,0
2025-01-13,2025Q1,RND0,5m,breakout,below,20800.0,20808.75,8.75,1,1736780100000,17.5,0.217,0.702,0.217,1.789,2.89,0.978,46.75,64.5,21.25,trail_stop,1797,1,1,1,1
2025-01-13,2025Q1,RND0,3m,fade,above,20800.0,20830.0,-30.0,1,1736780220000,39.75,0.776,0.756,0.776,1.046,1.842,-2.606,25.5,109.0,-11.5,trail_stop,1797,0,0,0,0
2025-01-13,2025Q1,RND0,3m,breakout,above,20800.0,20830.0,-30.0,-1,1736780220000,39.75,0.776,0.756,0.776,1.046,1.842,-2.606,109.0,25.5,12.75,trail_stop,1797,1,1,1,1
2025-01-13,2025Q1,RND0,5m,fade,above,20800.0,20801.75,-1.75,1,1736780400000,12.75,0.243,0.129,0.243,0.652,1.887,-2.606,53.75,87.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,RND0,5m,breakout,above,20800.0,20801.75,-1.75,-1,1736780400000,12.75,0.243,0.129,0.243,0.652,1.887,-2.606,87.5,53.75,7.75,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,RND0,3m,fade,above,20800.0,20801.75,-1.75,1,1736780400000,12.75,0.295,0.676,0.295,0.844,1.633,-1.86,53.75,87.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-13,2025Q1,RND0,3m,breakout,above,20800.0,20801.75,-1.75,-1,1736780400000,12.75,0.295,0.676,0.295,0.844,1.633,-1.86,87.5,53.75,7.75,trail_stop,1798,1,1,1,1
2025-01-13,2025Q1,RND0,5m,fade,above,20800.0,20801.75,-1.75,1,1736780400000,12.75,0.243,0.129,0.243,0.652,1.982,-1.86,53.75,87.5,-11.5,trail_stop,1798,0,0,0,0
