date,quarter,kind,tf,arm,approach,level,entry,pen,dir,entry_ts,wick_beyond,wick_frac,body_frac,close_loc_sig,range_ratio,range_vs_atr,approach_vel,mfe,mae,realized,exit,n_bars,hit20_s8,hit20_s10,hit20_s12,hit20_s15
2025-01-14,2025Q1,PDH,3m,fade,above,20964.5,20981.25,-16.75,1,1736866800000,15.0,0.278,0.713,0.278,1.358,1.951,3.387,129.75,13.25,-11.5,trail_stop,1800,0,0,0,1
2025-01-14,2025Q1,PDH,3m,breakout,above,20964.5,20981.25,-16.75,-1,1736866800000,15.0,0.278,0.713,0.278,1.358,1.951,3.387,13.25,129.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-14,2025Q1,PDH,5m,fade,above,20964.5,20981.25,-16.75,1,1736866800000,15.0,0.234,0.391,0.234,0.723,2.312,3.387,129.75,13.25,-11.5,trail_stop,1800,0,0,0,1
2025-01-14,2025Q1,PDH,5m,breakout,above,20964.5,20981.25,-16.75,-1,1736866800000,15.0,0.234,0.391,0.234,0.723,2.312,3.387,13.25,129.75,-11.5,trail_stop,1800,0,0,0,0
2025-01-14,2025Q1,PDH,3m,fade,above,20964.5,20973.25,-8.75,1,1736869140000,14.25,0.292,0.518,0.292,1.806,2.386,2.399,47.25,97.5,-11.5,trail_stop,1798,0,0,0,0
2025-01-14,2025Q1,PDH,3m,breakout,above,20964.5,20973.25,-8.75,-1,1736869140000,14.25,0.292,0.518,0.292,1.806,2.386,2.399,97.5,47.25,9.25,trail_stop,1798,1,1,1,1
2025-01-14,2025Q1,PDH,5m,fade,above,20964.5,20955.5,9.0,1,1736869200000,3.0,0.054,0.688,0.054,1.364,2.705,2.399,65.0,79.75,35.25,trail_stop,1798,1,1,1,1
2025-01-14,2025Q1,PDH,5m,breakout,above,20964.5,20955.5,9.0,-1,1736869200000,3.0,0.054,0.688,0.054,1.364,2.705,2.399,79.75,65.0,-11.5,trail_stop,1798,0,0,0,0
2025-01-14,2025Q1,PDC,3m,fade,above,20948.25,20997.75,-49.5,1,1736869320000,49.5,0.921,0.451,0.921,1.103,2.529,1.671,22.75,122.0,11.25,trail_stop,1798,1,1,1,1
2025-01-14,2025Q1,PDC,3m,breakout,above,20948.25,20997.75,-49.5,-1,1736869320000,49.5,0.921,0.451,0.921,1.103,2.529,1.671,122.0,22.75,-11.5,trail_stop,1798,0,0,0,0
2025-01-14,2025Q1,PDC,5m,fade,above,20948.25,21015.0,-66.75,1,1736869500000,66.75,0.924,0.83,0.924,1.308,3.4,1.671,0.0,139.25,-11.5,trail_stop,1797,0,0,0,0
2025-01-14,2025Q1,PDC,5m,breakout,above,20948.25,21015.0,-66.75,-1,1736869500000,66.75,0.924,0.83,0.924,1.308,3.4,1.671,139.25,0.0,28.0,trail_stop,1797,1,1,1,1
2025-01-14,2025Q1,PDH,3m,fade,above,20964.5,20963.75,0.75,1,1736869860000,13.75,0.288,0.696,0.288,1.24,2.176,-0.524,24.0,88.0,-11.5,trail_stop,1793,0,0,0,0
2025-01-14,2025Q1,PDH,3m,breakout,above,20964.5,20963.75,0.75,-1,1736869860000,13.75,0.288,0.696,0.288,1.24,2.176,-0.524,88.0,24.0,12.75,trail_stop,1793,1,1,1,1
2025-01-14,2025Q1,PDH,5m,fade,above,20964.5,20967.0,-2.5,1,1736869800000,2.0,0.041,0.959,0.041,0.678,2.233,-0.524,20.75,91.25,-11.5,trail_stop,1794,0,0,0,0
2025-01-14,2025Q1,PDH,5m,breakout,above,20964.5,20967.0,-2.5,-1,1736869800000,2.0,0.041,0.959,0.041,0.678,2.233,-0.524,91.25,20.75,5.5,trail_stop,1794,1,1,1,1
2025-01-14,2025Q1,PDC,3m,fade,above,20948.25,20963.75,-15.5,1,1736869860000,13.75,0.288,0.696,0.288,1.24,2.141,0.785,24.0,88.0,-11.5,trail_stop,1793,0,0,0,0
