date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-13,2025Q1,761,-1,147.0,20833.0,20869.25,20778.62,stop,-37.75,-1.041,36.25,15.5,36.25
2025-01-13,2025Q1,767,-1,147.0,20842.5,20869.25,20802.38,stop,-28.25,-1.056,26.75,12.5,26.75
2025-01-13,2025Q1,770,-1,147.0,20843.25,20869.25,20804.25,stop,-27.5,-1.058,26.0,8.25,26.0
2025-01-13,2025Q1,774,-1,149.8,20843.75,20872.0,20801.38,stop,-29.75,-1.053,28.25,0.75,29.25
2025-01-13,2025Q1,776,1,47.8,20852.0,20813.5,20909.75,target,57.75,1.5,38.5,61.0,1.75
2025-01-13,2025Q1,799,-1,82.5,20864.0,20904.0,20804.0,stop,-41.5,-1.038,40.0,7.75,40.0
2025-01-13,2025Q1,812,-1,91.0,20889.5,20912.5,20855.0,stop,-24.5,-1.065,23.0,27.25,23.5
2025-01-13,2025Q1,818,-1,91.0,20893.0,20912.5,20863.75,target,29.25,1.5,19.5,30.75,5.5
2025-01-13,2025Q1,821,-1,91.0,20882.5,20912.5,20837.5,stop,-31.5,-1.05,30.0,20.25,30.5
2025-01-13,2025Q1,827,1,46.2,20894.75,20858.25,20949.5,stop,-38.0,-1.041,36.5,19.0,38.0
2025-01-13,2025Q1,877,-1,66.5,20887.0,20905.75,20858.88,stop,-20.25,-1.08,18.75,1.5,19.0
2025-01-13,2025Q1,914,-1,91.2,20892.5,20930.5,20835.5,eod,-0.0,-0.0,38.0,18.75,31.5
2025-01-13,2025Q1,916,1,57.5,20904.75,20865.0,20964.38,eod,-12.25,-0.308,39.75,19.25,31.0
2025-01-14,2025Q1,707,1,161.0,20851.0,20838.5,20869.75,stop,-14.0,-1.12,12.5,13.75,22.0
2025-01-14,2025Q1,709,1,145.2,20853.5,20838.5,20876.0,stop,-16.5,-1.1,15.0,11.25,24.5
2025-01-14,2025Q1,719,1,136.8,20822.75,20815.5,20833.62,stop,-8.75,-1.207,7.25,0.0,8.0
2025-01-14,2025Q1,725,1,148.0,20825.25,20804.25,20856.75,target,31.5,1.5,21.0,31.5,3.75
2025-01-14,2025Q1,844,-1,140.8,20990.25,21014.0,20954.62,target,35.62,1.5,23.75,35.75,23.0
2025-01-14,2025Q1,848,1,28.8,21003.5,20977.25,21042.88,stop,-27.75,-1.057,26.25,0.5,26.25
2025-01-14,2025Q1,850,-1,140.8,20990.25,21014.0,20954.62,target,35.62,1.5,23.75,35.75,23.0
2025-01-14,2025Q1,859,1,37.2,21003.5,20968.75,21055.62,stop,-36.25,-1.043,34.75,7.5,35.75
2025-01-14,2025Q1,860,-1,124.2,20994.0,21017.25,20959.12,target,34.88,1.5,23.25,35.75,17.0
