date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-13,2025Q1,580,1,136.2,20719.5,20702.0,20745.75,stop,-19.0,-1.086,17.5,10.0,17.5
2025-01-13,2025Q1,597,-1,139.5,20807.0,20845.5,20749.25,stop,-40.0,-1.039,38.5,32.75,40.0
2025-01-13,2025Q1,739,-1,119.8,20832.5,20842.0,20818.25,stop,-11.0,-1.158,9.5,7.5,10.5
2025-01-13,2025Q1,797,-1,89.0,20877.75,20904.0,20838.38,stop,-27.75,-1.057,26.25,21.5,26.25
2025-01-13,2025Q1,817,-1,91.0,20885.0,20912.5,20843.75,stop,-29.0,-1.055,27.5,22.75,28.0
2025-01-13,2025Q1,842,-1,57.5,20881.5,20917.75,20827.12,stop,-37.75,-1.041,36.25,46.25,37.5
2025-01-14,2025Q1,593,1,123.8,21009.0,21002.0,21019.5,stop,-8.5,-1.214,7.0,0.0,7.0
2025-01-14,2025Q1,634,1,163.5,20992.75,20962.25,21038.5,stop,-32.0,-1.049,30.5,15.0,33.25
2025-01-14,2025Q1,648,1,162.8,20979.75,20944.25,21033.0,stop,-37.0,-1.042,35.5,2.5,40.25
2025-01-14,2025Q1,661,1,195.8,20928.75,20911.25,20955.0,stop,-19.0,-1.086,17.5,5.0,17.5
2025-01-14,2025Q1,720,1,146.8,20811.0,20805.5,20819.25,target,8.25,1.5,5.5,8.25,2.75
2025-01-14,2025Q1,788,-1,103.0,20890.5,20898.75,20878.12,target,12.38,1.5,8.25,12.75,2.25
2025-01-14,2025Q1,841,-1,154.8,20991.5,21014.0,20957.75,target,33.75,1.5,22.5,33.75,21.75
2025-01-14,2025Q1,886,1,41.5,20973.25,20967.75,20981.5,stop,-7.0,-1.273,5.5,8.0,5.5
2025-01-14,2025Q1,904,1,234.2,20790.0,20775.0,20812.5,stop,-16.5,-1.1,15.0,21.5,16.5
2025-01-15,2025Q1,638,-1,221.2,21394.25,21412.0,21367.62,target,26.62,1.5,17.75,27.75,3.0
2025-01-15,2025Q1,685,1,82.2,21330.5,21314.5,21354.5,stop,-17.5,-1.094,16.0,18.0,16.75
2025-01-15,2025Q1,698,1,124.8,21297.0,21268.5,21339.75,stop,-30.0,-1.053,28.5,11.0,28.5
2025-01-15,2025Q1,811,-1,76.2,21391.25,21399.25,21379.25,target,12.0,1.5,8.0,14.75,4.5
2025-01-15,2025Q1,845,-1,54.8,21392.75,21400.75,21380.75,stop,-9.5,-1.188,8.0,7.25,8.0
2025-01-15,2025Q1,892,-1,60.0,21419.75,21439.5,21390.12,stop,-21.25,-1.076,19.75,7.25,19.75
2025-01-16,2025Q1,663,-1,111.0,21442.25,21454.5,21423.88,stop,-13.75,-1.122,12.25,0.0,13.25
2025-01-16,2025Q1,783,-1,56.8,21399.75,21430.0,21354.38,target,45.38,1.5,30.25,46.0,13.5
2025-01-16,2025Q1,930,1,78.8,21343.75,21313.0,21389.88,stop,-32.25,-1.049,30.75,6.25,31.0
2025-01-17,2025Q1,786,-1,65.2,21642.25,21651.5,21628.38,stop,-10.75,-1.162,9.25,7.5,9.75
2025-01-17,2025Q1,790,-1,63.0,21646.75,21652.25,21638.5,stop,-7.0,-1.273,5.5,2.25,6.25
2025-01-17,2025Q1,859,1,63.0,21614.75,21605.0,21629.38,target,14.62,1.5,9.75,15.0,1.5
2025-01-17,2025Q1,861,1,61.2,21638.25,21605.0,21688.12,stop,-34.75,-1.045,33.25,6.5,34.0
2025-01-17,2025Q1,883,1,38.2,21632.0,21605.0,21672.5,stop,-28.5,-1.056,27.0,10.25,27.75
2025-01-17,2025Q1,921,1,55.5,21617.25,21585.25,21665.25,eod,2.0,0.062,32.0,9.75,17.75
2025-01-20,2025Q1,632,1,107.8,21682.5,21667.0,21705.75,stop,-17.0,-1.097,15.5,17.25,15.75
2025-01-20,2025Q1,645,1,134.8,21649.25,21637.25,21667.25,target,18.0,1.5,12.0,18.0,0.0
2025-01-20,2025Q1,694,-1,77.8,21712.75,21723.0,21697.38,stop,-11.75,-1.146,10.25,6.5,10.25
2025-01-20,2025Q1,743,1,44.8,21702.5,21682.0,21733.25,stop,-22.0,-1.073,20.5,8.25,24.75
2025-01-21,2025Q1,667,-1,123.8,21640.5,21653.5,21621.0,stop,-14.5,-1.115,13.0,1.75,13.0
2025-01-21,2025Q1,669,-1,129.5,21648.75,21659.25,21633.0,target,15.75,1.5,10.5,16.0,7.5
2025-01-21,2025Q1,743,-1,76.8,21671.0,21686.0,21648.5,stop,-16.5,-1.1,15.0,2.5,15.25
2025-01-21,2025Q1,745,-1,76.8,21673.25,21686.0,21654.12,stop,-14.25,-1.118,12.75,0.5,13.0
2025-01-21,2025Q1,900,1,66.5,21717.0,21693.0,21753.0,target,36.0,1.5,24.0,36.0,2.25
2025-01-22,2025Q1,571,-1,57.8,21952.5,21960.75,21940.12,stop,-9.75,-1.182,8.25,1.5,9.5
2025-01-22,2025Q1,589,-1,89.0,21986.75,21992.0,21978.88,stop,-6.75,-1.286,5.25,0.5,5.25
2025-01-22,2025Q1,712,-1,82.2,22070.5,22075.75,22062.62,stop,-6.75,-1.286,5.25,6.0,7.5
2025-01-22,2025Q1,784,1,47.5,22051.0,22042.0,22064.5,stop,-10.5,-1.167,9.0,9.5,9.0
2025-01-22,2025Q1,810,1,63.2,22024.0,22006.5,22050.25,target,26.25,1.5,17.5,27.25,8.0
2025-01-22,2025Q1,828,1,59.8,22043.0,22006.5,22097.75,stop,-38.0,-1.041,36.5,8.25,36.5
2025-01-22,2025Q1,894,1,39.0,22036.75,22002.5,22088.12,stop,-35.75,-1.044,34.25,5.25,34.25
2025-01-23,2025Q1,614,-1,52.0,21902.5,21922.0,21873.25,stop,-21.0,-1.077,19.5,21.75,21.0
2025-01-23,2025Q1,662,-1,77.2,21942.25,21949.5,21931.38,target,10.88,1.5,7.25,12.0,4.75
2025-01-23,2025Q1,671,-1,66.2,21914.0,21951.0,21858.5,stop,-38.5,-1.041,37.0,10.25,39.0
2025-01-23,2025Q1,676,-1,66.2,21928.75,21951.0,21895.38,stop,-23.75,-1.067,22.25,17.0,24.25
2025-01-23,2025Q1,753,1,64.8,21909.0,21902.75,21918.38,stop,-7.75,-1.24,6.25,4.25,7.0
2025-01-23,2025Q1,861,1,61.2,21933.25,21919.75,21953.5,target,20.25,1.5,13.5,20.25,1.25
2025-01-24,2025Q1,670,1,67.8,21999.75,21966.25,22050.0,timeout,-17.25,-0.515,33.5,36.0,27.75
2025-01-24,2025Q1,678,1,48.2,21993.25,21966.25,22033.75,target,40.5,1.5,27.0,41.0,3.75
2025-01-24,2025Q1,679,1,48.2,21994.25,21966.25,22036.25,timeout,1.75,0.062,28.0,41.5,22.25
2025-01-24,2025Q1,769,1,67.2,21976.0,21964.5,21993.25,stop,-13.0,-1.13,11.5,3.0,11.5
2025-01-24,2025Q1,937,1,39.8,21875.5,21853.0,21909.25,eod,-3.0,-0.133,22.5,3.5,14.75
2025-01-27,2025Q1,866,-1,93.5,21236.5,21241.0,21229.75,stop,-6.0,-1.333,4.5,1.0,4.5
2025-01-27,2025Q1,941,-1,128.5,21201.0,21227.5,21161.25,stop,-28.0,-1.057,26.5,0.5,27.0
2025-01-28,2025Q1,692,1,91.5,21421.0,21383.5,21477.25,target,56.25,1.5,37.5,56.25,32.75
2025-01-28,2025Q1,725,-1,119.8,21507.25,21511.25,21501.25,stop,-5.5,-1.375,4.0,0.0,4.75
2025-01-28,2025Q1,767,-1,163.5,21542.0,21567.5,21503.75,stop,-27.0,-1.059,25.5,10.75,25.75
2025-01-28,2025Q1,843,1,62.5,21534.75,21517.5,21560.62,stop,-18.75,-1.087,17.25,0.75,18.0
2025-01-28,2025Q1,882,-1,86.5,21599.0,21604.0,21591.5,stop,-6.5,-1.3,5.0,3.25,13.25
2025-01-29,2025Q1,582,1,128.2,21521.25,21494.75,21561.0,stop,-28.0,-1.057,26.5,11.75,27.25
2025-01-29,2025Q1,688,-1,74.0,21501.25,21534.0,21452.12,stop,-34.25,-1.046,32.75,34.5,33.75
2025-01-29,2025Q1,741,-1,70.0,21534.5,21540.75,21525.12,stop,-7.75,-1.24,6.25,7.75,13.75
2025-01-29,2025Q1,879,-1,111.8,21492.25,21502.5,21476.88,stop,-11.75,-1.146,10.25,12.25,10.75
2025-01-30,2025Q1,595,-1,152.0,21719.75,21752.75,21670.25,target,49.5,1.5,33.0,51.25,10.0
2025-01-30,2025Q1,620,1,190.2,21574.25,21554.5,21603.88,stop,-21.25,-1.076,19.75,5.5,20.25
2025-01-30,2025Q1,676,1,185.2,21442.0,21415.5,21481.75,target,39.75,1.5,26.5,40.25,7.25
2025-01-30,2025Q1,799,-1,67.2,21553.25,21574.5,21521.38,stop,-22.75,-1.071,21.25,16.25,22.0
2025-01-30,2025Q1,928,-1,102.8,21691.75,21704.0,21673.38,target,18.38,1.5,12.25,18.5,2.0
2025-01-31,2025Q1,594,-1,117.0,21857.25,21871.0,21836.62,target,20.62,1.5,13.75,21.75,9.25
2025-01-31,2025Q1,623,-1,173.5,21897.5,21927.5,21852.5,stop,-31.5,-1.05,30.0,12.75,30.0
2025-01-31,2025Q1,766,-1,74.0,21913.75,21943.0,21869.88,target,43.88,1.5,29.25,46.5,19.75
2025-01-31,2025Q1,776,-1,74.0,21918.25,21943.0,21881.12,target,37.12,1.5,24.75,38.5,8.25
2025-01-31,2025Q1,791,-1,61.2,21914.25,21943.0,21871.12,target,43.12,1.5,28.75,47.0,0.25
2025-01-31,2025Q1,808,1,129.0,21825.0,21806.0,21853.5,stop,-20.5,-1.079,19.0,1.0,19.25
2025-01-31,2025Q1,812,1,149.2,21811.0,21785.75,21848.88,stop,-26.75,-1.059,25.25,3.75,25.25
2025-01-31,2025Q1,862,1,212.5,21706.5,21668.0,21764.25,stop,-40.0,-1.039,38.5,32.5,39.0
2025-01-31,2025Q1,915,1,206.5,21572.25,21552.5,21601.88,stop,-21.25,-1.076,19.75,1.5,21.75
2025-01-31,2025Q1,938,1,142.5,21557.75,21538.5,21586.62,stop,-20.75,-1.078,19.25,0.75,19.75
2025-02-03,2025Q1,630,-1,249.2,21328.75,21366.5,21272.12,stop,-39.25,-1.04,37.75,7.5,43.5
2025-02-03,2025Q1,713,-1,133.8,21445.75,21478.5,21396.62,target,49.12,1.5,32.75,50.0,2.0
2025-02-03,2025Q1,750,1,99.0,21396.5,21358.5,21453.5,stop,-39.5,-1.039,38.0,5.5,38.75
2025-02-03,2025Q1,836,-1,122.2,21462.0,21477.0,21439.5,stop,-16.5,-1.1,15.0,0.75,16.25
2025-02-03,2025Q1,854,-1,111.5,21501.0,21508.75,21489.38,stop,-9.25,-1.194,7.75,1.0,7.75
2025-02-03,2025Q1,929,1,62.5,21458.0,21447.75,21473.38,stop,-11.75,-1.146,10.25,4.25,11.25
2025-02-04,2025Q1,599,-1,170.5,21559.75,21579.75,21529.75,stop,-21.5,-1.075,20.0,0.0,22.25
2025-02-04,2025Q1,669,-1,64.8,21658.5,21684.0,21620.25,stop,-27.0,-1.059,25.5,18.0,25.5
2025-02-04,2025Q1,729,1,60.0,21636.75,21630.0,21646.88,target,10.12,1.5,6.75,10.75,4.0
2025-02-04,2025Q1,928,1,65.8,21633.25,21605.5,21674.88,eod,21.75,0.784,27.75,29.75,8.0
2025-02-04,2025Q1,931,1,65.8,21629.5,21605.5,21665.5,eod,25.5,1.062,24.0,33.5,2.75
2025-02-06,2025Q1,617,-1,106.2,21831.25,21848.5,21805.38,stop,-18.75,-1.087,17.25,0.5,17.5
2025-02-06,2025Q1,727,1,67.0,21778.0,21744.0,21829.0,target,51.0,1.5,34.0,51.75,15.0
2025-02-06,2025Q1,808,-1,69.5,21827.0,21841.75,21804.88,stop,-16.25,-1.102,14.75,1.75,14.75
2025-02-06,2025Q1,815,-1,59.5,21831.75,21845.75,21810.75,target,21.0,1.5,14.0,21.75,0.0
2025-02-06,2025Q1,835,-1,40.0,21820.25,21845.75,21782.0,target,38.25,1.5,25.5,40.5,10.0
2025-02-07,2025Q1,574,-1,137.2,21945.5,21956.75,21928.62,target,16.88,1.5,11.25,17.0,2.25
2025-02-07,2025Q1,592,-1,113.0,21946.0,21972.0,21907.0,target,39.0,1.5,26.0,39.5,13.75
2025-02-07,2025Q1,723,1,159.2,21609.75,21596.0,21630.38,stop,-15.25,-1.109,13.75,8.5,17.0
2025-02-07,2025Q1,742,1,132.8,21619.5,21581.0,21677.25,target,57.75,1.5,38.5,58.0,12.75
2025-02-07,2025Q1,762,-1,90.0,21652.25,21679.0,21612.12,stop,-28.25,-1.056,26.75,3.75,26.75
2025-02-07,2025Q1,776,-1,98.0,21672.25,21687.0,21650.12,target,22.12,1.5,14.75,22.25,2.5
2025-02-07,2025Q1,909,1,58.8,21585.75,21562.0,21621.38,stop,-25.25,-1.063,23.75,4.5,25.0
2025-02-10,2025Q1,588,-1,65.0,21790.0,21813.0,21755.5,target,34.5,1.5,23.0,36.0,2.5
2025-02-10,2025Q1,788,-1,52.0,21866.75,21873.25,21857.0,stop,-8.0,-1.231,6.5,6.75,8.0
2025-02-10,2025Q1,827,-1,35.5,21868.0,21880.75,21848.88,stop,-14.25,-1.118,12.75,5.0,13.25
2025-02-11,2025Q1,585,-1,127.0,21791.0,21800.5,21776.75,target,14.25,1.5,9.5,14.75,3.5
2025-02-11,2025Q1,628,-1,146.5,21840.25,21846.5,21830.88,stop,-7.75,-1.24,6.25,9.0,7.75
2025-02-11,2025Q1,696,1,56.2,21833.25,21811.25,21866.25,stop,-23.5,-1.068,22.0,8.5,22.25
2025-02-11,2025Q1,710,1,56.8,21815.25,21810.75,21822.0,stop,-6.0,-1.333,4.5,3.5,4.5
2025-02-11,2025Q1,732,1,132.0,21732.5,21711.75,21763.62,target,31.12,1.5,20.75,31.25,10.5
2025-02-11,2025Q1,733,1,132.0,21730.25,21711.75,21758.0,target,27.75,1.5,18.5,28.75,8.25
2025-02-11,2025Q1,799,-1,52.2,21774.0,21800.0,21735.0,stop,-27.5,-1.058,26.0,11.25,26.0
2025-02-11,2025Q1,861,-1,70.8,21800.25,21837.5,21744.38,stop,-38.75,-1.04,37.25,3.5,40.0
2025-02-11,2025Q1,875,1,41.2,21802.0,21788.25,21822.62,target,20.62,1.5,13.75,21.25,5.25
2025-02-11,2025Q1,883,-1,48.0,21823.75,21844.25,21793.0,target,30.75,1.5,20.5,30.75,16.75
2025-02-12,2025Q1,580,-1,116.2,21620.5,21631.0,21604.75,stop,-12.0,-1.143,10.5,1.75,10.75
2025-02-12,2025Q1,637,-1,159.0,21730.25,21743.5,21710.38,stop,-14.75,-1.113,13.25,4.75,25.25
2025-02-12,2025Q1,710,-1,89.2,21727.0,21739.25,21708.62,stop,-13.75,-1.122,12.25,4.5,15.25
2025-02-12,2025Q1,721,-1,151.8,21789.75,21801.75,21771.75,target,18.0,1.5,12.0,18.25,4.5
2025-02-12,2025Q1,726,-1,151.8,21786.5,21801.75,21763.62,stop,-16.75,-1.098,15.25,20.25,17.25
2025-02-12,2025Q1,747,-1,157.8,21783.75,21807.75,21747.75,stop,-25.5,-1.062,24.0,28.25,25.0
2025-02-12,2025Q1,775,-1,69.2,21806.5,21817.25,21790.38,stop,-12.25,-1.14,10.75,0.75,11.5
