date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-16,2025Q1,call_wall,-1,21439.0,-13.7,21452.72,21478.75,21379.38,target,59.62,1.5,39.75,61.0,2.75
2025-01-21,2025Q1,gamma_flip,1,21716.5,14.6,21731.07,21705.0,21733.75,stop,-13.0,-1.13,11.5,12.75,11.5
2025-01-21,2025Q1,gamma_flip,-1,21754.5,23.2,21731.32,21760.25,21745.88,stop,-7.25,-1.261,5.75,1.25,6.0
2025-01-22,2025Q1,call_wall,-1,22014.25,-127.2,22141.48,22041.0,21974.12,stop,-28.25,-1.056,26.75,15.75,27.5
2025-01-23,2025Q1,gamma_flip,1,21897.5,156.3,22053.78,21875.25,21930.88,stop,-23.75,-1.067,22.25,7.0,22.75
2025-01-23,2025Q1,gamma_flip,1,21926.0,87.1,22013.14,21916.25,21940.62,stop,-11.25,-1.154,9.75,1.75,12.75
2025-01-23,2025Q1,gamma_flip,1,21946.5,66.0,22012.5,21919.75,21986.62,timeout,20.5,0.766,26.75,32.25,3.0
2025-01-23,2025Q1,gamma_flip,-1,21948.75,20.5,21928.24,21954.0,21940.88,stop,-6.75,-1.286,5.25,4.75,5.75
2025-01-23,2025Q1,gamma_flip,-1,21959.25,28.9,21930.31,21989.0,21914.62,timeout,7.5,0.252,29.75,35.5,6.5
2025-01-24,2025Q1,gamma_flip,1,21995.5,49.4,22044.87,21991.25,22001.88,stop,-5.75,-1.353,4.25,4.25,4.25
2025-01-24,2025Q1,gamma_flip,-1,22000.75,79.0,21921.7,22039.75,21942.25,target,58.5,1.5,39.0,58.75,7.5
2025-01-24,2025Q1,gamma_flip,1,22006.0,79.9,22085.87,21968.0,22063.0,stop,-39.5,-1.039,38.0,1.75,39.5
2025-01-31,2025Q1,gamma_flip,1,21886.0,14.9,21900.93,21870.0,21910.0,stop,-17.5,-1.094,16.0,10.0,20.5
2025-01-31,2025Q1,gamma_flip,-1,21889.25,-13.3,21902.55,21927.5,21831.88,stop,-39.75,-1.039,38.25,4.5,38.25
2025-01-31,2025Q1,gamma_flip,-1,21911.75,9.8,21901.96,21944.0,21863.38,stop,-33.75,-1.047,32.25,18.5,37.25
2025-01-31,2025Q1,gamma_flip,-1,21922.75,20.3,21902.41,21928.0,21914.88,stop,-6.75,-1.286,5.25,4.25,5.25
2025-02-13,2025Q1,gamma_flip,-1,22033.5,164.1,21869.4,22061.75,21991.12,target,42.38,1.5,28.25,43.5,13.0
2025-02-19,2025Q1,gamma_flip,1,22146.25,77.6,22223.81,22124.0,22179.62,target,33.38,1.5,22.25,42.25,8.25
2025-02-19,2025Q1,gamma_flip,-1,22214.0,154.3,22059.67,22228.25,22192.62,stop,-15.75,-1.105,14.25,4.0,14.5
2025-02-20,2025Q1,put_wall,1,22060.75,33.6,22094.36,22036.0,22097.88,stop,-26.25,-1.061,24.75,13.75,30.75
2025-02-28,2025Q1,put_wall,1,20565.0,21.7,20586.68,20537.75,20605.88,target,40.88,1.5,27.25,41.75,23.5
2025-03-13,2025Q1,put_wall,1,19296.0,19.0,19315.05,19281.0,19318.5,target,22.5,1.5,15.0,26.75,10.25
2025-03-13,2025Q1,put_wall,-1,19311.0,405.9,18905.09,19322.0,19294.5,stop,-12.5,-1.136,11.0,13.75,11.75
2025-03-13,2025Q1,put_wall,1,19311.0,6.1,19317.06,19288.25,19345.12,stop,-24.25,-1.066,22.75,23.0,24.25
2025-03-17,2025Q1,put_wall,1,19689.0,-379.5,19309.51,19656.75,19737.38,stop,-33.75,-1.047,32.25,23.0,32.5
2025-03-20,2025Q1,put_wall,1,19888.5,-183.2,19705.33,19855.25,19938.38,target,49.88,1.5,33.25,50.0,24.0
2025-03-24,2025Q1,call_wall,-1,20377.25,-138.7,20515.91,20395.5,20349.88,eod,5.25,0.288,18.25,16.5,6.75
2025-04-01,2025Q2,call_wall,-1,19432.5,22.7,19409.79,19437.25,19425.38,target,7.12,1.5,4.75,8.0,0.75
2025-04-16,2025Q2,put_wall,1,18628.0,-3.5,18624.45,18594.75,18677.88,stop,-34.75,-1.045,33.25,26.0,34.25
2025-05-01,2025Q2,call_wall,-1,20091.5,-562.7,20654.15,20129.75,20034.12,target,57.38,1.5,38.25,58.25,1.0
2025-05-01,2025Q2,gamma_flip,-1,20091.5,57.0,20034.53,20129.75,20034.12,target,57.38,1.5,38.25,58.25,1.0
2025-05-05,2025Q2,gamma_flip,1,20022.5,622.0,20644.51,20004.25,20049.88,target,27.38,1.5,18.25,27.5,9.75
2025-05-05,2025Q2,gamma_flip,-1,20170.0,1599.6,18570.37,20194.75,20132.88,target,37.12,1.5,24.75,38.25,0.0
2025-05-08,2025Q2,gamma_flip,-1,20305.0,78.6,20226.36,20320.5,20281.75,stop,-17.0,-1.097,15.5,14.0,18.5
2025-05-09,2025Q2,gamma_flip,-1,20244.0,27.2,20216.85,20279.0,20191.5,target,52.5,1.5,35.0,52.75,4.75
2025-05-16,2025Q2,gamma_flip,1,21384.0,56.0,21440.03,21371.5,21402.75,target,18.75,1.5,12.5,19.0,1.0
2025-05-16,2025Q2,gamma_flip,-1,21412.5,795.9,20616.56,21447.25,21360.38,stop,-36.25,-1.043,34.75,7.0,35.0
2025-05-19,2025Q2,gamma_flip,-1,21531.0,1947.3,19583.74,21548.5,21504.75,target,26.25,1.5,17.5,26.75,12.75
