date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-21,2025Q1,gamma_flip,1,21716.5,14.6,21731.07,21705.0,21733.75,stop,-13.0,-1.13,11.5,12.75,11.5
2025-01-21,2025Q1,gamma_flip,-1,21735.0,7.0,21728.01,21759.5,21698.25,eod,15.25,0.622,24.5,19.0,4.5
2025-01-21,2025Q1,gamma_flip,-1,21754.5,23.2,21731.32,21760.25,21745.88,target,8.62,1.5,5.75,11.0,0.0
2025-01-22,2025Q1,call_wall,-1,22016.0,-125.5,22141.48,22041.0,21978.5,stop,-26.5,-1.06,25.0,17.5,25.75
2025-01-23,2025Q1,gamma_flip,1,21882.5,171.4,22053.9,21875.25,21893.38,target,10.88,1.5,7.25,13.25,0.0
2025-01-23,2025Q1,gamma_flip,1,21926.0,87.1,22013.14,21916.25,21940.62,stop,-11.25,-1.154,9.75,2.25,12.75
2025-01-23,2025Q1,gamma_flip,-1,21948.75,20.5,21928.24,21954.0,21940.88,target,7.88,1.5,5.25,8.5,0.0
2025-01-23,2025Q1,gamma_flip,1,21951.25,-20.1,21931.18,21919.75,21998.5,timeout,14.75,0.468,31.5,27.5,7.75
2025-01-23,2025Q1,gamma_flip,-1,21959.0,28.7,21930.31,21989.0,21914.0,timeout,8.25,0.275,30.0,35.25,6.75
2025-01-24,2025Q1,gamma_flip,1,21997.5,47.4,22044.87,21985.0,22016.25,target,18.75,1.5,12.5,19.0,10.25
2025-01-24,2025Q1,gamma_flip,1,22002.5,83.4,22085.87,21968.0,22054.25,stop,-36.0,-1.043,34.5,5.25,36.0
2025-01-31,2025Q1,gamma_flip,1,21886.0,14.9,21900.93,21870.0,21910.0,stop,-17.5,-1.094,16.0,10.0,20.5
2025-01-31,2025Q1,gamma_flip,-1,21897.0,-5.5,21902.55,21927.5,21851.25,stop,-32.0,-1.049,30.5,9.75,30.5
2025-01-31,2025Q1,gamma_flip,-1,21911.0,9.0,21901.96,21944.0,21861.5,stop,-34.5,-1.045,33.0,17.75,38.0
2025-01-31,2025Q1,gamma_flip,-1,21922.75,20.3,21902.41,21928.0,21914.88,stop,-6.75,-1.286,5.25,6.75,5.25
2025-02-13,2025Q1,gamma_flip,-1,22037.75,168.3,21869.4,22061.75,22001.75,target,36.0,1.5,24.0,38.5,8.75
2025-02-19,2025Q1,gamma_flip,1,22140.75,83.1,22223.81,22124.0,22165.88,target,25.12,1.5,16.75,25.5,2.75
2025-02-19,2025Q1,gamma_flip,-1,22216.25,156.6,22059.67,22228.25,22198.25,stop,-13.5,-1.125,12.0,6.25,12.25
2025-02-20,2025Q1,put_wall,1,22060.75,33.6,22094.36,22036.0,22097.88,stop,-26.25,-1.061,24.75,33.75,30.75
2025-02-27,2025Q1,put_wall,1,20794.75,-202.5,20592.25,20778.25,20819.5,stop,-18.0,-1.091,16.5,24.5,27.5
2025-02-28,2025Q1,put_wall,1,20564.75,-390.2,20174.58,20533.75,20611.25,target,46.5,1.5,31.0,47.0,14.75
2025-02-28,2025Q1,put_wall,1,20565.0,21.7,20586.68,20537.75,20605.88,target,40.88,1.5,27.25,41.75,23.5
2025-03-11,2025Q1,put_wall,1,19289.5,-375.7,18913.79,19268.0,19321.75,stop,-23.0,-1.07,21.5,18.0,31.0
2025-03-13,2025Q1,put_wall,1,19307.5,7.5,19315.05,19281.0,19347.25,target,39.75,1.5,26.5,49.5,21.75
2025-03-13,2025Q1,put_wall,1,19311.0,6.1,19317.06,19288.25,19345.12,stop,-24.25,-1.066,22.75,23.0,24.25
2025-03-13,2025Q1,put_wall,-1,19327.25,422.2,18905.09,19340.75,19307.0,target,20.25,1.5,13.5,20.75,9.5
