date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-21,2025Q1,gamma_flip,1,21714.0,17.1,21731.07,21705.0,21727.5,target,13.5,1.5,9.0,13.5,1.25
2025-01-21,2025Q1,gamma_flip,-1,21720.75,-7.3,21728.01,21759.5,21662.62,eod,1.0,0.026,38.75,4.75,2.75
2025-01-21,2025Q1,gamma_flip,-1,21755.75,24.4,21731.32,21762.25,21746.0,stop,-8.0,-1.231,6.5,0.5,6.5
2025-01-22,2025Q1,call_wall,-1,21946.25,13.0,21933.29,21985.75,21887.0,stop,-41.0,-1.038,39.5,3.25,41.75
2025-01-22,2025Q1,call_wall,1,21955.25,186.0,22141.27,21946.0,21969.12,target,13.88,1.5,9.25,14.5,2.25
2025-01-23,2025Q1,gamma_flip,1,21911.25,142.5,22053.78,21893.0,21938.62,stop,-19.75,-1.082,18.25,6.75,19.75
2025-01-23,2025Q1,gamma_flip,1,21926.0,87.1,22013.14,21916.25,21940.62,stop,-11.25,-1.154,9.75,1.75,12.75
2025-01-23,2025Q1,gamma_flip,1,21939.0,73.5,22012.5,21919.75,21967.88,target,28.88,1.5,19.25,29.0,0.75
2025-01-23,2025Q1,gamma_flip,-1,21953.75,22.8,21930.96,21961.0,21942.88,stop,-8.75,-1.207,7.25,2.25,7.25
2025-01-23,2025Q1,gamma_flip,-1,21956.0,24.8,21931.18,21967.5,21938.75,stop,-13.0,-1.13,11.5,12.5,11.5
2025-01-23,2025Q1,gamma_flip,-1,21956.75,25.8,21930.91,21964.0,21945.88,stop,-8.75,-1.207,7.25,0.75,7.5
2025-01-24,2025Q1,gamma_flip,1,21983.75,103.2,22086.98,21973.75,21998.75,stop,-11.5,-1.15,10.0,14.25,10.5
2025-01-24,2025Q1,gamma_flip,1,21997.5,47.4,22044.87,21985.0,22016.25,target,18.75,1.5,12.5,19.0,10.25
2025-01-24,2025Q1,gamma_flip,-1,22027.75,106.0,21921.7,22033.5,22019.12,stop,-7.25,-1.261,5.75,2.0,5.75
2025-01-24,2025Q1,gamma_flip,-1,22047.75,44.0,22003.72,22068.25,22017.0,stop,-22.0,-1.073,20.5,0.5,21.25
2025-01-30,2025Q1,call_wall,1,21647.75,54.0,21701.7,21636.0,21665.38,stop,-13.25,-1.128,11.75,7.5,21.25
2025-01-30,2025Q1,call_wall,-1,21743.0,40.8,21702.23,21752.75,21728.38,target,14.62,1.5,9.75,15.25,1.5
2025-01-31,2025Q1,gamma_flip,1,21889.25,13.3,21902.55,21868.5,21920.38,target,31.12,1.5,20.75,33.0,4.5
2025-01-31,2025Q1,gamma_flip,-1,21905.75,3.2,21902.55,21927.5,21873.12,target,32.62,1.5,21.75,33.25,1.5
2025-01-31,2025Q1,gamma_flip,-1,21911.0,9.0,21901.96,21944.0,21861.5,stop,-34.5,-1.045,33.0,17.75,38.0
2025-02-07,2025Q1,gamma_flip,-1,21952.75,72.5,21880.29,21958.5,21944.12,target,8.62,1.5,5.75,10.5,4.5
2025-02-13,2025Q1,gamma_flip,-1,21953.25,84.6,21868.66,21957.75,21946.5,stop,-6.0,-1.333,4.5,5.5,5.5
2025-02-19,2025Q1,gamma_flip,1,22148.5,75.3,22223.81,22124.0,22185.25,target,36.75,1.5,24.5,40.0,18.75
2025-02-19,2025Q1,gamma_flip,-1,22200.5,141.2,22059.35,22212.5,22182.5,target,18.0,1.5,12.0,18.5,3.25
2025-02-19,2025Q1,call_wall,1,22231.75,35.8,22267.5,22201.5,22277.12,eod,-2.25,-0.074,30.25,12.0,8.5
2025-02-27,2025Q1,put_wall,1,20915.25,-114.2,20801.1,20906.75,20928.0,stop,-10.0,-1.176,8.5,4.25,10.25
2025-02-27,2025Q1,put_wall,-1,21041.5,35.8,21005.72,21051.75,21026.12,stop,-11.75,-1.146,10.25,5.0,10.25
2025-02-27,2025Q1,put_wall,-1,21067.5,59.7,21007.76,21090.75,21032.62,stop,-24.75,-1.065,23.25,10.25,25.0
2025-02-28,2025Q1,put_wall,-1,20556.0,381.1,20174.88,20590.5,20504.25,target,51.75,1.5,34.5,55.0,22.0
