date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-13,2025Q1,N0,-1,20833.0,-8.5,20841.49,20869.25,20778.62,stop,-37.75,-1.041,36.25,15.5,36.25
2025-01-13,2025Q1,N1,-1,20833.0,51.0,20782.03,20869.25,20778.62,stop,-37.75,-1.041,36.25,15.5,36.25
2025-01-13,2025Q1,N3,-1,20833.0,9.2,20823.81,20869.25,20778.62,stop,-37.75,-1.041,36.25,15.5,36.25
2025-01-13,2025Q1,N0,-1,20851.25,9.8,20841.49,20872.0,20820.12,stop,-22.25,-1.072,20.75,16.25,21.75
2025-01-13,2025Q1,N2,-1,20851.25,4.6,20846.65,20872.0,20820.12,stop,-22.25,-1.072,20.75,16.25,21.75
2025-01-13,2025Q1,N0,-1,20855.0,13.5,20841.49,20867.75,20835.88,stop,-14.25,-1.118,12.75,6.75,14.5
2025-01-13,2025Q1,N2,-1,20857.0,10.4,20846.65,20874.0,20831.5,stop,-18.5,-1.088,17.0,10.5,17.0
2025-01-14,2025Q1,N1,1,20851.0,56.7,20907.68,20838.5,20869.75,stop,-14.0,-1.12,12.5,13.75,22.0
2025-01-14,2025Q1,N1,-1,20990.25,82.6,20907.68,21014.0,20954.62,target,35.62,1.5,23.75,35.75,23.0
2025-01-14,2025Q1,N2,-1,20990.25,34.6,20955.63,21014.0,20954.62,target,35.62,1.5,23.75,35.75,23.0
2025-01-15,2025Q1,N2,-1,21323.5,62.7,21260.84,21349.0,21285.25,stop,-27.0,-1.059,25.5,35.25,25.5
2025-01-15,2025Q1,N4,-1,21323.5,41.9,21281.59,21349.0,21285.25,stop,-27.0,-1.059,25.5,35.25,25.5
2025-01-15,2025Q1,N0,-1,21371.75,-2.4,21374.13,21399.75,21329.75,stop,-29.5,-1.054,28.0,5.75,28.25
2025-01-15,2025Q1,N0,-1,21378.75,4.6,21374.13,21401.25,21345.0,target,33.75,1.5,22.5,34.0,12.5
2025-01-15,2025Q1,N3,-1,21378.75,19.7,21359.01,21401.25,21345.0,target,33.75,1.5,22.5,34.0,12.5
2025-01-15,2025Q1,N3,-1,21381.25,22.2,21359.01,21386.0,21374.12,stop,-6.25,-1.316,4.75,0.75,5.5
2025-01-15,2025Q1,N0,-1,21395.25,21.1,21374.13,21400.75,21387.0,target,8.25,1.5,5.5,8.75,1.75
2025-01-15,2025Q1,N1,-1,21416.5,11.9,21404.64,21439.5,21382.0,stop,-24.5,-1.065,23.0,13.25,23.0
2025-01-16,2025Q1,N1,1,21290.5,12.6,21303.1,21258.25,21338.88,target,48.38,1.5,32.25,48.5,13.25
2025-01-16,2025Q1,N2,1,21290.5,30.7,21321.22,21258.25,21338.88,target,48.38,1.5,32.25,48.5,13.25
2025-01-16,2025Q1,N1,-1,21312.5,9.4,21303.1,21351.25,21254.38,stop,-40.25,-1.039,38.75,4.75,39.25
2025-01-16,2025Q1,N2,-1,21312.5,-8.7,21321.22,21351.25,21254.38,stop,-40.25,-1.039,38.75,4.75,39.25
