date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-13,2025Q1,R0,-1,20833.0,33.0,20800.0,20869.25,20778.62,stop,-37.75,-1.041,36.25,15.5,36.25
2025-01-13,2025Q1,R1,-1,20919.25,19.2,20900.0,20925.0,20910.62,target,8.62,1.5,5.75,9.0,4.75
2025-01-14,2025Q1,R1,1,20851.0,49.0,20900.0,20838.5,20869.75,stop,-14.0,-1.12,12.5,13.75,22.0
2025-01-14,2025Q1,R1,-1,20990.25,90.2,20900.0,21014.0,20954.62,target,35.62,1.5,23.75,35.75,23.0
2025-01-15,2025Q1,R1,-1,21323.5,23.5,21300.0,21349.0,21285.25,stop,-27.0,-1.059,25.5,35.25,25.5
2025-01-15,2025Q1,R1,-1,21331.25,31.2,21300.0,21369.0,21274.62,stop,-39.25,-1.04,37.75,0.0,43.25
2025-01-15,2025Q1,R2,-1,21417.0,17.0,21400.0,21426.25,21403.12,stop,-10.75,-1.162,9.25,3.25,10.5
2025-01-16,2025Q1,R0,1,21290.5,9.5,21300.0,21258.25,21338.88,target,48.38,1.5,32.25,48.5,13.25
2025-01-16,2025Q1,R0,-1,21312.5,12.5,21300.0,21351.25,21254.38,stop,-40.25,-1.039,38.75,4.75,39.25
2025-01-16,2025Q1,R1,1,21369.25,30.8,21400.0,21332.25,21424.75,target,55.5,1.5,37.0,55.5,3.5
2025-01-16,2025Q1,R1,1,21390.75,9.2,21400.0,21372.25,21418.5,stop,-20.0,-1.081,18.5,22.5,18.75
2025-01-16,2025Q1,R1,-1,21420.25,20.2,21400.0,21430.0,21405.62,target,14.62,1.5,9.75,16.75,5.5
2025-01-16,2025Q1,R1,-1,21424.75,24.8,21400.0,21431.25,21415.0,stop,-8.0,-1.231,6.5,7.25,6.5
2025-01-17,2025Q1,R1,-1,21620.5,20.5,21600.0,21625.25,21613.38,stop,-6.25,-1.316,4.75,5.25,4.75
2025-01-20,2025Q1,R0,-1,21697.0,-3.0,21700.0,21734.75,21640.38,target,56.62,1.5,37.75,60.75,20.0
2025-01-21,2025Q1,R1,-1,21730.75,30.8,21700.0,21748.25,21704.5,stop,-19.0,-1.086,17.5,1.25,17.75
2025-01-22,2025Q1,R0,-1,22014.25,14.2,22000.0,22041.0,21974.12,stop,-28.25,-1.056,26.75,15.75,27.5
2025-01-23,2025Q1,R0,-1,21920.5,20.5,21900.0,21928.0,21909.25,stop,-9.0,-1.2,7.5,8.0,8.5
