t_et,spot,up,dn,d_up_pct,d_dn_pct,p_up_fair,up_rank,dn_rank,sentiment,hour_et,winner,bars_to_touch,censor,symbol
2021-01-25 19:45:00,3841.5,3844.86,3828.87,0.087,0.329,0.7899,3,2,BEARISH,19,down,250,,ESH1
2021-01-25 20:45:00,3837.5,3841.03,3822.22,0.092,0.398,0.8123,3,2,BULLISH,20,down,194,,ESH1
2021-01-25 23:00:00,3833.5,3845.31,3830.56,0.308,0.077,0.1993,3,1,BULLISH,23,down,31,,ESH1
2021-01-26 04:00:00,3840.75,3847.89,3834.44,0.186,0.164,0.4691,4,2,BULLISH,04,up,178,,ESH1
2021-01-26 05:00:00,3840.25,3846.52,3837.86,0.163,0.062,0.276,4,1,BULLISH,05,down,51,,ESH1
2021-01-26 06:00:00,3841.25,3845.65,3837.54,0.115,0.097,0.4575,4,3,BEARISH,06,up,16,,ESH1
2021-01-26 07:00:00,3849.75,3859.22,3844.26,0.246,0.143,0.367,5,4,BULLISH,07,up,152,,ESH1
2021-01-26 08:00:00,3854.5,3856.72,3840.16,0.058,0.372,0.8659,5,4,BULLISH,08,up,67,,ESH1
2021-01-26 09:00:00,3856.5,3859.9,3842.4,0.088,0.366,0.8057,5,4,BULLISH,09,up,35,,ESH1
2021-01-26 10:00:00,3853.0,3859.14,3840.09,0.159,0.335,0.6777,5,4,BULLISH,10,down,150,,ESH1
2021-01-26 11:00:00,3849.75,3856.37,3835.85,0.172,0.361,0.6774,5,4,BULLISH,11,down,646,,ESH1
2021-01-26 12:00:00,3841.25,3859.32,3837.7,0.47,0.092,0.1642,5,4,BULLISH,12,down,568,,ESH1
2021-01-26 13:00:00,3844.75,3861.09,3838.22,0.425,0.17,0.2855,5,4,BULLISH,13,down,497,,ESH1
2021-01-26 14:00:00,3849.75,3860.53,3843.17,0.28,0.171,0.379,5,1,BULLISH,14,down,147,,ESH1
2021-01-26 15:00:00,3849.0,3856.1,3840.08,0.184,0.232,0.5568,1,2,BULLISH,15,down,81,,ESH1
2021-01-26 16:00:00,3843.5,3846.49,3837.4,0.078,0.159,0.6711,2,4,BULLISH,16,up,3,,ESH1
2021-01-26 17:00:00,3846.5,3851.63,3836.75,0.133,0.253,0.6552,2,4,BEARISH,17,up,24,,ESH1
2021-01-26 18:00:00,3848.25,3856.35,3841.69,0.21,0.17,0.4475,5,1,BULLISH,18,down,181,,ESH1
2021-01-26 19:00:00,3847.5,3850.05,3835.46,0.066,0.313,0.8252,2,4,BULLISH,19,down,312,,ESH1
2021-01-26 20:00:00,3846.25,3849.59,3835.25,0.087,0.286,0.7671,2,4,BULLISH,20,down,246,,ESH1
2021-01-26 21:00:00,3840.5,3850.75,3836.49,0.267,0.104,0.2812,2,1,BULLISH,21,down,3,,ESH1
2021-01-26 23:15:00,3839.5,3851.87,3837.58,0.322,0.05,0.1344,2,3,BULLISH,23,down,4,,ESH1
2021-01-27 00:15:00,3837.5,3839.7,3835.31,0.057,0.057,0.4989,3,4,BEARISH,00,down,8,,ESH1
2021-01-27 01:15:00,3839.25,3841.19,3835.52,0.051,0.097,0.6578,3,4,BEARISH,01,up,41,,ESH1
2021-01-27 02:15:00,3842.25,3847.07,3835.89,0.125,0.166,0.5689,2,4,BEARISH,02,down,50,,ESH1
2021-01-27 03:15:00,3838.5,3842.95,3835.74,0.116,0.072,0.3828,2,4,BEARISH,03,down,13,,ESH1
2021-01-27 04:15:00,3839.75,3843.77,3835.5,0.105,0.111,0.5139,3,4,BEARISH,04,down,53,,ESH1
