t_et,spot,up,dn,d_up_pct,d_dn_pct,p_up_fair,up_rank,dn_rank,sentiment,hour_et,winner,bars_to_touch,censor,symbol
2021-01-26 23:00:00,3838.75,3843.69,3760.07,0.129,2.05,0.9409,2,3,BEARISH,23,up,190,,ESH1
2021-01-27 23:00:00,3737.5,3799.24,3716.72,1.652,0.556,0.2518,2,3,BEARISH,23,down,319,,ESH1
2021-01-28 23:00:00,3740.75,3880.72,3668.05,3.742,1.943,0.3418,3,4,BEARISH,23,down,1890,,ESH1
2021-01-31 23:00:00,3717.5,3768.09,3558.61,1.361,4.274,0.7585,3,4,BEARISH,23,up,1192,,ESH1
2021-02-01 23:00:00,3787.25,3900.99,3779.7,3.003,0.199,0.0622,2,3,BEARISH,23,up,7415,,ESH1
2021-02-02 23:00:00,3827.75,3909.35,3788.1,2.132,1.036,0.327,2,3,BEARISH,23,up,6181,,ESH1
2021-02-03 23:00:00,3813.5,3888.33,3768.9,1.962,1.17,0.3734,2,3,BULLISH,23,up,2950,,ESH1
2021-02-04 23:00:00,3869.0,3897.02,3781.03,0.724,2.274,0.7584,2,3,BULLISH,23,up,1441,,ESH1
2021-02-07 23:00:00,3897.5,3943.92,3780.49,1.191,3.002,0.716,1,3,BULLISH,23,up,7987,,ESH1
2021-02-08 23:00:00,3907.75,3919.25,3795.43,0.294,2.874,0.9071,2,3,BULLISH,23,up,1530,,ESH1
2021-02-09 23:00:00,3919.5,3925.6,3801.28,0.156,3.016,0.9509,2,3,BULLISH,23,up,619,,ESH1
2021-02-10 23:00:00,3905.0,3933.23,3805.97,0.723,2.536,0.7782,2,3,BULLISH,23,up,2829,,ESH1
2021-02-11 23:00:00,3905.25,3939.36,3810.5,0.873,2.426,0.7353,2,3,BULLISH,23,up,1270,,ESH1
2021-02-14 23:00:00,3947.25,3982.75,3819.2,0.899,3.244,0.7829,1,3,BULLISH,23,down,11044,,ESH1
2021-02-16 23:00:00,3927.75,3957.54,3825.6,0.758,2.601,0.7742,2,3,BULLISH,23,down,8100,,ESH1
2021-02-17 23:00:00,3922.5,3965.63,3833.63,1.1,2.266,0.6733,2,3,BULLISH,23,down,6335,,ESH1
2021-02-18 23:00:00,3893.75,3973.65,3838.5,2.052,1.419,0.4088,2,3,BULLISH,23,down,4527,,ESH1
2021-02-21 23:00:00,3896.0,3926.6,3715.0,0.785,4.646,0.8554,3,4,BEARISH,23,up,5944,,ESH1
