t_et,spot,up,dn,d_up_pct,d_dn_pct,p_up_fair,up_rank,dn_rank,sentiment,hour_et,winner,bars_to_touch,censor,symbol
2021-01-25 19:00:00,3845.5,3849.78,3842.68,0.111,0.073,0.3972,1,4,BEARISH,19,down,45,,ESH1
2021-01-25 20:00:00,3842.5,3851.63,3837.22,0.238,0.137,0.3664,1,2,BEARISH,20,down,33,,ESH1
2021-01-25 21:00:00,3840.0,3844.28,3834.29,0.111,0.149,0.5716,4,5,BEARISH,21,down,24,,ESH1
2021-01-26 04:00:00,3840.75,3848.95,3838.65,0.213,0.055,0.2039,4,5,BEARISH,04,down,61,,ESH1
2021-01-26 05:00:00,3840.25,3844.92,3834.84,0.122,0.141,0.5367,4,5,BEARISH,05,up,80,,ESH1
2021-01-26 07:00:00,3849.75,3859.4,3846.94,0.251,0.073,0.2255,2,4,BEARISH,07,up,180,,ESH1
2021-01-26 08:00:00,3854.5,3858.48,3847.56,0.103,0.18,0.6355,2,4,BEARISH,08,up,76,,ESH1
2021-01-26 09:00:00,3856.5,3859.34,3848.56,0.074,0.206,0.7365,2,4,BULLISH,09,up,35,,ESH1
2021-01-26 10:00:00,3853.0,3858.76,3848.24,0.149,0.124,0.4525,2,4,BULLISH,10,down,12,,ESH1
2021-01-26 11:00:00,3849.75,3858.39,3838.93,0.224,0.281,0.556,1,5,BULLISH,11,down,632,,ESH1
2021-01-26 13:00:00,3844.75,3849.89,3840.31,0.134,0.115,0.4635,4,5,BULLISH,13,up,37,,ESH1
2021-01-26 14:00:00,3849.75,3859.84,3841.89,0.262,0.204,0.4379,1,5,BULLISH,14,down,148,,ESH1
2021-01-26 15:00:00,3849.0,3851.01,3840.97,0.052,0.209,0.7998,4,5,BULLISH,15,up,8,,ESH1
2021-01-26 16:00:00,3843.5,3851.3,3841.27,0.203,0.058,0.2223,4,5,BULLISH,16,up,14,,ESH1
2021-01-26 17:00:00,3846.5,3850.97,3840.89,0.116,0.146,0.5565,4,5,BULLISH,17,up,23,,ESH1
2021-01-26 18:00:00,3848.25,3851.43,3841.37,0.083,0.179,0.6839,4,5,BULLISH,18,up,20,,ESH1
2021-01-26 19:00:00,3847.5,3851.63,3842.02,0.107,0.142,0.5702,4,5,BULLISH,19,down,115,,ESH1
2021-01-26 20:00:00,3846.25,3851.98,3842.65,0.149,0.094,0.3859,4,5,BULLISH,20,down,11,,ESH1
2021-01-28 11:00:00,3804.25,3816.54,3770.14,0.323,0.897,0.7351,2,1,BEARISH,11,up,113,,ESH1
2021-01-28 12:00:00,3814.0,3850.03,3808.1,0.945,0.155,0.1407,3,2,BEARISH,12,down,231,,ESH1
2021-01-28 13:00:00,3820.5,3843.12,3796.18,0.592,0.637,0.5181,3,2,BEARISH,13,down,224,,ESH1
2021-01-28 14:00:00,3820.75,3837.42,3782.36,0.436,1.005,0.6972,3,2,BULLISH,14,down,190,,ESH1
2021-01-28 15:00:00,3807.0,3837.28,3784.79,0.795,0.583,0.4231,3,2,BULLISH,15,down,101,,ESH1
2021-01-28 16:00:00,3776.0,3784.12,3710.77,0.215,1.727,0.8893,2,1,BULLISH,16,up,8,,ESH1
2021-01-28 17:00:00,3768.0,3781.43,3707.93,0.356,1.594,0.8173,2,1,BULLISH,17,down,1653,,ESH1
2021-01-28 18:00:00,3764.5,3780.73,3707.26,0.431,1.521,0.7791,2,1,BULLISH,18,down,1649,,ESH1
2021-01-28 19:00:00,3767.0,3780.03,3708.81,0.346,1.545,0.817,2,1,BULLISH,19,down,1538,,ESH1
2021-01-28 20:00:00,3765.25,3778.93,3707.71,0.363,1.528,0.8079,2,1,BULLISH,20,down,1491,,ESH1
2021-01-28 21:00:00,3756.5,3780.27,3710.1,0.633,1.235,0.6613,2,1,BEARISH,21,down,1389,,ESH1
2021-01-28 23:00:00,3740.75,3772.65,3700.26,0.853,1.082,0.5593,2,1,BEARISH,23,up,786,,ESH1
2021-01-29 00:00:00,3733.5,3769.89,3693.65,0.975,1.067,0.5227,2,1,BEARISH,00,up,705,,ESH1
2021-01-29 01:00:00,3732.5,3765.72,3684.48,0.89,1.287,0.5911,2,1,BEARISH,01,up,619,,ESH1
2021-01-29 02:00:00,3747.5,3758.25,3680.2,0.287,1.796,0.8623,2,1,BEARISH,02,up,348,,ESH1
2021-01-29 03:00:00,3734.25,3755.56,3672.23,0.571,1.661,0.7443,2,1,BEARISH,03,up,254,,ESH1
