t_et,spot,up,dn,d_up_pct,d_dn_pct,p_up_fair,up_rank,dn_rank,sentiment,hour_et,winner,bars_to_touch,censor,symbol
2023-03-09 22:00:00,11953.75,11973.34,11870.58,0.164,0.696,0.8094,2,1,BEARISH,22,up,260,,NQH3
2023-03-09 23:00:00,11944.0,12081.88,11934.88,1.154,0.076,0.062,3,2,BEARISH,23,down,1,,NQH3
2023-03-10 00:00:00,11941.75,12080.72,11912.56,1.164,0.244,0.1736,4,1,BEARISH,00,up,509,,NQH3
2023-03-10 01:00:00,11953.5,12063.2,11930.38,0.918,0.193,0.1741,3,1,BEARISH,01,down,34,,NQH3
2023-03-10 02:00:00,11950.5,12044.15,11927.42,0.784,0.193,0.1977,3,1,BEARISH,02,up,281,,NQH3
2023-03-10 03:00:00,11974.0,12032.0,11938.02,0.484,0.3,0.3828,3,1,BULLISH,03,up,214,,NQH3
2023-03-10 04:00:00,11978.25,12018.31,11944.42,0.334,0.282,0.4578,3,1,BULLISH,04,up,30,,NQH3
2023-03-10 05:00:00,12002.0,12011.0,11971.99,0.075,0.25,0.7693,3,1,BULLISH,05,up,7,,NQH3
2023-03-10 06:00:00,11999.0,12032.35,11970.24,0.278,0.24,0.463,4,3,BULLISH,06,up,34,,NQH3
2023-03-10 07:00:00,12024.75,12222.61,12009.48,1.645,0.127,0.0716,5,1,BULLISH,07,down,33,,NQH3
2023-03-10 08:00:00,12014.75,12026.21,11994.66,0.095,0.167,0.6368,1,2,BULLISH,08,down,2,,NQH3
2023-03-10 09:00:00,12059.25,12212.74,12016.02,1.273,0.358,0.2198,5,4,BULLISH,09,down,13,,NQH3
2023-03-10 10:00:00,11948.75,11969.88,11918.34,0.177,0.255,0.59,2,3,BULLISH,10,up,5,,NQH3
2023-03-10 11:00:00,12000.25,12196.6,11984.28,1.636,0.133,0.0752,5,2,BULLISH,11,down,13,,NQH3
2023-03-10 12:00:00,11981.75,11990.7,11925.16,0.075,0.472,0.8634,4,3,BULLISH,12,down,9,,NQH3
2023-03-10 15:00:00,11883.0,11909.66,11876.98,0.224,0.051,0.1842,2,3,BEARISH,15,down,0,,NQH3
2023-03-12 18:00:00,11889.25,11945.15,11846.14,0.47,0.363,0.4354,4,3,BEARISH,18,up,14,,NQH3
2023-03-12 19:00:00,11967.5,12112.62,11929.87,1.213,0.314,0.2059,5,4,BULLISH,19,down,592,,NQH3
2023-03-12 20:00:00,11995.75,12078.37,11896.67,0.689,0.826,0.5453,5,4,BULLISH,20,up,365,,NQH3
2023-03-12 21:00:00,11982.25,12102.57,11924.91,1.004,0.479,0.3228,5,4,BULLISH,21,down,473,,NQH3
2023-03-12 22:00:00,11972.75,12060.64,11884.9,0.734,0.734,0.4999,5,4,BULLISH,22,up,68,,NQH3
2023-03-12 23:00:00,12048.0,12083.96,11912.06,0.298,1.128,0.7908,5,4,BULLISH,23,up,191,,NQH3
2023-03-13 00:00:00,12053.0,12077.41,11958.86,0.203,0.781,0.7941,5,1,BULLISH,00,up,125,,NQH3
2023-03-13 01:00:00,12045.5,12070.99,12030.13,0.212,0.128,0.3762,5,1,BULLISH,01,up,18,,NQH3
2023-03-13 04:00:00,12033.5,12051.36,11926.32,0.148,0.891,0.8572,5,3,BULLISH,04,down,53,,NQH3
2023-03-13 05:00:00,11929.0,11938.06,11910.83,0.076,0.152,0.6673,3,4,BEARISH,05,up,1,,NQH3
2023-03-13 07:00:00,11975.5,12022.41,11943.5,0.392,0.267,0.4055,5,1,BEARISH,07,down,24,,NQH3
2023-03-13 08:00:00,11950.0,12004.5,11933.3,0.456,0.14,0.2346,2,1,BEARISH,08,down,1,,NQH3
2023-03-13 09:00:00,11909.75,11927.62,11881.82,0.15,0.235,0.6098,3,4,BEARISH,09,down,2,,NQM3
2023-03-13 21:00:00,11970.75,11983.96,11944.56,0.11,0.219,0.6647,3,5,BULLISH,21,up,19,,NQH3
2023-03-14 00:00:00,12117.25,12145.7,12037.74,0.235,0.656,0.7365,1,3,BULLISH,00,up,444,,NQM3
2023-03-14 01:00:00,12110.5,12121.81,12053.1,0.093,0.474,0.8354,2,3,BULLISH,01,up,10,,NQM3
2023-03-14 02:00:00,12090.5,12135.51,12081.26,0.372,0.076,0.1703,2,3,BULLISH,02,down,10,,NQM3
2023-03-14 03:00:00,12116.75,12141.58,12083.79,0.205,0.272,0.5703,2,3,BULLISH,03,down,17,,NQM3
2023-03-14 04:00:00,12094.5,12138.38,12085.14,0.363,0.077,0.1758,2,3,BULLISH,04,down,1,,NQM3
2023-03-14 06:00:00,12091.5,12130.85,12056.77,0.325,0.287,0.4688,2,1,BEARISH,06,up,80,,NQM3
2023-03-14 07:00:00,12109.25,12124.16,12091.53,0.123,0.146,0.5431,2,3,BULLISH,07,up,16,,NQM3
2023-03-14 14:00:00,12247.5,12302.67,12237.58,0.45,0.081,0.1524,1,2,BULLISH,14,down,0,,NQM3
