t_et,spot,up,dn,d_up_pct,d_dn_pct,p_up_fair,up_rank,dn_rank,sentiment,hour_et,winner,bars_to_touch,censor,symbol,p_adj,regime,flip_dist_pct,gamma_imb,total_gex,up_conf_res,dn_conf_sup,up_is_wall,dn_is_wall,gex_res_between,gex_sup_between,snap_age_min
2023-03-28 07:00:00,12768.5,12823.3,12757.97,0.429,0.082,0.1612,4,1,BEARISH,07,down,103,,NQM3,0.17,neutral,-2.595,0,553571944.0990592,0.21741003250186175,1.543564240122177,False,False,False,False,0
2023-03-28 08:00:00,12791.0,12821.33,12763.42,0.237,0.216,0.4763,4,2,BULLISH,08,down,39,,NQM3,0.4922,neutral,-2.071,0,765260831.0313199,0.21382221874755972,1.601673051364247,False,False,False,False,0
2023-03-28 09:00:00,12768.75,12821.24,12762.1,0.411,0.052,0.1124,4,1,BEARISH,09,down,24,,NQM3,0.1187,neutral,-2.271,0,619120715.229155,0.23643661282428202,1.5730592266275132,False,False,False,False,0
2023-03-28 16:00:00,12733.5,12802.46,12706.33,0.542,0.213,0.2826,4,3,BULLISH,16,up,530,,NQM3,0.3032,neutral,-5.817,0,213674559.80303788,0.39156555542467175,1.1326815094043237,False,False,False,False,0
2023-03-28 19:00:00,12744.5,12809.05,12708.34,0.506,0.284,0.3591,4,1,BULLISH,19,up,413,,NQM3,0.3845,neutral,-4.104,0,320293870.59819317,0.3439130605359169,1.143159794421127,False,False,False,False,0
2023-03-28 20:00:00,12760.25,12796.57,12698.56,0.285,0.483,0.6294,4,1,BULLISH,20,up,342,,NQM3,0.653,neutral,-3.649,0,476754177.36380684,0.4405869790952463,1.0658098391489195,False,False,False,False,0
2023-03-29 07:00:00,12837.5,12849.92,12816.13,0.097,0.166,0.6324,1,5,BULLISH,07,up,46,,NQM3,0.6395,neutral,-4.958,0,387832716.8192455,0.6627458617332029,0.042921129503395515,False,False,False,False,0
2023-03-29 08:00:00,12838.5,12858.18,12814.47,0.153,0.187,0.5498,1,5,BULLISH,08,up,52,,NQM3,0.5614,neutral,-4.959,0,431962773.78955054,1.575807142578958,0.021419947813218057,False,False,False,False,0
2023-03-29 19:00:00,12957.5,12964.87,12910.75,0.057,0.361,0.8638,1,3,BULLISH,19,up,389,,NQM3,0.8702,positive,0.798,0,1695792812.4265237,0.7449739533088855,2.677445494887133,False,False,False,False,0
2023-03-29 20:00:00,12941.5,13014.09,12849.58,0.561,0.71,0.5588,2,4,BEARISH,20,up,608,,NQM3,0.6008,positive,0.69,0,1598865395.821755,0.350886682378394,2.222230807866168,False,False,False,False,0
2023-03-30 05:00:00,12995.5,13021.72,12978.02,0.202,0.135,0.4,3,2,BULLISH,05,up,98,,NQM3,0.4116,positive,9.746,0,1596666040.0394244,0.25816628833058436,0.04339963833635672,False,True,False,False,0
2023-03-30 06:00:00,13008.75,13021.76,12999.64,0.1,0.07,0.4118,3,1,BULLISH,06,up,38,,NQM3,0.4174,positive,1.252,0,1750320321.8503492,0.2407610262323414,0.22623234361487682,False,False,False,False,0
2023-03-30 13:00:00,13049.25,13058.84,12957.39,0.073,0.704,0.9055,2,4,BEARISH,13,up,5,,NQM3,0.9148,positive,1.528,0,2043346128.3480055,0.013104201390891782,3.047454834569037,False,False,False,False,0
2023-03-30 14:00:00,13032.0,13061.14,12939.01,0.224,0.714,0.7614,2,4,BEARISH,14,up,25,,NQM3,0.7838,positive,9.677,0,1929844694.1949754,0.04174340085941291,0.25936157151626205,False,False,False,True,0
2023-03-31 05:00:00,13082.0,13118.09,13051.37,0.276,0.234,0.4591,1,4,BEARISH,05,up,210,,NQM3,0.4761,neutral,5.276,0,964250941.870364,1.1008255618406988,0.026830759822644847,False,True,False,False,0
2023-03-31 07:00:00,13086.0,13118.96,13067.78,0.252,0.139,0.356,2,4,BEARISH,07,down,77,,NQM3,0.3677,neutral,5.941,0,948726100.3317338,1.0912425492893252,0.10117683020021231,False,True,False,False,0
2023-03-31 08:00:00,13072.25,13112.31,13013.8,0.306,0.447,0.5933,2,5,BEARISH,08,up,29,,NQM3,0.6182,neutral,5.858,0,937225395.6362457,1.1257434642085322,0.02256688787315809,False,False,False,True,0
2023-03-31 09:00:00,13094.75,13136.94,13082.2,0.322,0.096,0.2293,3,4,BULLISH,09,down,29,,NQM3,0.2398,positive,5.367,0,1128089515.771854,0.9571774947975344,0.20725863418546545,False,False,False,False,0
2023-03-31 15:00:00,13250.25,13282.4,13206.31,0.243,0.332,0.5775,1,2,BULLISH,15,up,19,,NQM3,0.5964,positive,4.591,0,2179603068.2408514,0.14135582347502548,2.069696798173618,True,False,False,False,0
