trade_date,rth_open,on_high,on_low,pd_high,pd_low,pd_close,roll,symbol
2023-01-03,11119.0,11171.0,10952.0,,,,0,NQH3
2023-01-04,11033.5,11051.25,10920.25,11182.0,10844.75,10942.75,0,NQH3
2023-01-05,10922.5,11046.75,10889.0,11068.5,10863.5,10996.25,0,NQH3
2023-01-06,10891.0,10969.5,10751.0,10927.25,10805.0,10820.0,0,NQH3
2023-01-09,11199.75,11205.25,11120.25,11165.75,10766.25,11114.5,0,NQH3
2023-01-10,11142.75,11205.75,11094.0,11385.5,11159.75,11188.0,0,NQH3
2023-01-11,11323.75,11333.75,11239.75,11286.25,11120.75,11286.0,0,NQH3
2023-01-12,11490.0,11579.75,11291.0,11479.5,11291.0,11476.5,0,NQH3
2023-01-13,11424.0,11536.25,11389.0,11574.75,11311.25,11532.25,0,NQH3
2023-01-16,11591.25,11638.75,11510.25,11619.5,11408.75,11607.5,0,NQH3
2023-01-17,11598.75,11604.25,11530.5,11611.25,11560.5,11564.0,0,NQH3
2023-01-18,11695.0,11721.75,11581.75,11685.0,11549.5,11627.5,0,NQH3
2023-01-19,11407.25,11487.0,11344.75,11759.5,11470.5,11479.5,0,NQH3
2023-01-20,11428.25,11448.5,11365.25,11454.25,11308.5,11360.5,0,NQH3
2023-01-23,11704.0,11723.25,11650.5,11686.75,11383.5,11676.25,0,NQH3
2023-01-24,11860.0,11944.75,11835.75,11983.0,11671.75,11931.5,0,NQH3
2023-01-25,11712.5,11976.5,11701.0,11951.5,11838.25,11905.75,0,NQH3
2023-01-26,12017.75,12025.75,11867.25,11903.5,11604.5,11876.25,0,NQH3
2023-01-27,12047.25,12078.75,12016.0,12111.25,11904.25,12105.0,0,NQH3
2023-01-30,12082.25,12252.0,12039.0,12308.5,12041.75,12223.25,0,NQH3
2023-01-31,11974.25,12017.25,11871.0,12143.25,11960.0,11971.0,0,NQH3
2023-02-01,12143.75,12168.75,12084.75,12156.0,11969.0,12153.5,0,NQH3
2023-02-02,12681.25,12682.0,12501.75,12516.25,12055.25,12420.75,0,NQH3
2023-02-03,12574.25,12761.0,12551.25,12934.5,12647.25,12855.25,0,NQH3
2023-02-06,12509.0,12605.5,12457.25,12878.0,12558.5,12624.5,0,NQH3
2023-02-07,12504.0,12573.5,12475.5,12608.5,12455.75,12513.25,0,NQH3
2023-02-08,12713.75,12808.5,12699.5,12818.5,12459.25,12772.25,0,NQH3
2023-02-09,12722.5,12726.25,12541.25,12752.0,12512.75,12543.25,0,NQH3
2023-02-10,12335.25,12451.5,12270.5,12728.5,12366.5,12427.25,0,NQH3
2023-02-13,12402.25,12433.5,12265.25,12422.0,12243.25,12346.0,0,NQH3
2023-02-14,12474.0,12687.0,12460.0,12567.0,12352.0,12544.75,0,NQH3
2023-02-15,12553.5,12623.75,12531.25,12673.5,12390.5,12630.75,0,NQH3
2023-02-16,12524.0,12792.75,12514.0,12734.5,12524.25,12734.0,0,NQH3
2023-02-17,12390.0,12466.25,12338.0,12694.25,12475.75,12481.5,0,NQH3
2023-02-20,12393.25,12417.75,12346.5,12423.75,12265.75,12392.0,0,NQH3
2023-02-21,12229.0,12379.5,12224.5,12395.75,12366.0,12366.75,0,NQH3
2023-02-22,12120.75,12163.25,12063.25,12290.0,12090.25,12098.0,0,NQH3
2023-02-23,12252.5,12261.0,12150.75,12190.5,12034.0,12103.0,0,NQH3
