week_monday,open,high,low,close,n_bars,symbol
2023-04-03,4127.0,4171.75,4096.5,4141.5,7542,ESM3
2023-04-10,4139.0,4189.0,4098.75,4171.75,8393,ESM3
2023-04-17,4174.25,4198.25,4135.25,4153.25,8249,ESM3
2023-04-24,4150.0,4193.75,4068.75,4190.75,8762,ESM3
2023-05-01,4190.0,4206.25,4062.25,4149.0,8906,ESM3
2023-05-08,4151.0,4173.25,4111.75,4132.0,8666,ESM3
2023-05-15,4132.25,4227.25,4120.0,4198.25,10600,ESM3
2023-05-22,4189.0,4222.75,4114.0,4219.25,12295,ESM3
2023-05-29,4239.75,4297.75,4174.0,4288.75,22589,ESM3
2023-06-05,4288.0,4325.5,4262.75,4304.75,59259,ESM3
2023-06-12,4349.75,4493.75,4348.75,4459.0,92371,ESU3
2023-06-19,4458.0,4462.0,4381.5,4388.5,8193,ESU3
2023-06-26,4390.0,4498.0,4368.5,4482.5,8977,ESU3
2023-07-03,4485.5,4494.0,4419.5,4438.0,7670,ESU3
2023-07-10,4437.5,4560.5,4411.25,4535.25,8470,ESU3
2023-07-17,4536.0,4609.25,4528.0,4564.0,8363,ESU3
2023-07-24,4564.25,4634.5,4553.75,4607.0,8557,ESU3
2023-07-31,4608.75,4621.75,4493.75,4498.0,9426,ESU3
2023-08-07,4500.5,4544.75,4459.0,4484.25,9512,ESU3
2023-08-14,4485.0,4517.75,4350.0,4380.0,11439,ESU3
2023-08-21,4382.5,4485.5,4365.25,4413.25,13191,ESU3
2023-08-28,4418.0,4547.75,4414.5,4519.0,19672,ESU3
2023-09-04,4521.25,4531.25,4434.25,4463.5,51572,ESU3
2023-09-11,4463.5,4465.0,4460.75,4464.75,314,ESU3
2023-09-18,4499.5,4514.5,4357.25,4362.75,8550,ESZ3
2023-09-25,4365.0,4383.5,4277.0,4329.25,9369,ESZ3
2023-10-02,4349.0,4358.5,4235.5,4345.25,9983,ESZ3
2023-10-09,4315.0,4430.5,4299.5,4351.5,9197,ESZ3
2023-10-16,4356.75,4423.25,4243.5,4244.5,10041,ESZ3
2023-10-23,4256.25,4290.5,4122.25,4136.5,10454,ESZ3
2023-10-30,4148.0,4391.75,4143.5,4378.5,9571,ESZ3
2023-11-06,4379.25,4435.5,4354.25,4424.5,8884,ESZ3
2023-11-13,4425.75,4541.25,4407.25,4523.75,11600,ESZ3
2023-11-20,4526.75,4580.5,4520.0,4568.25,9889,ESZ3
2023-11-27,4568.5,4607.75,4544.75,4604.0,16848,ESZ3
2023-12-04,4603.25,4613.75,4548.75,4607.25,56241,ESZ3
2023-12-11,4607.75,4614.25,4607.25,4611.5,583,ESZ3
