week_monday,open,high,low,close,n_bars,symbol
2023-04-03,13262.0,13348.75,12953.25,13184.25,6432,NQM3
2023-04-10,13179.75,13255.0,12925.5,13199.5,6899,NQM3
2023-04-17,13212.5,13298.75,12982.5,13076.0,6898,NQM3
2023-04-24,13070.0,13336.0,12800.0,13325.75,6900,NQM3
2023-05-01,13317.0,13370.25,13001.75,13310.5,6899,NQM3
2023-05-08,13316.0,13494.25,13202.75,13370.5,6898,NQM3
2023-05-15,13378.75,13960.25,13350.0,13841.0,6900,NQM3
2023-05-22,13805.5,14369.0,13566.5,14367.25,6900,NQM3
2023-05-29,14437.5,14627.75,14248.25,14587.75,6660,NQM3
2023-06-05,14577.0,14694.75,14256.75,14566.25,6898,NQM3
2023-06-12,14560.25,14654.0,14554.25,14630.5,596,NQM3
2023-06-19,15303.25,15322.5,14964.0,15053.25,6658,NQU3
2023-06-26,15057.75,15376.75,14853.5,15316.5,6898,NQU3
2023-07-03,15331.0,15432.0,15111.5,15192.5,6431,NQU3
2023-07-10,15198.5,15857.25,15063.25,15693.75,6899,NQU3
2023-07-17,15690.0,16062.75,15522.25,15555.0,6900,NQU3
2023-07-24,15556.0,15904.0,15483.75,15846.0,6899,NQU3
2023-07-31,15850.0,15917.0,15336.5,15362.75,6900,NQU3
2023-08-07,15370.5,15497.75,15037.25,15103.75,6900,NQU3
2023-08-14,15104.0,15335.0,14609.25,14744.0,6900,NQU3
2023-08-21,14762.5,15418.0,14720.5,14972.25,6900,NQU3
2023-08-28,14991.0,15661.25,14973.5,15511.25,6898,NQU3
2023-09-04,15517.0,15586.75,15157.5,15313.0,6658,NQU3
2023-09-11,15308.0,15321.75,15298.75,15321.0,60,NQU3
2023-09-18,15382.25,15461.0,14836.25,14876.25,6898,NQZ3
2023-09-25,14880.25,15060.75,14586.0,14891.5,6899,NQZ3
2023-10-02,14965.0,15160.25,14589.0,15139.5,6900,NQZ3
2023-10-09,15040.25,15468.75,14949.5,15107.5,6900,NQZ3
2023-10-16,15120.0,15336.75,14645.0,14649.0,6900,NQZ3
2023-10-23,14680.0,14948.75,14140.25,14270.0,6900,NQZ3
2023-10-30,14336.0,15228.5,14303.0,15186.25,6900,NQZ3
2023-11-06,15187.0,15612.75,15138.0,15583.0,6900,NQZ3
2023-11-13,15586.25,16049.5,15465.25,15874.25,6900,NQZ3
2023-11-20,15895.0,16173.5,15837.25,16011.0,6434,NQZ3
2023-11-27,16008.0,16208.5,15856.0,16030.25,6900,NQZ3
2023-12-04,16022.0,16118.75,15721.25,16094.0,6900,NQZ3
2023-12-11,16093.0,16114.5,16059.25,16060.75,240,NQZ3
2023-12-18,16820.25,17073.5,16758.5,16962.5,6900,NQH4
2023-12-25,16964.5,17165.25,16938.25,17003.75,5520,NQH4
2024-01-01,17019.0,17038.5,16334.25,16465.0,5520,NQH4
2024-01-08,16470.0,17057.0,16378.25,16955.25,6899,NQH4
