week_monday,open,high,low,close,n_bars,symbol
2023-04-03,319.52,322.17,312.82,317.81,3547,QQQ
2023-04-10,317.25,320.35,312.29,318.83,4151,QQQ
2023-04-17,319.22,321.46,314.1,316.48,4189,QQQ
2023-04-24,315.4,322.9,309.8,322.42,4296,QQQ
2023-05-01,322.91,323.76,315.12,322.59,4108,QQQ
2023-05-08,322.83,327.33,320.22,324.39,3922,QQQ
2023-05-15,326.06,338.88,323.96,336.17,3995,QQQ
2023-05-22,336.85,349.24,329.57,348.9,4153,QQQ
2023-05-29,350.67,355.82,346.53,354.87,3336,QQQ
2023-06-05,354.12,357.66,347.92,354.58,3951,QQQ
2023-06-12,356.2,372.82,355.2,368.41,4168,QQQ
2023-06-19,366.83,368.32,360.22,362.35,3197,QQQ
2023-06-26,362.28,370.49,357.6,369.11,4066,QQQ
2023-07-03,370.29,372.01,364.52,366.51,2940,QQQ
2023-07-10,364.68,382.86,363.41,378.87,4021,QQQ
2023-07-17,379.51,387.98,375.2,375.69,4102,QQQ
2023-07-24,376.8,384.71,374.34,383.53,4072,QQQ
2023-07-31,382.92,384.875,371.53,372.03,4263,QQQ
2023-08-07,374.61,375.42,364.695,366.35,4026,QQQ
2023-08-14,368.56,371.41,354.71,358.17,4186,QQQ
2023-08-21,359.73,374.58,358.59,363.81,4267,QQQ
2023-08-28,364.55,381.07,364.25,377.38,3911,QQQ
2023-09-04,376.28,379.3,369.14,373.09,3214,QQQ
2023-09-11,374.83,378.265,369.86,370.7,3907,QQQ
2023-09-18,370.75,371.79,357.32,358.46,4050,QQQ
2023-09-25,359.36,362.94,351.37,358.84,4252,QQQ
2023-10-02,361.29,365.87,352.96,365.3,4165,QQQ
2023-10-09,362.05,373.55,360.78,364.78,4049,QQQ
2023-10-16,365.2,370.49,354.2,354.29,4234,QQQ
2023-10-23,354.17,361.58,342.35,345.48,4440,QQQ
2023-10-30,348.04,369.02,346.46,367.94,4257,QQQ
2023-11-06,368.53,378.75,366.91,378.01,3883,QQQ
2023-11-13,377.14,389.4,375.24,385.52,3912,QQQ
2023-11-20,385.78,393.07,385.78,389.25,2950,QQQ
2023-11-27,388.85,394.14,385.82,390.1,3730,QQQ
2023-12-04,389.1,392.62,382.65,392.03,3904,QQQ
2023-12-11,391.33,406.53,390.96,404.88,3879,QQQ
2023-12-18,404.83,410.46,402.88,408.03,3851,QQQ
2023-12-25,409.53,413.1,407.58,409.17,2817,QQQ
2024-01-01,409.78,409.81,393.67,396.79,3150,QQQ
2024-01-08,395.93,411.45,394.81,409.18,4011,QQQ
2024-01-15,406.64,421.92,402.92,421.7,3223,QQQ
2024-01-22,423.58,429.85,420.57,423.21,4110,QQQ
2024-01-29,425.06,430.24,416.56,428.14,4139,QQQ
2024-02-05,428.91,437.845,425.01,437.05,3902,QQQ
2024-02-12,437.35,439.14,425.34,429.98,3999,QQQ
